Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Drafted
James Ennis,"6' 5.75""","6' 7""",201.0,"6' 11.5""","8' 8.5""",4.5,8.5,8.75,29.5,"11' 2""",36.5,"11' 9""",7.0,11.55,3.4,50
Otto Porter,"6' 7.5""","6' 8.5""",198.0,"7' 1.5""","8' 9.5""",6.7,8.75,9.25,27.0,"11' 0.5""",36.0,"11' 9.5""",9.0,11.25,3.4,3
Steven Adams,"6' 10.75""","7' 0""",255.0,"7' 4.5""","9' 1.5""",6.7,9.5,11.0,28.5,"11' 6""",33.0,"11' 10.5""",16.0,11.85,3.4,12
Lorenzo Brown,"6' 4""","6' 5.25""",189.0,"6' 7""","8' 4""",4.0,8.25,8.5,28.0,"10' 8""",34.0,"11' 2""",8.0,11.78,3.4,52
Dewayne Dedmon,"6' 10""","6' 11.5""",239.0,"7' 4""","9' 1""",8.4,9.0,11.0,28.0,"11' 5""",32.5,"11' 9.5""",8.0,12.75,3.4,No
James Southerland,"6' 7""","6' 8""",221.0,"7' 1""","8' 10""",8.1,8.0,9.5,29.0,"11' 3""",32.0,"11' 6""",5.0,10.9,3.38,No
Will Clyburn,"6' 5.75""","6' 7""",210.0,"7' 0.25""","8' 9""",6.9,9.25,10.25,28.0,"11' 1""",34.5,"11' 7.5""",3.0,11.68,3.38,No
Brandon Paul,"6' 2.75""","6' 4""",201.0,"6' 10.25""","8' 2""",5.3,8.5,9.5,33.5,"10' 11.5""",39.5,"11' 5.5""",15.0,11.16,3.37,No
Jackie Carmichael,"6' 7.5""","6' 9""",241.0,"7' 1.5""","8' 11""",5.8,9.0,10.25,30.0,"11' 5""",32.0,"11' 7""",13.0,11.83,3.35,No
Robert Covington,"6' 6.25""","6' 7.5""",209.0,"7' 1.75""","8' 10""",4.7,9.0,8.5,29.5,"11' 3.5""",36.0,"11' 10""",9.0,11.69,3.34,No
Myck Kabongo,"6' 1.25""","6' 2.75""",180.0,"6' 6.25""","8' 2""",6.0,8.25,9.0,27.5,"10' 5.5""",33.5,"10' 11.5""",2.0,10.64,3.34,No
Andre Roberson,"6' 6.25""","6' 7""",206.0,"6' 11""","8' 8.5""",7.1,8.75,9.5,30.0,"11' 2.5""",36.5,"11' 9""",10.0,11.36,3.34,26
Ricky Ledo,"6' 4.75""","6' 6""",197.0,"6' 7.25""","8' 6.5""",10.3,8.5,9.25,27.0,"10' 9.5""",33.5,"11' 4""",4.0,10.72,3.32,43
CJ McCollum,"6' 2.25""","6' 3.25""",197.0,"6' 6.25""","8' 0.5""",8.6,8.0,9.5,32.0,"10' 8.5""",38.5,"11' 3""",13.0,11.02,3.32,10
Shabazz Muhammad,"6' 4.75""","6' 6.25""",222.0,"6' 11""","8' 8.5""",9.0,9.0,10.0,29.5,"11' 2""",37.0,"11' 9.5""",10.0,10.99,3.32,14
Trevor Mbakwe,"6' 6.75""","6' 8""",236.0,"7' 4""","8' 10.5""",5.9,9.5,11.5,30.0,"11' 4.5""",36.5,"11' 11""",21.0,12.01,3.32,No
Adonis Thomas,"6' 4.75""","6' 5.75""",232.0,"7' 1""","8' 3""",7.5,9.25,9.5,34.5,"11' 1.5""",40.5,"11' 7.5""",13.0,11.66,3.32,No
Norvel Pelle,"6' 9.5""","6' 10.5""",207.0,"7' 2.5""","9' 1""",5.2,8.75,9.5,31.0,"11' 8""",34.5,"11' 11.5""", ,11.49,3.32,No
Allen Crabbe,"6' 5.25""","6' 6.25""",197.0,"6' 11.25""","8' 7.5""",4.7,8.25,8.5,30.5,"11' 2""",36.0,"11' 7.5""",10.0,10.67,3.32,31
Reggie Bullock,"6' 5.75""","6' 7""",200.0,"6' 8.75""","8' 6""",7.0,8.5,9.0,31.0,"11' 1""",36.5,"11' 6.5""",11.0,11.33,3.31,25
Mason Plumlee,"6' 11.25""","7' 0.5""",238.0,"6' 11""","9' 0""",6.2,9.75,9.5,30.5,"11' 6.5""",36.0,"12' 0""",14.0,10.89,3.29,22
Ben McLemore,"6' 3.5""","6' 4.75""",189.0,"6' 7.75""","8' 4.5""",5.0,8.75,9.5,32.5,"11' 1""",42.0,"11' 10.5""",6.0,11.87,3.27,7
Archie Goodwin,"6' 3.75""","6' 5.25""",189.0,"6' 9.5""","8' 6""",4.6,8.5,9.0,30.0,"11' 0""",36.0,"11' 6""",1.0,10.75,3.27,29
Victor Oladipo,"6' 3.25""","6' 4.25""",213.0,"6' 9.25""","8' 4.5""",6.6,8.75,9.25,33.0,"11' 1.5""",42.0,"11' 10.5""",15.0,10.69,3.25,2
Ray McCallum,"6' 0.25""","6' 1.75""",191.0,"6' 3.25""","8' 0.5""",7.3,8.0,8.75,30.5,"10' 7""",40.0,"11' 4.5""",5.0,10.82,3.25,36
Glen Rice,"6' 4.5""","6' 5.75""",211.0,"6' 9.25""","8' 5.5""",8.5,8.5,9.0,33.0,"11' 2.5""",40.5,"11' 10""",10.0,10.99,3.25,35
Carrick Felix,"6' 4.75""","6' 6.25""",203.0,"6' 9.25""","8' 7.5""",3.3,8.5,9.5,32.0,"11' 3.5""",38.5,"11' 10""",15.0,11.16,3.25,33
Tim Hardaway,"6' 4.5""","6' 6.25""",199.0,"6' 7""","8' 5""",6.1,8.0,9.25,31.5,"11' 0.5""",37.5,"11' 6.5""",16.0,10.68,3.25,24
Tony Snell,"6' 6""","6' 7.25""",198.0,"6' 11.5""","8' 9.5""",4.9,9.0,9.5,30.0,"11' 3.5""",36.5,"11' 10""",7.0,10.36,3.25,20
Michael Carter-Williams,"6' 4.75""","6' 5.75""",184.0,"6' 7.25""","8' 5""",4.4,7.5,8.5,31.5,"11' 0.5""",41.0,"11' 10""",8.0,10.68,3.22,11
Isaiah Canaan,"5' 11""","6' 0""",188.0,"6' 4.5""","7' 10.5""",5.9,8.25,9.5,33.0,"10' 7.5""",40.5,"11' 3""",16.0,10.98,3.22,34
Dennis Schroeder,"6' 1""","6' 2""",165.0,"6' 7.75""","8' 2""",4.1,8.75,10.5,30.0,"10' 8""",34.0,"11' 0""",1.0,11.09,3.21,17
Solomon Hill,"6' 5.5""","6' 7""",226.0,"6' 9""","8' 7""",7.6,9.0,10.5,29.5,"11' 0.5""",37.5,"11' 8.5""",14.0,10.77,3.19,23
Peyton Siva,"5' 11.5""","6' 1""",181.0,"6' 3""","7' 9""",6.1,8.0,9.75,33.5,"10' 6.5""",41.5,"11' 2.5""",15.0,10.59,3.16,56
Trey Burke,"5' 11.75""","6' 1.25""",187.0,"6' 5.5""","8' 1.5""",6.9,8.25,8.75,29.5,"10' 7""",36.5,"11' 2""",3.0,11.2,3.16,9
Cody Zeller,"6' 10.75""","7' 0.25""",230.0,"6' 10.75""","8' 10""",4.8,8.5,10.5,35.5,"11' 9.5""",37.5,"11' 11.5""",17.0,10.82,3.15,4
Vander Blue,"6' 3.5""","6' 5.25""",197.0,"6' 6""","8' 4.5""",4.6,8.5,9.5,28.0,"10' 8.5""",37.5,"11' 6""",4.0,10.4,3.14,No
Phil Pressey,"5' 9.5""","5' 11.5""",177.0,"6' 2.25""","7' 8""",4.7,7.75,9.75,33.0,"10' 5""",38.5,"10' 10.5""",7.0,10.86,3.13,No
Kentavious Caldwell-Pope,"6' 4.5""","6' 5.5""",204.0,"6' 8""","8' 4.5""",6.5,8.5,9.0,29.0,"10' 9.5""",34.5,"11' 3""",7.0,10.6,3.12,8
C.J. Leslie,"6' 7.5""","6' 8.75""",209.0,"7' 2.25""","8' 8.5""",8.0,8.75,9.0,32.5,"11' 5""",40.5,"12' 1""", ,10.19,3.1,No
Shane Larkin,"5' 10.25""","5' 11.5""",171.0,"5' 10.75""","7' 5.5""",3.8,7.5,8.75,34.5,"10' 4""",44.0,"11' 1.5""",12.0,10.64,3.08,18
Jamaal Franklin,"6' 4""","6' 5.25""",191.0,"6' 11.25""","8' 7.5""",8.3,8.5,8.25, , , , , , , ,41
B.J. Young,"6' 2.25""","6' 3.5""",179.0,"6' 8.25""","8' 3""",4.7,8.5,9.5, , , , , , , ,No
Nate Wolters,"6' 3.5""","6' 4.75""",196.0,"6' 3.75""","8' 2""",5.5,8.25,8.75, , , , ,8.0, , ,38
Alex Len, , , ,"7' 3.5""", ,6.4,9.0,10.75, , , , , , , ,5
Richard Howell,"6' 6.25""","6' 7.5""",250.0,"6' 10.25""","8' 9.5""",8.8,8.75,9.5, , , , , , , ,No
Ryan Kelly,"6' 9.75""","6' 11.75""",228.0,"6' 11.5""","9' 2""",14.8,9.0,10.0, , , , , , , ,48
Pierre Jackson,"5' 9.5""","5' 10.5""",176.0,"5' 10""","7' 6""",4.5,7.5,8.25, , , , , , , ,42
Colton Iverson,"6' 10.5""","7' 0""",263.0,"7' 2""","9' 2""",9.6,9.25,9.5, , , , ,12.0, , ,53
Nerlens Noel,"6' 10""","6' 11.75""",206.0,"7' 3.75""","9' 2""",4.2,9.5,10.0, , , , , , , ,6
Erick Green,"6' 1.5""","6' 3""",178.0,"6' 5.75""","8' 2""",4.4,8.5,9.0, , , , ,5.0, , ,46
Seth Curry,"6' 1""","6' 3""",179.0,"6' 4""","8' 1.5""",9.6,8.0,8.25, , , , , , , ,No
Gorgui Dieng,"6' 9.75""","6' 10.75""",230.0,"7' 3.5""","9' 3.5""",5.4,9.0,10.0, , , , , , , ,21
