Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Chris Denorfia,CHI-N,4,2,0.5,1,0,0,0,0,0,0,0,0.75,0.5,1.25
Tommy Medica,SD,4,2,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Stephen Vogt,OAK,4,2,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Kolten Wong,STL,4,2,0.5,0,0,1,1,0,1,0,0,1.25,0.5,1.75
Zack Cozart,CIN,4,1,0.25,0,1,0,0,0,0,0,0,0.75,0.25,1.0
Josh Harrison,PIT,4,1,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0.5
Ryan Ludwick, ,4,1,0.25,1,0,0,1,0,1,0,0,0.5,0.25,0.75
John Mayberry,NY-N,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Yadier Molina,STL,4,1,0.25,1,0,0,0,0,0,0,0,0.5,0.25,0.75
Brandon Phillips,CIN,4,1,0.25,0,0,0,0,1,0,0,0,0.25,0.4,0.65
Buster Posey,SF,4,1,0.25,0,0,0,0,1,0,0,0,0.25,0.4,0.65
Brandon Belt,SF,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Billy Burns,OAK,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matt Carpenter,STL,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Travis d'Arnaud,NY-N,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Randal Grichuk,STL,4,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Juan Lagares,NY-N,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jeff Mathis,MIA,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Billy Butler,OAK,3,2,0.667,0,0,1,1,0,0,0,0,1.667,0.667,2.333
Chris Carter,HOU,3,2,0.667,1,0,0,2,0,1,1,0,1.0,0.667,1.667
Enrique Hernandez,LA,3,2,0.667,0,0,1,1,0,0,0,0,1.667,0.667,2.333
Jason Heyward,STL,3,2,0.667,0,0,0,0,0,1,0,0,0.667,0.667,1.333
Erik Kratz,PHI,3,2,0.667,1,0,0,0,0,0,0,0,1.0,0.667,1.667
Yasiel Puig,LA,3,2,0.667,0,0,0,0,0,0,0,0,0.667,0.667,1.333
Travis Snider,BAL,3,2,0.667,0,0,1,1,0,0,0,0,1.667,0.667,2.333
George Springer,HOU,3,2,0.667,0,0,0,0,0,0,0,0,0.667,0.667,1.333
Preston Tucker,HOU,3,2,0.667,1,0,1,3,0,0,1,0,2.0,0.667,2.667
Norichika Aoki,SF,3,1,0.333,0,0,0,1,0,0,0,0,0.333,0.333,0.667
Gregor Blanco,SF,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Alberto Callaspo,LA,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Yasmani Grandal,LA,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Jake Marisnick,HOU,3,1,0.333,0,0,0,0,0,2,0,0,0.333,0.333,0.667
Justin Maxwell,SF,3,1,0.333,0,0,0,0,0,2,0,0,0.333,0.333,0.667
Joe Panik,SF,3,1,0.333,1,0,0,0,0,0,0,0,0.667,0.333,1.0
Joc Pederson,LA,3,1,0.333,0,0,1,1,0,0,0,0,1.333,0.333,1.667
Anthony Recker,NY-N,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Josh Reddick,OAK,3,1,0.333,0,0,1,2,0,1,0,0,1.333,0.333,1.667
Mark Reynolds,STL,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Marcus Semien,OAK,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Eric Sogard,OAK,3,1,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Luis Valbuena,HOU,3,1,0.333,0,0,0,0,0,2,0,0,0.333,0.333,0.667
Jayson Werth,WAS,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Ryan Zimmerman,WAS,3,1,0.333,1,0,0,0,0,0,0,0,0.667,0.333,1.0
Justin Bour,MIA,3,0,0.0,0,0,0,0,1,1,0,0,0.0,0.25,0.25
Jason Castro,HOU,3,0,0.0,0,0,0,0,0,3,0,0,0.0,0.0,0.0
Kevin Frandsen,SF,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Freddy Galvis,PHI,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Ryan Howard,PHI,3,0,0.0,0,0,0,1,1,1,0,0,0.0,0.25,0.25
Brett Lawrie,OAK,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Russell Martin,TOR,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
David Peralta,AZ,3,0,0.0,0,0,0,0,3,0,2,0,0.0,0.5,0.5
Martin Prado,MIA,3,0,0.0,0,0,0,0,1,1,1,0,0.0,0.25,0.25
Anthony Rendon,WAS,3,0,0.0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
Darin Ruf,PHI,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Neftali Soto,CHI-A,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Denard Span,WAS,3,0,0.0,0,0,0,0,1,0,0,0,0.0,0.25,0.25
Ruben Tejada,NY-N,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Joey Votto,CIN,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Chris Young,NY-A,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Ben Zobrist,KC,3,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Everth Cabrera,SF,2,2,1.0,0,0,0,1,0,0,2,0,1.0,1.0,2.0
Ian Desmond,WAS,2,2,1.0,1,0,0,0,0,0,0,1,1.5,1.0,2.5
Matt Adams,STL,2,1,0.5,1,0,0,0,0,0,0,0,1.0,0.5,1.5
Erick Aybar,ANA,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Reid Brignac,MIA,2,1,0.5,0,1,0,2,0,1,0,0,1.5,0.5,2.0
Kole Calhoun,ANA,2,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5,1.0
Michael Choice,TEX,2,1,0.5,1,0,0,2,0,1,0,0,1.0,0.5,1.5
Marwin Gonzalez,HOU,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Jedd Gyorko,SD,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Bryce Harper,WAS,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Dilson Herrera,NY-N,2,1,0.5,0,0,1,2,0,0,1,0,2.0,0.5,2.5
Garrett Jones,NY-A,2,1,0.5,0,0,0,0,0,1,1,0,0.5,0.5,1.0
Matt Kemp,SD,2,1,0.5,0,0,0,1,0,1,0,0,0.5,0.5,1.0
Collin McHugh,HOU,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Jon Niese,NY-N,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Hunter Pence,SF,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Cameron Rupp,PHI,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Hector Sanchez,SF,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Donovan Solano,MIA,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Drew Stubbs,COL,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Mike Trout,ANA,2,1,0.5,1,0,0,2,0,0,0,0,1.0,0.5,1.5
Troy Tulowitzki,TOR,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Kyle Blanks,TEX,2,0,0.0,0,0,0,0,0,2,1,0,0.0,0.0,0.0
Xander Bogaerts,BOS,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jay Bruce,CIN,2,0,0.0,0,0,0,0,2,1,0,0,0.0,0.5,0.5
Ronny Cedeno,AZ,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Carlos Correa,HOU,2,0,0.0,0,0,0,0,1,0,0,0,0.0,0.333,0.333
Charlie Culberson,COL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Zack Greinke,LA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Chris Heisey,LA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Matt Holliday,STL,2,0,0.0,0,0,0,0,0,0,1,0,0.0,0.333,0.333
Ian Kennedy,SD,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Mat Latos,LA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Mike Leake,SF,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
DJ LeMahieu,COL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ed Lucas,TEX,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Starling Marte,PIT,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Jenrry Mejia,NY-N,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Devin Mesoraco,CIN,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Justin Morneau,COL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mike Morse,LA,2,0,0.0,0,0,0,0,1,0,0,0,0.0,0.333,0.333
Sean O'Sullivan,PHI,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
David Ortiz,BOS,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
A.J. Pierzynski,ATL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Wilin Rosario,COL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Juan Uribe,NY-N,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Chase Utley,PHI,2,0,0.0,0,0,0,0,1,0,0,0,0.0,0.333,0.333
Edinson Volquez,KC,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Neil Walker,PIT,2,0,0.0,0,0,0,0,2,0,1,0,0.0,0.5,0.5
Allen Webster,AZ,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Zack Wheeler,NY-N,2,0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
