GS,PPF,AB,oppSLG,SLG,NAME,YEAR,PA,AGE,VORP
23,97,537,0.383,0.421,Tom Koehler,2013,601,27,-4.2
30,103,657,0.385,0.307,Stephen Strasburg,2013,730,24,18.1
23,98,545,0.401,0.466,Jason Hammel,2013,611,30,-1.5
0,101,271,0.404,0.31,Tanner Scheppers,2013,302,26,7.0
34,101,857,0.402,0.369,James Shields,2013,946,31,26.0
32,102,798,0.393,0.363,Mat Latos,2013,881,25,31.6
31,105,832,0.394,0.368,Cliff Lee,2013,876,34,38.7
30,98,714,0.388,0.335,A.j. Burnett,2013,801,36,21.8
18,95,429,0.388,0.406,Ricky Nolasco,2013,468,30,5.1
0,100,357,0.394,0.359,Anthony Swarzak,2013,387,27,6.8
25,99,579,0.411,0.451,Jordan Lyles,2013,642,22,0.0
33,100,827,0.408,0.389,Jon Lester,2013,903,29,26.3
15,99,367,0.414,0.455,Luis Mendoza,2013,419,29,-0.7
10,107,320,0.395,0.388,Tom Gorzelanny,2013,356,30,4.9
31,99,720,0.386,0.307,Madison Bumgarner,2013,803,23,26.2
13,98,303,0.392,0.439,Jake Peavy,2013,324,32,3.1
20,97,432,0.391,0.426,Jason Marquis,2013,518,34,-18.9
31,104,702,0.386,0.436,Edwin Jackson,2013,777,29,3.8
31,112,627,0.389,0.445,Juan Nicasio,2013,703,26,13.1
30,98,723,0.382,0.361,Hyun-jin Ryu,2013,783,26,21.0
14,93,366,0.415,0.516,Brandon Maurer,2013,402,22,-2.5
15,104,338,0.389,0.367,Scott Feldman,2013,376,30,6.7
23,94,473,0.409,0.368,Chris Archer,2013,525,24,6.3
29,97,619,0.388,0.418,Scott Kazmir,2013,672,29,23.2
33,105,822,0.394,0.411,Jeff Samardzija,2013,914,28,25.4
34,101,854,0.408,0.422,R.a. Dickey,2013,943,38,10.0
17,102,370,0.396,0.516,Justin Grimm,2013,406,24,0.9
32,94,757,0.406,0.408,A.j. Griffin,2013,823,25,-2.7
29,100,613,0.405,0.431,Mike Pelfrey,2013,680,29,18.0
23,98,507,0.385,0.442,Jeremy Hefner,2013,556,27,1.2
29,97,703,0.404,0.312,Justin Masterson,2013,803,28,16.7
31,94,764,0.407,0.357,Felix Hernandez,2013,823,27,32.5
20,99,534,0.404,0.519,Dylan Axelrod,2013,586,27,-5.4
33,99,762,0.405,0.395,Jose Quintana,2013,832,24,25.0
29,100,581,0.407,0.492,Phil Hughes,2013,642,27,8.1
18,104,367,0.382,0.368,Tony Cingrani,2013,420,23,12.1
24,97,521,0.396,0.413,Zach Mcallister,2013,579,25,9.5
32,101,814,0.393,0.381,Doug Fister,2013,881,29,34.6
22,94,527,0.417,0.353,Alex Cobb,2013,578,25,10.4
31,100,734,0.401,0.462,Kevin Correia,2013,792,32,7.0
15,104,471,0.401,0.416,Carlos Villanueva,2013,524,29,3.3
0,104,341,0.385,0.346,Josh Collmenter,2013,384,27,16.2
