AVG,Team,SB,H,AB,G,R,3B,Player,POS
.294,BRE,17,30,102,30,11,1,J Davis,OF
.322,RAN,12,48,149,41,36,0,I Kiner-Falefa,2B
.236,ANG,3,43,182,50,21,2,T Johnson,1B
.258,ROY,4,23,89,30,12,0,C Cano,OF
.271,ANG,4,52,192,51,23,2,N Delgado,OF
.297,IND,3,51,172,44,32,5,C Frazier,CF
.262,ANG,3,11,42,23,7,0,P Pizarro,C
.272,DOD,4,31,114,36,17,0,J Cordero,1B
.167,CUB,0,1,6,2,0,0,K Bryant,3B
.238,DIA,1,25,105,28,12,3,Y Rosario,OF
.260,RED,1,45,173,45,17,0,K Franklin,3B
.310,MAR,2,31,100,28,12,3,T O'Neill,OF
.159,DIA,2,14,88,31,9,1,D Smith,OF
.307,GIA,13,31,101,34,22,1,C Paulino,OF
.178,DOD,3,16,90,31,13,4,R Torres,OF
.360,GIA,0,9,25,7,6,0,R Tuntland,3B
.000,PAD,0,0,5,2,1,0,E Minaya,RF
.260,BRE,6,33,127,37,16,1,E Williams,OF
.360,MAR,2,9,25,7,4,0,E Mejia,SS
.227,RED,0,17,75,23,10,1,A Guzman,1B
.333,IND,0,5,15,5,4,0,F Lora,RF
.000,RAN,0,0,4,1,0,0,R Duran,3B
.209,RED,8,34,163,41,11,0,A Chavez,1B
.000,DOD,0,0,4,1,0,0,D Papantonopoulos,C
.257,PAD,1,49,191,49,32,5,J Urena,OF
.224,PAD,0,24,107,33,10,2,J Ruiz,C
.284,MAR,5,42,148,42,23,4,C Scammell,1B
.154,GIA,0,2,13,4,0,0,R Melendez,C
.175,BRE,0,7,40,16,4,0,J Andrade,C
.167,RED,0,4,24,9,2,0,C Tromp,C
.288,ANG,13,45,156,48,28,3,Q Davis,LF
.125,MAR,2,4,32,15,5,3,R Michel,OF
.250,ATH,2,16,64,22,12,1,S Masik,OF
.241,RAN,4,39,162,42,14,4,T McDonald,OF
.244,ROY,6,19,78,25,15,1,L Davis,SS
.333,RED,1,6,18,5,4,1,R Bueno,SS
.315,RAN,0,17,54,14,5,0,E Pinto,RF
.225,GIA,0,27,120,32,18,0,J Jones,1B
.278,PAD,10,44,158,44,33,2,J VanMeter,SS
.286,BRE,21,46,161,45,37,5,B Diaz,OF
.409,ANG,6,27,66,20,19,2,M Fish,OF
.714,CUB,1,5,7,2,2,0,L Valbuena,3B
.167,DIA,4,26,156,43,16,0,D McFarland,OF
.299,DOD,3,23,77,22,11,0,J Henderson,LF
.286,PAD,0,2,7,2,3,0,E Charles,2B
.270,PAD,2,17,63,24,9,1,C Martinez,3B
.400,PAD,2,4,10,3,1,0,W Bernard,RF
.269,CUB,6,29,108,31,13,0,C Burks,OF
.077,CUB,0,1,13,5,1,0,J Vitters,3B
.333,ROY,1,6,18,6,2,0,T Ferguson,OF
.143,DOD,0,7,49,16,4,0,R Scott,C
.294,DOD,2,25,85,24,19,1,J McDonald,OF
.304,MAR,0,14,46,13,8,1,C Mack,OF
.209,CUB,0,18,86,30,10,0,W Petit,C
.286,CUB,0,4,14,4,4,0,R Sweeney,RF
.000,MAR,0,0,3,1,0,0,J Franco,1B
.133,ATH,0,4,30,11,2,0,I Akau,C
.282,BRE,15,48,170,45,23,3,F Castillo,2B
.300,MAR,0,6,20,6,1,0,G Pimentel,LF
.310,ANG,10,18,58,26,16,0,B Guenther,OF
.164,ROY,4,9,55,27,10,0,M Holloway,OF
.459,ROY,1,17,37,11,6,1,E Rincon,3B
.304,ANG,3,7,23,8,6,0,B Bayardi,OF
.212,ROY,3,25,118,36,10,2,R King,OF
.176,DOD,1,6,34,9,4,0,P Hoenecke,3B
.243,DIA,3,41,169,48,31,4,S Alcantara,SS
.148,ATH,0,4,27,10,6,0,S Kim,C
.111,CUB,1,1,9,3,1,0,J Hannemann,RF
.246,ROY,13,35,142,39,25,0,J Flores,SS
.272,GIA,2,34,125,37,27,0,C Massoni,RF
.218,IND,1,22,101,26,16,1,D McClure,OF
.333,DOD,0,9,27,7,5,1,S Wingo,2B
.266,RED,3,50,188,48,34,1,C Thompson,SS
.240,MAR,1,12,50,17,7,0,D Torres,C
.261,MAR,0,6,23,8,3,0,J Montero,DH
.221,PAD,0,15,68,19,8,0,R Valenzuela,C
