PTS,GP,Team,ESG,SDS,%FO,№,TOI/G,PIM
28,48,TOR,11,1,47.8,18,14:26,42
16,33,VIT,1,0,48.9,9,15:52,28
0,6,CSK,0,0,34.0,93,11:10,0
0,6,NKH,0,0,0.0,80,11:04,4
2,16,TOR,1,0,50.0,23,6:33,6
8,43,BAR,1,0,47.3,18,11:39,18
0,4,MNK,0,0,-,74,7:16,0
38,53,AKB,13,0,62.8,26,15:28,30
6,41,MMG,2,0,-,42,7:35,43
56,53,AKB,13,1,100.0,95,18:05,24
6,30,AVT,3,0,42.1,32,12:57,8
23,47,BAR,6,0,49.9,33,15:47,36
10,49,ATL SPR,6,0,25.0,15,10:32,74
19,51,SPR TRK,5,0,37.6,50,14:34,28
17,51,SKA,10,0,35.3,39,14:34,33
8,40,SAL,1,0,57.7,22,11:45,24
20,50,DRG,6,0,46.9,75,16:20,36
2,11,NKH,1,0,47.1,30,10:38,2
3,28,LOK,2,0,33.3,24,8:15,10
18,42,AKB,7,0,54.2,27,14:46,16
15,32,SAL,3,0,50.0,28,12:44,16
1,2,SEV,0,0,-,25,5:44,0
36,53,SKA,10,1,29.6,10,14:43,28
19,49,AKB UGR,5,2,16.7,9,14:48,20
9,48,VIT,3,0,52.5,52,14:34,42
17,54,ATL,3,0,59.4,23,14:04,34
4,20,DRG,1,0,38.7,37,11:03,8
18,45,MNK,7,0,45.7,79,16:36,8
29,54,UGR,9,1,40.3,11,16:35,30
32,53,LOK,10,0,25.0,11,14:54,31
33,49,CSK,9,2,33.3,27,19:14,32
8,13,BAR,2,0,56.2,19,13:24,16
1,18,CSK,1,0,0.0,97,7:33,2
0,4,SAL,0,0,-,98,8:16,0
12,31,SPR,1,1,42.9,13,11:06,8
0,8,MMG,0,0,44.7,99,6:05,2
29,46,VIT DYN,9,1,41.9,45,15:03,111
39,53,MMG,9,0,49.6,55,18:17,12
14,54,SEV,4,0,44.7,6,17:46,26
17,47,AMR,6,0,55.1,19,15:26,8
0,2,MNK,0,0,-,15,5:13,0
14,47,MNK,3,0,47.0,34,14:58,39
9,36,TRK,4,0,33.3,39,11:23,14
29,43,DMN,7,0,50.0,8,18:57,20
20,52,AVT UGR,8,0,35.9,25,18:18,51
0,3,SAL,0,0,-,9,9:33,0
23,53,SAL,9,0,48.3,24,13:22,14
22,52,SEV SKA,4,1,46.2,10,16:56,50
61,54,ATL,18,1,39.1,10,20:27,12
7,39,SEV,1,0,0.0,81,8:24,20
7,53,CSK,5,0,28.9,16,10:41,14
39,53,NKH,12,0,64.4,72,14:42,57
31,39,AVG,7,0,52.8,71,19:11,24
5,19,AVT,1,0,0.0,9,11:40,14
3,24,MNK,1,0,50.4,44,12:49,15
6,40,BAR,3,0,62.5,85,9:22,16
0,3,SPR,0,0,-,71,5:03,0
0,6,NKH,0,0,-,88,4:48,0
34,51,SEV,5,1,48.2,9,19:34,62
11,34,DYN,4,0,48.9,10,14:45,20
4,39,SIB,3,0,50.8,47,8:15,12
1,6,SAL,0,0,0.0,71,6:17,0
80,54,SAL,12,0,54.5,47,18:41,83
12,45,DYN,1,0,47.9,12,14:03,57
3,6,DYN,0,0,-,80,17:16,4
2,23,MNK,0,0,33.3,16,10:18,12
21,48,BAR,7,0,41.0,48,13:58,33
7,39,TOR,6,0,40.0,8,7:17,10
0,1,AVT,0,0,-,88,5:51,0
22,51,DYN,11,0,27.3,18,14:58,28
33,51,SKA,9,0,22.2,61,15:30,50
15,32,LOK,2,0,28.6,8,10:57,12
17,47,AMR TRK,3,0,51.9,14,14:54,12
17,24,ATL NKH,3,0,49.6,9,16:26,24
10,31,MMG SKA,5,1,-,83,8:17,8
6,29,DYN,4,0,100.0,25,9:57,16
41,54,DRG,12,0,46.1,19,16:07,30
19,48,MNK,4,0,54.6,13,17:43,26
23,54,TRK,7,0,39.9,9,14:41,30
41,53,SIB,8,0,37.3,10,15:38,30
30,40,ATL MMG NKH,9,3,53.7,19,12:38,105
61,51,AVG,18,1,51.0,10,19:28,56
7,18,MNK,2,0,0.0,91,10:32,8
24,54,DYN,7,0,53.8,19,13:28,14
3,32,ATL,1,1,55.7,18,15:19,10
3,15,AVT,1,0,41.7,23,10:58,2
16,28,DMN,3,1,57.1,17,17:08,58
4,26,DRG,1,0,-,87,7:18,2
21,54,TOR,6,0,51.9,24,14:40,18
0,0,AMR,0,0,-,41,-,0
12,42,CSK,3,0,16.7,42,10:40,12
37,40,AKB,14,0,57.1,25,16:05,18
4,29,MNK,2,0,23.1,5,12:29,18
16,48,SIB,5,0,48.6,19,15:41,44
5,18,UGR,3,0,49.1,48,11:41,6
17,53,VIT,7,0,30.8,26,14:06,32
0,0,AVG,0,0,-,13,-,0
35,53,SIB,6,0,0.0,8,16:28,62
40,44,SAL,13,1,47.2,27,15:38,30
3,14,DRG,2,0,40.0,23,8:08,2
16,54,TOR,2,0,48.9,15,16:08,10
37,51,NKH,6,1,50.0,33,17:01,31
12,54,AVT,5,0,38.5,80,17:21,40
7,17,AMR,3,0,50.0,27,13:53,4
2,12,VIT,0,0,-,42,8:35,6
29,34,ATL,2,0,48.6,14,16:09,50
4,18,DYN,1,0,33.3,27,9:18,16
2,8,NKH,1,0,55.0,19,15:39,8
14,54,SIB,1,0,37.9,50,15:03,56
0,2,SEV,0,0,-,77,5:38,0
3,16,TRK,1,0,29.1,8,9:07,14
0,1,SEV,0,0,-,69,3:24,0
5,34,TOR,3,0,43.5,58,11:50,18
32,44,TRK,9,0,36.2,92,14:12,30
0,17,LOK,0,0,0.0,72,6:06,4
8,38,AVT,3,0,44.5,82,15:07,37
45,40,BAR,13,0,50.0,27,21:10,36
32,54,DRG,6,0,35.5,43,17:40,64
8,19,AVG,3,0,-,14,12:41,14
1,24,AVG,0,0,23.1,40,6:04,0
0,2,BAR,0,0,-,32,6:52,0
5,32,DRG,2,0,45.7,18,9:02,8
33,52,SKA,6,1,64.4,19,15:35,50
25,44,MMG,7,0,33.3,22,16:06,44
6,42,SIB,0,1,28.6,17,14:22,18
20,52,DMN,9,2,20.0,19,14:19,24
23,51,UGR,5,1,55.7,24,15:39,32
7,38,VIT TRK,5,0,0.0,31,9:07,12
24,45,NKH,6,0,71.4,78,14:45,28
48,51,TOR,12,2,54.9,19,20:06,18
3,37,ATL,2,0,-,67,5:41,18
0,7,SIB,0,0,-,46,8:32,2
7,25,BAR TRK,2,0,46.2,17,12:12,14
1,21,DMN,1,0,0.0,29,7:27,4
20,47,NKH,6,0,54.2,71,15:26,31
66,54,SAL,22,1,55.4,41,17:48,30
29,54,MMG,10,3,66.7,23,14:18,20
40,51,ATL CSK,9,2,46.0,51,18:40,54
0,7,CSK,0,0,-,73,3:52,0
0,2,TRK,0,0,-,27,8:44,0
25,52,UGR,9,0,50.0,19,13:49,14
0,9,AMR,0,0,-,93,5:33,0
1,8,MNK,1,0,0.0,69,8:58,10
17,43,DYN,3,0,53.7,32,15:35,24
32,52,LOK,11,0,51.6,21,15:14,30
14,43,MNK NKH,3,0,42.9,10,15:36,28
20,49,SEV,5,0,47.1,13,13:34,26
29,53,VIT,9,0,49.7,36,17:38,69
21,40,VIT,2,1,66.7,72,12:52,8
21,49,AVG TRK,5,0,42.9,16,15:46,58
11,46,AVG,3,1,15.4,29,13:14,20
0,3,CSK,0,0,0.0,88,7:06,0
13,52,MNK,5,0,53.4,21,14:56,48
28,45,DMN,8,0,57.1,15,18:52,14
16,45,NKH SPR,4,0,46.3,95,13:07,34
1,11,TOR,0,0,50.0,39,7:17,2
18,52,UGR,5,0,47.3,18,16:21,24
1,18,AMR,1,0,100.0,16,8:56,4
1,14,DMN,0,0,39.3,88,9:55,7
7,38,VIT,1,0,54.3,13,14:52,30
36,49,AVG,11,0,48.7,19,16:07,22
37,53,LOK,10,0,54.8,12,15:32,38
22,52,AKB,6,0,100.0,34,12:25,16
27,54,MNK SPR,5,2,47.1,84,15:30,28
11,32,UGR,4,0,55.6,35,11:47,6
2,29,SKA,2,0,0.0,23,8:03,6
1,9,BAR,0,0,0.0,81,9:49,8
18,54,CSK,6,0,55.0,95,13:40,38
35,52,DMN,7,0,25.0,18,17:43,28
25,54,LOK,9,0,49.2,83,13:31,22
39,50,SKA,11,3,16.7,33,17:47,48
9,36,ATL SPR,3,0,45.0,29,11:37,16
0,5,SPR,0,0,-,89,4:25,0
7,44,AKB,1,2,46.8,67,13:09,32
4,16,TOR,1,0,16.7,25,7:50,2
31,51,AKB,10,0,28.6,18,15:16,12
1,7,MNK,1,0,-,65,7:58,4
50,54,SKA,18,0,44.4,80,16:10,42
2,17,TRK,1,1,71.4,94,11:01,6
22,53,DYN TRK,5,1,47.4,24,16:27,50
3,25,SPR TRK,1,0,40.0,75,9:51,10
19,49,UGR,6,0,42.6,14,13:14,34
21,39,UGR,6,0,20.0,82,14:23,18
10,33,AKB,3,0,24.0,81,10:34,6
