VORP,SLG,TEAM,G,oppTAv,OBP,PPF,AB,LG
10.0,0.458,PHI,21,0.256,0.292,97,530,NL
21.1,0.368,SLN,33,0.255,0.274,98,804,NL
13.2,0.385,TOR,10,0.268,0.315,105,148,AL
-1.9,0.376,BAL,14,0.264,0.345,106,125,AL
3.9,0.407,ATL,30,0.26,0.294,100,651,NL
9.8,0.296,DET,50,0.262,0.299,106,189,AL
2.9,0.441,LAN,10,0.258,0.336,96,227,NL
1.0,0.548,SFN,4,0.248,0.378,87,42,NL
-4.3,0.411,MIA,22,0.264,0.36,94,73,NL
1.4,0.31,ARI,12,0.265,0.289,100,42,NL
-3.6,0.468,PIT,9,0.259,0.344,93,203,NL
1.5,0.505,SDN,13,0.253,0.38,94,204,NL
2.8,0.373,HOU,44,0.26,0.331,102,118,NL
0.9,0.426,BOS,29,0.263,0.33,104,711,AL
15.2,0.299,TBA,54,0.256,0.271,95,254,AL
1.2,0.321,CHN,25,0.265,0.357,103,78,NL
5.7,0.44,HOU,25,0.259,0.332,101,570,NL
9.1,0.418,PIT,24,0.253,0.341,97,491,NL
5.0,0.403,MIA,25,0.258,0.326,98,258,NL
0.4,0.4,KCA,13,0.258,0.438,103,60,AL
0.9,0.304,ANA,12,0.274,0.333,91,23,AL
-2.0,0.824,NYN,4,0.241,0.389,94,17,NL
1.4,0.371,CHN,30,0.261,0.311,103,132,NL
15.5,0.406,TEX,32,0.259,0.309,103,813,AL
-4.0,0.451,TOR,13,0.264,0.363,106,268,AL
13.6,0.438,BOS,29,0.263,0.337,105,625,AL
-6.4,0.418,PIT,32,0.257,0.315,96,658,NL
-1.3,0.643,CLE,9,0.246,0.515,100,28,AL
-0.0,0.1,SFN,6,0.264,0.333,91,10,NL
8.5,0.288,CHA,51,0.261,0.273,106,170,AL
8.5,0.376,CLE,61,0.262,0.277,99,221,AL
0.1,0.0,NYN,1,0.213,0.0,93,2,NL
-2.5,0.7,COL,3,0.257,0.365,101,50,NL
-2.6,0.443,BOS,41,0.263,0.311,104,176,AL
-1.9,0.358,MIA,35,0.258,0.356,96,491,NL
3.6,0.178,CHA,24,0.259,0.184,109,45,AL
9.5,0.349,MIL,72,0.26,0.344,109,255,NL
-0.9,0.663,NYN,8,0.259,0.381,95,86,NL
2.1,0.462,CLE,26,0.257,0.358,101,132,AL
7.4,0.358,PHI,65,0.265,0.305,99,193,NL
0.1,0.471,OAK,6,0.256,0.5,87,17,AL
10.4,0.511,NYA,28,0.263,0.349,102,673,AL
10.9,0.261,OAK,71,0.266,0.256,95,253,AL
-2.2,0.75,TBA,5,0.244,0.409,98,20,AL
18.9,0.363,MIA,31,0.255,0.315,95,713,NL
-4.9,0.524,OAK,5,0.261,0.398,87,82,AL
0.7,0.41,DET,13,0.264,0.312,105,83,AL
6.5,0.283,MIL,6,0.264,0.318,107,99,NL
5.1,0.376,CHA,74,0.264,0.313,106,245,AL
31.2,0.389,MIL,23,0.257,0.305,109,493,NL
-5.1,0.535,PHI,35,0.26,0.348,100,129,NL
-0.4,0.445,CHA,9,0.26,0.345,103,209,AL
10.3,0.4,DET,12,0.261,0.314,105,295,AL
0.0,0.6,SFN,2,0.258,0.5,140,10,NL
-4.5,0.408,SLN,70,0.263,0.321,98,179,NL
-0.6,0.0,LAN,1,0.267,0.5,87,2,NL
1.7,0.333,PIT,17,0.265,0.281,93,54,NL
8.9,0.386,ATL,18,0.254,0.341,99,347,NL
-0.4,0.633,SLN,4,0.255,0.375,94,30,NL
19.2,0.383,TBA,33,0.266,0.295,95,869,AL
3.2,0.39,PHI,35,0.263,0.333,102,123,NL
-4.8,0.385,PIT,66,0.256,0.292,95,288,NL
-0.1,0.5,ARI,1,0.261,0.6,105,4,NL
0.7,0.388,CLE,34,0.263,0.348,99,788,AL
11.7,0.34,WAS,59,0.257,0.296,103,326,NL
6.0,0.275,PHI,32,0.264,0.29,98,109,NL
-1.2,0.515,OAK,26,0.262,0.357,96,103,AL
0.7,0.405,MIN,30,0.259,0.267,105,116,AL
-0.1,0.412,SFN,1,0.27,0.524,86,17,NL
-0.4,0.464,MIN,44,0.262,0.334,106,373,AL
13.0,0.357,TEX,66,0.264,0.273,105,238,AL
-2.0,0.579,ANA,3,0.269,0.4,86,19,AL
12.9,0.407,PHI,25,0.256,0.306,96,594,NL
39.5,0.377,PHI,31,0.254,0.285,100,802,NL
-0.1,0.427,LAN,10,0.261,0.344,93,218,NL
9.5,0.426,HOU,71,0.266,0.336,100,270,NL
0.9,0.357,PIT,4,0.264,0.438,96,14,NL
-1.3,0.54,ARI,9,0.263,0.37,106,187,NL
-7.4,0.561,HOU,5,0.258,0.403,99,98,NL
4.9,0.438,MIN,17,0.263,0.296,107,349,AL
5.4,0.288,TEX,37,0.263,0.178,104,125,AL
12.2,0.36,BAL,69,0.263,0.254,104,242,AL
-0.1,1.5,NYN,1,0.219,0.8,93,4,NL
9.2,0.367,WAS,70,0.263,0.307,100,221,NL
2.3,0.484,HOU,30,0.258,0.411,102,126,NL
4.8,0.324,SEA,33,0.264,0.303,90,111,AL
18.2,0.421,CIN,32,0.258,0.301,101,782,NL
-2.7,0.369,SDN,67,0.26,0.305,93,241,NL
6.8,0.357,TEX,58,0.26,0.259,104,241,AL
-6.4,0.444,ARI,6,0.261,0.341,100,117,NL
-1.5,0.852,HOU,6,0.269,0.563,108,27,NL
2.4,0.222,ANA,1,0.239,0.167,91,18,AL
8.2,0.374,KCA,7,0.267,0.297,105,139,AL
12.1,0.446,TOR,38,0.264,0.312,106,466,AL
19.3,0.41,LAN,25,0.255,0.315,91,575,NL
14.7,0.423,MIA,31,0.261,0.331,95,751,NL
-1.1,0.48,MIN,12,0.261,0.356,107,244,AL
-4.0,0.786,NYN,3,0.247,0.4,116,42,NL
10.4,0.414,CHN,77,0.26,0.314,99,263,NL
-0.1,0.473,SEA,26,0.265,0.317,93,598,AL
2.4,0.382,LAN,31,0.26,0.329,95,678,NL
-1.3,0.387,SFN,60,0.263,0.361,92,194,NL
-18.8,0.435,SDN,33,0.255,0.304,95,853,NL
0.3,0.364,MIL,6,0.261,0.316,110,33,NL
1.1,0.35,CIN,3,0.234,0.273,97,20,NL
7.2,0.389,TOR,27,0.26,0.304,105,108,AL
9.1,0.402,TBA,31,0.262,0.307,94,669,AL
0.6,0.591,DET,2,0.249,0.5,107,22,AL
-0.5,0.384,SDN,24,0.261,0.35,93,99,NL
-1.8,0.371,SDN,6,0.263,0.341,98,35,NL
4.8,0.392,MIN,22,0.263,0.338,105,372,AL
7.8,0.487,COL,11,0.248,0.374,119,230,NL
16.9,0.4,OAK,24,0.264,0.292,94,605,AL
-4.0,0.314,WAS,35,0.253,0.326,99,105,NL
1.9,0.427,HOU,6,0.257,0.298,101,96,NL
25.0,0.358,OAK,29,0.269,0.312,96,670,AL
-0.1,0.333,LAN,43,0.259,0.308,93,117,NL
3.0,0.55,TEX,5,0.256,0.385,109,60,AL
19.4,0.436,TEX,16,0.261,0.279,105,404,AL
-1.3,0.474,PHI,19,0.252,0.33,100,95,NL
14.1,0.346,DET,57,0.26,0.272,105,217,AL
5.1,0.398,WAS,45,0.256,0.32,101,269,NL
-1.0,0.519,SFN,8,0.262,0.286,98,27,NL
9.3,0.327,CIN,48,0.26,0.3,102,208,NL
-0.6,0.439,HOU,35,0.262,0.323,99,123,NL
-0.3,0.43,ANA,32,0.265,0.313,93,528,AL
-3.5,0.469,KCA,18,0.256,0.346,103,239,AL
-0.3,0.429,MIA,11,0.259,0.325,93,35,NL
-2.6,0.53,MIN,16,0.268,0.36,103,347,AL
-2.9,0.658,SLN,11,0.259,0.415,100,38,NL
-3.1,0.462,SDN,7,0.25,0.369,100,145,NL
4.4,0.502,COL,23,0.26,0.378,121,209,NL
-1.4,0.426,ARI,4,0.254,0.368,103,61,NL
-0.3,0.467,KCA,2,0.261,0.353,102,30,AL
5.1,0.376,ATL,66,0.266,0.363,98,226,NL
3.5,0.358,SFN,70,0.258,0.336,95,137,NL
10.6,0.424,BAL,32,0.263,0.305,103,743,AL
7.9,0.393,MIA,65,0.261,0.356,94,244,NL
-6.8,0.629,MIN,7,0.264,0.434,104,140,AL
-0.0,0.48,COL,23,0.253,0.374,116,396,NL
-1.3,0.6,BAL,6,0.258,0.357,99,25,AL
-1.9,0.404,ANA,48,0.266,0.331,97,161,AL
-1.6,0.761,COL,3,0.261,0.456,127,46,NL
7.1,0.39,NYA,80,0.261,0.328,103,205,AL
-6.8,0.44,TOR,32,0.261,0.381,105,703,AL
5.7,0.45,MIL,34,0.256,0.366,109,149,NL
0.6,0.326,LAN,66,0.259,0.35,96,267,NL
2.7,0.378,CIN,66,0.262,0.326,100,222,NL
20.5,0.412,CIN,33,0.256,0.306,99,804,NL
6.5,0.321,TEX,58,0.267,0.303,104,237,AL
-1.7,0.853,DET,6,0.263,0.487,109,34,AL
4.3,0.204,SLN,6,0.266,0.259,95,49,NL
-3.6,0.597,HOU,3,0.262,0.392,99,72,NL
9.1,0.434,ARI,28,0.253,0.308,104,348,NL
12.0,0.393,OAK,18,0.261,0.313,95,430,AL
1.2,0.217,ATL,2,0.257,0.25,98,23,NL
-0.1,0.5,BOS,2,0.271,0.273,111,10,AL
12.9,0.442,BOS,33,0.259,0.331,105,792,AL
3.8,0.305,CLE,72,0.26,0.289,100,249,AL
-1.4,0.571,TOR,5,0.273,0.455,106,28,AL
8.7,0.387,COL,53,0.262,0.33,120,300,NL
-1.8,0.311,OAK,19,0.271,0.348,94,74,AL
0.6,0.24,CHA,2,0.251,0.367,99,25,AL
-1.0,0.383,TBA,55,0.261,0.323,96,175,AL
7.9,0.432,DET,73,0.263,0.288,105,259,AL
3.5,0.477,NYA,22,0.26,0.358,105,86,AL
6.1,0.312,TBA,8,0.264,0.282,102,141,AL
-1.3,0.731,COL,2,0.264,0.485,118,26,NL
-1.1,0.393,CHN,18,0.257,0.301,101,382,NL
-3.9,0.547,CHN,17,0.258,0.415,103,106,NL
-1.8,0.398,PHI,22,0.26,0.327,100,88,NL
7.3,0.43,CHA,62,0.26,0.324,107,214,AL
0.7,0.538,SFN,26,0.259,0.374,101,80,NL
13.1,0.418,CHA,29,0.264,0.337,107,641,AL
1.1,0.365,CHN,21,0.262,0.355,100,74,NL
11.3,0.338,NYN,10,0.263,0.293,95,210,NL
14.5,0.423,DET,23,0.262,0.309,104,376,AL
-2.4,0.403,SEA,30,0.269,0.315,87,471,AL
2.9,0.278,LAN,68,0.271,0.281,93,252,NL
7.1,0.351,CHA,65,0.261,0.334,107,262,AL
3.8,0.326,BAL,34,0.265,0.329,107,138,AL
1.7,0.5,COL,27,0.261,0.366,119,162,NL
2.2,0.385,MIL,14,0.268,0.347,104,65,NL
0.7,0.222,BOS,4,0.267,0.323,106,27,AL
24.3,0.38,TBA,31,0.259,0.326,93,663,AL
2.4,0.362,SDN,32,0.259,0.344,94,679,NL
5.2,0.366,ANA,45,0.26,0.308,95,153,AL
-0.4,0.52,CHN,4,0.249,0.438,96,25,NL
-1.0,0.403,SDN,24,0.256,0.315,96,367,NL
6.8,0.284,BAL,71,0.26,0.272,105,250,AL
5.3,0.341,PIT,63,0.259,0.307,95,214,NL
3.1,0.347,BOS,25,0.263,0.337,106,72,AL
-2.1,0.593,MIA,8,0.264,0.304,91,54,NL
6.5,0.377,WAS,33,0.256,0.304,100,618,NL
3.3,0.197,SDN,26,0.273,0.224,96,61,NL
4.4,0.45,ATL,9,0.258,0.325,97,189,NL
3.0,0.367,NYN,73,0.262,0.25,95,215,NL
3.1,0.288,WAS,8,0.27,0.268,100,52,NL
10.4,0.338,WAS,74,0.265,0.283,100,269,NL
-0.8,0.579,BAL,5,0.255,0.381,110,19,AL
6.9,0.229,SDN,40,0.265,0.196,94,131,NL
-1.6,0.283,PIT,10,0.251,0.315,103,46,NL
7.8,0.369,CLE,44,0.263,0.288,100,198,AL
-0.4,0.487,OAK,7,0.27,0.316,95,152,AL
-3.6,0.563,DET,3,0.266,0.441,107,48,AL
5.7,0.292,BOS,53,0.266,0.296,102,144,AL
2.1,0.371,PIT,10,0.253,0.311,94,97,NL
1.2,0.392,PHI,17,0.256,0.304,99,51,NL
1.5,0.451,TOR,50,0.262,0.347,107,164,AL
-2.9,0.36,BOS,40,0.259,0.293,105,139,AL
18.7,0.429,BAL,1,0.255,0.375,109,7,AL
1.2,0.397,DET,12,0.26,0.38,101,63,AL
2.9,0.341,PIT,10,0.261,0.298,97,44,NL
-2.0,0.5,HOU,18,0.255,0.41,102,84,NL
-13.6,0.465,ANA,30,0.262,0.308,97,690,AL
0.8,0.136,LAN,11,0.28,0.269,93,22,NL
-2.1,0.515,CLE,18,0.254,0.333,101,99,AL
-4.9,0.512,KCA,12,0.263,0.425,102,215,AL
7.0,0.452,CLE,31,0.263,0.365,100,697,AL
-0.7,0.647,DET,3,0.259,0.436,109,51,AL
19.5,0.46,NYA,32,0.259,0.305,104,758,AL
41.6,0.409,DET,32,0.263,0.312,105,716,AL
4.7,0.485,KCA,16,0.261,0.368,100,355,AL
3.9,0.346,TOR,35,0.263,0.326,108,156,AL
0.3,0.496,CHA,26,0.257,0.349,104,409,AL
0.6,0.32,TEX,8,0.255,0.303,108,150,AL
3.1,0.38,ARI,40,0.255,0.292,104,163,NL
6.0,0.471,KCA,32,0.263,0.347,103,719,AL
-1.0,0.376,MIN,6,0.255,0.371,106,117,AL
-10.3,0.498,SEA,22,0.264,0.329,89,402,AL
-2.6,0.489,HOU,52,0.265,0.381,101,219,NL
19.5,0.406,NYA,33,0.261,0.299,102,822,AL
0.2,0.526,CHN,4,0.251,0.357,110,76,NL
-0.2,0.412,MIN,17,0.263,0.383,108,85,AL
28.4,0.392,SLN,32,0.256,0.309,99,758,NL
14.9,0.34,ANA,30,0.261,0.265,96,686,AL
12.2,0.274,LAN,65,0.262,0.23,94,226,NL
2.4,0.37,NYA,17,0.255,0.306,106,92,AL
-0.6,1.0,KCA,1,0.253,0.667,103,13,AL
15.6,0.324,CHN,16,0.258,0.263,99,386,NL
1.2,0.467,ANA,5,0.258,0.396,102,45,AL
4.0,0.215,LAN,28,0.272,0.296,91,93,NL
-0.9,0.339,CHN,12,0.265,0.343,103,56,NL
3.2,0.484,CLE,12,0.263,0.35,100,258,AL
1.2,0.395,SDN,11,0.251,0.375,96,43,NL
