Rdp,162WL%,dWAR,Name,Rbat,Tm,G
-0,.504,0.0,Rick Mahler,-3,ATL,38
0,.501,0.0,Ron Hodges*,1,NYM,64
0,.501,-0.1,Rob Deer,2,SFG,13
0,.500,0.0,George Frazier,-0,2TM,59
0,.503,-0.2,Terry Francona*,7,MON,58
-2,.491,-1.4,Keith Moreland,2,CHC,140
0,.501,0.0,Terry Forster*,1,ATL,25
0,.500,0.0,Mike Boddicker,0,BAL,35
0,.499,0.2,Benny Distefano*,-3,PIT,45
0,.500,0.1,Bill Caudill,-0,OAK,68
-0,.492,-1.1,Barry Bonnell,-1,SEA,110
0,.499,-0.0,Ron Johnson,-1,MON,5
-3,.506,-0.8,Brian Downing,20,CAL,156
0,.500,0.0,Rod Scurry*,-1,PIT,43
0,.501,0.0,Warren Brusstar,-0,CHC,41
-2,.498,0.4,German Rivera,-3,LAD,94
-1,.527,2.2,Chet Lemon,22,DET,141
0,.504,-0.5,Jerry Mumphrey#,9,HOU,151
2,.499,0.5,Damaso Garcia,-11,TOR,152
-0,.499,0.6,Darrell Porter*,-4,STL,127
0,.500,0.0,Fred Breining,-0,MON,4
-0,.498,-0.1,Tom O'Malley*,-6,2TM,25
0,.500,0.0,Jim Acker,0,TOR,32
0,.500,0.0,Ron Meridith*,0,CHC,3
2,.485,0.6,Larry Bowa#,-29,CHC,133
0,.500,0.0,Danny Jackson,0,KCR,15
-0,.501,-0.6,Phil Bradley,5,SEA,124
0,.500,0.0,Ed Nunez,0,SEA,37
-0,.495,-0.1,Broderick Perkins*,-7,CLE,58
0,.498,-0.3,Mike Jorgensen*,-3,2TM,90
1,.511,1.2,Bill Doran#,4,HOU,147
-0,.499,0.0,Jeff Robinson,-9,SFG,34
-1,.503,-1.5,Dave Kingman,19,OAK,147
0,.494,-0.5,Reid Nichols,-6,BOS,74
0,.502,0.1,Bill Dawley,1,HOU,60
0,.500,0.1,Mike LaValliere*,-1,PHI,6
0,.501,0.4,Steve Lake,-3,CHC,25
-1,.498,-0.5,Chris Brown,3,SFG,23
0,.500,0.0,Luis DeLeon,-1,SDP,32
0,.500,0.0,Bert Blyleven,0,CLE,33
0,.490,-0.3,Jim Gantner*,-11,MIL,153
0,.500,0.0,Charlie Mitchell,0,BOS,10
0,.495,0.7,Luis Salazar,-11,SDP,93
-1,.496,0.2,Milt May*,-7,PIT,50
0,.500,0.0,Jamie Easterly*,0,CLE,26
0,.490,-0.3,Rudy Law*,-13,CHW,136
0,.500,0.0,Mark Huismann,0,KCR,38
0,.500,0.0,Stew Cliburn,0,CAL,1
1,.492,1.0,Bob Kearney,-20,SEA,133
-0,.501,0.0,Bob Forsch,-1,STL,16
0,.499,0.0,Craig McMurtry,-9,ATL,40
0,.506,-0.8,Ken Phelps*,18,SEA,101
0,.500,0.0,Joe Cowley,0,NYY,16
-1,.491,-0.5,Charlie Moore,-7,MIL,70
-0,.499,-0.1,Rick Leach*,0,TOR,65
-0,.499,0.0,Orlando Sanchez*,-2,2TM,14
1,.496,-0.2,Mike Davis*,-5,OAK,134
-0,.511,-0.2,Bob Brenly,21,SFG,145
-0,.500,0.1,Tom Hume,-3,CIN,54
0,.501,0.0,John Denny,-6,PHI,22
-0,.500,0.0,Mike Scott,-7,HOU,31
-0,.508,0.0,Rick Rhoden,1,PIT,35
0,.500,0.0,Jay Howell,0,NYY,61
1,.493,-1.2,Ron Kittle,2,CHW,139
0,.497,-0.2,Al Chambers*,-3,SEA,22
0,.525,-0.4,Rickey Henderson,34,OAK,142
2,.492,1.1,Rafael Ramirez,-21,ATL,145
-0,.504,0.2,Greg Brock*,2,LAD,88
0,.500,0.0,Steve Comer#,0,CLE,22
0,.500,0.0,Bryan Clark*,0,TOR,20
1,.488,-0.7,Ray Knight,-15,2TM,115
-0,.500,-0.0,Dan Meyer*,1,OAK,20
1,.507,0.1,Rance Mulliniks*,10,TOR,125
 , , ,Nelson Simmons#, , , 
-1,.507,-1.3,Don Baylor,23,NYY,134
0,.500,0.1,Dan Quisenberry,0,KCR,72
0,.500,0.0,Jim Pankovits,0,HOU,53
0,.499,0.1,Frank DiPino*,-2,HOU,57
-0,.500,0.0,Rick Honeycutt*,-9,LAD,29
0,.503,0.1,Don Robinson,0,PIT,53
0,.500,0.0,Bill Scherrer*,-1,2TM,54
-1,.494,0.4,Terry Harper,-11,ATL,40
-2,.496,0.3,Dave Engle,-8,MIN,109
0,.500,0.0,Neal Heaton*,0,CLE,38
0,.496,-0.9,Steve Henderson,4,SEA,109
1,.512,0.1,Carney Lansford,16,OAK,151
-1,.496,-0.8,Larry Herndon,3,DET,125
-0,.497,-0.2,Joe Lefebvre*,-1,PHI,52
0,.500,0.0,Dennis Lamp,0,TOR,56
0,.502,0.6,Bill Lyons,-3,STL,46
0,.480,-1.1,Dave Concepcion,-18,CIN,154
0,.499,0.0,Mark Calvert,-2,SFG,10
-0,.498,0.5,Darrell Brown#,-8,MIN,95
-0,.495,0.1,Junior Ortiz,-8,NYM,40
-0,.496,0.0,Randy Ready,-6,MIL,37
-0,.501,0.5,Fran Mullins,-3,SFG,57
-0,.498,-0.6,Darrell Evans*,3,DET,131
0,.498,0.0,Bill Laskey,-12,SFG,35
-3,.489,-2.3,Al Oliver*,3,2TM,119
-0,.507,1.3,Glenn Hubbard,-1,ATL,120
-1,.504,0.1,Tom Brunansky,8,MIN,155
0,.500,0.0,Bob Shirley,0,NYY,41
0,.500,-0.1,Willie Lozado,2,MIL,43
0,.500,0.7,Jerry Dybzinski,-6,CHW,94
0,.511,-0.7,Leon Durham*,20,CHC,137
0,.500,0.0,Jack Morris,0,DET,35
-0,.496,0.4,Rob Picciolo,-10,CAL,87
0,.500,0.0,Dan Petry,0,DET,35
0,.500,0.0,Karl Best,0,SEA,5
-0,.500,0.0,Junior Noboa,-0,CLE,23
0,.502,0.1,Jesse Orosco,1,NYM,60
0,.498,-0.1,Jeff Moronko,-1,CLE,7
0,.513,1.4,Carmelo Martinez,6,SDP,149
0,.492,-0.5,Pat Putnam*,-18,2TM,78
0,.500,0.0,Jerry Augustine*,0,MIL,4
0,.500,0.0,Rollie Fingers,0,MIL,33
-1,.498,-0.2,Tom Lawless,-4,2TM,54
0,.500,0.1,Bill Campbell,-0,PHI,57
0,.500,-0.1,Rod Allen,1,DET,15
0,.500,0.0,Bret Saberhagen,0,KCR,39
0,.500,0.0,Bud Black*,0,KCR,35
-0,.526,-0.2,Don Mattingly*,43,NYY,153
0,.500,0.0,John Pacella,0,BAL,6
-0,.496,-0.5,Lee Mazzilli#,-2,PIT,111
0,.500,0.1,Ernie Camacho,0,CLE,69
-0,.499,0.0,Rich Bordi,-4,CHC,31
0,.501,0.0,Bruce Berenyi,-6,2TM,32
2,.505,-0.0,Jack Perconte*,2,SEA,155
0,.500,0.0,Sid Fernandez*,-4,NYM,15
0,.501,-0.1,Mike Laga*,2,DET,9
-0,.502,0.0,Rick Reuschel,-1,CHC,20
0,.500,0.0,Ken Dayley*,0,2TM,8
0,.500,0.0,Ray Searage*,0,MIL,21
-2,.492,1.0,Mike Fitzgerald,-16,NYM,112
-1,.496,0.2,Denny Gonzalez,-7,PIT,26
0,.499,0.0,Steve Bedrosian,-3,ATL,40
0,.501,-0.0,Kevin Buckley,1,TEX,5
0,.500,0.0,Dave Rozema,0,DET,29
-1,.499,-1.2,Cesar Cedeno,6,CIN,110
0,.500,0.0,Doyle Alexander,0,TOR,36
-1,.499,0.0,Dan Ford,-2,BAL,25
0,.500,0.0,Ron Davis,0,MIN,64
1,.502,-0.5,Carmelo Castillo,7,CLE,87
0,.496,-0.0,Daryl Sconiers*,-5,CAL,57
0,.502,0.1,John Moses#,1,SEA,19
0,.499,0.0,Ron Robinson,-2,CIN,12
0,.500,0.0,LaMarr Hoyt,0,CHW,35
1,.507,2.5,Gary Gaetti,-14,MIN,162
0,.501,0.0,Tug McGraw,1,PHI,25
-1,.501,-0.3,George Foster,5,NYM,146
0,.500,0.0,Jose Roman,0,CLE,3
1,.499,-0.2,Glenn Davis,-1,HOU,18
0,.500,0.0,Jeff Jones,0,OAK,13
0,.499,-0.0,Kevin Mitchell,-1,NYM,7
0,.498,0.1,Skeeter Barnes,-4,CIN,32
-0,.495,-1.2,Gary Redus,-2,CIN,123
-0,.499,0.0,Ron Darling,-10,NYM,39
0,.499,0.5,Jim Anderson,-7,TEX,39
0,.500,0.0,Phil Niekro,0,NYY,32
-0,.497,-0.6,Barbaro Garbey,3,DET,110
0,.508,0.4,Wayne Gross*,8,BAL,127
-0,.500,-0.0,Fred Manrique,-0,TOR,10
-1,.493,0.5,Jerry Royster,-13,ATL,81
-4,.501,-0.0,Jim Rice,6,BOS,159
1,.496,-0.7,Mickey Rivers*,-0,TEX,102
0,.500,0.1,Wade Rowdon,-0,CIN,4
-0,.494,-0.2,Glenn Hoffman,-7,BOS,64
-0,.486,-0.8,Darnell Coles,-14,SEA,48
0,.502,0.0,Orel Hershiser,-4,LAD,45
0,.500,0.0,Jeff Russell,-8,CIN,34
0,.492,-0.7,Mark Brouhard,-5,MIL,66
0,.500,0.0,Dave Righetti*,0,NYY,64
-0,.499,0.0,Len Barker,-7,ATL,21
0,.499,0.8,Buck Martinez,-7,TOR,102
0,.500,0.0,Tom Brennan,0,CHW,4
0,.501,-0.2,Rick Schu,3,PHI,17
0,.490,0.8,Dick Schofield,-23,CAL,140
0,.500,0.0,Joe Niekro,-12,HOU,38
1,.504,0.7,Henry Cotto,-2,CHC,105
-0,.497,-0.4,Randy Gomez,-1,SFG,14
0,.500,0.1,Kevin Rhomberg,-1,CLE,13
0,.500,0.0,Jeff Calhoun*,0,HOU,9
0,.488,-0.3,Donnie Scott#,-15,TEX,81
-1,.501,1.1,Ron Gardenhire,-8,NYM,74
0,.499,-0.3,Victor Mata,2,NYY,30
0,.500,0.0,Mark Ross,0,HOU,2
-1,.520,-0.3,Chili Davis#,33,SFG,137
0,.500,0.0,Ken Schrom,0,MIN,25
0,.496,-0.1,Alan Knicely,-5,CIN,10
0,.500,0.0,Rick Lysander,0,MIN,36
0,.501,0.1,Joe Nolan*,1,BAL,35
0,.500,0.0,Danny Darwin,0,TEX,35
0,.500,0.0,Casey Parsons*,-0,CHW,1
1,.482,-0.4,Johnnie LeMaster,-24,SFG,132
0,.501,-0.3,Joe Carter,5,CLE,66
-2,.499,-1.4,Larry Parrish,14,TEX,156
0,.500,0.0,Jeff Cornell#,-1,SFG,23
0,.500,0.0,Ken Howell,-2,LAD,32
0,.500,0.0,Chuck Porter,0,MIL,17
0,.500,0.0,Gorman Heimueller*,0,OAK,6
-2,.505,1.1,Lance Parrish,-1,DET,147
-0,.506,0.7,Jim Essian,4,OAK,63
-2,.488,-1.1,Greg Luzinski,-7,CHW,125
-0,.500,0.1,Gene Garber,-2,ATL,62
1,.497,-0.3,Toby Harrah,-3,NYY,88
1,.498,-0.2,Alan Ashby#,-1,HOU,66
0,.500,0.0,Doug Corbett,0,CAL,45
0,.500,0.0,Tom Henke,0,TEX,25
1,.496,-0.1,Alejandro Sanchez,-4,SFG,13
1,.502,-0.1,Doug Loman*,4,MIL,23
-1,.497,-1.5,Steve Kemp*,10,NYY,94
0,.500,0.0,Vern Ruhle,-2,HOU,40
0,.500,0.0,Salome Barojas,0,2TM,43
0,.499,0.0,Rick Ownbey,-2,STL,5
-1,.509,0.8,George Brett*,7,KCR,104
0,.499,0.0,Frank Pastore,-5,CIN,24
0,.500,0.0,Alvaro Espinoza,0,MIN,1
1,.498,0.1,Paul Molitor,-4,MIL,13
0,.500,0.0,Tippy Martinez*,0,BAL,55
0,.496,-0.1,David Green,-2,STL,126
0,.500,0.0,Jim Dorsey,0,BOS,2
-0,.485,-1.2,Nick Esasky,-9,CIN,113
0,.499,-0.0,Ross Jones,-1,NYM,17
0,.500,0.0,Tom Burgmeier*,0,OAK,17
0,.499,0.0,Chuck Rainey,-6,2TM,33
-0,.499,0.2,Brian Harper,-3,PIT,46
