FOW,FO,S/G,Player,TOI/G,№,PPG
24,68,1.9,Zakiyev Radik,14:53,10,4
15,40,2.5,Subbotin Andrei,17:22,16,8
325,630,1.0,Brylin Sergei,13:42,18,0
0,3,1.3,Trunyov Maxim,8:24,81,0
189,461,2.3,Starchenko Roman,13:58,48,2
7,14,1.6,Simakov Alexei,15:05,14,1
202,378,1.5,Kvasha Oleg,10:41,10,0
5,7,1.5,Hyvonen Hannes,11:01,94,1
72,133,1.3,Sirokovs Aleksejs,15:58,17,0
0,5,1.0,Velichkin Igor,9:07,31,0
119,223,1.7,Dudarev Dmitry,14:56,21,1
3,8,1.2,Vasilyev Alexander,9:57,38,2
2,3,0.9,Belousov Georgy,8:54,25,0
1,6,3.0,Sushinsky Maxim,17:47,33,5
11,25,1.0,Simonov Sergei,10:32,62,0
0,0,-,Pavlinov Alexander,2:50,71,0
0,0,1.5,Svatos Marek,12:41,14,0
10,21,2.8,Komarov Leo,16:25,87,7
475,876,2.8,Kontiola Petri,17:04,47,7
0,0,0.3,Alshevsky Yaroslav,4:48,88,0
0,1,1.7,Bernikov Ruslan,8:25,80,0
218,566,2.0,Shepelenko Andrei,17:21,80,0
297,567,1.0,Stastny Yan,14:37,25,1
0,0,0.5,Nazarov Yury,7:16,74,0
2,13,1.4,Averin Yegor,13:14,29,0
90,168,1.0,Malyshev Anton,8:58,35,0
302,514,1.8,Svitov Alexander,14:28,15,2
1,3,2.1,Parshin Denis,19:14,27,7
37,89,0.4,Korotkov Evgeny,5:25,19,0
121,241,2.4,Rolinek Tomas,16:46,60,3
250,546,1.7,Khasanshin Ruslan,15:19,33,3
316,750,1.5,Nikulin Alexander,15:18,24,1
1,2,1.8,Makarov Konstantin,13:53,27,1
8,23,1.4,Knyazev Kirill,13:53,83,3
22,41,1.2,Kudashov Alexei,15:35,32,1
0,0,1.0,Ermolayev Vadim,6:52,32,0
459,894,1.3,Yakubov Mikhail,16:32,75,1
114,224,1.1,Viinanen Mika,14:46,19,1
29,55,2.0,Nurtdinov Ruslan,13:58,34,2
23,49,2.7,Irgl Zbynek,17:19,24,5
94,146,2.6,Konkov Sergei,14:42,72,6
7,12,2.0,Chernikov Alexander,16:27,37,7
4,9,2.6,Weinhandl Mattias,16:10,80,3
226,479,1.1,Rybakov Alexander,11:30,64,2
0,0,0.4,Gladskikh Evgeny,8:00,32,0
2,6,2.2,Afanasenkov Dmitry,14:44,25,2
0,1,0.8,Mitryakov Vadim,8:58,69,0
1,3,2.4,Rudenko Konstantin,12:55,34,1
0,0,1.6,Butsayev Yury,8:32,46,0
114,276,1.2,Romanov Alexander,14:57,48,1
239,479,2.0,Shipachyov Vadim,17:44,87,4
0,2,1.4,Abdullin Denis,10:07,88,0
24,46,1.3,Mikhalyov Andrei,14:57,10,1
3,10,2.9,Ketov Evgeny,15:46,40,0
109,304,1.9,Sitnikov Vitaly,18:18,25,4
341,701,1.0,Zavarukhin Alexei,15:41,19,0
5,12,1.1,Streltsov Alexander,10:58,23,0
12,43,1.3,Plotnikov Sergei,12:52,61,3
0,0,1.1,Pankov Alexander,8:22,74,0
14,33,1.6,Nizivijs Aleksandrs,17:13,17,7
400,758,1.8,Kalyuzhny Alexei,19:11,71,7
6,13,1.4,Alexandrov Viktor,12:12,17,2
146,298,2.0,Nepryayev Ivan,16:37,13,0
0,0,0.5,Larin Ivan,1:57,43,0
243,545,2.0,Boikov Alexander,13:58,27,1
0,0,0.3,Dvurechensky Nikita,5:54,69,0
1,5,3.5,Platonov Denis,17:14,39,4
0,0,0.4,Lyubimov Roman,3:52,73,0
305,563,1.0,Tereshchenko Alexei,14:46,27,0
2,10,1.3,Tkachenko Ivan,13:40,17,0
1,1,2.4,Morozov Alexei,18:05,95,7
137,238,1.7,Corso Daniel,18:28,14,1
2,9,1.4,Savchenko Filipp,13:50,91,0
465,938,1.4,Kaigorodov Alexei,18:17,55,1
