SF,SLG,AVG,OBP,H,RBI,G
0,.750,.500,0.714,2,0,3
1,.351,.169,0.244,13,8,27
0,.291,.182,0.25,10,2,19
0,.283,.226,0.349,12,7,21
0,.226,.194,0.279,18,2,32
0,.235,.235,0.316,4,0,5
0,.929,.286,0.375,4,5,5
0,.344,.210,0.275,33,12,50
0,.387,.204,0.314,28,18,46
1,.272,.198,0.25,16,5,24
2,.455,.260,0.306,20,12,26
1,.508,.288,0.388,34,28,37
0,.350,.225,0.326,9,5,19
0,.346,.231,0.286,6,1,9
0,.667,.667,0.667,2,0,1
2,.398,.262,0.391,27,14,32
0,.135,.135,0.179,5,0,16
0,.214,.143,0.333,4,2,9
0,.462,.385,0.467,5,1,4
0,.216,.162,0.225,6,6,10
1,.261,.174,0.2,4,3,7
4,.402,.336,0.37,36,12,34
0,.222,.185,0.29,20,7,34
1,.358,.226,0.283,36,15,50
0,.208,.125,0.222,3,2,9
0,.462,.280,0.372,40,16,43
0,.485,.333,0.405,11,7,9
3,.356,.287,0.375,29,9,31
2,.485,.250,0.325,34,24,41
1,.250,.205,0.308,9,6,15
1,.260,.220,0.31,11,2,18
0,.404,.298,0.411,14,8,16
1,.417,.291,0.372,37,16,37
4,.356,.306,0.354,49,12,45
0,.520,.317,0.4,39,23,40
1,.255,.193,0.253,28,20,38
0,.286,.286,0.375,4,0,5
0,.867,.400,0.4,6,5,6
0,.389,.271,0.356,39,18,43
2,.438,.333,0.439,54,25,50
0,.357,.357,0.471,5,2,4
0,.304,.174,0.345,4,1,8
0,.100,.100,0.182,8,1,29
1,.224,.197,0.253,15,7,27
1,.269,.192,0.371,5,4,11
0,.667,.556,0.6,5,0,3
1,.081,.081,0.149,7,6,26
0,.100,.100,0.182,1,0,3
0,.605,.316,0.395,12,4,13
5,.486,.313,0.377,67,39,55
3,.280,.213,0.297,32,16,40
0,.378,.324,0.405,12,2,12
1,.392,.257,0.288,38,15,45
1,.179,.154,0.261,6,2,24
2,.267,.198,0.264,23,7,35
0,.563,.438,0.5,7,0,5
0,.272,.232,0.329,29,7,43
0,.313,.188,0.316,3,0,9
1,.227,.160,0.21,12,11,26
0,.900,.500,0.583,5,0,3
0,.345,.282,0.307,31,5,31
2,.291,.200,0.28,33,14,49
3,.273,.227,0.333,25,6,34
0,.309,.259,0.322,36,19,41
0,.947,.316,0.316,6,6,5
0,.218,.139,0.237,14,6,41
1,.384,.254,0.399,35,20,42
0,.103,.103,0.188,3,0,10
0,.154,.154,0.29,4,0,8
0,.273,.250,0.313,22,5,30
0,.273,.182,0.25,2,1,4
0,.387,.290,0.389,18,10,17
2,.255,.216,0.261,22,7,30
2,.381,.247,0.33,24,13,31
0,.217,.174,0.24,4,0,7
2,.261,.188,0.293,13,9,23
0,.000,.000,0.263,0,0,5
0,.277,.202,0.286,19,2,38
1,.197,.141,0.235,10,7,26
0,.484,.317,0.386,40,19,37
0,.341,.268,0.302,11,5,13
0,.227,.136,0.208,3,2,11
0,.545,.364,0.432,12,7,10
0,.158,.158,0.2,3,2,7
0,.317,.244,0.34,20,7,27
0,.429,.286,0.5,2,1,3
0,.400,.200,0.333,1,0,1
1,.229,.208,0.291,10,5,26
1,.415,.244,0.347,10,6,12
3,.313,.267,0.351,40,18,41
2,.299,.215,0.277,23,10,31
1,.218,.179,0.235,14,7,27
2,.491,.340,0.345,36,19,31
0,.150,.150,0.414,3,4,13
0,.278,.236,0.353,17,6,24
1,.396,.226,0.382,12,11,23
0,.192,.173,0.306,9,2,19
1,.323,.194,0.378,12,6,22
0,.413,.307,0.373,23,11,22
1,.252,.205,0.287,26,18,47
0,.172,.172,0.274,11,7,27
0,.133,.133,0.278,2,0,6
0,.667,.667,0.833,2,1,2
2,.333,.229,0.278,24,12,36
0,.333,.333,0.333,3,3,3
1,.287,.230,0.292,20,6,30
1,.492,.254,0.304,16,10,29
0,.281,.238,0.341,38,9,47
2,.372,.277,0.364,26,14,31
0,.127,.109,0.183,6,2,20
0,.024,.024,0.07,1,0,18
0,.464,.214,0.29,6,6,8
4,.279,.224,0.267,37,17,49
0,.378,.297,0.418,33,10,38
0,.174,.174,0.208,4,0,6
0,.298,.193,0.27,11,1,22
0,.370,.260,0.308,19,7,24
1,.338,.230,0.285,32,19,36
