Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
4/27/2013,SJ @ CHV,T 2-2,Started,90,0,1,0,0,0,1,0,0
4/21/2013,POR @ SJ,T 1-1,Started,90,0,0,1,0,1,1,0,0
4/14/2013,SJ @ POR,L 0-1,Subbed On,27,0,0,0,0,0,0,0,0
4/6/2013,VAN @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/30/2013,SJ @ HOU,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/23/2013,SEA @ SJ,W 0-1,Started,90,0,0,1,0,0,0,0,0
3/16/2013,SJ @ CLB,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/10/2013,NY @ SJ,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/3/2013,RSL @ SJ,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/22/2011,DAL @ SJ,W 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
10/15/2011,SJ @ SEA,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/8/2011,SJ @ NE,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/1/2011,KC @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/24/2011,SJ @ COL,T 1-1,Started,30,0,0,0,0,0,0,0,0
9/21/2011,SJ @ POR,T 1-1,Started,90,0,0,2,0,0,0,0,0
9/17/2011,SJ @ HOU,L 1-2,Started,90,0,0,0,0,4,2,1,0
9/10/2011,CHI @ SJ,W 0-2,Subbed On,29,0,0,0,0,0,1,0,0
8/27/2011,SJ @ TOR,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/20/2011,SJ @ LA,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/13/2011,COL @ SJ,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/6/2011,POR @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/30/2011,DC @ SJ,L 2-0,Started,90,0,0,1,0,1,0,0,0
7/23/2011,SJ @ RSL,L 0-4,Started,54,0,0,0,0,0,0,0,0
7/20/2011,VAN @ SJ,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/16/2011,SJ @ CLB,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/9/2011,TOR @ HOU,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/6/2011,TOR @ NY,L 0-5,Unused Sub,0,0,0,0,0,0,0,0,0
6/29/2011,VAN @ TOR,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/25/2011,TOR @ RSL,L 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/18/2011,SEA @ TOR,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/15/2011,TOR @ NE,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/11/2011,TOR @ LA,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/4/2011,KC @ TOR,T 0-0,Started,89,0,0,0,0,1,2,0,0
5/28/2011,PHI @ TOR,L 6-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/22/2011,TOR @ COL,T 0-0,Subbed On,6,0,0,0,0,0,0,0,0
5/14/2011,CHI @ TOR,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/11/2011,TOR @ DAL,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/7/2011,HOU @ TOR,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/30/2011,TOR @ SEA,L 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
4/23/2011,CLB @ TOR,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/16/2011,DC @ TOR,L 3-0,Subbed On,78,0,0,2,0,0,0,0,0
4/13/2011,LA @ TOR,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/9/2011,TOR @ SJ,T 1-1,Started,45,0,0,0,0,1,0,1,0
4/2/2011,CHV @ TOR,T 1-1,Started,65,0,0,0,0,0,1,0,0
3/26/2011,POR @ TOR,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/19/2011,TOR @ VAN,L 2-4,Started,90,0,0,0,0,1,3,0,0
10/23/2010,TOR @ DC,W 3-2,Started,90,0,0,0,0,0,1,0,0
10/16/2010,CLB @ TOR,T 2-2,Started,90,0,0,2,0,2,1,0,0
10/9/2010,TOR @ CHV,L 0-3,Started,90,0,0,0,0,1,0,0,0
10/2/2010,TOR @ SEA,L 2-3,Started,45,0,0,0,0,0,0,0,0
9/25/2010,SJ @ TOR,L 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/18/2010,TOR @ HOU,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/11/2010,DC @ TOR,L 1-0,Started,90,0,0,0,0,0,0,0,0
9/8/2010,TOR @ CHI,T 0-0,Started,90,0,0,0,0,1,0,0,0
9/4/2010,TOR @ DAL,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/28/2010,RSL @ TOR,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/21/2010,NY @ TOR,L 4-1,Started,60,0,0,1,0,0,1,0,1
8/11/2010,TOR @ NY,L 0-1,Started,90,0,0,0,0,1,0,0,0
8/7/2010,CHV @ TOR,W 1-2,Started,90,1,0,1,1,0,1,0,0
7/31/2010,TOR @ KC,L 0-1,Started,90,0,0,0,0,2,2,0,0
7/24/2010,DAL @ TOR,T 1-1,Subbed On,23,0,0,1,0,0,0,0,0
7/17/2010,TOR @ PHI,L 1-2,Started,90,0,0,0,0,2,3,0,0
7/10/2010,COL @ TOR,W 0-1,Started,90,0,0,0,0,0,0,0,0
7/1/2010,HOU @ TOR,T 1-1,Started,90,0,0,0,0,1,0,1,0
6/26/2010,LA @ TOR,T 0-0,Started,90,0,0,0,0,0,1,0,0
6/5/2010,KC @ TOR,T 0-0,Started,90,0,0,0,0,0,0,0,0
5/29/2010,TOR @ SJ,W 3-1,Started,90,0,0,0,0,0,0,0,0
5/22/2010,NE @ TOR,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/15/2010,TOR @ LA,T 0-0,Started,90,0,0,0,0,3,1,0,0
5/8/2010,CHI @ TOR,W 1-4,Started,90,0,0,0,0,1,1,0,0
5/1/2010,TOR @ RSL,L 1-2,Started,90,0,0,0,0,1,1,1,0
4/25/2010,SEA @ TOR,W 0-2,Started,90,0,0,0,0,1,0,0,0
4/18/2010,TOR @ COL,L 1-3,Started,90,0,0,0,0,1,1,0,0
4/15/2010,PHI @ TOR,W 1-2,Started,90,0,0,0,0,0,0,0,0
4/10/2010,TOR @ NE,L 1-4,Started,90,0,0,0,0,0,0,0,0
3/27/2010,TOR @ CLB,L 0-2,Started,90,0,0,0,0,2,1,1,0
