SF,R,3B,SO,POS,RBI,GIDP,2B
1,20,1,51,LF,11,3,8
3,22,2,27,OF,28,9,16
0,4,0,13,OF,6,0,6
0,26,0,34,2B,17,4,5
1,18,2,48,DH,23,6,5
1,17,0,10,2B,7,1,2
2,22,2,37,OF,15,6,9
1,14,1,45,OF,11,3,7
1,19,0,36,RF,7,2,4
0,8,4,47,OF,2,0,4
2,19,2,20,CF,17,4,7
5,15,0,33,OF,11,4,3
0,12,0,32,2B,7,1,0
1,24,1,24,3B,12,2,10
2,29,2,33,OF,19,7,6
0,5,0,23,OF,0,1,0
1,11,1,21,3B,5,2,3
0,11,0,20,C,7,1,3
0,8,0,8,C,8,1,3
2,33,5,48,OF,30,1,15
0,16,1,19,SS,11,1,5
0,8,0,21,LF,1,0,3
1,15,1,19,2B,7,2,3
0,9,0,27,OF,11,1,3
1,6,0,44,1B,7,4,3
3,38,5,32,3B,23,2,8
1,21,2,70,SS,13,1,4
2,20,1,21,3B,14,5,1
0,0,0,0,P,0,0,0
0,18,0,24,SS,13,6,6
0,2,0,11,C,2,0,1
0,9,1,17,2B,5,2,7
1,7,0,12,1B,6,2,2
0,8,1,42,LF,4,0,1
2,29,0,28,C,33,5,16
0,1,0,1,P,1,0,0
0,13,1,11,LF,5,1,5
0,13,0,19,OF,5,0,0
3,46,3,38,2B,36,3,9
1,9,0,8,C,7,5,5
0,5,0,17,1B,8,2,2
0,19,2,32,OF,10,3,3
1,37,2,46,OF,27,7,8
0,11,1,6,3B,9,1,2
1,7,2,14,DH,7,1,1
0,6,0,4,SS,0,0,0
0,14,1,27,SS,9,2,1
0,5,0,21,OF,3,0,3
0,8,1,44,OF,10,5,4
2,12,0,53,C,20,4,6
2,20,0,50,OF,24,0,10
1,6,1,18,LF,4,1,0
3,35,1,25,2B,13,0,5
1,21,2,44,2B,25,3,8
1,16,0,26,CF,8,2,3
0,44,2,40,OF,10,2,3
0,1,0,3,DH,0,0,0
3,26,1,53,2B,15,1,2
5,21,4,57,LF,37,5,14
0,9,0,18,OF,4,1,1
3,32,1,73,OF,33,3,14
0,8,0,8,C,3,0,2
0,3,0,10,C,2,3,0
0,1,0,8,OF,0,0,0
2,31,1,27,SS,21,5,21
1,14,1,65,1B,18,2,5
0,4,0,9,CF,4,1,1
2,29,4,42,1B,38,7,17
1,31,4,75,OF,25,2,11
1,23,4,15,3B,13,2,4
0,0,0,0,P,0,0,0
1,40,4,42,SS,24,2,2
3,13,1,36,OF,10,1,6
3,26,0,34,3B,28,5,12
1,11,0,14,C,10,4,5
3,15,0,35,1B,23,3,13
1,13,1,16,C,9,3,5
0,14,1,41,OF,11,2,6
0,19,0,20,RF,13,7,10
3,29,1,40,2B,16,7,12
4,23,3,40,3B,19,4,12
0,15,0,27,C,14,3,6
2,34,2,52,RF,29,3,12
2,15,2,29,C,20,6,4
1,27,3,18,SS,15,7,1
1,6,0,32,C,6,0,1
2,28,2,38,SS,15,3,9
0,23,1,44,OF,28,0,13
2,10,0,42,OF,10,1,6
0,8,0,23,2B,6,0,2
0,5,0,4,LF,8,1,2
2,34,1,46,2B,24,2,10
0,1,0,0,P,0,0,0
2,37,3,38,OF,26,4,13
0,3,1,11,DH,10,0,2
1,7,0,38,1B,9,0,7
2,27,1,32,OF,15,3,9
0,4,0,6,OF,8,1,1
2,24,0,36,LF,40,1,13
1,32,0,44,1B,30,2,12
1,20,1,28,2B,17,3,2
0,4,0,9,C,3,1,1
1,35,6,23,DH,35,3,7
0,14,3,47,DH,21,4,12
0,15,1,17,P,10,4,4
3,14,0,26,C,26,3,6
0,11,1,24,2B,3,0,3
0,19,2,50,OF,13,0,7
0,18,3,24,2B,10,3,6
0,8,0,5,C,2,1,1
1,21,2,34,OF,31,1,8
0,13,1,6,1B,9,3,7
0,32,2,60,OF,39,4,9
1,14,2,17,SS,5,0,3
0,4,0,4,P,0,1,0
