iFenwick,iFenwick/60,A,G
239,4.68,25,4
211,5.48,20,6
341,8.74,37,28
250,5.36,27,10
531,10.58,74,41
369,9.41,36,25
302,6.35,31,14
449,9.83,38,35
186,3.43,24,4
312,9.25,33,23
622,13.04,49,38
521,11.83,52,42
398,11.35,33,27
279,6.48,20,6
159,3.83,20,5
192,8.92,15,14
242,7.86,17,12
344,9.60,19,19
117,5.34,12,2
318,8.07,16,23
344,10.42,37,15
507,12.22,38,22
296,5.58,37,17
250,4.85,30,4
231,8.56,20,8
151,6.75,12,6
428,9.85,45,35
315,11.27,27,16
248,6.68,47,16
128,4.30,20,5
239,5.66,56,34
230,6.43,29,15
425,10.22,39,34
610,12.78,62,47
204,5.67,22,7
246,5.50,32,6
203,3.71,23,7
589,13.84,39,45
280,12.63,13,14
284,8.04,46,27
332,8.30,29,19
264,10.13,30,17
211,7.90,21,4
268,8.70,19,12
272,7.92,29,18
307,8.58,43,28
241,4.48,26,10
305,7.90,38,14
516,11.02,47,27
297,7.25,48,34
341,8.47,38,20
198,8.21,10,8
387,7.11,37,9
367,9.72,36,23
97,3.06,9,4
326,5.18,28,12
200,7.52,23,26
240,5.30,26,9
477,9.56,39,32
341,6.80,70,24
512,10.90,35,18
503,11.12,61,57
439,10.23,55,38
337,6.38,29,6
393,6.30,28,10
368,10.01,28,17
166,4.93,12,3
456,11.59,32,32
491,9.17,26,8
102,3.48,8,1
82,3.39,8,3
288,6.98,42,9
283,5.93,38,27
597,11.94,61,42
198,7.01,21,13
807,15.32,58,49
160,6.56,7,2
352,10.14,24,22
304,7.35,54,21
229,5.67,25,7
272,10.22,16,7
407,9.23,54,26
295,10.60,18,19
250,7.28,23,15
353,6.22,41,7
250,10.19,25,27
314,9.57,16,13
216,6.92,20,15
126,5.68,10,3
488,9.09,45,26
378,6.84,22,14
414,9.88,45,32
244,4.63,28,5
559,8.82,56,21
294,9.24,20,19
601,11.53,78,48
284,7.30,36,25
568,11.23,41,44
265,7.51,26,22
444,12.46,34,31
364,8.23,59,34
407,10.12,40,24
325,4.93,32,12
327,8.09,40,36
324,9.43,25,21
436,6.60,48,7
377,7.70,76,29
348,5.64,41,13
390,10.06,46,30
188,3.57,27,3
238,4.45,26,6
169,4.19,17,3
394,7.75,62,32
191,3.80,12,3
118,5.29,13,2
369,13.92,12,24
341,8.17,43,26
249,6.37,45,26
347,9.33,39,24
351,12.44,20,11
372,9.53,22,20
420,10.16,66,30
356,7.08,29,10
585,11.58,52,46
529,11.93,65,35
189,8.49,19,14
655,14.01,69,35
700,13.90,72,35
174,5.11,17,5
365,8.99,51,20
371,8.82,24,23
139,4.71,11,5
225,7.37,10,5
662,11.97,62,80
413,10.20,31,33
334,6.09,43,8
237,10.54,18,17
299,8.54,25,13
479,10.02,42,27
637,13.59,43,51
323,8.72,34,15
233,8.67,19,20
97,3.39,23,1
732,15.43,53,56
187,7.53,23,4
367,13.14,25,13
99,4.11,13,3
446,12.06,36,32
197,4.37,33,10
285,5.97,20,12
333,10.15,23,26
391,7.99,27,12
215,4.30,31,3
302,12.61,63,37
175,6.24,19,6
230,7.72,23,7
188,4.35,23,4
