RBI,HR,R,G,SB,Team,BB,SO
8,1,10,36,0,NYY,5,22
55,14,48,94,2,MIN,31,70
1,0,2,12,0,TOR,2,2
5,2,5,24,0,CHC,3,12
33,11,44,95,8,LAD,28,54
9,2,3,35,0,PIT,1,19
47,14,55,85,4,TOR,33,68
22,4,9,67,0,WAS,10,30
21,5,17,86,0,LAA,29,64
16,2,18,63,0,PHI,24,32
4,1,10,33,5,BOS,9,14
1,0,6,16,0,LAA,3,15
66,21,62,93,4,TOR,69,62
3,2,8,36,3,SEA,11,27
7,2,7,18,1,DET,3,12
12,4,13,67,1,BAL,4,29
9,4,11,29,0,BAL,3,23
1,0,1,12,0,SF,1,6
23,6,12,45,0,OAK,8,26
22,6,19,53,1,LAD,20,47
26,9,60,94,16,CHC,46,86
40,5,30,95,4,CHC,16,68
5,2,6,14,1,TEX,2,16
46,19,53,87,4,BOS,20,55
33,9,22,74,0,PHI,9,40
9,5,13,38,2,COL,8,39
3,0,9,19,2,TOR,4,9
3,2,3,10,0,TB,2,6
48,15,35,91,0,CLE,31,100
25,7,24,76,1,SF,13,61
34,9,35,75,1,BOS,28,41
19,2,27,86,10,DET,18,30
0,0,2,17,0,MIA,3,5
2,1,6,35,1,LAA,4,16
4,0,2,35,1,SEA,2,13
8,0,8,34,0,PIT,5,18
10,3,16,48,0,LAD,6,28
19,6,17,54,0,LAA,5,38
3,1,3,6,0,NYY,0,3
7,2,10,51,0,MIL,5,17
4,0,5,29,2,KC,7,12
5,1,1,21,0,SD,2,8
0,0,1,5,0,BOS,0,3
53,16,40,93,6,CIN,44,85
41,10,48,96,2,SEA,21,69
12,3,10,33,0,BAL,5,31
60,21,56,98,0,LAD,37,59
23,9,23,46,0,ARI,10,39
3,1,5,20,0,LAD,1,13
22,8,38,99,9,OAK,23,88
21,8,54,90,7,CWS,33,70
5,1,5,17,0,TB,6,10
28,3,21,78,0,MIN,20,32
33,6,39,67,1,OAK,33,26
15,4,15,47,0,CLE,6,48
37,7,50,99,15,TOR,17,58
1,0,6,22,0,MIL,3,7
11,3,10,16,1,CHC,5,14
14,1,9,52,0,WAS,15,32
25,3,33,92,7,NYM,10,64
5,1,3,44,1,CHC,14,33
