AB,POS,SH,SB,SLG,HR,H,2B,OPS,OBP
52,CF,0,1,.154,0,5,1,.357,.203
17,SS,0,1,.235,0,3,1,.535,.300
20,OF,0,0,.150,0,3,0,.358,.208
210,2B,4,8,.376,1,61,7,.705,.329
127,C,0,2,.488,7,31,10,.833,.345
41,C,0,0,.146,0,6,0,.369,.222
12,SS,0,0,.750,1,4,2,1.083,.333
95,3B,0,0,.242,0,20,3,.528,.286
0,P,0,0,--,0,0,0,--,--
177,SS,3,6,.384,1,49,10,.692,.308
113,3B,0,2,.425,2,29,13,.798,.373
190,OF,1,2,.432,3,48,17,.747,.316
77,3B,0,1,.208,1,12,1,.490,.283
7,OF,0,0,.571,0,4,0,1.238,.667
20,3B,0,0,.500,1,5,2,.786,.286
131,1B,1,2,.542,8,38,9,.926,.384
10,1B,0,0,.400,0,3,1,.764,.364
67,1B,0,1,.373,1,19,3,.687,.314
178,3B,0,0,.242,1,31,5,.485,.244
17,1B,0,1,.235,0,4,0,.644,.409
115,OF,4,4,.417,1,36,5,.832,.415
45,LF,0,2,.178,0,7,1,.369,.191
22,OF,0,1,.409,0,6,1,.769,.360
75,C,0,0,.307,1,17,3,.582,.275
176,OF,0,16,.284,1,38,7,.599,.315
1,CF,0,0,.000,0,0,0,.500,.500
217,SS,0,10,.433,5,64,15,.746,.313
64,C,1,0,.250,0,14,2,.481,.231
25,3B,0,0,.120,0,3,0,.387,.267
196,2B,2,2,.352,2,57,6,.672,.320
78,3B,4,6,.359,0,23,5,.737,.378
20,3B,0,0,.100,0,2,0,.236,.136
151,SS,4,5,.285,2,31,4,.545,.261
68,C,1,1,.279,0,15,4,.600,.321
120,SS,2,2,.367,0,34,4,.768,.401
11,OF,0,0,.182,0,2,0,.468,.286
42,C,0,0,.238,0,8,2,.590,.352
102,C,2,1,.284,0,23,6,.601,.316
64,C,2,2,.109,0,7,0,.292,.183
113,SS,1,3,.177,0,18,2,.517,.340
8,C,0,0,.125,0,1,0,.347,.222
109,OF,1,4,.266,1,23,3,.543,.277
207,1B,1,1,.459,8,53,10,.795,.336
48,OF,0,1,.458,2,15,1,.804,.346
24,SS,0,2,.125,0,3,0,.317,.192
140,SS,2,6,.243,0,30,4,.531,.288
117,DH,0,0,.291,1,25,6,.586,.295
52,P,0,1,.212,0,8,1,.519,.308
162,3B,0,0,.346,1,46,5,.642,.296
7,CF,0,0,.286,0,1,1,.619,.333
28,C,0,0,.143,0,3,1,.349,.206
14,3B,0,0,.786,1,6,0,1.365,.579
143,OF,1,2,.357,5,29,5,.605,.248
18,3B,0,0,.667,0,8,2,1.140,.474
6,OF,0,0,.500,0,2,1,1.000,.500
87,OF,1,5,.276,0,19,5,.572,.296
161,SS,1,1,.466,9,40,6,.780,.315
1,C,0,0,.000,0,0,0,.000,.000
80,3B,0,1,.238,1,13,3,.485,.247
175,OF,0,14,.457,4,46,10,.787,.330
5,DH,0,0,.400,0,1,1,.733,.333
3,P,0,0,.000,0,0,0,.000,.000
115,C,0,3,.348,1,29,4,.638,.290
22,C,1,0,.136,0,3,0,.376,.240
32,OF,0,4,.469,0,10,5,.858,.389
2,2B,0,0,.500,0,1,0,1.000,.500
128,OF,0,4,.313,3,26,5,.602,.290
28,OF,0,0,.714,2,11,1,1.166,.452
70,OF,2,5,.343,0,18,4,.731,.388
102,OF,1,0,.402,4,23,4,.762,.360
9,C,0,0,.444,0,3,1,.944,.500
18,DH,0,0,.222,0,3,1,.433,.211
122,OF,1,1,.484,2,42,7,.925,.441
171,OF,0,13,.386,3,44,9,.738,.352
7,2B,0,0,.429,0,2,1,.804,.375
113,OF,0,10,.310,0,30,5,.669,.359
136,1B,0,0,.287,1,30,6,.578,.291
59,C,0,1,.237,0,12,2,.447,.210
8,OF,0,0,.625,0,5,0,1.325,.700
15,LF,0,0,.600,1,5,1,1.012,.412
25,C,0,0,.640,0,11,5,1.063,.423
32,3B,0,1,.531,0,12,5,.914,.382
96,C,1,3,.385,0,27,6,.722,.337
81,1B,0,0,.346,3,16,3,.563,.217
167,SS,3,6,.383,4,37,11,.655,.272
4,OF,0,0,1.250,0,3,0,2.000,.750
181,OF,0,1,.519,5,62,15,.960,.440
4,OF,0,0,.500,0,2,0,1.000,.500
58,SS,0,1,.172,1,6,1,.354,.182
75,OF,0,1,.293,1,13,4,.543,.250
102,SS,3,2,.304,0,26,5,.631,.327
105,SS,0,7,.410,1,32,8,.796,.387
179,OF,2,16,.436,1,61,8,.866,.430
134,OF,0,2,.246,2,25,2,.503,.257
160,OF,0,0,.500,8,41,7,.826,.326
