Part#,Resolution,Throughput Rate,Number of Channels,Circuit Architecture,INL in LSBs (max),SNR (typ),Power Dissipation (typ),Operating Temp Range,Analog Input Type,DNL (max),Vin Single Pin (max),US Price 1000 to 4999
AD9608-105,10,125 MSPS,2,Pipelined,-,-,165 mW,-40 to +85,Diff-Uni,-,-,$11.25
AD7609,18,200 kSPS,8,SAR,3,-,100 mW,-40 to +85,Diff-Bip,0.75,-,$22.40
AD6672,11,250 MSPS,1,Pipelined,-,-,423 mW,-40 to +85,Diff-Uni,-,-,$44.20
AD9643-170,14,170 MSPS,2,Pipelined,-,-,614 mW,-40 to +85,Diff-Bip,-,-,$109.74
AD9613-170,12,170 MSPS,2,Pipelined,-,-,670 mW,-40 to +85,Diff-Bip,-,-,$38.50
AD9484,8,500 MSPS,1,Pipelined,-,-,670 mW,-,Diff-Bip,0.13,-,$36.00
AD9434-370,12,370 MSPS,1,Pipelined,-,-,595 mW,-40 to +85,Diff-Bip,-,-,$85.00
AD7608,18,200 kSPS,8,SAR,2.5,-,100 mW,-40 to +85,Diff-Uni,0.75,-,$20.50
AD6649,14,250 MSPS,2,Pipelined,-,-,1.16 W,-40 to +85,Diff-Uni,-,-,$83.30
AD6643-200,11,200 MSPS,2,Pipelined,-,-,765 mW,-40 to +85,Diff-Uni,-,-,$63.92
AD6641-500,12,500 MSPS,1,-,-,-,695 mW,-40 to +85,Diff-Bip,-,-,-
AD9286,8,500 MSPS,1,Pipelined,-,-,315 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.1,-,$36.00
AD9284,8,250 MSPS,2,Pipelined,-,-,314 mW,-40 to +85,"Diff-Bip, SE-Uni",0.1,-,$25.00
AD7291,12,22.2 kSPS,9,SAR,0.5,-,12.6 mW,-40 to +125,SE-Uni,0.5,-,$3.90
AD9467-200,16,200 MSPS,1,Pipelined,-,-,1.24 W,-40 to +85,"Diff-Uni, SE-Uni",-,-,$100.30
AD9279,12,-,8,-,-,67,-,-,-,-,-,$58.00
AD9278,12,-,8,-,-,65,-,-,-,-,-,$48.00
AD7298-1,10,1 MSPS,8,SAR,0.3,-,23 mW,-40 to +125,SE-Uni,0.25,-,$2.55
AD7298,12,1 MSPS,9,SAR,0.5,-,22.7 mW,-40 to +125,SE-Uni,0.5,-,$3.90
AD9963,12,100 MSPS,2,Pipelined,-,-,425 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$29.50
AD9961,10,100 MSPS,2,Pipelined,-,-,342 mW,-,"Diff-Bip, Diff-Uni, SE-Bip, SE-Uni",-,-,$25.75
AD9650-105,16,105 MSPS,2,Pipelined,-,-,778 mW,-40 to +85,Diff-Bip,-,-,$135.15
AD9644-155,14,155 MSPS,2,Pipelined,-,-,567 mW,-40 to +85,Diff-Bip,-,-,-
AD7607,14,200 kSPS,8,SAR,0.25,-,-,-40 to +85,Diff-Uni,0.25,-,$12.96
AD7606-6,16,200 kSPS,6,SAR,0.5,-,100 mW,-40 to +85,Diff-Uni,0.5,-,$12.65
AD7606-4,16,200 kSPS,4,SAR,0.5,-,75 mW,-40 to +85,SE-Bip,0.5,-,$10.20
AD7606,16,200 kSPS,8,SAR,0.5,-,100 mW,-40 to +85,Diff-Uni,0.5,-,$15.70
ADAS1127,24,-,64,-,-,-,-,-,-,-,-,-
ADAS1126,24,-,32,-,-,-,-,-,-,-,-,-
AD9266-20,16,20 MSPS,1,Pipelined,-,-,66 mW,-40 to +85,Diff-Uni,-,-,$28.00
AD9261-10,16,160 MSPS,1,Sigma-Delta,-,-,465 mW,-40 to +85,Diff-Uni,-,-,$28.00
AD9269-20,16,20 MSPS,2,Pipelined,-,-,165.7 mW,-40 to +85,Diff-Uni,-,-,$49.00
AD9262,16,160 MSPS,2,Sigma-Delta,-,-,578 mW,-40 to +85,Diff-Uni,-,-,-
AD7195,24,4.8 kSPS,4,Sigma-Delta,33.55,-,35.5 mW,-40 to +105,"Diff-Bip, Diff-Uni, SE-Bip, SE-Uni",33.55,-,$6.90
AD9649-20,14,20 MSPS,1,Pipelined,-,-,54.9 mW,-40 to +85,Diff-Uni,-,-,$12.00
AD9629-20,12,20 MSPS,1,Pipelined,-,-,53.7 mW,-40 to +85,Diff-Uni,-,-,$5.25
AD9609,-,-,-,-,-,-,-,-,-,0.25,-,-
AD9265-105,16,105 MSPS,1,Pipelined,-,-,391 mW,-40 to +85,Diff-Uni,-,-,$56.67
AD9255-105,14,105 MSPS,1,Pipelined,-,-,332 mW,-40 to +85,Diff-Uni,-,-,$45.00
AD9231-20,12,20 MSPS,2,Pipelined,-,-,83.7 mW,-40 to +85,Diff-Uni,-,-,$10.00
AD7985,16,2.5 MSPS,1,SAR,1.5,-,28 mW,-40 to +85,SE-Uni,0.99,-,$18.50
AD7944,14,2.5 MSPS,1,SAR,0.25,-,28 mW,-40 to +85,Pseudo Diff,0.25,-,$9.99
AD7626,16,10 MSPS,1,SAR,0.45,-,150 mW,-40 to +85,Diff-Uni,0.35,-,$34.95
AD7194,24,4.8 kSPS,8,Sigma-Delta,33.55,-,29 mW,-40 to +105,Diff-Uni,33.55,-,$6.40
AD7171,16,125 SPS,1,Sigma-Delta,-,-,675 µW,-40 to +105,"Diff-Bip, Diff-Uni",-,-,$1.15
AD7170,12,125 SPS,1,Sigma-Delta,-,-,675 µW,-40 to +105,"Diff-Bip, Diff-Uni",-,-,$0.95
AD6657,11,200 MSPS,4,Pipelined,-,-,1.3 W,-40 to +85,Diff-Uni,-,-,$129.71
AD6642,11,200 MSPS,2,Pipelined,-,-,620 mW,-40 to +85,Diff-Uni,-,-,$73.64
ADAS1128,24,-,128,-,-,-,-,-,-,-,-,-
AD9277,14,-,8,-,-,-,-,-,-,-,-,$58.00
AD9276,12,80 MSPS,8,-,-,-,1.78 W,-40 to +85,SE-Uni,-,-,$56.00
AD9267,16,-,2,Sigma-Delta Modulator,-,-,503 mW,-40 to +85,Diff-Uni,-,-,$40.80
AD9251-20,14,20 MSPS,2,Pipelined,-,-,124 mW,-40 to +85,Diff-Uni,-,-,$18.50
AD9204-20,10,20 MSPS,2,Pipelined,-,-,76.7 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$5.00
AD7193,24,4.8 kSPS,4,Sigma-Delta,-,-,17.5 mW,-40 to +105,"Diff-Uni, SE-Uni, Usr-Defined Range/Offset",33.55,-,$5.40
AD9268-105,16,105 MSPS,2,Pipelined,-,-,685 mW,-40 to +85,Diff-Uni,-,-,$119.00
AD9258-105,14,105 MSPS,2,Pipelined,-,-,590 mW,-40 to +85,Diff-Bip,-,-,$76.50
AD7986,18,2 MSPS,1,SAR,1,-,29 mW,-40 to +85,Diff-Uni,0.6,-,$29.95
AD7889,12,105 kSPS,6,SAR,-,-,2.3 mW,-40 to +85,SE-Uni,-,-,$1.69
AD7781,20,16.7 SPS,1,Sigma-Delta,-,-,2.1 mW,-40 to +105,Diff-Bip,-,-,$4.20
AD7780,24,16.7 SPS,1,Sigma-Delta,-,-,2.1 mW,-40 to +105,Diff-Uni,-,-,$3.95
AD7357,14,4.25 MSPS,2,SAR,2,-,36 mW,-40 to +125,"Diff-Bip, Diff-Uni, Usr-Defined Range/Offset",0.51,-,$10.81
AD7192,24,4.8 kSPS,4,Sigma-Delta,33.55,-,27.5 mW,-40 to +105,"Diff-Bip, Diff-Uni, SE-Bip, SE-Uni",0.0596,-,$4.90
AD7191,24,120 SPS,3,Sigma-Delta,33.55,-,22.5 mW,-40 to +105,Diff-Uni,-,-,$3.80
AD7625,16,6 MSPS,1,SAR,0.45,-,145 mW,-40 to +85,Diff-Uni,0.3,-,$29.95
AD7147A,16,111 SPS,12,Sigma-Delta,-,-,3.6 mW,-40 to +85,Capacitive,-,-,$1.25
AD9273-25,12,25 MSPS,8,Pipelined,-,-,819 mW,-40 to +85,SE-Bip,-,-,$43.00
AD9272-40,12,40 MSPS,8,Pipelined,-,-,1.56 W,-40 to +85,SE-Uni,-,-,$46.00
AD9239-170,12,170 MSPS,4,Pipelined,-,-,1.139 W,-40 to +85,"Diff-Uni, SE-Uni",-,-,$101.15
AD7879,12,105 kSPS,6,SAR,-,-,2.3 mW,-40 to +85,SE-Uni,-,-,$1.69
AD7699,16,500 kSPS,8,SAR,0.5,-,32 mW,-40 to +85,"Diff-Uni, SE-Bip, SE-Uni",0.25,-,$7.99
AD7356,12,5 MSPS,2,SAR,0.5,-,59 mW,-40 to +125,Diff-Uni,0.5,-,$7.89
AD7352,12,3 MSPS,2,SAR,0.4,-,45 mW,-40 to +125,Diff-Uni,0.5,-,$5.50
AD7190,24,4.8 kSPS,4,Sigma-Delta,83.89,-,36.8 mW,-40 to +105,Diff-Uni,-,-,$5.90
AD7156,12,100 SPS,2,-,-,-,252 µW,-40 to +85,Capacitive,-,-,$1.25
AD5590,12,1 MSPS,16,SAR,-,-,25 mW,-40 to +85,SE-Uni,-,-,$19.50
AD7949,14,250 kSPS,8,SAR,0.5,-,13.5 mW,-40 to +85,"Diff-Uni, SE-Uni",0.25,-,$4.04
AD7689,16,250 kSPS,8,SAR,0.5,-,19.2 mW,-40 to +85,"Diff-Uni, SE-Bip, SE-Uni",0.25,-,$5.99
AD7682,16,250 kSPS,4,SAR,0.5,-,19.2 mW,-40 to +85,"Diff-Uni, SE-Bip, SE-Uni",0.25,-,$6.01
AD7658-1,12,250 kSPS,6,SAR,0.5,-,140 mW,-40 to +125,SE-Bip,0.7,-,$8.37
AD7657-1,14,250 kSPS,6,SAR,1,-,140 mW,-40 to +125,SE-Bip,-,-,$10.29
AD7656-1,16,250 kSPS,6,SAR,0.98,-,140 mW,-40 to +125,SE-Bip,-,-,$12.45
AD7401A,16,20 MSPS,1,Sigma-Delta Modulator,7,-,105 mW,-40 to +125,Diff-Uni,-,-,$3.15
AD7262,12,1 MSPS,2,SAR,-,-,120 mW,-40 to +105,Diff-Uni,-,-,-
AD9230-11,11,200 MSPS,1,Pipelined,-,-,373 mW,-40 to +85,Diff-Uni,0.15,-,$36.43
AD7400A,16,10 MSPS,1,Sigma-Delta Modulator,12,-,95 mW,-40 to +125,Diff-Uni,0.9,-,$3.05
AD7264,14,1 MSPS,2,SAR,-,-,175 mW,-40 to +105,Diff-Uni,-,-,$6.50
AD7153,12,200 SPS,1,Sigma-Delta,-,-,432 µW,-40 to +85,Capacitive,-,-,$1.77
AD7152,12,200 SPS,2,Sigma-Delta,-,-,432 µW,-40 to +85,Capacitive,-,-,$1.97
AD7999,8,140 kSPS,4,SAR,0.1,-,4.7 mW,-40 to +125,SE-Uni,0.1,-,$1.35
AD7995,10,140 kSPS,4,SAR,0.4,-,4.4 mW,-40 to +125,SE-Uni,0.4,-,$1.80
AD7991,12,140 kSPS,4,SAR,1,-,4.68 mW,-40 to +125,SE-Uni,0.9,-,$3.22
AD7294,12,200 kSPS,4,SAR,-,-,-,-,"Diff-Uni, SE-Uni",-,-,$9.83
AD7148,16,4 SPS,8,Sigma-Delta,-,-,3.3 mW,-40 to +85,SE-Uni,-,-,$1.21
AD9627-105,12,105 MSPS,2,Pipelined,-,-,890 mW,-40 to +85,Diff-Uni,-,-,$34.91
AD9626-170,12,170 MSPS,1,Pipelined,-,-,272 mW,-40 to +85,Diff-Uni,-,-,$34.91
AD9601-200,10,200 MSPS,1,Pipelined,-,-,344 mW,-40 to +85,Diff-Uni,-,-,$32.38
AD9600,-,-,-,-,-,-,-,-,-,0.1,-,-
AD7984,18,1.33 MSPS,1,SAR,2.25,-,14 mW,-40 to +85,Diff-Uni,1.49,-,$28.29
AD7983,16,1.33 MSPS,1,SAR,0.6,-,12 mW,-40 to +85,Diff-Uni,0.4,-,$17.00
AD7151,12,100 SPS,1,Sigma-Delta,-,-,0.3 mW,-40 to +85,Diff-Uni,-,-,$1.37
AD7150,12,200 SPS,2,Sigma-Delta,-,-,0.43 mW,-40 to +85,SE-Uni,-,-,$1.37
AD7147,16,111 SPS,12,Sigma-Delta,-,-,3.6 mW,-40 to +85,SE-Uni,-,-,$1.28
AD6655-105,14,105 MSPS,2,Pipelined,-,-,-,-40 to +85,-,-,-,-
AD9869,12,80 MSPS,1,Pipelined,-,-,342 mW,-40 to +85,Diff-Uni,-,-,-
AD9640-105,14,105 MSPS,2,Pipelined,-,-,730 mW,-40 to +85,Diff-Uni,-,-,$62.24
AD9271-25,12,25 MSPS,8,Pipelined,-,-,1.1 W,-40 to +85,SE-Uni,-,-,-
AD7980,16,1 MSPS,1,SAR,0.6,-,10 mW,-55 to +125,Diff-Uni,0.4,-,$10.09
AD7767,24,128 kSPS,1,SAR,-,-,18 mW,-40 to +105,Diff-Uni,-,-,$8.60
AD7766,24,128 kSPS,1,SAR,-,-,18 mW,-40 to +105,Diff-Uni,-,-,$6.02
AD7765,24,156 kSPS,1,Sigma-Delta,-,-,371 mW,-40 to +85,Diff-Uni,-,-,$8.56
AD7764,24,312 kSPS,1,Sigma-Delta,-,-,371 mW,-40 to +85,Diff-Uni,-,-,$10.10
AD7367-5,14,500 kSPS,2,SAR,2,-,54.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.5,-,$4.74
AD7367,14,1 MSPS,4,SAR,2,-,88.7 mW,-40 to +85,"Diff-Bip, Diff-Uni, SE-Bip, SE-Uni",0.5,-,$5.27
AD7366-5,12,500 kSPS,2,SAR,0.5,-,54.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.25,-,$4.51
AD7366,12,1 MSPS,4,SAR,0.5,-,88.8 mW,-40 to +85,"SE-Bip, SE-Uni",0.25,-,$5.02
AD9868,10,80 MSPS,1,Pipelined,-,-,1.57 W,-40 to +85,Diff-Uni,-,-,-
AD9211-200,10,200 MSPS,1,Pipelined,-,-,333 mW,-40 to +85,Diff-Uni,-,-,$32.38
AD7982,18,1 MSPS,1,SAR,1,-,8.6 mW,-40 to +85,Diff-Uni,0.5,-,$23.28
AD7785,20,470 SPS,3,Sigma-Delta,-,-,2.5 mW,-40 to +105,Diff-Uni,-,-,$4.25
AD9230-170,12,170 MSPS,1,Pipelined,-,-,349 mW,-40 to +85,Diff-Uni,-,-,$35.42
AD7952,14,1 MSPS,1,SAR,0.29,-,260 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$10.99
AD7747,24,45.5 SPS,1,Sigma-Delta,-,-,4.25 mW,-55 to +125,"Diff-Uni, SE-Uni",-,-,$4.66
AD7693,16,500 kSPS,1,SAR,0.26,-,21.5 mW,-40 to +85,Diff-Uni,0.26,-,$18.22
AD7634,18,670 kSPS,1,SAR,1.49,-,225 mW,-40 to +85,"Diff-Bip, Diff-Uni",2.49,-,$31.83
AD7631,18,250 kSPS,1,SAR,1.49,-,120 mW,-40 to +85,"Diff-Bip, Usr-Defined Range/Offset",1,-,$29.80
AD7143,16,43.5 SPS,8,Sigma-Delta,-,-,3.6 mW,-40 to +85,-,-,-,$1.25
AD9254,14,150 MSPS,1,Pipelined,-,-,470 mW,-40 to +85,Diff-Uni,0.39,-,$55.66
AD9252,14,50 MSPS,8,Pipelined,-,-,748 mW,-40 to +85,Diff-Uni,0.39,-,$54.65
AD9222-40,12,40 MSPS,8,Pipelined,-,-,700 mW,-40 to +85,Diff-Uni,-,-,$40.48
AD9212-40,10,40 MSPS,8,Pipelined,-,-,542 mW,-40 to +85,Diff-Uni,-,-,$28.34
AD7951,14,1 MSPS,1,SAR,0.29,-,260 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$11.12
AD7612,16,750 kSPS,1,SAR,0.75,-,230 mW,-40 to +85,"Diff-Bip, SE-Bip, SE-Uni",1.5,-,$29.45
AD7610,16,250 kSPS,1,SAR,0.72,-,110 mW,-40 to +85,"SE-Bip, SE-Uni",1.51,-,$13.05
AD9969,12,29 MSPS,3,Pipelined,-,-,-,0 to +70,Diff-Uni,-,-,$14.42
AD9460-105,16,105 MSPS,1,Pipelined,-,-,2.2 W,-40 to +85,Diff-Uni,-,-,$57.35
AD9287,8,100 MSPS,4,Pipelined,-,-,562 mW,-40 to +85,Diff-Uni,0.2,-,$14.17
AD9259,14,50 MSPS,4,Pipelined,-,-,392 mW,-40 to +85,Diff-Uni,0.5,-,$45.54
AD7829-1,8,2 MSPS,8,Flash,0.75,-,36 mW,-40 to +85,SE-Uni,0.75,-,$3.74
AD7797,24,123 SPS,1,Sigma-Delta,-,-,1.6 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$3.39
AD7796,16,123 SPS,1,Sigma-Delta,0.66,-,1.6 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$2.78
AD7795,16,470 SPS,6,Sigma-Delta,0.98,-,2.5 mW,-40 to +125,Diff-Uni,0.06,-,$4.45
AD7691,18,250 kSPS,1,SAR,0.76,-,-,-40 to +85,Diff-Uni,0.5,-,$14.67
AD7622,16,2 MSPS,1,SAR,0.5,-,85 mW,-40 to +85,Diff-Uni,1.5,-,$21.95
AD7142,16,27.8 SPS,14,Sigma-Delta,-,-,3.6 mW,-40 to +85,Diff-Uni,-,-,$1.37
AD9461,16,130 MSPS,1,Pipelined,-,-,2.4 W,-40 to +85,Diff-Uni,0.6,-,$65.78
AD9246-105,14,105 MSPS,1,Pipelined,-,-,350 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$40.43
AD9233-105,12,105 MSPS,1,Pipelined,-,-,350 mW,-40 to +85,Diff-Bip,-,-,$23.02
AD9228-40,12,40 MSPS,4,Pipelined,-,-,510 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$20.24
AD9219-40,10,40 MSPS,4,Pipelined,-,-,295 mW,-40 to +85,Diff-Uni,-,-,$14.17
AD7690,18,400 kSPS,1,SAR,0.76,-,20 mW,-40 to +85,Diff-Uni,0.5,-,$19.73
AD7658,12,250 kSPS,6,SAR,1,-,143 mW,-40 to +85,SE-Bip,0.7,-,$8.37
AD7657,14,250 kSPS,6,SAR,1,-,143 mW,-40 to +125,SE-Bip,-,-,$10.29
AD7656,16,250 kSPS,6,SAR,1,-,143 mW,-40 to +125,SE-Bip,-,-,$12.45
AD7643,18,1.25 MSPS,1,SAR,1.49,-,80 mW,-40 to +85,Diff-Uni,1,-,$19.50
AD7401,16,20 MSPS,1,Sigma-Delta Modulator,15,-,100 mW,-40 to +105,Diff-Uni,0.9,-,$3.25
AD7329,13,1 MSPS,8,SAR,1.2,-,30 mW,-40 to +85,"Diff-Bip, Diff-Uni, SE-Uni",1,-,$6.33
AD7641,18,2 MSPS,1,SAR,1.99,-,92 mW,-40 to +85,Diff-Bip,0.52,-,$29.33
AD7400,16,10 MSPS,1,Sigma-Delta Modulator,15,-,90 mW,-40 to +105,Diff-Uni,0.9,-,$3.15
AD7327,13,500 kSPS,8,SAR,1,-,17 mW,-40 to +85,"Diff-Uni, SE-Uni",0.9,-,$3.99
AD7324,13,1 MSPS,4,SAR,1,-,30 mW,-40 to +85,"Diff-Bip, Diff-Uni, SE-Uni",0.9,-,$5.82
AD7323,13,500 kSPS,4,SAR,1,-,17 mW,-40 to +85,"Diff-Uni, SE-Uni",0.9,-,$3.66
AD7322,13,1 MSPS,2,SAR,1,-,30 mW,-40 to +85,"Diff-Bip, Diff-Uni, SE-Uni",0.9,-,$4.81
AD7321,13,500 kSPS,2,SAR,1,-,17 mW,-40 to +85,"Diff-Uni, SE-Uni",0.9,-,$3.04
AD9446-100,16,100 MSPS,1,Pipelined,-,-,2.8 W,-40 to +85,Diff-Uni,-,-,$57.35
AD9445-105,14,105 MSPS,1,Pipelined,-,-,2.6 W,-40 to +85,Diff-Uni,-,-,$41.49
AD9237-20,12,20 MSPS,1,Pipelined,-,-,120 mW,-40 to +85,Diff-Uni,-,-,-
AD7763,24,625 kSPS,1,Sigma-Delta,-,-,956 mW,-40 to +85,Diff-Bip,-,-,$18.42
AD7762,24,625 kSPS,1,Sigma-Delta,-,-,958 mW,-40 to +85,Diff-Uni,0.06,-,$18.42
AD7328,13,1 MSPS,8,SAR,1.2,-,29 mW,-40 to +85,"Diff-Bip, Diff-Uni, SE-Uni",1,-,$6.33
AD7274,12,3 MSPS,1,SAR,1,-,-,-40 to +85,SE-Uni,1,-,$4.27
AD7273,10,3 MSPS,1,SAR,1,-,-,-40 to +85,SE-Uni,1,-,$3.80
AD7946,14,500 kSPS,1,SAR,0.39,-,19 mW,-40 to +85,Diff-Uni,0.29,-,$7.46
AD7760,24,2.5 MSPS,1,Sigma-Delta,-,-,958 mW,-40 to +85,Diff-Uni,0.06,-,$30.38
