HR,R,Player,SLG,G,3B,SF,GIDP,H
0,0,T Hafner,.000,3,0,0,0,0
12,59,K Thompson,.565,81,5,3,5,103
9,66,D Espinosa,.411,112,8,4,1,113
5,30,J Wilson,.367,75,0,2,4,64
5,35,D Bacani,.435,90,2,3,5,77
4,14,M Nieves,.481,23,0,0,0,20
2,21,C Cota,.375,38,2,1,0,36
7,46,A Hernandez,.462,66,1,1,0,89
6,80,M Bourn,.364,135,8,0,2,146
6,18,K Barker,.422,51,1,3,2,47
8,41,E Gonzalez,.441,101,3,6,7,95
0,28,A Cannizaro,.307,54,0,1,4,50
0,2,J Melian,.348,7,0,1,1,6
0,1,Y Garcia,.333,4,0,0,0,3
1,18,A Lunetta,.282,34,0,1,1,23
0,20,B Chaves,.273,52,2,1,4,37
0,0,M Nettles,.133,7,0,0,0,2
1,4,L Matos,.400,5,0,0,0,5
1,1,D Watts,1.000,2,0,0,0,2
12,55,R Fleming,.422,126,3,3,6,121
0,0,J Roughton,.571,2,0,0,0,3
3,13,J Buckley,.326,50,0,1,2,25
0,4,K Matsui,.556,3,0,0,0,4
6,28,L Maza,.386,49,0,2,4,49
0,1,J Hannahan,.136,7,0,0,0,3
5,33,R Tablado,.284,102,1,3,9,73
0,0,J Cortez,.100,4,0,0,1,1
0,0,B Ditter,.364,3,0,0,0,3
1,4,P Chiaffredo,.500,8,0,0,0,8
5,46,M St. Pierre,.369,95,0,3,14,100
0,2,J Knoedler,.300,4,0,0,0,3
7,45,B Francisco,.474,83,7,1,4,99
2,54,T Hutting,.344,111,2,1,8,83
0,3,E Verbryke,.143,5,0,0,0,2
0,7,J Slack,.254,23,0,1,0,15
1,2,J Belcher,.220,14,0,1,2,5
1,22,R Nivar,.313,41,0,0,4,37
4,18,C Thigpen,.426,39,0,0,1,40
0,0,J Herrera,.313,5,0,1,2,4
4,82,R Davis,.369,123,5,1,6,140
5,9,S Bailie,.302,35,0,0,7,19
