RBI,Gact,PA,SLG,BB,H,Rk,RC
16,50,167,.293,5,32,494,11
28,71,230,.335,31,45,341,22
12,35,132,.205,11,17,458,5
0,6,14,.000,1,0,372,0
54,133,555,.427,52,144,466,76
30,72,204,.492,20,60,421,36
0,7,19,.333,1,3,127,1
35,124,528,.360,35,137,422,58
10,46,119,.404,7,32,404,15
0,22,3,.667,0,2,290,1
3,31,85,.207,2,13,252,3
8,49,94,.253,14,16,410,6
2,25,54,.255,3,10,111,3
4,55,150,.279,9,34,84,12
22,67,246,.373,22,58,141,27
10,37,128,.198,10,19,151,5
13,24,78,.371,11,18,430,9
2,23,47,.150,2,5,359,1
0,1,1,3.000,0,1,6,3
38,94,341,.332,33,75,427,33
28,86,315,.356,39,78,192,36
0,7,17,.000,1,0,258,0
56,153,607,.302,21,135,399,45
65,120,501,.430,27,121,283,60
0,8,4,.000,0,0,65,0
13,72,250,.454,28,77,322,42
0,37,24,.316,4,5,390,2
11,57,188,.258,21,30,395,12
1,21,65,.143,7,8,133,2
45,110,448,.348,20,107,240,42
0,2,2,.000,0,0,12,0
0,14,10,.300,0,3,434,1
3,33,56,.089,9,4,155,1
7,40,140,.321,5,39,183,14
46,110,471,.404,37,124,119,60
39,92,336,.363,20,82,327,35
15,38,83,.437,7,22,405,12
0,4,3,.000,0,0,491,0
7,33,83,.297,5,21,506,7
9,51,138,.362,5,31,451,13
57,113,452,.439,12,132,312,61
0,6,8,.000,0,0,294,0
6,25,49,.356,2,14,288,5
67,105,391,.491,32,113,331,65
39,106,407,.298,37,81,276,32
99,146,680,.396,94,170,408,89
3,36,71,.270,3,14,21,4
47,118,469,.422,45,124,326,64
0,4,17,.000,2,0,499,0
4,42,100,.178,5,13,256,3
6,41,79,.315,4,20,415,7
0,3,8,.000,0,0,104,0
46,117,478,.337,38,111,43,46
0,44,55,.245,1,12,81,3
4,10,12,.545,1,5,161,3
7,35,98,.287,4,18,379,6
46,156,754,.339,53,172,468,70
0,5,11,.300,0,3,130,1
0,34,25,.000,1,0,242,0
4,9,10,.900,0,5,92,4
4,34,70,.281,5,15,388,5
5,40,101,.258,3,18,423,5
34,98,370,.450,31,98,193,54
4,10,38,.324,2,8,102,3
0,1,1,.000,0,0,249,0
0,1,1,.000,0,0,109,0
1,3,5,.400,0,2,412,1
0,26,26,.000,1,0,307,0
2,37,49,.116,4,5,55,1
0,30,41,.139,3,4,30,1
1,8,24,.238,3,3,187,1
1,21,21,.286,0,3,429,1
33,98,368,.367,37,83,86,40
0,2,1,.000,0,0,70,0
0,10,8,.375,0,3,334,1
72,145,709,.464,59,207,153,114
1,7,11,.375,2,3,308,1
1,8,11,.300,0,3,311,1
70,155,634,.327,71,141,352,61
28,80,256,.422,29,68,337,37
33,101,365,.299,23,83,137,29
3,29,34,.344,1,9,39,3
41,71,276,.478,26,86,436,48
18,66,138,.455,26,29,50,20
6,15,30,.483,1,12,195,6
63,129,542,.415,28,139,57,65
19,52,125,.445,12,35,340,19
0,5,2,.000,0,0,145,0
60,110,436,.395,21,119,83,53
0,1,4,.000,1,0,333,0
3,37,42,.158,3,5,392,1
14,60,135,.465,7,41,59,21
61,127,562,.449,56,152,176,84
10,41,102,.442,3,29,28,14
0,3,1,1.000,0,1,197,1
5,17,65,.417,3,15,26,7
0,3,1,.000,0,0,20,0
17,77,248,.276,23,50,131,18
8,43,48,.444,3,12,459,6
36,106,387,.280,62,72,343,32
29,100,335,.367,22,80,398,35
2,19,78,.306,5,17,406,6
0,16,12,.000,0,0,216,0
50,138,579,.353,40,137,349,58
1,35,60,.174,8,7,299,2
14,33,70,.500,6,14,336,9
55,120,455,.386,25,124,169,55
0,4,8,.000,0,0,103,0
0,10,24,.000,1,0,122,0
49,124,481,.370,32,127,182,55
85,152,651,.489,33,173,232,96
0,8,8,.375,0,3,108,1
16,61,254,.282,24,54,483,20
0,12,5,.000,0,0,269,0
4,11,41,.263,3,9,253,3
44,129,519,.324,22,125,157,45
18,59,115,.391,4,32,457,14
2,34,72,.175,3,10,163,2
0,15,14,.000,0,0,339,0
0,1,1,.000,0,0,319,0
0,28,38,.000,5,0,25,0
15,54,185,.372,5,50,146,20
0,4,1,.000,0,0,179,0
1,29,28,.286,0,8,345,2
23,37,159,.345,15,38,473,17
5,22,54,.327,1,13,346,4
0,1,2,.000,0,0,245,0
13,52,114,.387,6,26,454,12
10,32,97,.193,2,14,4,3
43,94,358,.297,23,79,91,28
0,7,16,.000,0,0,73,0
2,24,40,.528,4,14,80,8
63,151,624,.379,38,159,185,70
1,12,8,.500,0,4,229,2
50,135,628,.345,38,156,432,63
0,4,2,1.000,0,1,411,1
1,15,36,.394,2,9,375,4
71,152,668,.389,36,161,284,73
2,6,23,.211,2,4,254,1
0,5,1,.000,0,0,115,0
0,7,20,.000,0,0,139,0
71,140,560,.329,36,128,181,50
10,32,117,.411,8,29,282,15
7,23,98,.266,1,19,449,5
0,2,7,.000,2,0,24,0
65,144,689,.449,60,202,214,107
1,4,19,.389,1,5,247,2
29,94,354,.381,34,83,474,40
3,38,30,.241,0,4,291,1
0,3,1,.000,0,0,433,0
48,114,432,.409,47,102,396,54
95,152,660,.410,29,178,416,81
18,47,214,.346,12,50,344,20
23,72,229,.357,21,49,403,22
4,24,35,.212,1,4,194,1
3,30,56,.280,1,11,305,3
9,37,104,.245,1,20,14,5
2,23,40,.316,1,10,348,3
4,35,55,.154,0,7,168,1
13,54,105,.319,6,24,373,9
0,2,5,.000,0,0,314,0
7,40,67,.383,3,17,338,7
3,38,55,.176,4,9,158,2
0,7,5,.000,0,0,35,0
83,142,611,.350,67,141,152,65
6,25,61,.373,2,19,72,7
63,136,569,.332,24,140,452,53
72,144,607,.361,33,162,361,66
0,6,9,.000,0,0,180,0
116,137,613,.501,37,175,46,99
103,153,681,.435,50,170,364,88
56,143,676,.345,56,146,198,63
0,3,5,.000,0,0,335,0
6,19,76,.309,5,18,503,6
4,32,88,.263,9,18,467,6
0,22,14,.000,0,0,175,0
0,6,15,.000,2,0,492,0
8,32,145,.286,9,29,450,11
0,19,10,.300,0,3,360,1
14,67,201,.290,3,41,125,13
11,40,83,.291,2,20,208,6
106,149,651,.487,55,158,204,95
0,5,3,.000,0,0,121,0
