Player,OBP,2B,SF,3B,Team,CS,POS
J Perez,.429,0,0,0,DSL DOD,1,SS
E Contreras,.241,3,2,2,DSL CUB,2,OF
J De La Cruz,.292,16,1,2,DSL ROCK,2,SS
J Herrera,.283,0,0,1,DSL ANG,1,SS
C Rondon,.348,6,2,1,DSL RSX,1,SS
A Gonzalez,.350,4,0,2,DSL CUB,10,SS
O Arcia,.386,16,2,1,DSL BRW,4,SS
J Valera,.250,0,0,0,DSL NYY2,1,SS
D Rosario,.330,11,3,0,DSL NAT,5,OF
Y Diaz,.212,0,0,1,DSL PAD,1,OF
R Vargas,.400,3,0,0,DSL DIA,0,3B
L Mendez,.471,0,0,0,DSL RGR,0,SS
W Soriano,.323,7,0,1,DSL ROCK,8,3B
A Gonzalez,.374,5,2,0,DSL RSX,0,C
J Taveras,.227,1,1,1,DSL ORI,2,C
J Solano,.353,8,0,1,DSL ROY,2,OF
M Laguna,.318,5,3,1,DSL AST,4,OF
J Lopez,.361,4,0,0,DSL NYY1,1,C
M Rivero,.265,2,0,0,DSL BRA,1,OF
D Gonzalez,.395,6,1,0,DSL PHI,17,OF
F Betemit,.333,2,0,1,DSL DIA,3,2B
A Soriano,.276,8,1,2,DSL DOD,4,OF
J Decena,.322,13,0,1,DSL MET,4,LF
P Nivar,.331,1,1,1,DSL ROY,2,OF
E Coplin,--,0,0,0,DSL DOD,0,OF
J Valdelamar,.374,3,0,3,DSL REDS,1,OF
S Mendez,.323,10,5,0,DSL ANG,2,1B
Y Olmo,.376,6,0,0,DSL PHI,4,CF
F Pizzoli,.253,3,1,1,DSL WSX,0,1B
W Romero,.299,8,0,3,DSL NYY2,4,OF
V Silvestre,.318,3,0,0,DSL DIA,1,3B
A Maracaro,.358,4,1,2,DSL MET,3,SS
M Bernal,.396,7,1,5,DSL MTS,11,OF
J Soto,.315,2,2,0,DSL REDS,0,C
A Wel,.349,13,1,1,DSL SEA,2,DH
D Garcia,.183,1,0,0,DSL ROCK,0,SS
R Mejias,.316,5,0,1,DSL DIA,3,SS
A Rodriguez,.347,10,0,0,DSL DOD,3,OF
D De La Cruz,.273,8,2,1,DSL FLA,6,OF
C Quintin,.294,4,1,3,DSL ROCK,0,OF
L Vasquez,.349,6,3,0,DSL GSI,4,C
J Sotelo,.227,0,0,0,DSL BRW,0,C
R Sosa,.231,1,0,0,DSL DOD,2,OF
A Aquino,.284,4,2,4,DSL REDS,10,OF
J Peraza,.346,5,3,3,DSL BRA,7,SS
M Gonzalez,.443,11,4,1,DSL AST,2,1B
J Silva,.282,3,0,0,DSL TWI,3,OF
M Alamanzar,.325,2,1,4,DSL ANG,1,C
F Serrano,.300,4,0,0,DSL AST,1,OF
E Martinez,.625,0,0,0,DSL TWI,1,P
J Astacio,.258,1,0,0,DSL FLA,2,OF
E Daniel,.361,11,4,0,DSL BRA,3,OF
K Marte,.341,5,1,3,DSL SEA,6,SS
A Capriata,.339,7,2,0,DSL SEA,3,C
J Reyes,.294,1,0,0,DSL DOD,0,SS
E Guerrero,.297,11,0,1,DSL BLJ,1,SS
F Contreras,.266,8,1,4,DSL TIG,1,3B
G Arias,.402,5,1,1,DSL NYY1,5,1B
J Perez,.283,2,1,0,DSL DIA,0,3B
S Martinez,.303,3,0,0,DSL ANG,1,C
A Castellon,.400,0,0,0,DSL NYY2,0,C
K Calderon,.172,4,1,0,DSL IND,0,C
O Pirela,.349,1,1,0,DSL RGR,1,C
W Martinez,.337,3,2,0,DSL ATH,2,3B
J Rivero,.365,8,2,6,DSL MTS,3,SS
O Caraballo,.327,2,1,1,DSL MTS,5,OF
P Rondon,.359,2,2,0,DSL MTS,4,OF
J Ynojoso,.338,2,2,1,DSL TWI,6,SS
L Madrid,.354,3,0,1,DSL BRA,1,2B
Y De La Cruz,.254,2,2,0,DSL IND,0,C
R Rijkhof,.323,3,1,0,DSL BRA,0,OF
J Figuera,.300,7,0,1,DSL MET,5,OF
F Galvez,.326,5,1,0,DSL IND,1,1B
A Capellan,.411,10,2,1,DSL CAR,3,OF
E Lopez,.167,0,0,0,DSL GSI,0,LF
E Gonzalez,.445,9,1,4,DSL TWI,4,1B
J Pimentel,.287,4,1,2,DSL TWI,1,SS
R Duncan,.406,3,1,0,DSL RSX,2,3B
M Hilario,.392,10,3,4,DSL MTS,8,C
M Aquino,.271,2,0,1,DSL NYY1,3,OF
J Rosario,.382,10,1,0,DSL ATH,1,1B
R Read,.200,5,2,1,DSL NAT,1,C
L Pena,.282,6,2,0,DSL TIG,6,OF
E Morales,.328,6,0,2,DSL SEA,4,OF
J Liriano,.346,9,0,7,DSL DIA,4,2B
M Avea,.280,0,1,0,DSL AST,1,C
F Santana,.125,0,0,0,DSL TIG,0,C
J Rojas,.291,1,0,0,DSL TB,1,C
F Baez,.319,3,2,5,DSL CAR,2,C
R Del Rosario,.364,6,1,0,DSL RSX,2,CF
N Ramos,.268,4,0,0,DSL MTS,1,C
A Calero,.264,0,0,0,DSL CUB,1,OF
V Castro,.374,14,4,2,DSL FLA,4,OF
L Jolly,.245,2,0,2,DSL ANG,3,OF
R Valdez,.319,3,0,0,DSL CUB2,3,LF
M De La Cruz,.331,4,0,0,DSL BLJ,3,OF
B Mejia,.243,6,3,6,DSL NAT,1,OF
M De Aza,.326,1,2,1,DSL PIR,3,OF
J Bogaerts,.387,8,3,2,DSL RSX,0,C
C Martinez,.335,7,1,6,DSL PAD,2,SS
J Pina,.424,6,0,0,DSL NYY2,2,C
F Cabrera,.351,3,2,0,DSL CUB2,10,OF
M Sanchez,.343,6,2,0,DSL SEA,1,1B
V Trinidad,.500,0,0,0,DSL ATH,0,P
A Montilla,.424,3,0,1,DSL ANG,0,RF
D Eusebio,.343,16,1,1,DSL NAT,1,3B
J Vasquez,.435,20,6,1,DSL PIR,13,LF
J Jimenez,.459,5,2,0,DSL PIR,2,C
K Weijgertse,.408,2,2,0,DSL MET,5,1B
M Pestana,.250,1,1,1,DSL CUB,1,OF
J Ramirez,.398,13,2,2,DSL WSX,0,RF
G Larrazabal,.304,0,0,0,DSL RGR,1,OF
C Tejeda,.333,0,0,0,DSL DOD,0,SS
R Medina,.357,6,0,1,DSL CAR,0,3B
A Sosa,.287,6,1,0,DSL ATH,2,OF
J Pena,.288,6,2,0,DSL GSI,2,OF
F Ramirez,--,0,0,0,DSL AST,0,1B
Y Daza,.322,6,0,1,DSL ROCK,5,OF
S Lantigua,.329,7,1,3,DSL RGR,4,SS
M Brito,.348,5,1,2,DSL PAD,8,OF
A Rojas,.292,4,1,2,DSL BLJ,5,SS
R Urias,.338,5,2,0,DSL RGR,1,SS
E Felipe,.341,3,2,1,DSL TIG,7,SS
J Meneses,.286,0,0,0,DSL BRA,0,OF
E Espinal,.382,9,2,0,DSL PIR,2,3B
W Petit,.281,4,1,0,DSL CUB2,0,C
R Perez,.451,4,0,1,DSL SEA,7,CF
J Pena,.263,9,2,1,DSL BRW,6,OF
E Familia,.393,1,0,0,DSL ORI,0,DH
A Rodriguez,.375,1,1,0,DSL ANG,3,3B
L Osorio,.375,9,0,2,DSL ATH,5,2B
M Rivera,.302,7,5,2,DSL PIR,9,3B
J Pena,.333,7,0,0,DSL CUB,0,C
J Linares,.391,4,0,0,DSL DOD,0,C
E Ciprian,.326,7,1,6,DSL TWI,3,OF
F Sanchez,.299,6,4,2,DSL CUB,6,SS
M Buda,.365,12,2,0,DSL WSX,2,OF
F Martinez,.319,2,2,1,DSL TWI,3,C
S Mateo,.396,3,2,0,DSL ANG,3,3B
S Matos,.394,5,1,2,DSL BRW,3,3B
C Torres,.323,3,0,0,DSL CAR,0,OF
C Tamarez,.268,5,8,0,DSL NYY2,3,SS
M Vallejo,.111,1,0,0,DSL FLA,3,SS
J Natera,.331,5,2,3,DSL TB,0,RF
B Valdez,.326,2,0,1,DSL NAT,3,3B
R Linares,.326,12,3,3,DSL ANG,2,2B
L Barahona,.396,6,1,0,DSL PAD,1,OF
V De Jesus,.319,6,3,0,DSL IND,4,OF
A Mejia,.265,2,2,1,DSL CAR,0,3B
E Paulino,.330,11,1,0,DSL TB,4,SS
F Dicen,.261,0,0,0,DSL PHI,0,OF
S Mujica,.361,5,2,5,DSL GSI,13,SS
A Peralta,.351,8,3,0,DSL RSX,1,3B
G Villavicencio,.333,1,0,0,DSL ANG,0,C
R Brugeura,.375,2,0,0,DSL PAD,9,2B
J Romero,.310,8,1,3,DSL TIG,5,OF
J Sierra,.297,2,0,1,DSL MTS,1,OF
Y Angulo,--,0,0,0,DSL AST,0,P
J Infante,.320,4,0,0,DSL DOD,5,3B
Y Gerald,.337,10,3,1,DSL PIR,9,OF
L Matias,.317,1,1,0,DSL SEA,2,SS
T De La Cruz,.324,3,0,0,DSL AST,2,OF
P Gonzalez,.403,8,3,0,DSL ROY,0,C
L Pina,.345,5,2,1,DSL CAR,1,SS
F Vivili,.296,9,0,1,DSL RGR,0,C
J Cardozo,.320,3,3,0,DSL PHI,5,SS
H Mercedes,.281,6,0,2,DSL GSI,3,OF
R Sotelo,.273,0,0,0,DSL GSI,0,C
O Valdez,.384,3,0,2,DSL IND,5,2B
F Bido,.289,9,0,1,DSL ORI,4,3B
R Morillo,.281,3,0,0,DSL TIG,1,3B
E Abreu,.317,5,1,2,DSL RGR,2,OF
H Mesa,.379,2,0,2,DSL GSI,0,2B
E Esquea,.311,3,2,0,DSL PHI,2,C
N Mejia,.205,2,0,0,DSL BRW,2,C
D Castro,.287,7,2,1,DSL BRA,9,SS
G Parra,.290,1,1,3,DSL ORI,0,C
A Pacheco,.364,7,0,7,DSL TWI,8,OF
B Campos,.398,2,1,2,DSL RGR,2,SS
F Rios,.333,2,0,0,DSL PHI,0,2B
R Torres,.351,16,4,3,DSL ROY,5,2B
R Gonzalez,.270,3,0,0,DSL FLA,0,LF
C Rosario,--,0,0,0,DSL WSX,0,P
F Pujadas,.316,4,0,0,DSL GSI,0,C
C Gonzalez,.343,4,2,0,DSL ROY,4,C
A Reyes,.286,2,3,1,DSL NAT,2,OF
H Charles,.417,8,1,5,DSL PAD,7,OF
C Penalver,.364,11,4,2,DSL CUB2,8,2B
A Delgado,.328,12,1,3,DSL TIG,7,SS
B Capellan,.310,9,4,1,DSL ORI,10,SS
A Mercedes,.405,8,2,5,DSL ORI,8,SS
Y Alejo,--,0,0,0,DSL ATH,0,P
M Reyes,.238,3,1,0,DSL MTS,4,SS
M Grance,.345,8,2,2,DSL ANG,2,2B
L Rodriguez,.353,9,1,0,DSL DOD,6,2B
C Murillo,.362,6,0,0,DSL AST,1,OF
A Rosario,.380,16,1,0,DSL WSX,2,C
A Jesus,.298,11,2,3,DSL RGR,1,OF
P Perez,.350,9,3,1,DSL MET,2,3B
F Noguera,.359,3,0,0,DSL NYY2,1,SS
L Canelon,.345,2,1,0,DSL MET,2,SS
N Aguida,.347,2,0,0,DSL BLJ,0,C
M Tamarez,--,0,0,0,DSL DOD,0,P
G Gomez,.319,1,0,0,DSL BRA,1,SS
O Pascual,.321,3,0,1,DSL WSX,0,C
F Gallardo,.271,1,0,0,DSL TWI,2,C
N Ortega,.321,3,1,1,DSL NAT,8,2B
A Ramirez,.365,4,0,0,DSL NAT,1,OF
V Cuevas,.300,1,3,2,DSL CUB,6,SS
E Concepcion,.303,4,1,0,DSL TWI,3,C
O Oses,.253,1,3,0,DSL TIG,0,C
J Boni,.390,9,2,8,DSL ORI,6,DH
R Bello,.300,2,1,0,DSL ROY,0,C
M De La Cruz,.389,19,2,1,DSL MET,12,OF
L Tejada,.391,12,2,2,DSL PAD,6,OF
E Lara,.125,0,0,0,DSL FLA,0,SS
E De La Rosa,.335,4,0,1,DSL NYY1,0,1B
L Polanco,.330,3,2,1,DSL WSX,1,1B
J Caraballo,.330,4,0,1,DSL IND,0,SS
E Salcedo,.396,4,2,2,DSL ANG,4,SS
F Lopez,.000,0,0,0,DSL PIR,0,C
E Celestino,.313,6,0,2,DSL CAR,2,OF
X Batista,.371,11,4,2,DSL CUB2,4,OF
V Feliz,.407,4,0,2,DSL GSI,2,DH
W Difo,.417,4,0,5,DSL NAT,8,SS
F Polanco,.326,7,3,0,DSL AST,4,C
F Cariel,.342,1,0,0,DSL FLA,0,C
I Aguero,.390,16,0,2,DSL TB,1,3B
W Guillen,.307,5,0,2,DSL TWI,0,3B
R Moreno,.355,3,0,1,DSL GSI,7,SS
T Hernandez,.360,13,3,7,DSL AST,4,OF
A Nina,.500,1,0,0,DSL ROY,0,P
D Mejia,.377,14,3,1,DSL BRW,0,C
M Guzman,.290,0,0,0,DSL NYY1,1,SS
J Agustin,.426,7,0,0,DSL CAR,4,3B
A Santiago,.385,8,3,0,DSL DIA,5,LF
J Roble,.369,3,0,0,DSL ROCK,3,SS
R Rodriguez,.261,0,0,0,DSL GSI,3,SS
H Marte,.291,8,2,0,DSL ROCK,1,C
H Suarez,.440,3,0,0,DSL CUB,0,1B
P Toribio,.356,10,4,10,DSL ANG,4,SS
J Candelario,.443,16,5,2,DSL CUB2,4,3B
A Fernandez,.253,3,3,1,DSL WSX,6,SS
J Reynoso,.340,8,2,4,DSL REDS,5,OF
D Maldonado,.333,2,1,0,DSL TB,2,OF
F Oguisten,.413,3,0,1,DSL DOD,3,2B
J Hernandez,.263,4,0,0,DSL ANG,2,1B
J Javier,.456,5,0,1,DSL ORI,0,C
C Garia,.418,7,2,3,DSL RGR,10,OF
E Rubio,.313,4,1,0,DSL BRW,0,LF
V De La Cruz,.438,13,1,5,DSL ATH,5,OF
J Pumarol,.315,6,0,2,DSL BLJ,0,C
R Lorenzo,.188,3,0,0,DSL FLA,1,2B
F Garces,--,0,0,0,DSL PAD,0,P
R Guzman,.307,11,2,3,DSL TIG,3,C
A Amaya,.307,8,1,1,DSL RSX,2,OF
C Bautista,.285,4,2,0,DSL IND,3,SS
E Gonzalez,.356,7,1,0,DSL NAT,2,OF
Y Hernandez,.399,3,2,8,DSL BRW,9,2B
A Triunfel,.333,8,2,1,DSL RGR,2,SS
V Chavez,.000,0,0,0,DSL NAT,0,OF
F Filpo,.333,4,1,2,DSL PAD,0,OF
B Arias,.344,7,2,1,DSL REDS,3,OF
Y Morales,.317,6,0,1,DSL PHI,3,3B
J Delgado,.304,3,1,0,DSL BLJ,2,1B
D Diaz,.344,8,0,2,DSL CAR,0,OF
R De Castro,.330,6,0,0,DSL TB,1,DH
Y Ramirez,.301,6,1,0,DSL DIA,0,SS
M Ramirez,.337,8,0,1,DSL FLA,7,RF
R Ozuna,.405,0,1,0,DSL BRW,2,OF
F Marine,.321,11,0,0,DSL PHI,2,1B
G Araujo,.231,3,1,0,DSL CAR,1,OF
F Lora,.282,16,2,0,DSL IND,4,OF
A Santana,.000,0,0,0,DSL ORI,0,P
F Matamoros,.226,1,0,0,DSL GSI,1,3B
J Morel,.339,1,0,1,DSL BRA,7,OF
W Marcelino,.340,3,0,1,DSL SEA,0,1B
