LVL,G,oppAVG,oppTAv,PA,AB
MLB,4,0.252,0.257,77,70
MLB,12,0.27,0.262,66,56
MLB,33,0.263,0.268,122,110
MLB,59,0.265,0.264,232,208
MLB,28,0.25,0.259,719,651
MLB,10,0.252,0.262,184,167
MLB,67,0.26,0.264,250,219
MLB,29,0.258,0.267,139,122
MLB,20,0.249,0.257,524,467
MLB,33,0.252,0.257,800,723
MLB,5,0.258,0.262,96,81
MLB,52,0.245,0.251,333,296
MLB,31,0.257,0.265,799,709
MLB,31,0.25,0.257,795,707
MLB,17,0.263,0.264,139,119
MLB,9,0.252,0.258,35,31
MLB,13,0.254,0.259,287,256
MLB,7,0.259,0.261,181,161
MLB,33,0.248,0.255,808,714
MLB,6,0.24,0.255,53,48
MLB,1,0.207,0.249,18,14
MLB,6,0.243,0.252,52,47
MLB,22,0.252,0.254,561,515
MLB,60,0.26,0.263,256,232
MLB,16,0.251,0.254,244,214
MLB,8,0.273,0.264,34,32
MLB,27,0.26,0.26,441,404
MLB,4,0.25,0.252,27,23
MLB,34,0.255,0.258,881,779
MLB,40,0.258,0.264,223,198
MLB,29,0.258,0.261,769,661
MLB,14,0.26,0.268,60,50
MLB,14,0.255,0.259,55,41
MLB,64,0.252,0.261,225,195
MLB,43,0.249,0.253,369,329
MLB,69,0.254,0.257,274,252
MLB,3,0.274,0.278,29,23
MLB,20,0.25,0.257,504,458
MLB,5,0.247,0.25,19,13
MLB,37,0.26,0.267,294,258
MLB,3,0.257,0.252,63,57
MLB,9,0.252,0.263,38,30
MLB,6,0.258,0.269,31,27
MLB,40,0.262,0.265,160,138
MLB,30,0.25,0.258,668,620
MLB,57,0.254,0.26,258,225
MLB,42,0.249,0.258,187,166
MLB,53,0.258,0.264,225,208
MLB,31,0.258,0.261,693,637
MLB,27,0.251,0.255,198,174
MLB,79,0.257,0.262,306,270
MLB,46,0.253,0.261,308,284
MLB,67,0.252,0.259,259,227
MLB,1,0.176,0.21,5,4
MLB,26,0.253,0.258,175,156
MLB,13,0.247,0.254,144,132
MLB,45,0.253,0.261,229,204
MLB,33,0.253,0.255,263,233
MLB,32,0.256,0.264,105,97
MLB,26,0.26,0.264,100,84
MLB,23,0.264,0.261,110,101
MLB,33,0.25,0.257,802,734
MLB,16,0.244,0.255,31,27
MLB,29,0.251,0.258,751,684
MLB,8,0.252,0.255,180,158
MLB,11,0.255,0.271,47,38
MLB,25,0.258,0.263,553,490
MLB,14,0.253,0.262,90,79
MLB,6,0.26,0.261,37,32
MLB,20,0.26,0.265,474,414
MLB,51,0.255,0.263,218,189
MLB,12,0.269,0.26,40,37
MLB,2,0.268,0.255,9,9
MLB,10,0.255,0.256,45,36
MLB,31,0.247,0.256,827,727
MLB,17,0.252,0.255,94,82
MLB,49,0.257,0.264,115,100
MLB,78,0.256,0.26,268,243
MLB,32,0.26,0.263,864,760
MLB,24,0.243,0.257,75,61
MLB,5,0.261,0.27,31,28
MLB,68,0.25,0.258,237,227
MLB,47,0.261,0.264,201,191
MLB,46,0.268,0.27,138,116
MLB,25,0.255,0.256,654,589
MLB,43,0.247,0.257,174,164
MLB,21,0.255,0.26,602,551
MLB,5,0.261,0.26,60,53
MLB,30,0.259,0.266,157,135
MLB,61,0.255,0.262,215,199
MLB,4,0.249,0.261,21,16
MLB,2,0.258,0.258,16,16
MLB,7,0.252,0.262,28,24
MLB,19,0.268,0.271,72,64
MLB,4,0.267,0.285,12,10
MLB,14,0.262,0.263,258,243
MLB,19,0.263,0.266,146,134
MLB,1,0.26,0.25,20,16
MLB,3,0.266,0.263,60,54
MLB,63,0.256,0.262,255,241
MLB,36,0.256,0.264,197,177
MLB,12,0.237,0.248,41,37
MLB,25,0.247,0.252,112,88
MLB,3,0.259,0.26,48,45
MLB,16,0.255,0.259,373,341
MLB,6,0.264,0.27,28,23
MLB,74,0.252,0.258,301,279
MLB,5,0.269,0.264,43,33
MLB,9,0.248,0.251,50,47
MLB,8,0.244,0.255,146,128
MLB,20,0.266,0.267,83,70
MLB,8,0.267,0.27,168,149
MLB,16,0.248,0.251,77,65
MLB,66,0.256,0.258,241,216
MLB,9,0.253,0.259,65,60
MLB,33,0.253,0.258,921,851
MLB,31,0.254,0.26,803,744
MLB,21,0.249,0.253,338,312
MLB,13,0.262,0.267,38,28
MLB,55,0.255,0.262,474,411
MLB,34,0.259,0.259,908,822
MLB,32,0.25,0.257,920,862
MLB,31,0.258,0.258,858,798
MLB,9,0.253,0.258,224,188
MLB,9,0.257,0.268,36,31
MLB,31,0.252,0.256,621,577
MLB,28,0.26,0.263,704,633
MLB,21,0.247,0.263,44,39
MLB,5,0.252,0.26,88,84
MLB,11,0.256,0.264,48,41
MLB,1,0.229,0.236,2,2
MLB,7,0.264,0.265,146,131
MLB,27,0.252,0.257,116,99
MLB,75,0.255,0.259,313,278
MLB,4,0.244,0.251,31,21
MLB,36,0.258,0.263,134,120
MLB,4,0.264,0.262,40,34
MLB,25,0.257,0.263,136,119
MLB,62,0.256,0.263,239,225
MLB,65,0.263,0.265,253,225
MLB,32,0.251,0.258,838,773
MLB,24,0.255,0.263,117,108
MLB,34,0.252,0.256,917,845
MLB,13,0.262,0.27,38,35
MLB,2,0.268,0.265,46,40
MLB,34,0.261,0.266,918,835
MLB,15,0.249,0.252,361,326
MLB,7,0.243,0.263,34,31
MLB,70,0.263,0.267,272,235
MLB,33,0.261,0.264,975,897
MLB,13,0.254,0.258,225,199
MLB,28,0.262,0.266,140,120
MLB,30,0.249,0.251,699,623
MLB,31,0.253,0.263,167,146
MLB,76,0.259,0.263,309,271
MLB,24,0.254,0.261,631,560
MLB,9,0.25,0.256,194,165
MLB,7,0.255,0.26,34,26
MLB,31,0.26,0.264,120,103
MLB,33,0.25,0.255,912,842
MLB,68,0.26,0.262,295,269
MLB,5,0.253,0.267,31,27
MLB,65,0.259,0.265,250,234
MLB,36,0.256,0.263,150,128
MLB,1,0.261,0.27,11,10
MLB,10,0.261,0.26,146,122
MLB,73,0.251,0.262,211,188
MLB,54,0.257,0.264,250,211
MLB,57,0.26,0.263,266,232
MLB,51,0.256,0.262,260,233
MLB,31,0.257,0.261,835,762
MLB,67,0.256,0.263,297,275
MLB,39,0.264,0.261,150,116
MLB,3,0.252,0.255,12,8
MLB,19,0.265,0.261,470,437
MLB,27,0.257,0.261,631,585
MLB,33,0.256,0.258,903,805
MLB,2,0.246,0.239,18,17
MLB,2,0.262,0.267,30,23
MLB,63,0.253,0.26,226,203
MLB,37,0.254,0.265,297,260
MLB,1,0.255,0.279,20,14
MLB,26,0.259,0.259,118,103
MLB,4,0.258,0.255,30,24
MLB,14,0.258,0.267,62,53
MLB,12,0.261,0.27,305,289
MLB,34,0.252,0.256,996,921
MLB,22,0.254,0.257,141,127
MLB,31,0.25,0.256,799,721
MLB,49,0.263,0.261,212,172
MLB,70,0.257,0.263,222,190
MLB,16,0.263,0.272,33,28
MLB,61,0.257,0.257,281,250
MLB,25,0.259,0.261,690,652
MLB,1,0.241,0.246,4,3
MLB,8,0.259,0.257,44,35
MLB,17,0.257,0.262,310,255
MLB,33,0.249,0.258,884,800
MLB,5,0.251,0.256,17,12
MLB,8,0.257,0.266,62,55
MLB,14,0.251,0.264,99,91
MLB,29,0.248,0.256,693,635
MLB,32,0.258,0.265,857,787
MLB,4,0.265,0.256,34,29
MLB,17,0.252,0.254,50,41
MLB,10,0.253,0.258,259,244
MLB,23,0.261,0.265,548,509
MLB,33,0.249,0.257,900,794
MLB,10,0.265,0.256,222,204
MLB,52,0.256,0.259,233,199
MLB,79,0.259,0.269,196,173
MLB,15,0.248,0.253,152,137
MLB,6,0.265,0.261,60,50
MLB,12,0.233,0.247,56,44
MLB,6,0.257,0.25,44,39
MLB,18,0.248,0.258,68,59
MLB,48,0.252,0.26,172,152
MLB,1,0.188,0.21,4,3
MLB,21,0.258,0.264,536,482
MLB,10,0.259,0.257,56,47
MLB,9,0.249,0.256,222,212
MLB,3,0.251,0.254,48,42
MLB,8,0.246,0.252,167,143
MLB,25,0.251,0.26,591,529
MLB,26,0.252,0.258,118,97
MLB,8,0.251,0.255,198,167
MLB,5,0.239,0.257,33,30
MLB,8,0.244,0.262,62,49
MLB,68,0.256,0.261,295,241
MLB,3,0.26,0.266,14,12
MLB,5,0.25,0.254,91,77
MLB,20,0.255,0.258,415,376
MLB,14,0.244,0.254,67,54
MLB,67,0.261,0.264,268,233
MLB,71,0.261,0.261,267,240
MLB,7,0.255,0.257,37,32
MLB,5,0.251,0.256,27,23
MLB,31,0.257,0.261,772,701
MLB,5,0.26,0.261,118,109
MLB,33,0.262,0.266,454,411
MLB,28,0.261,0.265,696,629
MLB,9,0.246,0.254,61,56
MLB,32,0.253,0.259,839,767
MLB,12,0.254,0.26,273,238
MLB,1,0.287,0.277,6,5
MLB,7,0.269,0.278,27,24
MLB,33,0.26,0.261,837,731
MLB,5,0.259,0.256,31,30
MLB,30,0.261,0.262,108,97
MLB,5,0.236,0.252,14,10
MLB,29,0.249,0.256,719,647
MLB,19,0.241,0.252,444,364
MLB,34,0.248,0.257,915,823
MLB,53,0.251,0.266,200,171
MLB,12,0.27,0.274,69,62
MLB,78,0.262,0.269,307,282
MLB,59,0.256,0.263,295,246
MLB,41,0.253,0.257,182,148
MLB,27,0.256,0.264,98,92
MLB,7,0.268,0.268,27,22
MLB,17,0.252,0.257,97,83
MLB,60,0.255,0.263,229,210
MLB,33,0.254,0.259,865,788
MLB,8,0.24,0.258,21,16
MLB,7,0.27,0.277,62,55
MLB,66,0.253,0.257,282,250
MLB,12,0.263,0.268,65,56
MLB,1,0.273,0.275,9,9
MLB,12,0.266,0.268,299,262
MLB,52,0.258,0.261,196,175
MLB,3,0.262,0.26,75,68
MLB,12,0.254,0.254,46,41
MLB,7,0.257,0.26,175,154
MLB,5,0.253,0.264,87,76
MLB,26,0.253,0.257,687,611
MLB,17,0.257,0.261,334,297
MLB,1,0.242,0.267,3,2
MLB,6,0.237,0.245,24,20
MLB,67,0.257,0.261,261,233
MLB,13,0.254,0.259,356,319
MLB,31,0.257,0.257,784,720
MLB,7,0.232,0.239,38,34
MLB,4,0.236,0.262,39,31
MLB,5,0.258,0.259,110,99
MLB,6,0.253,0.247,126,103
MLB,5,0.261,0.27,36,28
MLB,1,0.221,0.238,4,4
MLB,23,0.25,0.257,627,570
MLB,4,0.257,0.268,14,12
MLB,3,0.256,0.272,25,21
MLB,31,0.265,0.263,120,110
MLB,22,0.248,0.254,463,403
MLB,44,0.261,0.262,228,205
MLB,33,0.255,0.26,926,857
MLB,13,0.264,0.266,254,224
MLB,63,0.261,0.261,231,213
MLB,21,0.256,0.262,531,464
MLB,77,0.253,0.26,306,278
MLB,46,0.245,0.254,555,502
MLB,6,0.267,0.272,31,26
MLB,56,0.261,0.261,318,281
MLB,28,0.253,0.259,676,622
MLB,30,0.262,0.264,777,683
MLB,15,0.249,0.261,56,51
MLB,45,0.254,0.262,190,156
MLB,14,0.26,0.255,89,80
MLB,60,0.25,0.259,283,246
MLB,9,0.262,0.266,224,201
MLB,23,0.262,0.268,79,72
MLB,32,0.251,0.257,855,793
MLB,43,0.257,0.263,160,144
MLB,1,0.273,0.274,4,4
MLB,29,0.259,0.262,774,695
MLB,14,0.258,0.265,57,49
MLB,39,0.25,0.263,270,229
MLB,71,0.259,0.265,309,278
MLB,18,0.258,0.265,96,82
MLB,27,0.25,0.258,694,627
MLB,11,0.265,0.272,42,39
MLB,26,0.259,0.263,662,634
MLB,47,0.254,0.264,195,170
MLB,18,0.255,0.262,68,60
MLB,72,0.252,0.265,168,142
MLB,27,0.26,0.259,728,665
MLB,33,0.25,0.252,844,777
MLB,22,0.249,0.257,138,125
MLB,13,0.264,0.261,81,72
MLB,66,0.255,0.26,268,231
MLB,42,0.262,0.265,164,144
MLB,12,0.26,0.264,211,189
MLB,1,0.258,0.248,3,3
