VORP,OBP,oppTAv,AVG,TEAM,GS,AGE
-3.5,0.404,0.261,0.35,ATL,10,26
-5.0,0.441,0.272,0.387,PHI,0,33
1.3,0.52,0.257,0.455,PIT,0,24
-10.3,0.329,0.264,0.266,SEA,18,25
1.8,0.322,0.253,0.286,NYA,0,29
-5.1,0.348,0.26,0.302,PHI,0,33
-2.0,0.372,0.259,0.238,MIN,0,28
23.0,0.225,0.262,0.141,CIN,0,24
10.2,0.315,0.259,0.254,PHI,25,27
0.1,0.249,0.258,0.208,MIA,7,21
-1.6,0.429,0.258,0.231,MIL,0,33
0.6,0.35,0.259,0.27,LAN,0,37
9.2,0.297,0.263,0.236,OAK,15,29
15.2,0.271,0.256,0.189,TBA,0,26
3.1,0.337,0.263,0.236,BOS,0,32
-1.4,0.318,0.257,0.219,KCA,0,26
24.3,0.326,0.259,0.238,TBA,31,23
-1.5,0.4,0.291,0.25,TOR,0,32
-0.8,0.323,0.264,0.221,LAN,0,24
6.3,0.205,0.256,0.168,PHI,1,34
-0.2,0.75,0.269,0.667,TOR,0,24
7.5,0.305,0.257,0.223,NYA,11,25
20.5,0.306,0.256,0.256,CIN,33,26
12.9,0.331,0.259,0.273,BOS,33,28
4.1,0.25,0.263,0.195,MIN,0,28
-0.8,0.469,0.247,0.346,LAN,0,35
-3.0,0.39,0.267,0.321,ARI,0,42
17.7,0.309,0.257,0.242,SFN,31,34
0.8,0.455,0.256,0.4,TOR,0,29
4.6,0.325,0.256,0.25,ARI,32,24
8.8,0.308,0.26,0.229,DET,0,34
-6.8,0.381,0.261,0.282,TOR,32,27
6.1,0.383,0.257,0.311,HOU,6,26
28.4,0.309,0.256,0.259,SLN,32,30
21.6,0.285,0.256,0.247,MIL,23,28
2.8,0.292,0.277,0.227,BOS,0,29
0.8,0.0,0.247,0.0,NYN,0,29
7.1,0.334,0.261,0.256,CHA,0,26
0.7,0.323,0.267,0.222,BOS,0,25
-3.6,0.392,0.262,0.333,HOU,3,25
-2.0,0.325,0.264,0.206,TOR,0,27
32.5,0.285,0.257,0.238,NYA,28,31
-2.9,0.415,0.259,0.368,SLN,0,36
6.7,0.332,0.264,0.271,SEA,28,37
18.2,0.301,0.258,0.267,CIN,32,35
19.5,0.299,0.261,0.249,NYA,33,37
9.5,0.336,0.266,0.252,HOU,0,28
-0.4,0.19,0.253,0.105,HOU,1,24
-0.3,0.35,0.266,0.278,NYN,0,25
3.0,0.319,0.259,0.256,CHN,20,30
-0.4,0.345,0.26,0.273,CHA,9,27
-1.9,0.345,0.264,0.256,BAL,2,28
-8.8,0.386,0.261,0.278,CHN,0,24
2.3,0.411,0.258,0.341,HOU,0,26
0.7,0.267,0.259,0.241,MIN,0,28
12.9,0.306,0.256,0.261,PHI,25,35
14.9,0.213,0.264,0.168,TBA,0,25
13.7,0.308,0.259,0.259,MIA,19,28
4.1,0.364,0.266,0.297,TEX,6,21
-5.6,0.338,0.261,0.273,CLE,17,24
21.0,0.28,0.261,0.214,TOR,21,27
11.0,0.33,0.262,0.288,MIN,11,29
6.9,0.196,0.265,0.13,SDN,0,28
3.6,0.438,0.245,0.386,MIL,0,33
19.3,0.315,0.255,0.257,LAN,25,27
-2.4,0.315,0.269,0.248,SEA,16,31
8.2,0.297,0.267,0.223,KCA,7,28
15.4,0.301,0.262,0.25,KCA,0,22
13.6,0.311,0.255,0.256,NYN,17,26
1.5,0.314,0.262,0.266,ARI,0,26
-0.4,0.334,0.262,0.284,MIN,5,26
-0.4,0.316,0.27,0.237,OAK,7,23
0.1,0.28,0.261,0.182,CHN,0,25
-4.9,0.425,0.263,0.302,KCA,12,29
13.8,0.353,0.262,0.31,DET,31,23
12.7,0.278,0.263,0.241,COL,0,37
3.4,0.332,0.257,0.211,CHA,4,24
-0.6,0.325,0.26,0.222,SLN,0,28
5.1,0.363,0.266,0.27,ATL,0,27
4.3,0.354,0.259,0.265,LAN,0,26
4.6,0.316,0.263,0.241,SFN,0,33
2.9,0.298,0.261,0.25,PIT,0,28
-0.6,0.305,0.261,0.247,SLN,0,27
3.7,0.292,0.255,0.259,TBA,0,29
-3.1,0.343,0.264,0.253,SEA,0,22
-4.3,0.36,0.264,0.247,MIA,0,25
10.6,0.294,0.255,0.249,SDN,14,32
-0.2,0.383,0.263,0.318,MIN,0,26
-1.4,0.455,0.273,0.393,TOR,0,29
-0.9,0.305,0.257,0.245,SDN,5,22
0.8,0.269,0.28,0.136,LAN,0,21
8.5,0.273,0.261,0.171,CHA,0,30
-0.1,0.255,0.267,0.186,WAS,0,26
1.9,0.3,0.258,0.233,ATL,0,26
24.4,0.291,0.255,0.241,NYN,30,25
-2.0,0.389,0.241,0.353,NYN,0,35
-1.0,0.5,0.269,0.3,ANA,0,25
14.5,0.309,0.262,0.247,DET,18,23
6.5,0.318,0.264,0.242,MIL,5,23
-0.2,0.309,0.261,0.26,PHI,6,25
4.1,0.355,0.261,0.298,BOS,0,34
0.8,0.355,0.258,0.333,PHI,0,26
9.3,0.3,0.26,0.221,CIN,0,28
3.1,0.273,0.256,0.174,BAL,4,24
0.6,0.303,0.255,0.187,TEX,7,24
11.3,0.309,0.254,0.245,MIL,21,30
24.1,0.302,0.255,0.252,CIN,33,26
-1.6,0.315,0.251,0.196,PIT,0,32
3.9,0.264,0.258,0.133,DET,0,26
7.1,0.327,0.267,0.23,MIA,0,26
10.0,0.366,0.259,0.265,MIL,0,29
15.5,0.321,0.263,0.279,TEX,21,29
-1.0,0.323,0.261,0.223,TBA,0,29
-5.5,0.383,0.255,0.317,CHN,5,24
-1.8,0.348,0.271,0.216,OAK,0,26
2.9,0.281,0.271,0.187,LAN,0,29
12.8,0.345,0.257,0.261,COL,22,23
31.0,0.313,0.265,0.22,TEX,29,25
1.2,0.306,0.256,0.215,TBA,4,23
9.4,0.304,0.254,0.26,HOU,21,33
25.5,0.313,0.253,0.243,MIL,33,26
-0.6,0.323,0.262,0.285,HOU,0,31
-2.6,0.311,0.263,0.256,BOS,0,27
0.8,0.329,0.256,0.23,SLN,0,25
0.3,0.361,0.258,0.318,TOR,0,27
-3.3,0.453,0.254,0.343,CHN,0,23
-5.3,0.371,0.264,0.265,TOR,2,25
4.4,0.325,0.258,0.275,ATL,9,33
-4.9,0.398,0.261,0.317,OAK,4,27
1.8,0.26,0.253,0.198,SDN,0,25
9.2,0.307,0.263,0.262,WAS,0,29
-2.3,0.314,0.259,0.231,ATL,0,34
4.8,0.303,0.264,0.243,SEA,0,30
0.9,0.33,0.263,0.263,BOS,29,27
-5.3,0.342,0.261,0.301,CLE,16,27
16.9,0.292,0.264,0.266,OAK,24,39
12.9,0.315,0.252,0.258,NYN,21,33
1.1,0.341,0.258,0.257,SFN,33,28
-3.2,0.429,0.282,0.263,ANA,0,26
23.9,0.302,0.265,0.234,BAL,20,29
-0.1,0.5,0.235,0.429,SLN,0,26
3.8,0.333,0.265,0.206,HOU,0,28
-4.0,0.286,0.265,0.24,MIA,0,28
-0.3,0.353,0.264,0.263,CLE,0,26
19.3,0.328,0.262,0.281,KCA,34,35
-3.7,0.351,0.265,0.246,CIN,0,27
-5.6,0.384,0.255,0.324,COL,15,33
-5.5,0.345,0.256,0.256,SDN,0,23
1.3,0.311,0.259,0.258,SDN,15,33
-2.2,0.394,0.259,0.344,SFN,0,34
19.4,0.279,0.261,0.245,TEX,16,32
1.9,0.285,0.256,0.203,LAN,8,36
7.9,0.288,0.263,0.228,DET,0,34
18.7,0.375,0.255,0.286,BAL,0,26
10.0,0.312,0.262,0.216,KCA,0,22
-0.7,0.391,0.263,0.342,COL,0,27
-3.7,0.344,0.256,0.306,MIL,0,37
0.2,0.3,0.262,0.205,SDN,0,26
0.1,0.306,0.257,0.194,NYN,0,32
-1.0,0.315,0.256,0.243,SDN,15,24
5.8,0.284,0.259,0.2,OAK,0,25
-18.8,0.304,0.255,0.267,SDN,33,28
-3.5,0.346,0.256,0.285,KCA,5,28
21.1,0.274,0.255,0.239,SLN,33,33
4.7,0.284,0.26,0.221,OAK,0,26
-0.2,0.308,0.268,0.28,BAL,0,27
10.0,0.348,0.258,0.275,CIN,0,31
-1.5,0.429,0.255,0.429,HOU,0,28
7.8,0.308,0.27,0.23,MIL,0,29
5.3,0.307,0.259,0.187,PIT,0,30
-9.7,0.361,0.262,0.286,HOU,16,24
1.2,0.369,0.258,0.29,COL,12,22
-0.9,0.364,0.252,0.305,SLN,0,31
1.6,0.368,0.26,0.309,CHN,12,29
4.1,0.369,0.263,0.234,PHI,0,25
-0.4,0.438,0.249,0.32,CHN,0,36
14.2,0.29,0.258,0.229,NYA,0,27
6.4,0.361,0.257,0.303,COL,16,24
3.4,0.385,0.258,0.314,CHN,7,25
3.6,0.184,0.259,0.111,CHA,0,27
3.8,0.364,0.265,0.252,KCA,6,23
5.3,0.368,0.249,0.314,MIL,24,35
7.2,0.243,0.265,0.232,TOR,0,24
10.1,0.248,0.253,0.171,ATL,13,25
4.1,0.304,0.255,0.246,PIT,12,33
12.1,0.286,0.253,0.232,NYA,12,40
10.0,0.364,0.258,0.288,COL,14,24
25.4,0.307,0.255,0.246,PIT,31,35
8.5,0.255,0.263,0.186,MIN,0,31
-1.1,0.588,0.269,0.533,NYA,1,24
3.4,0.272,0.263,0.178,MIA,0,36
7.1,0.328,0.261,0.234,NYA,0,27
12.6,0.571,0.258,0.5,TEX,0,28
-1.4,0.339,0.263,0.26,NYN,0,23
1.9,0.333,0.258,0.271,SLN,16,24
3.4,0.321,0.26,0.244,SDN,5,25
12.2,0.277,0.266,0.202,SEA,0,28
1.8,0.35,0.266,0.248,SEA,0,25
0.1,0.392,0.259,0.318,BOS,0,28
0.6,0.221,0.259,0.147,OAK,0,31
-1.8,0.341,0.263,0.229,SDN,0,29
0.2,0.328,0.263,0.257,TOR,11,21
-0.1,0.6,0.261,0.5,ARI,0,26
14.9,0.265,0.261,0.214,ANA,30,29
-6.4,0.315,0.257,0.267,PIT,28,31
-4.5,0.321,0.263,0.257,SLN,0,26
5.5,0.27,0.262,0.225,OAK,6,24
4.3,0.259,0.266,0.184,SLN,1,21
0.9,0.438,0.264,0.357,PIT,0,27
7.5,0.349,0.263,0.284,BAL,16,25
17.2,0.219,0.264,0.167,TBA,0,35
9.5,0.288,0.259,0.256,PIT,15,29
30.6,0.278,0.253,0.226,NYN,33,37
0.6,0.4,0.272,0.444,OAK,0,30
-2.0,0.41,0.255,0.286,HOU,0,26
3.1,0.292,0.255,0.233,ARI,0,31
6.6,0.333,0.263,0.3,NYN,3,28
-4.5,0.393,0.261,0.327,CLE,0,34
6.0,0.312,0.265,0.256,SEA,0,28
5.7,0.366,0.256,0.302,MIL,0,28
0.2,0.286,0.257,0.167,MIN,0,24
-0.6,0.667,0.269,0.5,BOS,0,33
0.3,0.316,0.261,0.212,MIL,1,24
2.8,0.389,0.263,0.343,TEX,0,25
6.0,0.29,0.264,0.193,PHI,0,26
2.8,0.286,0.264,0.198,PIT,0,27
0.9,0.365,0.257,0.306,CHN,21,25
-6.7,0.333,0.26,0.26,TOR,16,27
5.4,0.178,0.263,0.16,TEX,0,37
7.3,0.235,0.267,0.185,SFN,0,29
0.7,0.348,0.263,0.269,CLE,34,27
6.5,0.304,0.256,0.241,WAS,27,26
-1.7,0.352,0.259,0.217,SDN,0,29
3.5,0.336,0.258,0.263,SFN,0,34
7.3,0.324,0.26,0.266,CHA,0,23
7.2,0.304,0.26,0.213,TOR,0,28
-0.1,0.8,0.219,0.75,NYN,0,28
-4.7,0.267,0.262,0.177,SEA,0,28
-1.0,0.286,0.262,0.259,SFN,0,30
7.8,0.374,0.248,0.313,COL,11,25
0.6,0.471,0.255,0.471,MIA,0,26
-1.9,0.4,0.259,0.364,WAS,0,25
