IP,PA,LG,SLG,LVL,oppRPA+,oppOPS,PPF,NAME,oppAVG
82.3,336,AL,0.35,MLB,108,0.745,95,A.j. Griffin,0.262
26.7,114,AL,0.477,MLB,101,0.738,101,David Huff,0.269
70.3,284,AL,0.299,MLB,96,0.712,95,Wade Davis,0.247
81.0,319,NL,0.259,MLB,94,0.706,102,Brandon Beachy,0.25
9.0,48,NL,0.545,MLB,87,0.669,109,Vinnie Chulk,0.239
4.7,26,NL,0.591,MLB,97,0.703,100,Justin Wilson,0.252
166.0,709,AL,0.411,MLB,103,0.737,103,Luis Mendoza,0.259
72.7,307,NL,0.338,MLB,104,0.733,100,Tyler Clippard,0.258
40.7,178,AL,0.342,MLB,105,0.743,90,Lucas Luetge,0.256
34.7,138,AL,0.389,MLB,97,0.706,109,Brett Myers,0.251
30.7,134,NL,0.439,MLB,102,0.729,99,Brett Myers,0.258
7.3,34,AL,0.467,MLB,101,0.719,102,Jake Odorizzi,0.258
55.3,239,AL,0.39,MLB,101,0.734,103,Boone Logan,0.253
6.3,24,NL,0.217,MLB,97,0.717,98,Julio Teheran,0.242
17.0,78,AL,0.333,MLB,99,0.722,108,Luis Perdomo,0.26
35.3,151,AL,0.333,MLB,104,0.736,106,Michael Kirkman,0.258
205.3,876,AL,0.442,MLB,99,0.721,105,Jon Lester,0.252
202.3,865,AL,0.361,MLB,100,0.72,97,C.j. Wilson,0.253
11.3,48,NL,0.341,MLB,101,0.736,97,Chris Leroux,0.257
55.3,247,NL,0.31,MLB,103,0.725,100,Carlos Marmol,0.256
5.0,25,NL,0.524,MLB,90,0.682,86,Travis Blackley,0.248
25.0,111,AL,0.372,MLB,104,0.74,104,Tyler Robertson,0.256
208.3,899,NL,0.453,MLB,99,0.716,102,Ian Kennedy,0.257
44.3,190,AL,0.405,MLB,104,0.746,93,Shawn Kelley,0.261
96.7,413,AL,0.464,MLB,102,0.739,106,Anthony Swarzak,0.261
55.0,253,NL,0.489,MLB,104,0.739,101,Rhiner Cruz,0.262
37.0,166,NL,0.45,MLB,97,0.713,109,Tim Dillard,0.253
21.3,102,AL,0.562,MLB,104,0.736,105,Jesse Chavez,0.254
1.0,4,AL,0.0,MLB,89,0.682,117,Drew Butera,0.25
56.7,239,NL,0.367,MLB,103,0.727,100,Sean Burnett,0.255
29.3,120,AL,0.405,MLB,100,0.723,105,Matt Capps,0.254
75.7,316,NL,0.385,MLB,97,0.71,95,Jared Hughes,0.253
29.3,126,AL,0.389,MLB,100,0.721,105,Steve Delabar,0.248
191.3,798,NL,0.363,MLB,96,0.703,95,Josh Johnson,0.25
53.0,231,NL,0.372,MLB,99,0.707,118,Carlos Torres,0.253
31.0,130,NL,0.333,MLB,94,0.706,99,Cory Luebke,0.258
10.3,47,AL,0.488,MLB,104,0.736,109,Miguel Socolovich,0.258
6.7,26,NL,0.136,MLB,118,0.786,93,Paco Rodriguez,0.284
175.3,730,AL,0.446,MLB,101,0.72,104,Derek Holland,0.254
71.7,294,NL,0.332,MLB,101,0.73,94,Luke Gregerson,0.26
29.7,143,NL,0.484,MLB,98,0.718,102,David Carpenter,0.257
26.7,112,AL,0.426,MLB,101,0.727,108,Will Ohman,0.26
15.3,74,AL,0.47,MLB,99,0.728,103,Andrew Bailey,0.255
6.3,32,NL,0.633,MLB,96,0.687,94,Brandon Dickson,0.24
66.3,267,NL,0.409,MLB,101,0.729,102,Ryan Mattheus,0.259
30.7,137,NL,0.479,MLB,101,0.729,94,Jeff Suppan,0.26
2.0,9,NL,0.429,MLB,66,0.67,115,Zach Putnam,0.242
16.0,88,NL,0.471,MLB,95,0.707,105,Lendy Castillo,0.249
16.7,76,NL,0.406,MLB,101,0.731,101,Anthony Varvaro,0.255
63.7,275,NL,0.336,MLB,106,0.748,95,Steve Cishek,0.264
0.7,4,NL,0.0,MLB,106,0.702,87,Rubby De La Rosa,0.277
19.3,83,NL,0.38,MLB,101,0.724,91,Todd Coffey,0.255
13.0,55,NL,0.283,MLB,92,0.717,103,Doug Slaten,0.25
219.7,891,AL,0.406,MLB,101,0.725,102,Hiroki Kuroda,0.255
14.7,66,NL,0.525,MLB,101,0.725,97,Chris Hatcher,0.256
202.3,828,NL,0.414,MLB,95,0.704,94,Mark Buehrle,0.249
50.7,234,NL,0.387,MLB,103,0.736,92,Clay Hensley,0.259
18.0,92,NL,0.457,MLB,104,0.729,94,Cory Burns,0.258
52.3,228,AL,0.385,MLB,105,0.736,104,Mike Adams,0.257
28.0,133,NL,0.508,MLB,99,0.717,92,Brad Penny,0.254
28.7,143,NL,0.464,MLB,93,0.704,102,Randy Wells,0.25
12.3,61,AL,0.585,MLB,112,0.774,107,Jacob Turner,0.27
21.3,99,NL,0.663,MLB,99,0.723,95,Collin Mchugh,0.26
138.3,562,NL,0.419,MLB,97,0.709,108,Marco Estrada,0.251
35.0,137,AL,0.295,MLB,102,0.716,90,Brett Anderson,0.259
50.0,231,NL,0.502,MLB,100,0.713,121,Guillermo Moscoso,0.252
124.0,527,NL,0.411,MLB,95,0.695,104,Shaun Marcum,0.25
19.3,83,NL,0.279,MLB,104,0.748,99,Hector Ambriz,0.267
59.3,277,AL,0.448,MLB,100,0.724,107,Daniel Bard,0.253
67.7,295,NL,0.386,MLB,106,0.736,119,Rex Brothers,0.258
20.0,80,NL,0.342,MLB,98,0.704,98,Cory Gearrin,0.243
4.3,20,NL,0.5,MLB,106,0.734,94,Pedro Beato,0.257
26.3,105,NL,0.292,MLB,94,0.704,96,Nick Vincent,0.25
73.3,288,AL,0.261,MLB,105,0.739,95,Ryan Cook,0.259
15.7,72,AL,0.53,MLB,98,0.717,106,Chad Beck,0.248
58.0,257,NL,0.487,MLB,90,0.671,119,Juan Nicasio,0.239
40.3,177,NL,0.468,MLB,105,0.738,91,Andrew Werner,0.262
13.3,56,NL,0.593,MLB,104,0.729,91,Tom Koehler,0.255
25.3,112,NL,0.51,MLB,103,0.725,93,Shane Loux,0.254
52.3,223,NL,0.332,MLB,106,0.74,99,Wesley Wright,0.26
136.3,568,AL,0.422,MLB,100,0.727,106,Jose Quintana,0.26
17.0,76,AL,0.5,MLB,101,0.716,103,Yoshinori Tateyama,0.247
66.0,263,AL,0.357,MLB,100,0.707,104,Alexi Ogando,0.248
24.0,120,NL,0.561,MLB,98,0.713,99,Armando Galarraga,0.248
14.0,65,AL,0.55,MLB,96,0.712,109,Justin Grimm,0.247
74.7,289,AL,0.253,MLB,105,0.736,95,Grant Balfour,0.259
194.7,807,NL,0.395,MLB,95,0.704,102,Wade Miley,0.253
6.0,24,NL,0.409,MLB,111,0.777,101,Miguel Batista,0.264
17.0,72,NL,0.424,MLB,102,0.725,99,Chris Carpenter,0.252
35.0,141,AL,0.328,MLB,103,0.735,105,Casey Fien,0.256
124.7,504,AL,0.354,MLB,101,0.721,107,Brandon Morrow,0.251
50.0,218,AL,0.49,MLB,101,0.728,104,Vicente Padilla,0.254
51.0,231,AL,0.456,MLB,107,0.764,109,Dylan Axelrod,0.264
2.0,12,NL,0.6,MLB,99,0.768,140,Brian Wilson,0.259
68.7,283,NL,0.406,MLB,94,0.694,97,Paul Maholm,0.247
35.7,151,NL,0.374,MLB,98,0.718,103,Michael Gonzalez,0.253
130.7,558,NL,0.405,MLB,95,0.704,99,Wandy Rodriguez,0.25
0.0,2,NL,4.0,MLB,134,0.852,89,Daniel Mccutchen,0.286
1.0,5,AL,1.0,MLB,127,0.804,112,Bobby Korecky,0.26
73.7,313,NL,0.426,MLB,100,0.723,101,Cristhian Martinez,0.256
31.0,113,NL,0.262,MLB,96,0.706,97,Raul Valdes,0.247
48.7,202,NL,0.299,MLB,96,0.716,96,Ted Lilly,0.255
53.7,254,NL,0.546,MLB,91,0.674,119,Jamie Moyer,0.238
118.0,493,AL,0.335,MLB,104,0.74,105,Jason Hammel,0.259
2.0,11,AL,0.571,MLB,89,0.66,91,Steven Geltz,0.231
1.0,5,AL,0.0,MLB,98,0.719,112,Brian Bruney,0.221
2.7,26,NL,1.087,MLB,105,0.733,109,Joe Paterson,0.251
2.0,7,AL,0.667,MLB,100,0.714,99,Deunte Heath,0.264
2.0,11,AL,0.7,MLB,96,0.718,111,Jeff Mathis,0.246
38.0,156,AL,0.312,MLB,103,0.739,102,Jeff Niemann,0.257
90.7,395,AL,0.471,MLB,101,0.727,100,Jeanmar Gomez,0.258
46.0,208,NL,0.508,MLB,98,0.708,96,Fernando Abad,0.251
127.3,547,AL,0.432,MLB,101,0.724,104,Josh Beckett,0.251
32.3,158,NL,0.586,MLB,96,0.714,103,Chien-ming Wang,0.25
11.0,52,AL,0.673,MLB,107,0.749,104,Matt Maloney,0.259
56.7,253,AL,0.405,MLB,99,0.724,110,Francisco Liriano,0.257
22.0,95,NL,0.581,MLB,104,0.735,114,Tyler Thornburg,0.261
58.7,273,NL,0.372,MLB,99,0.713,109,Manny Parra,0.254
60.7,248,AL,0.348,MLB,98,0.715,102,David Robertson,0.248
16.3,77,NL,0.426,MLB,95,0.685,103,Trevor Bauer,0.243
30.3,127,NL,0.377,MLB,105,0.743,99,Mickey Storey,0.259
190.0,791,AL,0.424,MLB,100,0.718,95,Tommy Milone,0.254
232.0,939,AL,0.333,MLB,107,0.739,87,Felix Hernandez,0.258
125.3,543,AL,0.449,MLB,103,0.736,98,Zach Mcallister,0.258
115.0,493,NL,0.459,MLB,94,0.7,96,Chris Young,0.25
10.3,49,AL,0.467,MLB,98,0.726,102,David Pauley,0.254
14.3,62,AL,0.625,MLB,113,0.733,88,Roberto Hernandez,0.256
46.3,189,AL,0.411,MLB,109,0.759,106,Duane Below,0.263
52.0,236,AL,0.478,MLB,103,0.736,106,Jeff Gray,0.257
43.3,180,NL,0.38,MLB,96,0.703,104,Craig Breslow,0.249
35.7,162,NL,0.407,MLB,98,0.713,96,Juan Cruz,0.253
3.3,21,AL,0.737,MLB,104,0.74,99,Jesse Chavez,0.267
59.3,252,NL,0.4,MLB,100,0.719,105,Bryan Shaw,0.261
73.3,342,AL,0.463,MLB,107,0.742,93,Tyson Ross,0.262
19.7,83,AL,0.347,MLB,103,0.728,106,Rich Hill,0.252
130.0,561,NL,0.445,MLB,91,0.69,100,Joe Saunders,0.247
187.3,807,AL,0.473,MLB,106,0.746,108,Henderson Alvarez,0.259
29.0,113,NL,0.283,MLB,103,0.732,107,Wily Peralta,0.258
3.0,11,AL,0.0,MLB,111,0.763,112,Shawn Hill,0.278
43.7,177,NL,0.331,MLB,100,0.71,92,George Kontos,0.257
61.3,263,AL,0.469,MLB,97,0.711,103,Everett Teaford,0.253
0.7,8,AL,1.0,MLB,107,0.729,105,Sam Dyson,0.254
29.7,123,AL,0.324,MLB,103,0.738,90,Oliver Perez,0.252
30.3,116,NL,0.229,MLB,112,0.763,100,Drew Storen,0.269
58.7,256,NL,0.386,MLB,102,0.732,99,Fernando Salas,0.259
45.7,198,AL,0.423,MLB,103,0.733,97,Jason Isringhausen,0.258
58.7,256,AL,0.43,MLB,103,0.738,105,Drew Hutchison,0.258
25.7,107,NL,0.398,MLB,100,0.726,96,Josh Edgin,0.255
5.7,33,NL,0.731,MLB,104,0.744,118,Edwar Cabrera,0.257
1.0,6,NL,0.5,MLB,100,0.728,105,Sam Demel,0.258
30.0,134,AL,0.586,MLB,91,0.699,111,Zach Stewart,0.25
48.7,211,AL,0.361,MLB,105,0.742,100,Jim Miller,0.26
136.3,569,AL,0.374,MLB,103,0.733,93,Alex Cobb,0.256
191.0,832,NL,0.423,MLB,101,0.727,95,Ricky Nolasco,0.26
32.3,152,AL,0.518,MLB,103,0.733,106,Tanner Scheppers,0.257
51.0,217,AL,0.444,MLB,97,0.714,103,Louis Coleman,0.254
45.3,202,NL,0.54,MLB,103,0.726,106,Daniel Hudson,0.255
19.3,84,NL,0.397,MLB,101,0.731,102,Barret Browning,0.26
37.3,163,NL,0.463,MLB,96,0.715,103,Mike Zagurski,0.257
2.0,8,AL,0.429,MLB,96,0.699,109,Chris Davis,0.248
19.7,77,AL,0.309,MLB,99,0.718,95,Pat Neshek,0.259
34.7,148,AL,0.427,MLB,99,0.726,102,Nathan Adcock,0.256
9.3,42,AL,0.583,MLB,104,0.747,103,Tommy Hottovy,0.261
55.0,238,AL,0.43,MLB,100,0.726,107,Addison Reed,0.256
10.3,48,NL,0.395,MLB,92,0.703,96,Josh Spence,0.252
133.0,590,NL,0.447,MLB,97,0.712,102,Vance Worley,0.252
74.7,282,AL,0.198,MLB,104,0.741,94,Fernando Rodney,0.252
182.7,802,NL,0.362,MLB,99,0.717,94,Edinson Volquez,0.256
69.0,300,AL,0.47,MLB,107,0.74,103,Ryan Dempster,0.261
32.0,136,AL,0.357,MLB,103,0.738,91,Josh Kinney,0.259
