G,H,HR,S,BB,W,IP
73,57,8,43,20,6,75.1
12,81,18,0,24,1,49.2
73,67,4,23,26,6,71.2
67,64,7,0,14,9,76.0
9,23,0,0,8,0,18.0
39,52,7,0,36,4,61.2
23,128,15,0,40,4,115.2
5,12,4,0,4,1,14.0
20,25,2,0,5,2,30.0
30,21,2,0,9,4,26.2
5,11,1,0,7,0,6.0
12,17,1,0,6,0,11.0
8,36,7,0,4,0,18.2
66,55,6,0,28,5,61.1
9,22,4,0,5,0,13.2
48,33,4,1,20,1,40.2
18,13,1,0,3,0,9.2
1,4,0,0,1,0,5.2
4,9,0,0,3,0,5.0
71,44,7,6,18,3,67.2
5,5,0,0,3,1,8.0
18,25,3,1,11,1,34.2
12,78,10,0,26,2,58.1
22,115,21,0,59,10,119.1
68,52,5,0,48,4,67.0
6,6,1,0,3,0,5.0
63,52,3,2,14,2,54.0
35,211,20,0,33,16,238.1
9,33,1,0,13,3,36.0
20,106,19,0,65,5,108.2
9,3,0,0,3,0,8.0
18,8,1,0,7,0,10.0
6,6,1,0,3,0,4.2
16,21,3,0,10,1,16.0
4,2,0,0,2,0,2.2
33,56,8,0,23,8,63.0
18,38,5,0,4,0,22.2
26,152,16,0,45,12,146.2
5,1,0,0,3,1,4.0
67,52,6,12,20,2,58.1
55,47,2,2,14,6,55.2
43,143,21,0,43,12,141.2
17,47,6,0,9,0,37.1
7,39,4,0,15,1,28.1
45,29,5,1,18,2,29.2
27,182,16,0,38,7,145.2
1,1,0,0,0,0,1.0
59,51,3,0,34,1,63.0
25,152,18,0,50,12,155.0
3,19,0,0,4,1,15.2
39,146,13,0,55,4,139.1
5,15,0,0,2,1,24.0
31,180,22,0,45,12,193.2
30,162,21,0,69,11,179.1
19,22,1,0,13,2,15.2
39,37,8,1,11,2,44.0
71,59,2,0,19,5,63.0
14,14,6,1,9,0,12.1
5,6,0,0,3,1,6.1
54,59,3,0,31,0,53.0
40,14,2,0,19,0,29.2
2,1,0,0,0,0,2.1
12,9,1,0,4,0,11.0
62,54,2,32,16,4,60.2
17,84,9,0,27,5,74.2
1,0,0,0,0,0,0.1
16,17,7,0,5,0,16.2
14,78,10,0,5,0,59.1
74,59,4,46,25,2,73.2
32,186,27,0,59,17,200.0
7,16,4,0,7,0,14.0
11,16,0,0,3,0,12.1
1,0,0,0,1,0,1.0
37,30,5,0,12,5,28.0
27,21,0,0,10,1,29.2
