Player,BB,G,3B,CS,GIDP,SH,OBP,RBI
T Barnett,7,33,1,2,3,0,0.243,4
C Hinojosa,1,19,0,0,1,0,0.241,6
A Hewitt,7,33,1,0,0,0,0.256,9
B Pullen,12,23,0,0,1,0,0.306,7
B Buck,1,5,0,0,0,0,0.778,2
B Anderson,3,39,0,2,5,0,0.205,6
A Espinoza,2,39,0,1,5,1,0.279,11
J Brown,6,17,0,2,0,1,0.351,2
C Jacobs,24,43,2,2,8,0,0.38,26
M McBride,6,17,1,0,0,0,0.483,9
C Chen,6,18,0,0,1,0,0.333,4
B Nowlin,2,6,0,0,1,0,0.348,5
J Flagg,21,45,2,0,1,0,0.331,25
E Garcia,15,45,3,0,4,0,0.278,18
A Frost,6,32,0,0,2,2,0.328,15
C Parra,3,31,0,1,0,1,0.29,11
B Maldonado,2,5,0,0,0,0,0.4,3
L Poole,7,20,0,0,0,0,0.392,6
N Castillo,13,39,1,3,1,4,0.313,12
D Elorriaga-Matra,1,17,0,0,2,0,0.365,11
R Labrie,23,42,2,4,6,2,0.423,26
J Hamilton,4,16,0,0,1,1,0.37,7
H Choi,3,23,0,0,1,2,0.319,7
L Basabe,11,35,1,1,1,3,0.267,10
Y Rodriguez,27,43,0,0,2,0,0.421,13
T Henley,1,5,1,0,0,0,0.429,2
R Brooks,15,47,5,1,6,0,0.426,20
C Kelly,6,27,0,0,2,0,0.229,9
H Choi,8,23,0,2,3,0,0.309,7
T Nixon,1,3,0,0,0,0,0.636,1
O Rodriguez,0,6,0,0,1,0,0.286,0
M McGonigle,18,38,3,0,4,0,0.397,15
W Freeman,1,6,0,1,0,0,0.25,2
J Bert,16,28,1,4,1,0,0.414,6
A Abraham,17,40,0,0,3,0,0.314,22
L Castro,4,44,1,4,3,1,0.317,19
J Apodaca,0,2,0,0,0,0,0.571,2
B Friday,2,7,1,0,0,0,0.28,3
L Hurtado,3,16,0,0,0,1,0.222,1
K Howard,3,8,0,0,1,0,0.385,4
N French,10,35,0,1,1,1,0.434,15
A Goulder,16,34,0,0,0,0,0.361,6
T Martin,0,5,0,0,0,0,0.438,1
L Castillo,3,3,0,0,0,0,0.375,0
C Blackwood,4,19,0,1,0,1,0.441,7
R Orton,22,43,2,0,3,0,0.35,19
H Lara,10,42,0,3,1,4,0.333,18
M Ray,3,15,0,2,1,0,0.225,2
K Coddington,10,31,0,0,2,1,0.362,7
Y Tejeda,4,18,0,0,1,1,0.246,9
D Shepherd,10,34,0,1,2,0,0.346,7
P Maat,2,4,0,0,0,0,0.4,0
T Binkoski,0,1,0,0,0,0,0.333,0
D Perez,10,34,0,1,3,0,0.29,11
C Curran,28,55,4,3,1,4,0.397,22
O Marval,6,36,1,0,1,1,0.289,5
M Crouse,3,7,1,1,1,1,0.316,0
Y Lopez,8,11,0,2,2,1,0.372,6
P Gilardo,4,8,0,0,0,0,0.455,2
S Conner,19,41,1,1,1,0,0.309,19
H Rodriguez,2,18,0,0,0,0,0.213,2
S Lombardozzi,21,48,1,1,1,6,0.371,24
S Stewart,1,2,0,0,0,0,0.714,1
J Natale,2,3,0,0,0,0,0.333,1
B Schlehuber,10,41,0,2,3,0,0.359,11
E Landoni,9,36,2,1,0,1,0.378,8
J Babrick,6,34,0,0,0,0,0.239,2
S Duncan,1,2,0,0,0,0,0.125,0
F Cruz,1,14,0,0,0,0,0.188,1
D Hale,8,15,1,0,1,0,0.345,2
G Bass,1,5,1,1,0,0,0.474,1
J Centeno,8,24,0,0,0,2,0.315,1
R Tosoni,0,2,0,0,0,0,0.667,3
L Grullon,1,27,0,0,0,0,0.234,6
P Reese,0,3,0,0,1,0,0.182,2
A Abreu,9,51,4,1,3,0,0.289,37
B Mathews,5,9,0,0,0,0,0.355,3
K Wilson,20,51,2,3,0,1,0.319,12
A Diaz,12,32,0,0,7,0,0.323,9
B Peterson,18,38,3,2,4,0,0.361,24
R Asencio,9,32,4,3,0,1,0.396,14
J Allman,12,27,0,0,2,1,0.427,10
J Rodriguez,9,17,0,0,0,2,0.3,4
N Nelson,6,26,0,1,0,0,0.268,11
L Ramirez,5,30,0,1,2,1,0.357,7
D Rohlfing,7,25,1,0,4,0,0.3,8
C Huang,20,42,0,0,5,0,0.344,14
K Teran,12,26,0,0,2,1,0.377,3
J Valdez,2,17,0,0,0,0,0.195,1
M Pimentel,19,37,2,5,0,1,0.363,19
M Gregorius,10,31,0,1,3,1,0.241,9
J Garcia,12,38,1,0,2,2,0.312,13
X Avery,10,47,1,3,1,3,0.333,7
G Lombard,1,3,0,0,0,0,0.231,0
R Paulino,2,8,0,0,3,0,0.333,6
T Waller,6,17,0,0,1,0,0.295,6
J Camargo,11,31,0,3,1,1,0.327,9
M Brisker,11,32,0,4,1,1,0.37,6
D Killian,15,40,2,0,3,3,0.303,28
J Hoes,30,48,3,0,8,1,0.416,18
I Desmond,0,3,0,0,0,0,0.385,2
M Willard,7,22,2,3,0,2,0.231,7
J Murphy,11,28,1,0,1,0,0.422,17
A Acevedo,10,45,2,2,3,2,0.287,11
F Martinez,0,4,1,0,0,0,0.467,0
R Redden,1,3,0,0,0,0,0.2,0
L McGee,10,34,0,0,6,1,0.317,21
Y Tabares,3,19,0,0,1,0,0.241,1
E Roman,15,42,1,7,0,3,0.315,13
N Recknagel,0,1,0,0,0,0,0.75,0
B Roberts,3,4,0,0,0,0,0.643,0
J Hanson,26,54,0,1,3,0,0.371,17
D Phillips,3,15,0,0,0,0,0.186,2
J Mosquera,13,24,0,4,2,1,0.292,2
J Munoz,3,20,0,1,2,0,0.342,9
J Hage,0,1,0,0,0,0,0.2,0
R Gomez,2,11,1,0,0,0,0.393,6
M Gioioso,13,27,0,0,1,1,0.372,7
J Rodriguez,10,38,0,2,1,1,0.258,20
A Boone,0,1,0,0,0,0,0.667,0
F Cervelli,0,3,0,0,0,0,0.25,0
D Ricardo,4,39,0,0,4,1,0.199,8
R Henry,3,23,2,3,1,1,0.241,8
J Torres,9,36,0,1,3,2,0.331,12
F Pfister,7,38,0,1,6,0,0.281,14
T Atherton,3,5,0,0,0,0,0.524,4
J Garcia,0,17,1,1,2,2,0.185,5
B Sellers,14,29,0,0,2,1,0.333,8
K Hernandez,14,32,0,0,1,0,0.315,5
