Game Date,Player,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1993-06-23,Vince Coleman,NYN,MON,L 3-4 vs MON,4,0,0,0,0,0,1,4,0,1,2,0,0,0,0,0,1086,4 stolen bases
1993-06-25,Kevin Baez,NYN,SLN,L 5-8 vs SLN,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,1st career RBI
1993-06-27,Eddie Murray,NYN,SLN,L 3-5 vs SLN,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,2509,Grounded into 3 Double Plays
1993-06-29,Jeromy Burnitz,NYN,FLO,W 10-9 @FLO,5,3,3,2,0,1,2,0,0,0,1,1,0,0,0,0,7,"1st career home run, 1st career RBI"
1993-06-30,Joe Orsulak,NYN,FLO,W 7-1 @FLO,5,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,992,4 hits
1993-07-08,Bobby Bonilla,NYN,LAN,W 6-3 vs LAN,3,1,1,0,0,1,5,0,0,1,1,0,0,0,1,0,1129,5 RBIs
1993-07-09,Joe Orsulak,NYN,LAN,L 2-6 vs LAN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000th career game
1993-07-17,Vince Coleman,NYN,SFN,W 3-1 @SFN,5,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1106,4 hits
1993-07-18,Jeff Kent,NYN,SFN,W 12-6 @SFN,3,2,2,0,0,2,2,0,0,2,1,0,0,0,0,0,179,2 home runs
1993-07-22,Eddie Murray,NYN,LAN,W 10-5 @LAN,5,2,2,0,0,2,5,0,0,0,0,0,0,0,0,0,2530,"2 home runs, 5 RBIs"
1993-07-27,Jeff Kent,NYN,FLO,W 4-3 vs FLO,3,2,2,0,0,2,4,0,0,1,0,0,0,0,0,0,187,2 home runs
1993-07-28,Jeromy Burnitz,NYN,FLO,W 5-4 vs FLO,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,31,1st career stolen base
1993-07-28,Eddie Murray,NYN,FLO,W 5-4 vs FLO,5,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,2535,4 hits
1993-08-01,Ryan Thompson,NYN,SLN,W 10-3 @SLN,5,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,53,4 hits
1993-08-05,Jeromy Burnitz,NYN,MON,W 12-9 @MON,5,2,4,1,0,1,7,1,0,2,0,0,0,0,0,0,37,"7 RBIs, 4 hits"
1993-08-13,Bobby Bonilla,NYN,PHI,L 5-9 @PHI,3,3,2,0,0,2,2,0,0,1,0,0,0,0,0,0,1160,2 home runs
1993-08-14,Tim Bogar,NYN,PHI,W 9-5 @PHI,5,4,4,2,0,2,4,0,0,0,0,0,0,0,0,0,78,"2 home runs, 4 runs scored, 4 hits"
1993-08-14,Bobby Jones,NYN,PHI,W 9-5 @PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1st career game
1993-08-18,Joe Orsulak,NYN,CIN,W 12-2 @CIN,5,2,4,2,1,0,2,0,0,0,0,0,0,0,0,0,1026,4 hits
1993-08-23,Bobby Bonilla,NYN,CIN,L 2-6 vs CIN,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1169,2 sacrifice flies
1993-08-25,Chico Walker,NYN,CIN,L 1-4 vs CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500th career game
1993-09-02,Todd Hundley,NYN,CHN,W 8-3 @CHN,5,1,2,0,0,1,5,0,0,0,1,0,0,0,0,0,289,5 RBIs
1993-09-04,Bobby Bonilla,NYN,CHN,L 8-9 @CHN,4,2,3,0,0,2,3,0,0,1,1,0,0,0,0,0,1181,2 home runs
1993-09-04,Ryan Thompson,NYN,CHN,L 8-9 @CHN,4,3,3,1,0,2,3,0,0,0,1,0,0,0,0,0,85,2 home runs
1993-09-06,Tito Navarro,NYN,HOU,L 2-7 @HOU,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1st career game
1993-09-08,Butch Huskey,NYN,HOU,L 1-7 @HOU,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1st career game
1993-09-11,Butch Huskey,NYN,CHN,L 3-4 vs CHN,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,1st career RBI
1993-09-12,Todd Hundley,NYN,CHN,W 5-0 vs CHN,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,298,4 hits
1993-09-12,Butch Huskey,NYN,CHN,W 5-0 vs CHN,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,1st career hit
1993-09-12,Jeff Kent,NYN,CHN,W 5-0 vs CHN,3,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,228,2 hit by pitches
1993-09-18,Todd Hundley,NYN,ATL,W 3-2 @ATL,4,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,302,4 hits
1993-09-18,Bobby Jones,NYN,ATL,W 3-2 @ATL,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1st career hit
1993-09-18,Tito Navarro,NYN,ATL,W 3-2 @ATL,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,"1st career hit, 1st career RBI"
1993-09-26,Jeff Kent,NYN,MON,W 9-3 vs MON,4,2,3,1,0,1,5,0,0,0,0,0,0,0,0,0,236,5 RBIs
1993-09-29,Kenny Greer,NYN,SLN,W 1-0 vs SLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
1993-09-29,Ryan Thompson,NYN,SLN,W 1-0 vs SLN,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,106,5 strikeouts
