Player,Pos,Team,Opp,Rush Yards,Rush TDs,Catches,Receive Yards,Receive TDs,Total Yards,Total TDs,FF Pts
Naaman Roosevelt,WR,FA,WAS,0,0,3,40,0,40,0,4.0
Ben Obomanu,WR,FA,CIN,0,0,3,40,0,40,0,4.0
Derrick Mason,WR,FA,JAC,0,0,3,30,0,30,0,3.0
Davone Bess,WR,FA,@NYG,0,0,3,50,0,50,0,5.0
Victor Cruz,WR,NYG,MIA,0,0,3,40,0,40,0,4.0
Malcom Floyd,WR,SDC,@KC,0,0,3,40,0,40,0,4.0
David Nelson,WR,FA,WAS,0,0,3,40,0,40,0,4.0
Jason Avant,WR,KCC,DAL,0,0,3,60,0,60,0,6.0
Pierre Garcon,WR,WAS,@TEN,0,0,3,40,0,40,0,4.0
Joseph Addai,RB,FA,@TEN,60,0,3,20,0,80,0,8.0
Emmanuel Sanders,WR,DEN,NE,0,0,2,40,0,40,0,4.0
Montario Hardesty,RB,FA,@SF,20,0,2,20,0,40,0,4.0
Josh Cribbs,WR,FA,@SF,0,0,2,30,0,30,0,3.0
Chris Johnson,RB,FA*,IND,80,0,2,10,0,90,0,9.0
Andre Caldwell,WR,DEN,@SEA,0,0,2,30,0,30,0,3.0
Anthony Armstrong,WR,FA,@BUF,0,0,2,20,0,20,0,2.0
Bernard Scott,RB,FA,@SEA,50,0,2,10,0,60,0,6.0
Laurent Robinson,WR,FA,@PHI,0,0,2,30,0,30,0,3.0
Robert Meachem,WR,FA*,@STL,0,0,2,30,0,30,0,3.0
Titus Young,WR,FA,@DEN,0,0,2,40,1,40,1,10.0
Maurice Morris,RB,FA,@DEN,40,0,2,10,0,50,0,5.0
Jon Baldwin,WR,FA,SD,0,0,2,30,0,30,0,3.0
Michael Crabtree,WR,OAK,CLE,0,0,2,40,0,40,0,4.0
Andre Roberts,WR,WAS,@BAL,0,0,2,20,0,20,0,2.0
Reggie Bush,RB,SFO,@NYG,40,0,1,10,0,50,0,5.0
Eddie Royal,WR,CHI,DET,0,0,1,20,0,20,0,2.0
Rashard Mendenhall,RB,FA,NE,60,1,1,10,0,70,1,13.0
Dexter McCluster,RB,TEN,SD,20,0,1,10,0,30,0,3.0
C.J. Spiller,RB,NOS,WAS,20,0,1,10,0,30,0,3.0
Patrick Crayton,WR,FA,@KC,0,0,1,20,0,20,0,2.0
Devery Henderson,WR,FA,@STL,0,0,1,20,0,20,0,2.0
Legedu Naanee,WR,FA,MIN,0,0,1,30,0,30,0,3.0
Austin Collie,WR,FA,@TEN,0,0,1,20,0,20,0,2.0
Nate Burleson,WR,FA,@DEN,0,0,1,20,0,20,0,2.0
Brian Robiskie,WR,FA,@SF,0,0,1,10,0,10,0,1.0
Delone Carter,RB,FA,@TEN,20,1,1,10,0,30,1,9.0
Knowshon Moreno,RB,FA*,DET,40,0,1,10,0,50,0,5.0
Chad Johnson,WR,FA,@PIT,0,0,1,20,0,20,0,2.0
BenJarvus Green-Ellis,RB,FA*,@PIT,40,1,1,10,0,50,1,11.0
Devin Aromashodu,WR,FA,@CAR,0,0,1,20,0,20,0,2.0
Maurice Jones-Drew,RB,FA,@HOU,90,0,1,10,0,100,0,10.0
Ryan Torain,RB,FA,@BUF,50,0,1,10,0,60,0,6.0
DeAngelo Williams,RB,PIT,MIN,50,1,0,0,0,50,1,11.0
Ben Tate,RB,FA,JAC,30,0,0,0,0,30,0,3.0
Brandon Jacobs,RB,FA,MIA,30,1,0,0,0,30,1,9.0
Jackie Battle,RB,FA,SD,70,0,0,0,0,70,0,7.0
Kendall Hunter,RB,SFO,CLE,30,0,0,0,0,30,0,3.0
DeMarco Murray,RB,PHI,@PHI,90,1,0,0,0,90,1,15.0
Adrian Peterson,RB,MIN,@CAR,120,1,0,0,0,120,1,18.0
Thomas Jones,RB,FA,SD,30,0,0,0,0,30,0,3.0
Alfonso Smith,RB,FA,@BAL,30,0,0,0,0,30,0,3.0
Keiland Williams,RB,FA,@DEN,40,0,0,0,0,40,0,4.0
