OPS,SH,2B,GIDP,OBP,SB,AVG,3B,Player,Team
0.598,0,3,2,.284,6,.194,0,M Crouse,LAN
0.616,15,21,4,.301,21,.240,5,B Loy,WM
0.621,2,1,0,.278,0,.219,1,E Corcino,WM
0.578,1,3,0,.262,3,.215,1,R Pineda,BUR
0.494,0,5,8,.232,0,.208,0,Y Balaguert,PEO
0.442,0,0,0,.250,1,.192,0,R Golden,PEO
0.806,1,17,6,.338,8,.281,5,T Glaesmann,BG
0.711,2,35,8,.320,4,.249,2,A Westlake,WM
0.517,3,7,3,.236,1,.209,0,M Garza,WIS
0.611,0,0,0,.444,0,.167,0,C O'Dowd,FW
0.61,0,4,1,.292,0,.227,1,K Schutz,LAN
0.399,1,4,0,.206,3,.129,0,A Martinez,FW
0.498,2,7,1,.248,7,.189,1,J Parr,SB
0.722,0,15,6,.346,3,.294,1,M Dowd,CLI
0.827,1,21,15,.353,7,.323,4,Y Asencio,FW
0.602,3,9,6,.311,0,.229,1,R Neda,WIS
0.785,0,27,12,.312,7,.278,7,R Morla,CLI
0.808,0,4,0,.379,1,.286,0,M Haniger,WIS
0.793,3,14,3,.356,2,.294,4,K Jenkins,SB
0.696,0,5,2,.349,1,.296,0,A Giansanti,PEO
0.586,1,5,2,.253,1,.227,0,Z Kometani,FW
0.599,10,19,2,.282,3,.225,2,S Opitz,LAN
0.626,1,7,2,.279,4,.216,0,W Soto,CR
0.718,0,30,6,.326,1,.237,5,P Hoilman,PEO
0.559,5,9,4,.274,4,.220,2,N Gallego,SB
0.74,0,19,5,.314,5,.295,1,E Groff,SB
0.453,4,1,3,.264,3,.160,1,D Morales,GL
0.777,0,10,3,.348,10,.238,1,N Akins,GL
0.667,10,14,5,.326,36,.283,3,J Austin,CLI
0.58,3,10,10,.279,2,.243,2,A Bryant,BEL
0.716,6,19,8,.347,17,.268,2,B Crocker,BUR
0.678,1,24,20,.299,0,.254,1,R Aguila,SB
0.789,5,34,6,.380,21,.288,5,E Suarez,WM
0.579,1,0,0,.261,1,.227,1,D Pompey,LAN
0.638,1,15,7,.300,6,.255,0,D Espy,KC
0.785,2,28,8,.334,14,.279,0,A Hedges,FW
0.75,5,22,6,.356,8,.277,7,T Whitmore,FW
0.708,1,13,10,.349,10,.272,4,D Leachman,BEL
0.678,6,12,7,.329,0,.265,0,J Rodriguez,BEL
0.768,3,13,5,.303,2,.241,4,O Calixte,KC
0.43,0,1,2,.233,0,.179,0,N Bartolone,LC
0.805,0,22,11,.340,2,.245,3,K Patterson,LAN
0.711,2,20,14,.325,3,.262,10,D Mateo,KC
0.267,0,0,2,.133,0,.133,0,C Lewis,BUR
0.789,5,10,4,.411,7,.284,0,S Wickens,BEL
0.475,0,1,2,.205,0,.162,0,P Rankin,LAN
0.67,5,20,5,.333,5,.244,1,J Krizan,WM
0.687,1,10,4,.318,17,.282,4,T Jankowski,FW
0.633,2,9,5,.309,0,.231,1,K Swab,KC
0.451,0,0,0,.263,0,.188,0,T DeMello,CLI
0.869,2,27,6,.376,5,.299,0,D Paolini,CLI
0.711,1,7,4,.362,0,.258,3,A Fermin,LAN
0.819,3,8,3,.372,17,.291,4,D Sweeney,GL
0.538,2,3,2,.292,0,.189,0,J Acevedo,CLI
0.636,0,2,0,.311,0,.225,1,S Roberts,BUR
0.569,1,23,11,.265,6,.213,2,M Antonio,KC
0.0,0,0,0,--,0,--,0,D Baxendale,BEL
0.607,2,12,3,.298,2,.210,1,R Garcia,LC
0.431,0,0,2,.288,1,.143,0,S Dickinson,DAY
0.902,0,4,3,.395,0,.338,2,T Davis,PEO
0.188,0,1,0,.063,0,.063,0,J Parks,CR
0.816,2,9,3,.372,3,.295,5,R Jones,CR
0.609,1,5,3,.282,7,.227,2,N Cuevas,GL
0.94,0,3,2,.414,7,.329,0,K Muller,DAY
0.741,2,20,9,.348,48,.285,3,R Brett,BG
0.847,1,6,0,.390,7,.326,0,N Longmire,QC
0.734,7,27,9,.336,24,.253,8,J Perez,DAY
1.043,0,1,0,.563,0,.440,0,L Washington,LC
0.465,0,6,0,.188,0,.144,0,B Stone,SB
0.722,5,18,7,.334,12,.260,10,T Belza,SB
0.532,0,11,4,.242,0,.197,0,H Moreno,KC
0.78,1,2,0,.343,0,.281,0,B Kline,BG
0.568,3,11,6,.255,28,.208,3,J Arias,DAY
0.772,0,24,14,.340,20,.275,5,D Vettleson,BG
0.53,2,1,1,.286,12,.186,2,T Bowe,DAY
0.2,0,0,0,.200,0,.000,0,J Rodriguez,FW
0.543,8,9,4,.271,14,.222,2,J Lopez,KC
0.67,1,13,3,.323,7,.274,1,E Stamets,CR
0.662,2,4,2,.355,11,.220,2,J Dishon,WIS
0.716,5,14,8,.302,8,.252,8,G Pierre,LAN
0.37,1,1,0,.200,0,.149,0,J Walton,QC
0.815,1,36,18,.386,1,.307,2,C Seitzer,BG
0.665,0,2,2,.299,0,.217,2,E Gonzalez,PEO
0.787,0,20,8,.355,13,.245,5,J Blash,CLI
0.221,0,0,1,.130,1,.091,0,J Vega-Rosado,LAN
0.708,0,21,8,.322,0,.254,0,F Hall,CR
0.574,2,6,3,.298,18,.192,2,M Brisker,LAN
0.705,3,31,5,.306,5,.237,3,W Kirkland,BUR
0.587,5,12,10,.272,2,.230,0,Y Gonzalez,DAY
0.6,2,0,1,.298,8,.233,0,N Melendres,CLI
0.793,3,9,10,.390,2,.301,2,M Rice,BG
0.865,8,13,4,.403,15,.354,4,J Ramirez,LC
0.619,9,17,10,.316,13,.249,2,J Querecuto,BG
0.738,2,11,7,.326,20,.294,4,E Mesa,BUR
0.472,1,4,2,.235,0,.173,0,G Purroy,WM
0.632,12,13,3,.312,12,.248,2,A Pettersen,BEL
0.757,6,22,15,.345,17,.281,3,J Hager,BG
0.734,4,20,7,.355,20,.290,2,B Myles,LC
0.625,1,7,0,.274,5,.204,2,V Hill,QC
0.613,0,3,2,.265,0,.185,0,T Roberts,WIS
0.718,4,7,2,.295,1,.237,0,J Hunt,GL
0.663,3,17,13,.331,11,.269,4,C Hawkins,LAN
0.74,8,19,3,.335,11,.266,3,D Hazlett,CLI
0.611,3,18,11,.315,16,.237,0,K Moesquit,CR
0.692,0,1,0,.400,0,.250,0,K Castillo,BG
0.723,2,16,7,.332,2,.272,2,J Castillo,QC
0.616,5,6,6,.319,2,.222,3,Z MacPhee,LC
0.696,1,3,0,.385,1,.273,0,B Zapenas,PEO
0.654,12,19,7,.323,21,.256,4,C Wright,WM
0.564,3,3,1,.312,0,.196,0,N Pritchard,QC
0.917,0,12,2,.417,2,.283,1,S Liddle,BEL
0.488,1,5,5,.222,1,.181,0,J Shin,KC
0.751,0,36,8,.349,11,.271,1,M Helm,SB
0.718,3,18,8,.314,2,.246,0,A Lavisky,LC
0.752,10,24,4,.382,35,.249,7,Z DeVoss,PEO
0.611,4,6,4,.314,1,.250,0,S Burruel,PEO
1.0,0,0,0,.200,0,.200,0,J Zorrilla,CLI
0.0,0,0,0,.000,0,.000,0,J Guida,WM
0.883,1,14,7,.420,0,.298,1,J Choi,CLI
0.883,1,16,7,.381,0,.306,0,D Green,WM
0.793,0,36,10,.356,6,.263,3,J Malm,BG
0.752,1,19,5,.329,9,.278,5,A Workman,CR
0.795,0,0,0,.462,2,.333,0,G Suarez,GL
0.742,0,1,0,.357,0,.308,0,C Tanabe,CLI
0.753,9,24,4,.333,26,.270,9,C Stang,WIS
0.574,2,10,7,.271,1,.234,0,M Scioscia,CR
0.869,2,4,0,.309,0,.280,2,L Castillo,WM
0.541,1,7,4,.257,16,.241,2,J Sierra,DAY
0.908,0,7,1,.348,5,.262,4,D Robinson,BUR
1.101,0,1,1,.522,1,.421,1,A Edge,GL
0.55,7,10,5,.250,0,.237,0,P Leyland,WM
0.879,0,34,3,.354,3,.280,3,A Garcia,QC
0.737,2,17,3,.307,7,.271,3,Y Rodriguez,DAY
0.936,2,16,2,.389,2,.322,2,T Rahmatulla,QC
