Player,Pos,Team,Opp,Rush Yards,Rush TDs,Catches,Receive Yards,Receive TDs,Total Yards,Total TDs,FF Pts
Greg Olsen,TE,CAR,@ATL,0,0,4,40,0,40,0,4.0
Dane Sanzenbacher,WR,FA,MIN,0,0,3,40,0,40,0,4.0
Greg Little,WR,FA,@OAK,0,0,2,40,1,40,1,10.0
Austin Pettis,WR,SDC,@GB,0,0,3,40,0,40,0,4.0
Brandon Pettigrew,TE,DET,SF,0,0,4,40,0,40,0,4.0
Hines Ward,WR,FA,JAC,0,0,3,40,0,40,0,4.0
Michael Crabtree,WR,OAK,@DET,0,0,3,40,0,40,0,4.0
Davone Bess,WR,FA,@NYJ,0,0,3,40,0,40,0,4.0
Preston Parker,WR,NYG,NO,0,0,3,40,0,40,0,4.0
David Nelson,WR,FA,@NYG,0,0,3,40,0,40,0,4.0
Heath Miller,TE,PIT,JAC,0,0,2,30,1,30,1,9.0
Jacoby Ford,WR,TEN,CLE,0,0,3,30,0,30,0,3.0
Arrelious Benn,WR,JAC,NO,0,0,2,30,0,30,0,3.0
Devery Henderson,WR,FA,@TB,0,0,2,30,0,30,0,3.0
Andre Caldwell,WR,DEN,IND,0,0,2,30,0,30,0,3.0
Ben Watson,TE,NOS,@OAK,0,0,4,30,0,30,0,3.0
Jermaine Gresham,TE,ARI,IND,0,0,2,30,1,30,1,9.0
Kevin Boss,TE,FA,CLE,0,0,2,30,1,30,1,9.0
Kellen Winslow,TE,FA,NO,0,0,4,30,1,30,1,9.0
Jacoby Jones,WR,SDC,@BAL,0,0,2,30,0,30,0,3.0
Brian Hartline,WR,CLE,@NYJ,0,0,2,30,0,30,0,3.0
Denarius Moore,WR,CIN,CLE,0,0,2,30,0,30,0,3.0
Brian Robiskie,WR,FA,@OAK,0,0,2,30,0,30,0,3.0
Lance Kendricks,TE,STL,@GB,0,0,3,30,0,30,0,3.0
Devin Aromashodu,WR,FA,@CHI,0,0,2,30,0,30,0,3.0
Devin Hester,WR,ATL,MIN,0,0,2,30,0,30,0,3.0
Chris Cooley,TE,FA,PHI,0,0,1,20,0,20,0,2.0
Bernard Berrian,WR,FA,@CHI,0,0,1,20,0,20,0,2.0
Roy Williams,WR,FA,MIN,0,0,1,20,0,20,0,2.0
Evan Moore,TE,FA,@OAK,0,0,2,20,0,20,0,2.0
Eric Weems,WR,ATL,CAR,0,0,2,20,0,20,0,2.0
Anthony Armstrong,WR,FA,PHI,0,0,2,20,0,20,0,2.0
Visanthe Shiancoe,TE,FA,@CHI,0,0,2,20,0,20,0,2.0
Nate Burleson,WR,FA,SF,0,0,1,20,0,20,0,2.0
Dallas Clark,TE,FA,@CIN,0,0,2,20,0,20,0,2.0
Ted Ginn Jr.,WR,CAR,@DET,0,0,1,20,0,20,0,2.0
Jeremy Shockey,TE,FA,@ATL,0,0,2,20,0,20,0,2.0
Chad Johnson,WR,FA,DAL,0,0,1,20,0,20,0,2.0
Jake Ballard,TE,FA,BUF,0,0,2,20,0,20,0,2.0
Derrick Mason,WR,FA,MIA,0,0,1,20,0,20,0,2.0
Marcedes Lewis,TE,JAC,@PIT,0,0,3,20,0,20,0,2.0
Dustin Keller,TE,FA,MIA,0,0,1,10,0,10,0,1.0
Brent Celek,TE,PHI,@WAS,0,0,1,10,0,10,0,1.0
Scott Chandler,TE,NEP,@NYG,0,0,1,10,0,10,0,1.0
