VORP,SLG,TEAM,G,oppTAv,OBP,PPF,AB,LG
10.0,0.458,PHI,21,0.256,0.292,97,530,NL
21.1,0.368,SLN,33,0.255,0.274,98,804,NL
13.2,0.385,TOR,10,0.268,0.315,105,148,AL
-1.9,0.376,BAL,14,0.264,0.345,106,125,AL
3.9,0.407,ATL,30,0.26,0.294,100,651,NL
9.8,0.296,DET,50,0.262,0.299,106,189,AL
2.9,0.441,LAN,10,0.258,0.336,96,227,NL
1.0,0.548,SFN,4,0.248,0.378,87,42,NL
-4.3,0.411,MIA,22,0.264,0.36,94,73,NL
1.4,0.31,ARI,12,0.265,0.289,100,42,NL
-3.6,0.468,PIT,9,0.259,0.344,93,203,NL
1.5,0.505,SDN,13,0.253,0.38,94,204,NL
2.8,0.373,HOU,44,0.26,0.331,102,118,NL
0.9,0.426,BOS,29,0.263,0.33,104,711,AL
15.2,0.299,TBA,54,0.256,0.271,95,254,AL
1.2,0.321,CHN,25,0.265,0.357,103,78,NL
5.7,0.44,HOU,25,0.259,0.332,101,570,NL
9.1,0.418,PIT,24,0.253,0.341,97,491,NL
5.0,0.403,MIA,25,0.258,0.326,98,258,NL
0.4,0.4,KCA,13,0.258,0.438,103,60,AL
0.9,0.304,ANA,12,0.274,0.333,91,23,AL
-2.0,0.824,NYN,4,0.241,0.389,94,17,NL
1.4,0.371,CHN,30,0.261,0.311,103,132,NL
15.5,0.406,TEX,32,0.259,0.309,103,813,AL
-4.0,0.451,TOR,13,0.264,0.363,106,268,AL
13.6,0.438,BOS,29,0.263,0.337,105,625,AL
-6.4,0.418,PIT,32,0.257,0.315,96,658,NL
-1.3,0.643,CLE,9,0.246,0.515,100,28,AL
-0.0,0.1,SFN,6,0.264,0.333,91,10,NL
8.5,0.288,CHA,51,0.261,0.273,106,170,AL
8.5,0.376,CLE,61,0.262,0.277,99,221,AL
0.1,0.0,NYN,1,0.213,0.0,93,2,NL
-2.5,0.7,COL,3,0.257,0.365,101,50,NL
-2.6,0.443,BOS,41,0.263,0.311,104,176,AL
-1.9,0.358,MIA,35,0.258,0.356,96,491,NL
3.6,0.178,CHA,24,0.259,0.184,109,45,AL
9.5,0.349,MIL,72,0.26,0.344,109,255,NL
-0.9,0.663,NYN,8,0.259,0.381,95,86,NL
2.1,0.462,CLE,26,0.257,0.358,101,132,AL
7.4,0.358,PHI,65,0.265,0.305,99,193,NL
0.1,0.471,OAK,6,0.256,0.5,87,17,AL
10.4,0.511,NYA,28,0.263,0.349,102,673,AL
10.9,0.261,OAK,71,0.266,0.256,95,253,AL
-2.2,0.75,TBA,5,0.244,0.409,98,20,AL
18.9,0.363,MIA,31,0.255,0.315,95,713,NL
-4.9,0.524,OAK,5,0.261,0.398,87,82,AL
0.7,0.41,DET,13,0.264,0.312,105,83,AL
6.5,0.283,MIL,6,0.264,0.318,107,99,NL
5.1,0.376,CHA,74,0.264,0.313,106,245,AL
31.2,0.389,MIL,23,0.257,0.305,109,493,NL
-5.1,0.535,PHI,35,0.26,0.348,100,129,NL
-0.4,0.445,CHA,9,0.26,0.345,103,209,AL
10.3,0.4,DET,12,0.261,0.314,105,295,AL
0.0,0.6,SFN,2,0.258,0.5,140,10,NL
-4.5,0.408,SLN,70,0.263,0.321,98,179,NL
-0.6,0.0,LAN,1,0.267,0.5,87,2,NL
1.7,0.333,PIT,17,0.265,0.281,93,54,NL
8.9,0.386,ATL,18,0.254,0.341,99,347,NL
-0.4,0.633,SLN,4,0.255,0.375,94,30,NL
19.2,0.383,TBA,33,0.266,0.295,95,869,AL
3.2,0.39,PHI,35,0.263,0.333,102,123,NL
-4.8,0.385,PIT,66,0.256,0.292,95,288,NL
-0.1,0.5,ARI,1,0.261,0.6,105,4,NL
0.7,0.388,CLE,34,0.263,0.348,99,788,AL
11.7,0.34,WAS,59,0.257,0.296,103,326,NL
6.0,0.275,PHI,32,0.264,0.29,98,109,NL
-1.2,0.515,OAK,26,0.262,0.357,96,103,AL
0.7,0.405,MIN,30,0.259,0.267,105,116,AL
-0.1,0.412,SFN,1,0.27,0.524,86,17,NL
-0.4,0.464,MIN,44,0.262,0.334,106,373,AL
13.0,0.357,TEX,66,0.264,0.273,105,238,AL
-2.0,0.579,ANA,3,0.269,0.4,86,19,AL
12.9,0.407,PHI,25,0.256,0.306,96,594,NL
39.5,0.377,PHI,31,0.254,0.285,100,802,NL
-0.1,0.427,LAN,10,0.261,0.344,93,218,NL
9.5,0.426,HOU,71,0.266,0.336,100,270,NL
0.9,0.357,PIT,4,0.264,0.438,96,14,NL
-1.3,0.54,ARI,9,0.263,0.37,106,187,NL
-7.4,0.561,HOU,5,0.258,0.403,99,98,NL
4.9,0.438,MIN,17,0.263,0.296,107,349,AL
5.4,0.288,TEX,37,0.263,0.178,104,125,AL
12.2,0.36,BAL,69,0.263,0.254,104,242,AL
-0.1,1.5,NYN,1,0.219,0.8,93,4,NL
9.2,0.367,WAS,70,0.263,0.307,100,221,NL
2.3,0.484,HOU,30,0.258,0.411,102,126,NL
4.8,0.324,SEA,33,0.264,0.303,90,111,AL
18.2,0.421,CIN,32,0.258,0.301,101,782,NL
-2.7,0.369,SDN,67,0.26,0.305,93,241,NL
6.8,0.357,TEX,58,0.26,0.259,104,241,AL
-6.4,0.444,ARI,6,0.261,0.341,100,117,NL
-1.5,0.852,HOU,6,0.269,0.563,108,27,NL
2.4,0.222,ANA,1,0.239,0.167,91,18,AL
8.2,0.374,KCA,7,0.267,0.297,105,139,AL
12.1,0.446,TOR,38,0.264,0.312,106,466,AL
19.3,0.41,LAN,25,0.255,0.315,91,575,NL
14.7,0.423,MIA,31,0.261,0.331,95,751,NL
-1.1,0.48,MIN,12,0.261,0.356,107,244,AL
-4.0,0.786,NYN,3,0.247,0.4,116,42,NL
10.4,0.414,CHN,77,0.26,0.314,99,263,NL
-0.1,0.473,SEA,26,0.265,0.317,93,598,AL
2.4,0.382,LAN,31,0.26,0.329,95,678,NL
-1.3,0.387,SFN,60,0.263,0.361,92,194,NL
-18.8,0.435,SDN,33,0.255,0.304,95,853,NL
0.3,0.364,MIL,6,0.261,0.316,110,33,NL
-0.8,0.579,BAL,5,0.255,0.381,110,19,AL
-14.5,0.584,MIN,19,0.265,0.374,103,421,AL
11.7,0.345,NYN,74,0.265,0.303,97,261,NL
4.3,0.446,NYN,48,0.264,0.345,97,175,NL
-3.1,0.506,SEA,26,0.264,0.343,90,87,AL
-1.8,0.371,SDN,6,0.263,0.341,98,35,NL
1.4,0.463,ARI,45,0.256,0.354,103,136,NL
-2.0,0.333,LAN,36,0.268,0.381,92,51,NL
0.3,0.53,TOR,14,0.258,0.361,106,66,AL
-0.4,0.75,ANA,2,0.246,0.462,103,12,AL
4.6,0.361,OAK,33,0.266,0.327,100,180,AL
-1.6,0.5,MIL,10,0.258,0.429,115,26,NL
-3.0,0.333,CHA,21,0.264,0.259,106,51,AL
12.9,0.435,NYN,21,0.252,0.315,96,453,NL
4.2,0.329,DET,18,0.259,0.326,107,76,AL
35.8,0.333,SEA,33,0.268,0.296,87,867,AL
-4.7,0.415,SEA,34,0.262,0.267,88,130,AL
16.5,0.282,ARI,72,0.266,0.263,102,252,NL
7.8,0.487,COL,11,0.248,0.374,119,230,NL
0.7,0.538,SFN,26,0.259,0.374,101,80,NL
-2.3,1.556,BAL,1,0.279,0.7,109,9,AL
6.5,0.321,TEX,58,0.267,0.303,104,237,AL
8.1,0.374,TBA,23,0.263,0.316,93,511,AL
-3.1,1.087,ARI,6,0.266,0.692,109,23,NL
10.0,0.457,COL,14,0.258,0.364,119,278,NL
1.1,0.35,CIN,3,0.234,0.273,97,20,NL
13.4,0.396,COL,80,0.266,0.326,118,323,NL
3.9,0.339,SEA,46,0.258,0.353,90,171,AL
-0.5,0.571,ANA,2,0.248,0.455,91,7,AL
-1.3,0.6,BAL,6,0.258,0.357,99,25,AL
2.7,0.378,CIN,66,0.262,0.326,100,222,NL
-0.6,0.397,SLN,22,0.261,0.305,102,73,NL
5.2,0.361,CIN,25,0.264,0.276,102,83,NL
2.8,0.518,TEX,39,0.263,0.389,106,137,AL
0.6,0.309,OAK,24,0.259,0.221,95,68,AL
20.5,0.412,CIN,33,0.256,0.306,99,804,NL
6.4,0.499,COL,16,0.257,0.361,118,337,NL
-3.0,2.6,CHN,2,0.288,0.833,100,5,NL
3.1,0.333,TEX,28,0.265,0.278,106,132,AL
3.8,0.305,CLE,72,0.26,0.289,100,249,AL
0.3,0.363,HOU,32,0.261,0.322,100,730,NL
1.2,0.392,PHI,17,0.256,0.304,99,51,NL
10.4,0.338,WAS,74,0.265,0.283,100,269,NL
-2.6,0.391,BOS,26,0.265,0.301,105,151,AL
7.9,0.432,DET,73,0.263,0.288,105,259,AL
2.0,0.357,SEA,35,0.263,0.311,91,115,AL
10.7,0.389,BAL,18,0.264,0.305,104,391,AL
-1.3,0.474,PHI,19,0.252,0.33,100,95,NL
-2.2,0.508,SFN,22,0.259,0.394,92,122,NL
4.1,0.49,BOS,56,0.261,0.355,104,198,AL
-1.4,0.444,KCA,42,0.257,0.318,103,187,AL
-0.2,0.412,MIN,17,0.263,0.383,108,85,AL
4.6,0.379,KCA,51,0.264,0.321,101,145,AL
6.7,0.379,ANA,13,0.266,0.3,96,330,AL
-3.9,0.432,NYN,30,0.257,0.392,97,183,NL
0.7,0.5,PHI,1,0.256,0.5,102,4,NL
8.4,0.269,ANA,56,0.266,0.261,96,186,AL
-1.7,4.0,PIT,1,0.299,1.0,89,1,NL
19.5,0.46,NYA,32,0.259,0.305,104,758,AL
43.4,0.359,WAS,28,0.252,0.291,101,591,NL
2.7,0.395,LAN,7,0.264,0.315,96,167,NL
-1.1,0.393,CHN,18,0.257,0.301,101,382,NL
1.9,0.406,ATL,11,0.253,0.295,97,261,NL
16.9,0.4,OAK,24,0.264,0.292,94,605,AL
25.0,0.358,OAK,29,0.269,0.312,96,670,AL
9.1,0.434,ARI,28,0.253,0.308,104,348,NL
32.5,0.381,NYA,28,0.257,0.285,102,774,AL
9.3,0.327,CIN,48,0.26,0.3,102,208,NL
21.4,0.424,OAK,31,0.26,0.313,95,745,AL
10.1,0.259,ATL,13,0.253,0.248,102,286,NL
-1.3,0.303,OAK,11,0.256,0.419,94,33,AL
-0.3,0.25,CHA,2,0.233,0.4,106,8,AL
-0.6,0.375,SLN,16,0.26,0.325,100,72,NL
-1.1,0.333,ATL,8,0.25,0.25,96,18,NL
-1.8,0.311,OAK,19,0.271,0.348,94,74,AL
10.2,0.416,PHI,37,0.259,0.315,100,606,NL
-1.7,0.396,SDN,31,0.259,0.352,96,106,NL
2.1,0.423,MIA,73,0.266,0.357,95,248,NL
5.4,0.273,SEA,48,0.265,0.256,92,161,AL
12.2,0.301,SEA,73,0.266,0.277,90,292,AL
15.5,0.404,PIT,30,0.256,0.311,97,631,NL
14.1,0.41,LAN,33,0.256,0.305,94,741,NL
6.7,0.291,SLN,78,0.261,0.279,100,265,NL
8.0,0.412,MIL,7,0.253,0.311,111,148,NL
0.8,0.136,LAN,11,0.28,0.269,93,22,NL
8.5,0.294,MIN,64,0.263,0.255,106,221,AL
3.5,0.358,SFN,70,0.258,0.336,95,137,NL
-2.7,0.409,COL,63,0.261,0.345,119,328,NL
-2.1,0.593,MIA,8,0.264,0.304,91,54,NL
23.0,0.453,ARI,33,0.258,0.322,102,812,NL
3.2,0.364,CLE,17,0.265,0.327,98,132,AL
1.2,0.318,TBA,6,0.256,0.306,98,107,AL
1.5,0.358,CLE,27,0.262,0.352,99,109,AL
0.7,0.222,BOS,4,0.267,0.323,106,27,AL
-0.1,0.488,BAL,6,0.265,0.362,109,41,AL
3.9,0.331,SFN,44,0.26,0.26,92,163,NL
-5.5,0.548,CHN,5,0.255,0.383,98,104,NL
4.4,0.392,PIT,61,0.258,0.329,96,293,NL
-6.7,0.444,TOR,22,0.26,0.333,107,385,AL
0.4,0.6,ARI,1,0.26,0.4,105,5,NL
5.1,0.398,WAS,45,0.256,0.32,101,269,NL
11.1,0.358,MIN,70,0.259,0.273,105,257,AL
-0.9,0.769,ARI,3,0.257,0.4,103,13,NL
0.8,0.427,KCA,12,0.259,0.347,102,131,AL
0.8,0.349,ANA,57,0.268,0.309,95,175,AL
-0.3,0.5,NYN,7,0.266,0.35,94,18,NL
3.4,0.366,SDN,33,0.26,0.321,95,172,NL
-0.4,0.508,MIN,11,0.267,0.337,103,256,AL
-1.3,0.731,COL,2,0.264,0.485,118,26,NL
-2.6,0.489,HOU,52,0.265,0.381,101,219,NL
-6.7,0.586,CHA,18,0.249,0.338,111,128,AL
-0.6,0.439,HOU,35,0.262,0.323,99,123,NL
-3.4,0.433,CHN,10,0.272,0.452,105,30,NL
2.1,0.292,KCA,18,0.253,0.275,103,65,AL
-0.6,1.5,BOS,1,0.269,0.667,109,4,AL
-2.0,0.588,TOR,6,0.264,0.325,103,34,AL
10.6,0.424,BAL,32,0.263,0.305,103,743,AL
-1.7,0.647,MIA,1,0.253,0.522,102,17,NL
12.1,0.346,NYA,12,0.253,0.286,102,280,AL
14.5,0.423,DET,23,0.262,0.309,104,376,AL
16.3,0.459,NYN,20,0.254,0.324,96,442,NL
-1.0,0.524,SFN,4,0.248,0.391,86,21,NL
31.0,0.361,SFN,32,0.26,0.274,92,796,NL
0.6,0.591,DET,2,0.249,0.5,107,22,AL
7.5,0.468,BAL,34,0.263,0.349,103,395,AL
7.1,0.411,KCA,30,0.263,0.348,103,632,AL
-0.7,0.583,DET,2,0.261,0.308,106,12,AL
0.8,0.5,KCA,3,0.275,0.405,101,34,AL
28.4,0.401,SLN,35,0.255,0.327,100,663,NL
12.9,0.442,BOS,33,0.259,0.331,105,792,AL
1.9,0.457,SDN,17,0.265,0.402,94,81,NL
10.0,0.372,MIL,62,0.259,0.366,109,234,NL
6.0,0.471,KCA,32,0.263,0.347,103,719,AL
4.7,0.353,OAK,30,0.26,0.284,98,136,AL
-2.0,0.409,WAS,66,0.262,0.3,102,237,NL
2.8,0.516,COL,71,0.26,0.337,125,223,NL
-1.7,0.398,NYN,34,0.26,0.295,96,93,NL
4.6,0.325,SFN,67,0.263,0.316,97,237,NL
0.1,0.258,NYN,13,0.257,0.306,98,31,NL
6.9,0.229,SDN,40,0.265,0.196,94,131,NL
0.2,0.364,SDN,11,0.262,0.3,92,44,NL
3.0,0.367,NYN,73,0.262,0.25,95,215,NL
11.7,0.323,TOR,62,0.26,0.241,107,226,AL
5.6,0.361,WAS,6,0.259,0.364,100,122,NL
-2.9,0.36,BOS,40,0.259,0.293,105,139,AL
7.3,0.47,TEX,12,0.268,0.337,103,268,AL
1.2,0.397,DET,12,0.26,0.38,101,63,AL
