RBI,OBP,3B,H,SB,G
13,.248,1,23,1,47
30,.409,3,54,11,62
8,.333,0,16,2,21
13,.250,0,32,2,45
18,.291,2,23,2,38
3,.232,0,7,1,18
15,.317,0,25,2,32
7,.324,0,15,13,48
6,.237,1,8,0,29
19,.291,1,25,3,41
2,.196,0,5,0,20
3,.219,1,13,1,28
8,.363,1,24,0,22
27,.366,6,68,15,69
29,.341,4,47,8,58
2,.205,0,5,0,18
7,.395,0,17,3,35
0,.500,0,1,0,1
13,.325,2,31,8,47
7,.300,1,33,0,60
12,.304,2,54,17,59
13,.326,3,35,5,48
18,.431,2,42,7,52
26,.323,1,55,17,67
17,.374,1,43,2,60
7,.308,0,13,4,20
24,.377,4,32,8,58
13,.365,2,50,12,51
21,.277,0,28,3,43
1,.313,0,1,2,4
6,.273,0,17,2,51
8,.305,0,18,1,32
7,.500,1,8,0,11
12,.376,1,23,3,28
15,.339,1,24,6,44
20,.319,1,41,15,56
25,.380,1,45,12,59
46,.335,0,40,4,61
23,.361,0,58,3,59
1,.325,0,9,1,16
6,.206,0,6,5,32
5,.293,0,16,1,29
7,.295,0,14,2,27
8,.302,0,12,0,30
30,.345,5,61,12,64
23,.322,0,41,1,53
14,.246,0,36,6,50
7,.380,0,21,3,26
11,.279,4,51,11,63
2,.256,0,9,0,16
14,.300,0,38,5,60
8,.356,2,24,0,42
6,.233,0,9,1,23
17,.268,2,41,13,59
38,.327,0,54,19,59
24,.324,3,36,7,45
16,.327,2,53,1,59
14,.363,3,32,0,33
0,.478,0,3,2,6
8,.341,0,10,0,14
4,.271,1,12,2,25
6,.425,0,26,13,36
24,.357,3,56,3,58
0,--,0,0,0,1
20,.301,1,52,9,61
33,.384,0,58,14,62
19,.329,2,59,9,70
23,.303,1,54,11,66
11,.326,0,20,8,49
10,.277,1,18,2,35
19,.381,2,53,15,66
18,.306,1,28,4,36
6,.313,0,13,0,31
5,.352,0,9,6,23
18,.360,1,37,12,42
18,.299,1,43,4,59
3,.276,1,17,4,34
23,.325,6,43,15,72
10,.301,0,13,1,31
2,.288,4,16,6,30
12,.297,0,24,0,33
23,.385,0,41,43,63
1,.250,0,5,0,16
10,.409,2,31,5,34
22,.320,0,66,28,71
34,.307,2,52,3,59
10,.333,0,16,0,22
5,.289,0,5,0,12
1,.250,0,5,1,15
13,.331,8,42,6,66
13,.375,2,25,9,39
15,.244,5,43,7,65
7,.351,0,14,6,28
7,.345,0,16,6,41
33,.340,3,63,9,64
20,.371,0,40,7,57
1,.385,0,2,0,9
9,.319,1,27,7,33
27,.359,2,67,14,68
18,.348,0,39,2,49
26,.376,4,46,19,58
3,.212,0,22,7,43
0,.159,0,7,0,21
22,.333,0,42,8,51
21,.287,1,32,1,44
12,.358,1,35,9,50
5,.335,0,32,2,45
3,.316,0,5,0,14
0,--,0,0,0,1
20,.372,2,68,21,65
14,.301,1,26,10,40
26,.373,3,46,23,59
7,.304,0,23,2,40
20,.253,0,28,0,46
1,.260,0,7,0,31
20,.376,0,67,7,54
9,.302,1,25,5,42
11,.376,1,20,3,37
10,.297,1,20,5,37
