Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Mike Gonzalez, ,18,3,1,0,1,3,1,8,1,1,0.167,0.25,0.389,0.639
Tommy Hanson,SF,18,3,0,0,2,3,3,9,2,0,0.167,0.286,0.5,0.786
Chuck James, ,18,3,0,0,3,7,2,7,0,0,0.167,0.238,0.667,0.905
Ryan Dempster, ,17,6,1,0,2,7,4,8,1,0,0.353,0.476,0.765,1.241
Henderson Alvarez,MIA,17,3,0,0,1,1,2,4,0,0,0.176,0.263,0.353,0.616
Ian Kennedy,SD,17,2,0,0,0,0,1,4,0,0,0.118,0.167,0.118,0.284
Hiroki Kuroda, ,17,2,0,0,1,3,0,7,1,0,0.118,0.111,0.294,0.405
Pedro Martinez, ,16,6,1,0,2,3,2,6,2,0,0.375,0.444,0.813,1.257
Shelby Miller,ATL,16,6,1,0,3,7,3,5,2,0,0.375,0.474,1.0,1.474
Bud Norris,BAL,16,6,2,0,2,7,0,3,0,0,0.375,0.375,0.875,1.25
Tom Koehler,MIA,16,5,1,0,0,1,4,5,1,0,0.313,0.45,0.375,0.825
Tony Armas, ,16,4,0,0,2,3,3,7,0,0,0.25,0.368,0.625,0.993
Jorge De La Rosa,COL,16,4,1,0,1,6,0,5,1,0,0.25,0.235,0.5,0.735
Clay Hensley, ,16,4,1,0,0,3,2,3,1,0,0.25,0.333,0.313,0.646
Renyel Pinto, ,16,4,1,0,2,4,4,8,0,0,0.25,0.4,0.688,1.088
Tim Byrdak, ,16,3,1,0,0,3,2,8,0,0,0.188,0.278,0.25,0.528
John Lackey,STL,16,3,0,0,2,2,1,9,1,0,0.188,0.235,0.563,0.798
Jonny Venters,TB,16,2,0,0,0,0,0,8,0,0,0.125,0.176,0.125,0.301
Matt Garza,MIL,16,0,0,0,0,0,2,5,0,0,0.0,0.111,0.0,0.111
Joe Beimel,SEA,15,7,2,1,2,7,4,3,1,0,0.467,0.579,1.133,1.712
Wandy Rodriguez,TEX,15,5,0,0,2,5,1,5,0,0,0.333,0.375,0.733,1.108
Jhoulys Chacin,AZ,15,4,0,0,1,4,1,3,0,0,0.267,0.313,0.467,0.779
Tyler Clippard,NY-N,15,4,1,0,0,0,3,5,0,0,0.267,0.389,0.333,0.722
Nathan Eovaldi,NY-A,15,4,1,0,1,3,1,1,0,1,0.267,0.313,0.533,0.846
Brandon Webb, ,15,4,1,0,1,2,1,4,1,0,0.267,0.313,0.533,0.846
Dontrelle Willis, ,15,4,0,0,1,4,1,5,0,0,0.267,0.353,0.467,0.82
Jaime Garcia,STL,15,3,0,0,1,1,0,8,0,0,0.2,0.2,0.4,0.6
Chris Young,KC,15,3,1,0,2,7,5,5,2,1,0.2,0.4,0.667,1.067
Clayton Kershaw,LA,15,2,2,0,0,3,3,8,1,0,0.133,0.263,0.267,0.53
Jeremy Affeldt,SF,15,1,0,0,0,1,1,5,2,0,0.067,0.176,0.067,0.243
Joe Saunders,SEA,15,1,0,0,0,0,0,7,1,0,0.067,0.067,0.067,0.133
Jorge Sosa, ,14,7,1,0,2,4,5,3,0,0,0.5,0.632,1.0,1.632
Rodrigo Lopez, ,14,6,0,0,1,3,1,3,1,0,0.429,0.467,0.643,1.11
Kevin Correia,PHI,14,5,0,0,1,6,0,3,0,0,0.357,0.357,0.571,0.929
Jeff Suppan, ,14,5,0,0,2,5,0,2,0,0,0.357,0.357,0.786,1.143
Jonathan Sanchez, ,14,3,2,1,0,3,1,7,1,0,0.214,0.267,0.5,0.767
Carlos Villanueva,STL,14,3,0,0,0,1,1,3,0,0,0.214,0.267,0.214,0.481
Billy Wagner, ,14,3,1,0,0,0,2,7,0,0,0.214,0.313,0.286,0.598
Doug Fister,WAS,14,2,1,0,0,0,1,1,0,0,0.143,0.2,0.214,0.414
Tom Gorzelanny,DET,14,2,0,0,0,1,1,6,1,0,0.143,0.188,0.143,0.33
Luis Avilan,LA,14,1,0,0,0,0,1,7,1,0,0.071,0.133,0.071,0.205
Ryan Vogelsong,SF,13,7,1,0,1,5,0,1,0,0,0.538,0.5,0.846,1.346
Saul Rivera, ,13,5,1,0,1,3,2,3,0,0,0.385,0.5,0.692,1.192
Brandon Beachy,LA,13,3,1,0,1,3,2,2,0,0,0.231,0.333,0.538,0.872
Sean Burnett, ,13,3,1,0,0,1,3,5,2,1,0.231,0.375,0.308,0.683
Chris Capuano,NY-A,13,3,0,0,0,1,0,4,0,0,0.231,0.231,0.231,0.462
Matt Harvey,NY-N,13,3,0,0,1,4,1,8,2,0,0.231,0.25,0.462,0.712
Aaron Heilman, ,13,2,0,0,1,1,3,6,0,0,0.154,0.313,0.385,0.697
Javier Lopez,SF,13,2,1,0,0,1,0,6,0,0,0.154,0.143,0.231,0.374
Andy Pettitte, ,13,2,0,0,0,1,0,3,0,0,0.154,0.154,0.154,0.308
Ian Snell, ,13,2,0,0,0,2,2,6,1,0,0.154,0.25,0.154,0.404
Max Scherzer,WAS,13,1,1,0,0,1,1,8,1,0,0.077,0.133,0.154,0.287
