AB,OBP,oppOBP,SLG,AGE,PA,oppOPS,VORP,oppTAv,oppSLG
8,0.4,0.32,0.375,27,10,0.711,-0.2,0.267,0.392
390,0.384,0.307,0.49,32,441,0.682,2.8,0.252,0.374
793,0.327,0.313,0.527,34,855,0.702,-14.7,0.257,0.389
246,0.344,0.321,0.252,24,295,0.717,5.3,0.263,0.395
29,0.273,0.336,0.483,41,33,0.76,-2.8,0.276,0.424
49,0.467,0.307,0.571,26,60,0.683,-4.2,0.249,0.376
592,0.353,0.313,0.453,28,698,0.702,7.6,0.257,0.39
54,0.371,0.313,0.463,25,64,0.701,-0.7,0.256,0.388
199,0.333,0.314,0.482,33,225,0.705,-11.3,0.258,0.391
577,0.278,0.31,0.374,25,621,0.698,15.4,0.256,0.388
570,0.306,0.31,0.384,25,627,0.696,-3.6,0.257,0.386
91,0.245,0.315,0.341,24,99,0.706,1.9,0.264,0.391
797,0.34,0.322,0.398,23,901,0.729,-3.3,0.263,0.407
4,0.25,0.27,0.25,27,4,0.627,0.3,0.238,0.357
131,0.407,0.321,0.733,24,146,0.744,-9.5,0.265,0.423
515,0.312,0.311,0.416,25,561,0.699,6.9,0.254,0.388
209,0.339,0.309,0.435,25,243,0.683,-8.3,0.253,0.375
29,0.323,0.33,0.414,24,31,0.759,0.8,0.27,0.429
816,0.296,0.322,0.365,26,917,0.731,9.7,0.263,0.409
93,0.35,0.316,0.516,22,100,0.727,1.1,0.261,0.411
767,0.299,0.316,0.439,31,839,0.711,10.7,0.259,0.396
231,0.321,0.316,0.355,26,268,0.713,-3.0,0.26,0.397
190,0.324,0.322,0.279,33,222,0.714,-1.8,0.263,0.391
146,0.376,0.324,0.473,29,167,0.727,0.6,0.263,0.404
35,0.432,0.317,0.6,28,44,0.718,-0.4,0.257,0.401
661,0.365,0.317,0.372,27,769,0.714,3.1,0.261,0.396
12,0.357,0.325,0.583,34,14,0.743,-1.4,0.266,0.418
4,0.5,0.325,0.5,32,6,0.718,0.9,0.272,0.393
651,0.331,0.314,0.427,33,719,0.704,-2.5,0.259,0.39
113,0.333,0.318,0.354,27,132,0.705,-0.4,0.259,0.387
2,0.0,0.291,0.0,24,2,0.625,0.1,0.236,0.335
28,0.5,0.326,0.679,30,36,0.746,-0.4,0.27,0.42
6,0.6,0.329,0.333,34,10,0.768,-1.3,0.27,0.439
718,0.355,0.313,0.435,33,809,0.703,7.6,0.257,0.391
62,0.408,0.325,0.484,38,77,0.721,-3.5,0.264,0.396
137,0.351,0.308,0.555,28,152,0.697,-6.5,0.253,0.389
219,0.309,0.324,0.347,35,250,0.734,3.6,0.264,0.41
206,0.353,0.317,0.432,34,237,0.706,-0.5,0.26,0.389
46,0.339,0.323,0.239,25,59,0.722,1.6,0.267,0.399
49,0.339,0.298,0.449,25,56,0.657,-0.3,0.246,0.36
108,0.278,0.322,0.38,27,117,0.722,1.2,0.263,0.4
404,0.326,0.322,0.399,25,441,0.725,9.9,0.26,0.403
28,0.29,0.333,0.321,26,33,0.745,0.7,0.272,0.413
163,0.368,0.327,0.454,29,196,0.738,-1.6,0.265,0.411
47,0.357,0.317,0.34,23,56,0.716,1.0,0.257,0.399
734,0.323,0.31,0.458,32,802,0.701,10.9,0.257,0.391
658,0.297,0.312,0.412,27,715,0.704,28.3,0.255,0.392
77,0.393,0.322,0.468,23,84,0.728,2.3,0.261,0.405
60,0.324,0.315,0.333,28,68,0.696,2.1,0.258,0.381
851,0.301,0.313,0.394,24,921,0.699,28.0,0.258,0.386
35,0.179,0.311,0.171,24,39,0.704,0.6,0.253,0.392
142,0.329,0.32,0.359,37,168,0.719,4.3,0.265,0.399
21,0.387,0.314,0.429,27,31,0.658,-2.5,0.251,0.344
71,0.353,0.322,0.282,34,86,0.724,3.2,0.266,0.402
14,0.471,0.33,0.429,27,17,0.717,1.1,0.27,0.388
260,0.339,0.322,0.377,25,303,0.724,4.7,0.261,0.402
128,0.421,0.307,0.492,37,146,0.689,2.0,0.255,0.382
216,0.275,0.317,0.306,33,241,0.713,9.2,0.258,0.396
11,0.636,0.324,1.182,24,11,0.706,-2.8,0.25,0.382
23,0.481,0.309,1.043,27,27,0.709,-3.8,0.252,0.401
43,0.327,0.333,0.326,25,50,0.753,0.4,0.268,0.42
524,0.304,0.325,0.426,28,572,0.741,12.2,0.264,0.416
724,0.32,0.309,0.42,32,808,0.701,13.4,0.256,0.393
253,0.397,0.326,0.518,27,293,0.744,5.1,0.263,0.417
29,0.471,0.329,0.621,26,34,0.729,-0.2,0.256,0.4
17,0.111,0.301,0.059,23,18,0.658,1.0,0.239,0.357
282,0.282,0.327,0.284,28,307,0.74,16.7,0.269,0.413
51,0.446,0.317,0.549,26,56,0.715,-3.0,0.261,0.398
723,0.294,0.313,0.414,35,800,0.701,7.3,0.257,0.388
246,0.309,0.315,0.402,31,264,0.71,-4.5,0.262,0.395
223,0.272,0.327,0.305,26,250,0.746,12.8,0.265,0.419
275,0.274,0.32,0.364,27,297,0.716,4.0,0.263,0.396
32,0.432,0.319,0.563,29,37,0.731,-1.0,0.261,0.411
233,0.329,0.319,0.382,27,260,0.717,3.1,0.262,0.398
60,0.308,0.314,0.45,26,65,0.722,-1.9,0.259,0.408
15,0.421,0.337,0.4,29,19,0.737,0.0,0.275,0.4
12,0.308,0.346,0.667,25,13,0.82,0.5,0.285,0.474
36,0.405,0.323,0.611,25,43,0.734,-2.1,0.263,0.411
214,0.338,0.309,0.449,26,244,0.69,-4.5,0.254,0.381
835,0.289,0.327,0.37,25,918,0.751,35.1,0.266,0.424
54,0.305,0.341,0.407,28,59,0.768,0.5,0.269,0.426
904,0.242,0.319,0.313,28,969,0.718,49.3,0.258,0.399
199,0.403,0.311,0.508,34,225,0.705,-4.3,0.259,0.394
225,0.305,0.311,0.351,30,254,0.691,3.3,0.255,0.379
47,0.404,0.304,0.511,28,52,0.683,-1.4,0.252,0.378
304,0.336,0.31,0.421,26,339,0.693,7.5,0.254,0.383
432,0.311,0.312,0.421,26,479,0.696,-7.5,0.257,0.384
773,0.3,0.313,0.415,36,838,0.702,12.2,0.258,0.389
44,0.365,0.321,0.432,27,52,0.729,-2.5,0.262,0.408
589,0.321,0.317,0.406,34,654,0.71,14.2,0.256,0.393
279,0.309,0.314,0.427,24,299,0.696,9.7,0.257,0.382
30,0.469,0.307,0.733,29,33,0.691,-2.9,0.257,0.385
247,0.271,0.32,0.32,36,274,0.722,3.1,0.263,0.402
770,0.344,0.313,0.434,27,860,0.706,-7.6,0.26,0.393
16,0.474,0.304,0.438,27,20,0.702,1.0,0.25,0.398
72,0.395,0.321,0.486,32,81,0.737,2.1,0.261,0.416
627,0.335,0.311,0.419,24,694,0.703,19.0,0.258,0.392
87,0.351,0.313,0.391,27,98,0.696,3.3,0.256,0.384
