DB ID,Stock,Stock Long Name,Date announced,Financial Year End,Quarter,"Revenue, Quarter","Profit before tax, Quarter","Profit after tax, Quarter","Profit for share holders, Quarter","EPS, Quarter","Dividend, Quarter","Revenue, Year","Profit before tax, Year","Profit after tax, Year","Profit for share holders, Year","EPS, Year","Dividend, Year",Shares Issued (approx),Quarterly Profit Margin,Price during announcement,Relative price*
9796.0,KBUNAI,KARAMBUNAI CORP BHD,2012-05-31,2012-03-31,4,"RM 55,444,000","RM 5,481,000","RM -2,192,000","RM -2,192,000",-0.11 cents,0.00 cents,"RM 176,677,000","RM -34,730,000","RM -41,968,000","RM -41,968,000",-2.07 cents,0.00 cents,"1,993,000,000",9.89 %,0.145,2.94
10728.0,KBUNAI,KARAMBUNAI CORP BHD,2012-08-30,2013-03-31,1,"RM 17,383,000","RM -12,394,000","RM -11,995,000","RM -11,994,000",-0.59 cents,0.00 cents,"RM 17,383,000","RM -12,394,000","RM -11,995,000","RM -11,994,000",-0.59 cents,0.00 cents,"2,033,000,000",-71.3 %,0.135,2.74
11616.0,KBUNAI,KARAMBUNAI CORP BHD,2012-11-29,2013-03-31,2,"RM 24,170,000","RM 47,070,000","RM 46,629,000","RM 46,629,000",2.30 cents,0.00 cents,"RM 41,553,000","RM 34,676,000","RM 34,634,000","RM 34,635,000",1.71 cents,0.00 cents,"2,027,000,000",194.75 %,0.135,2.74
12035.0,KBUNAI,KARAMBUNAI CORP BHD,2013-02-21,2013-03-31,3,"RM 22,440,000","RM -8,466,000","RM -8,824,000","RM -8,823,000",-0.43 cents,0.00 cents,"RM 63,993,000","RM 26,210,000","RM 25,810,000","RM 25,812,000",1.27 cents,0.00 cents,"2,052,000,000",-37.73 %,0.115,2.33
13635.0,KBUNAI,KARAMBUNAI CORP BHD,2013-05-31,2013-03-31,4,"RM 28,971,000","RM -36,115,000","RM -44,821,000","RM -44,819,000",-2.21 cents,0.00 cents,"RM 92,964,000","RM -9,905,000","RM -19,011,000","RM -19,007,000",-0.94 cents,0.00 cents,"2,028,000,000",-124.66 %,0.125,2.53
14552.0,KBUNAI,KARAMBUNAI CORP BHD,2013-08-30,2014-03-31,1,"RM 14,764,000","RM -9,155,000","RM -9,291,000","RM -9,291,000",-0.46 cents,0.00 cents,"RM 14,764,000","RM -9,155,000","RM -9,291,000","RM -9,291,000",-0.46 cents,0.00 cents,"2,020,000,000",-62.01 %,0.105,2.12
15300.0,KBUNAI,KARAMBUNAI CORP BHD,2013-11-27,2014-03-31,2,"RM 72,949,000","RM -1,675,000","RM -7,432,000","RM -7,431,000",-0.37 cents,0.00 cents,"RM 87,713,000","RM -10,830,000","RM -16,723,000","RM -16,722,000",-0.82 cents,0.00 cents,"2,008,000,000",-2.3 %,0.075,1.52
15879.0,KBUNAI,KARAMBUNAI CORP BHD,2014-02-21,2014-03-31,3,"RM 48,305,000","RM -14,268,000","RM -17,492,000","RM -17,493,000",-0.35 cents,0.00 cents,"RM 136,018,000","RM -25,098,000","RM -34,215,000","RM -34,215,000",-1.14 cents,0.00 cents,"4,998,000,000",-29.54 %,0.085,2.95
17199.0,KBUNAI,KARAMBUNAI CORP BHD,2014-05-28,2014-03-31,4,"RM 23,298,000","RM -22,552,000","RM -21,768,000","RM -21,754,000",-0.38 cents,0.00 cents,"RM 159,316,000","RM -47,651,000","RM -55,984,000","RM -55,970,000",-1.52 cents,0.00 cents,"5,725,000,000",-96.8 %,0.095,3.5
17991.0,KBUNAI,KARAMBUNAI CORP BHD,2014-08-26,2015-03-31,1,"RM 11,199,000","RM -11,523,000","RM -11,529,000","RM -11,529,000",-0.20 cents,0.00 cents,"RM 11,199,000","RM -11,523,000","RM -11,529,000","RM -11,529,000",-0.20 cents,0.00 cents,"5,765,000,000",-102.89 %,0.095,5.48
18988.0,KBUNAI,KARAMBUNAI CORP BHD,2014-11-25,2015-03-31,2,"RM 11,202,000","RM -9,958,000","RM -6,299,000","RM -6,299,000",-0.11 cents,0.00 cents,"RM 22,401,000","RM -21,481,000","RM -17,828,000","RM -17,828,000",-0.31 cents,0.00 cents,"5,726,000,000",-88.89 %,0.075,4.31
19579.0,KBUNAI,KARAMBUNAI CORP BHD,2015-02-10,2015-03-31,3,"RM 13,726,000","RM -10,318,000","RM -10,643,000","RM -10,643,000",-0.18 cents,0.00 cents,"RM 36,127,000","RM -31,799,000","RM -28,471,000","RM -28,471,000",-0.49 cents,0.00 cents,"5,913,000,000",-75.17 %,0.06,3.5
21053.0,KBUNAI,KARAMBUNAI CORP BHD,2015-05-28,2015-03-31,4,"RM 14,528,000","RM -12,831,000","RM -11,265,000","RM -11,265,000",-0.20 cents,0.00 cents,"RM 50,655,000","RM -44,630,000","RM -39,736,000","RM -39,736,000",-0.69 cents,0.00 cents,"5,633,000,000",-88.32 %,0.06,3.46
