HBP,SB,AB,SO,3B,G,BB,Pos,SF
2,15,404,69,1,105,44,3B,3
8,11,405,69,6,101,47,2B,6
2,10,313,73,3,100,36,SS,5
5,9,305,48,0,75,11,3B,2
0,0,25,5,0,6,1,C,2
2,3,324,76,4,92,22,SS,1
1,4,97,9,1,54,9,OF,2
0,0,136,36,1,40,6,C,2
0,2,33,5,0,8,2,3B,0
13,11,387,65,2,102,24,2B,3
1,0,101,24,0,30,8,1B,1
3,7,248,66,5,74,5,SS,0
2,1,408,61,2,103,25,OF,7
1,1,75,19,0,47,7,SS,0
0,1,58,14,0,17,1,OF,1
1,0,196,47,3,66,16,1B,1
2,0,198,57,0,53,6,C,3
0,17,372,89,1,104,83,1B,5
0,1,10,1,0,4,2,SS,0
6,10,346,126,4,95,55,3B,5
0,2,255,60,2,83,11,3B,4
1,0,100,10,0,27,3,1B,0
2,0,281,70,3,93,31,OF,3
0,0,20,1,0,7,1,C,0
1,2,238,64,0,67,16,1B,2
0,1,160,44,1,48,8,C,0
2,4,279,95,1,74,34,OF,3
0,0,11,4,0,4,1,OF,0
0,0,8,0,0,2,0,SS,0
1,0,122,33,0,44,18,C,1
1,0,206,29,1,84,16,OF,4
0,0,5,1,0,2,0,C,0
8,4,364,84,4,102,27,SS,4
0,1,36,6,0,19,1,OF,0
3,0,148,41,1,66,7,SS,0
9,1,254,46,1,87,18,3B,1
3,2,405,72,1,101,24,2B,3
1,9,183,35,2,54,17,OF,2
2,16,387,94,4,101,52,OF,2
