AVG,YEAR,AB,LVL,LG,AGE
0.4,2012,10,MLB,AL,29
0.318,2012,66,MLB,AL,27
0.273,2012,99,MLB,AL,29
0.347,2012,49,MLB,AL,28
0.2,2012,200,MLB,NL,29
0.376,2012,133,MLB,NL,32
0.257,2012,191,MLB,NL,29
0.252,2012,815,MLB,NL,26
0.316,2012,19,MLB,AL,28
0.251,2012,742,MLB,NL,26
0.214,2012,56,MLB,NL,29
0.243,2012,367,MLB,NL,24
0.158,2012,19,MLB,NL,25
0.258,2012,365,MLB,NL,33
0.25,2012,316,MLB,AL,22
0.258,2012,194,MLB,NL,32
0.326,2012,89,MLB,AL,27
0.242,2012,66,MLB,NL,37
0.34,2012,421,MLB,AL,30
0.333,2012,3,MLB,AL,34
0.225,2012,222,MLB,NL,28
0.266,2012,812,MLB,NL,27
0.342,2012,38,MLB,NL,23
0.239,2012,804,MLB,NL,33
0.261,2012,46,MLB,NL,29
0.234,2012,445,MLB,AL,29
0.231,2012,117,MLB,NL,26
0.35,2012,206,MLB,NL,26
0.257,2012,167,MLB,NL,32
0.327,2012,52,MLB,AL,34
0.243,2012,148,MLB,NL,26
0.263,2012,528,MLB,AL,30
0.294,2012,34,MLB,NL,30
0.241,2012,723,MLB,NL,25
0.322,2012,121,MLB,NL,22
0.236,2012,72,MLB,AL,24
0.241,2012,83,MLB,NL,28
0.412,2012,17,MLB,NL,27
0.28,2012,25,MLB,AL,25
0.304,2012,56,MLB,AL,31
0.259,2012,758,MLB,NL,30
0.263,2012,19,MLB,AL,26
0.216,2012,102,MLB,AL,36
0.412,2012,34,MLB,AL,26
0.182,2012,11,MLB,AL,28
0.367,2012,60,MLB,AL,23
0.233,2012,73,MLB,NL,26
0.273,2012,792,MLB,AL,28
0.174,2012,161,MLB,AL,26
0.275,2012,517,MLB,AL,23
0.277,2012,65,MLB,NL,27
0.271,2012,221,MLB,AL,27
0.26,2012,235,MLB,AL,24
0.667,2012,9,MLB,AL,28
0.206,2012,34,MLB,AL,27
0.242,2012,466,MLB,AL,28
0.263,2012,19,MLB,NL,30
0.333,2012,30,MLB,NL,26
0.215,2012,209,MLB,AL,26
0.346,2012,26,MLB,NL,24
0.247,2012,235,MLB,NL,30
0.287,2012,383,MLB,NL,26
0.18,2012,100,MLB,NL,38
0.26,2012,96,MLB,AL,21
0.254,2012,493,MLB,NL,27
0.234,2012,107,MLB,NL,25
0.251,2012,251,MLB,NL,24
0.345,2012,29,MLB,AL,33
0.241,2012,867,MLB,AL,26
0.368,2012,19,MLB,AL,36
0.248,2012,670,MLB,AL,23
0.229,2012,227,MLB,AL,27
0.266,2012,605,MLB,AL,39
0.314,2012,570,MLB,NL,35
0.248,2012,214,MLB,NL,31
0.256,2012,125,MLB,NL,23
0.25,2012,12,MLB,AL,23
0.167,2012,6,MLB,AL,26
0.5,2012,6,MLB,AL,28
0.266,2012,214,MLB,AL,23
0.254,2012,650,MLB,NL,27
0.246,2012,289,MLB,NL,33
0.357,2012,14,MLB,AL,32
0.212,2012,52,MLB,NL,29
0.313,2012,112,MLB,NL,29
0.284,2012,373,MLB,AL,26
0.288,2012,396,MLB,NL,23
0.27,2012,415,MLB,AL,35
0.313,2012,355,MLB,AL,22
0.333,2012,21,MLB,NL,29
0.186,2012,221,MLB,AL,31
0.206,2012,725,MLB,NL,26
0.25,2012,64,MLB,NL,27
0.29,2012,255,MLB,NL,22
0.238,2012,774,MLB,AL,31
0.263,2012,99,MLB,AL,26
0.231,2012,234,MLB,AL,25
0.245,2012,474,MLB,NL,30
0.291,2012,172,MLB,AL,34
0.256,2012,347,MLB,NL,22
0.239,2012,255,MLB,NL,31
0.283,2012,173,MLB,NL,27
0.258,2012,763,MLB,NL,33
0.241,2012,237,MLB,NL,33
0.262,2012,221,MLB,NL,29
0.255,2012,757,MLB,NL,25
0.239,2012,869,MLB,AL,30
0.625,2012,8,MLB,AL,33
0.281,2012,764,MLB,AL,35
0.28,2012,25,MLB,AL,27
0.224,2012,245,MLB,NL,31
0.309,2012,262,MLB,NL,29
0.178,2012,90,MLB,NL,36
0.198,2012,96,MLB,NL,25
0.353,2012,34,MLB,AL,32
0.256,2012,164,MLB,AL,34
0.167,2012,18,MLB,NL,33
0.229,2012,35,MLB,NL,29
0.215,2012,265,MLB,NL,28
0.282,2012,678,MLB,NL,34
0.412,2012,51,MLB,AL,24
0.275,2012,295,MLB,AL,28
0.265,2012,132,MLB,AL,28
0.167,2012,258,MLB,AL,35
0.234,2012,816,MLB,AL,31
0.292,2012,72,MLB,NL,25
0.258,2012,813,MLB,AL,26
0.252,2012,270,MLB,NL,28
0.271,2012,413,MLB,NL,24
0.233,2012,163,MLB,NL,31
0.276,2012,293,MLB,NL,29
0.217,2012,884,MLB,AL,29
0.283,2012,145,MLB,NL,35
0.256,2012,450,MLB,NL,30
0.228,2012,237,MLB,NL,32
0.215,2012,326,MLB,NL,28
0.306,2012,36,MLB,AL,30
0.35,2012,20,MLB,AL,29
0.259,2012,27,MLB,NL,30
0.215,2012,93,MLB,NL,28
0.563,2012,16,MLB,AL,27
0.226,2012,199,MLB,NL,27
0.385,2012,13,MLB,NL,29
0.25,2012,244,MLB,NL,28
0.1,2012,10,MLB,NL,27
0.296,2012,521,MLB,NL,24
0.204,2012,54,MLB,NL,23
0.235,2012,711,MLB,AL,23
0.265,2012,166,MLB,NL,26
0.258,2012,453,MLB,NL,33
0.215,2012,65,MLB,NL,27
0.318,2012,22,MLB,AL,26
0.251,2012,223,MLB,NL,27
0.412,2012,17,MLB,AL,26
0.288,2012,278,MLB,NL,24
0.273,2012,220,MLB,NL,24
0.2,2012,20,MLB,NL,22
0.207,2012,217,MLB,NL,35
0.328,2012,64,MLB,NL,28
0.189,2012,254,MLB,AL,26
0.311,2012,183,MLB,NL,26
0.171,2012,170,MLB,AL,30
0.272,2012,298,MLB,AL,34
0.333,2012,21,MLB,AL,25
0.0,2012,3,MLB,AL,30
0.266,2012,530,MLB,NL,31
0.5,2012,24,MLB,AL,23
0.263,2012,707,MLB,NL,34
0.219,2012,187,MLB,AL,26
0.262,2012,141,MLB,NL,32
0.331,2012,121,MLB,NL,37
0.34,2012,141,MLB,AL,37
0.261,2012,303,MLB,NL,36
0.286,2012,84,MLB,NL,26
0.25,2012,4,MLB,AL,30
0.266,2012,109,MLB,AL,23
0.246,2012,175,MLB,AL,36
0.34,2012,50,MLB,NL,31
0.243,2012,111,MLB,AL,30
0.259,2012,328,MLB,NL,29
0.227,2012,22,MLB,AL,29
0.202,2012,242,MLB,AL,29
0.533,2012,15,MLB,AL,24
0.387,2012,31,MLB,NL,33
0.279,2012,598,MLB,AL,23
0.207,2012,256,MLB,AL,27
0.279,2012,86,MLB,NL,23
0.278,2012,54,MLB,NL,26
0.281,2012,171,MLB,AL,29
0.237,2012,76,MLB,AL,27
0.229,2012,258,MLB,AL,34
0.247,2012,73,MLB,NL,25
0.357,2012,28,MLB,AL,27
0.21,2012,810,MLB,NL,24
0.257,2012,179,MLB,NL,26
0.474,2012,19,MLB,AL,28
0.321,2012,209,MLB,NL,28
0.222,2012,796,MLB,NL,27
0.237,2012,131,MLB,NL,34
0.249,2012,345,MLB,NL,32
0.236,2012,382,MLB,AL,29
0.24,2012,150,MLB,NL,28
0.242,2012,99,MLB,NL,23
0.25,2012,716,MLB,AL,27
0.308,2012,13,MLB,AL,33
0.333,2012,3,MLB,AL,30
0.273,2012,132,MLB,AL,28
0.212,2012,33,MLB,NL,24
0.232,2012,237,MLB,AL,23
0.455,2012,22,MLB,AL,27
0.353,2012,17,MLB,NL,22
0.287,2012,700,MLB,NL,24
1.0,2012,1,MLB,NL,29
0.346,2012,26,MLB,NL,35
0.238,2012,42,MLB,NL,32
0.286,2012,325,MLB,NL,24
0.222,2012,257,MLB,AL,29
0.286,2012,161,MLB,AL,29
0.189,2012,53,MLB,NL,23
0.222,2012,27,MLB,NL,29
0.321,2012,486,MLB,AL,39
0.236,2012,148,MLB,AL,29
0.615,2012,13,MLB,AL,25
0.288,2012,132,MLB,AL,30
0.278,2012,18,MLB,NL,25
0.157,2012,51,MLB,AL,26
0.28,2012,275,MLB,AL,24
0.324,2012,111,MLB,NL,26
0.229,2012,153,MLB,AL,24
0.0,2012,9,MLB,AL,31
0.266,2012,402,MLB,AL,25
0.667,2012,6,MLB,AL,24
0.303,2012,337,MLB,NL,24
0.229,2012,266,MLB,NL,29
0.254,2012,138,MLB,AL,32
0.357,2012,42,MLB,NL,25
0.239,2012,372,MLB,AL,28
0.37,2012,27,MLB,NL,27
0.476,2012,21,MLB,AL,28
0.213,2012,141,MLB,AL,29
0.26,2012,50,MLB,NL,23
0.223,2012,363,MLB,AL,25
0.23,2012,113,MLB,NL,29
0.302,2012,43,MLB,NL,24
0.246,2012,767,MLB,NL,35
0.223,2012,188,MLB,AL,36
0.213,2012,89,MLB,NL,25
0.5,2012,4,MLB,AL,33
0.217,2012,180,MLB,AL,30
0.286,2012,98,MLB,NL,30
0.146,2012,226,MLB,NL,24
0.2,2012,210,MLB,NL,23
0.304,2012,385,MLB,AL,33
0.19,2012,252,MLB,NL,27
0.23,2012,235,MLB,NL,26
0.515,2012,33,MLB,AL,25
0.231,2012,238,MLB,AL,37
0.216,2012,255,MLB,AL,22
0.285,2012,751,MLB,NL,29
0.221,2012,208,MLB,NL,28
0.267,2012,853,MLB,NL,28
0.236,2012,679,MLB,NL,28
0.256,2012,348,MLB,NL,29
0.244,2012,156,MLB,AL,27
0.264,2012,348,MLB,NL,26
0.235,2012,68,MLB,AL,27
0.201,2012,189,MLB,AL,25
0.31,2012,728,MLB,AL,23
0.275,2012,258,MLB,NL,27
0.222,2012,72,MLB,NL,28
0.271,2012,620,MLB,AL,37
0.317,2012,82,MLB,AL,27
0.257,2012,276,MLB,AL,24
0.203,2012,241,MLB,AL,28
0.259,2012,54,MLB,NL,33
0.24,2012,25,MLB,AL,32
0.196,2012,46,MLB,NL,32
0.2,2012,30,MLB,AL,42
0.251,2012,263,MLB,NL,26
0.241,2012,116,MLB,AL,28
0.209,2012,163,MLB,NL,27
0.264,2012,110,MLB,AL,27
0.2,2012,40,MLB,NL,25
0.183,2012,93,MLB,NL,29
0.0,2012,3,MLB,AL,28
0.327,2012,294,MLB,AL,25
0.206,2012,68,MLB,NL,28
0.345,2012,58,MLB,NL,27
0.261,2012,372,MLB,NL,23
0.282,2012,248,MLB,NL,34
0.444,2012,9,MLB,AL,30
0.26,2012,127,MLB,NL,25
0.241,2012,220,MLB,NL,37
0.289,2012,135,MLB,NL,33
0.267,2012,658,MLB,NL,31
0.464,2012,28,MLB,AL,27
0.302,2012,86,MLB,AL,26
0.324,2012,219,MLB,AL,29
0.288,2012,59,MLB,NL,27
0.296,2012,81,MLB,NL,24
0.265,2012,234,MLB,NL,29
0.226,2012,288,MLB,NL,26
0.4,2012,10,MLB,NL,30
0.263,2012,491,MLB,NL,33
0.275,2012,204,MLB,AL,26
0.25,2012,8,MLB,AL,23
0.37,2012,46,MLB,NL,29
0.247,2012,523,MLB,NL,28
0.259,2012,625,MLB,AL,24
0.667,2012,9,MLB,AL,35
0.185,2012,200,MLB,NL,29
0.28,2012,107,MLB,AL,27
0.386,2012,44,MLB,NL,33
0.305,2012,203,MLB,NL,28
0.28,2012,418,MLB,NL,22
0.246,2012,207,MLB,NL,27
0.227,2012,176,MLB,AL,25
0.237,2012,152,MLB,AL,23
0.2,2012,245,MLB,AL,36
0.225,2012,129,MLB,AL,24
0.23,2012,74,MLB,NL,27
0.253,2012,87,MLB,AL,22
0.313,2012,230,MLB,NL,25
0.23,2012,74,MLB,NL,25
0.255,2012,98,MLB,NL,25
0.277,2012,289,MLB,NL,30
0.281,2012,89,MLB,AL,28
0.317,2012,104,MLB,NL,24
0.429,2012,7,MLB,NL,26
0.269,2012,788,MLB,AL,27
0.176,2012,108,MLB,AL,28
0.208,2012,159,MLB,NL,21
0.278,2012,745,MLB,AL,25
0.333,2012,30,MLB,AL,25
0.371,2012,140,MLB,AL,33
0.246,2012,65,MLB,AL,31
0.305,2012,347,MLB,AL,23
