SH,BB,OPS,R,CS,RBI,Team,Player,HR,3B
1,24,0.531,15,1,7,DSL TWI,A Tovar,0,0
0,2,0.399,9,6,2,DSL DIA,F Tineo,0,0
0,14,0.538,16,3,12,DSL MET,L Montero,0,2
4,31,0.757,30,4,31,DSL SEA,A Jimenez,5,1
10,28,0.734,38,3,42,DSL PIR,E Figueroa,2,8
1,31,0.854,53,10,48,DSL TIG,F Contreras,5,5
0,1,0.417,1,0,2,DSL FLA,C Ynoa,0,0
2,20,0.587,20,4,9,DSL GSI,R Rodriguez,0,1
1,5,0.56,13,0,7,DSL ROCK,W Jimenez,0,0
1,17,0.587,23,5,23,DSL DIA,I Pena,1,2
5,10,0.611,19,2,17,DSL WSX,R Valdez,1,0
1,8,0.476,13,1,6,DSL SEA,M Almonte,0,1
0,38,0.867,44,10,26,DSL NYY1,F Frias,4,3
1,1,0.411,1,0,1,DSL BRA,A Maradiaga,0,0
0,0,0.0,0,0,0,DSL RSX,R Oliveras,0,0
3,11,0.6,17,4,25,DSL MET,J Carrion,2,1
0,5,0.731,16,3,21,DSL DIA,L Veras,1,2
2,20,0.898,25,3,31,DSL DOD,I Isabel,3,5
1,8,0.493,9,1,2,DSL ORI,C Larez,0,1
1,10,0.849,26,4,22,DSL TB,A Moreno,4,3
3,25,0.646,30,2,36,DSL PIR,J Herrera,2,2
4,25,0.376,29,7,7,DSL WSX,J Cruz,0,1
0,24,0.714,22,2,38,DSL PAD,J Lantigua,1,2
0,8,0.816,2,3,4,DSL DIA,G Martinez,0,0
5,30,0.667,25,5,25,DSL ROY,A Castellano,0,1
0,28,0.816,41,6,56,DSL CUB,S Ubiera,4,3
1,20,0.871,37,5,48,DSL TIG,M Joseph,3,2
1,9,0.346,6,2,3,DSL NYY2,J De la Rosa,0,0
0,7,0.509,17,3,8,DSL DIA,J Ordaz,0,1
2,12,0.584,5,1,3,DSL FLA,J Heredia,0,0
0,5,0.693,18,2,28,DSL TWI,F Mateo,2,2
0,8,0.675,10,0,8,DSL BRA,J Cortes,3,0
1,13,0.539,15,1,15,DSL TWI,R Silva,0,0
0,27,0.717,20,4,16,DSL DIA,G Jimenez,1,1
2,20,0.507,13,2,5,DSL FLA,P Made,0,1
1,25,0.74,28,2,27,DSL NYY2,B Reyes,5,0
0,22,0.694,12,6,17,DSL ANG,L Espinoza,1,0
1,16,0.608,8,1,28,DSL BRA,A Flores,1,0
8,16,0.545,23,4,18,DSL AST,J Reynoso,1,3
0,22,0.635,31,9,30,DSL BRW,Y Santana,2,3
0,8,0.642,10,2,6,DSL FLA,G Moscat,0,0
3,24,0.797,41,9,33,DSL REDS,H Vargas,0,1
3,56,0.826,43,3,35,DSL TIG,Y Pena,3,2
0,0,0.333,1,0,0,DSL BRW,C Belonis,0,0
0,33,0.69,33,1,39,DSL NYY1,P Urena,6,0
0,1,0.434,0,0,3,DSL FLA,S Corcino,0,0
0,2,0.249,1,0,0,DSL TWI,L Gonzalez,0,0
1,19,0.543,15,0,5,DSL BRW,J De Leon,0,0
4,13,0.493,10,1,10,DSL ROY,A Saez,0,1
1,3,0.59,9,0,5,DSL CAR,D Pena,0,1
1,22,0.846,33,5,27,DSL CAR,E Sosa,3,3
0,21,0.442,13,2,7,DSL CUB,L Acosta,2,0
2,21,0.587,18,4,9,DSL TWI,J Hernandez,0,1
2,30,0.739,38,7,22,DSL GSI,G Cabrera,2,4
3,21,0.714,30,2,13,DSL PAD,D Pomare,0,4
0,15,0.645,14,2,15,DSL ROJ,J Monegro,4,0
0,16,0.535,11,0,14,DSL FLA,E Almonte,0,0
3,33,0.661,31,2,28,DSL BLJ,R Demorizi,5,1
0,19,0.669,20,4,3,DSL ROJ,O Jimenez,0,2
3,16,0.597,32,3,20,DSL PHI,W Torres,3,0
0,34,0.828,50,10,26,DSL NYY1,J Mateo,7,6
2,24,0.688,39,2,35,DSL RGR,L Terrero,0,4
1,4,0.445,5,1,2,DSL MTS,M Patino,0,0
0,31,0.616,42,10,17,DSL PIR,L Benitez,0,4
2,23,0.676,19,2,16,DSL TWI,G Ynfante,1,1
1,3,0.994,8,2,7,DSL TB,E Paulino,1,1
3,12,0.514,22,5,13,DSL ROCK,R Reyes,1,0
0,0,0.8,2,0,6,DSL DIA,R Mejias,0,2
0,9,0.543,8,3,10,DSL PAD,Y Diaz,0,0
5,21,0.471,22,6,16,DSL BAL,M Pichardo,0,3
0,23,0.623,20,3,13,DSL ROJ,D Burgos,0,4
1,13,0.63,13,0,16,DSL TIG,V Ovalles,0,0
0,1,0.661,0,1,0,DSL IND,W Acosta,0,0
0,18,0.608,13,1,13,DSL CAR,S Ripoll,1,0
0,21,0.7,32,3,31,DSL DOD,M Medina,10,2
2,9,0.677,13,1,4,DSL GSI,R Antunez,0,0
1,23,0.67,35,2,23,DSL NAT,K Gutierrez,0,2
2,29,0.844,43,11,14,DSL TWI,D Baez,0,1
2,28,0.643,24,10,21,DSL NAT,D Florentino,0,5
1,22,0.834,33,2,35,DSL ROCK,H Marte,7,1
2,29,0.695,40,6,23,DSL ROCK,L Castro,2,1
0,5,0.58,5,2,7,DSL CAR,D Paulino,1,0
4,11,0.526,20,3,18,DSL PIR,S Santos,2,2
1,5,0.385,6,4,1,DSL BRA,R Willems,0,0
2,42,0.727,31,10,28,DSL TWI,R Valera,0,2
2,31,0.906,47,6,28,DSL ORI,A Mercedes,1,10
1,5,0.554,7,2,8,DSL PHI,H Valdez,1,0
1,33,0.637,32,7,22,DSL BRW,D Leonardo,1,2
2,8,0.531,12,1,8,DSL PHI,R Soto,0,0
1,9,0.55,20,2,6,DSL BLJ,J Hernandez,0,0
0,3,0.565,4,2,4,DSL NYY2,E Davis,0,0
2,58,0.804,51,11,20,DSL PIR,M De La Cruz,0,3
3,11,0.415,17,2,8,DSL TIG,C Gonzalez,1,0
1,16,0.506,9,1,5,DSL BRA,J Puello,0,0
2,19,0.601,16,4,7,DSL ROY,A Venegas,0,0
1,9,0.712,28,4,22,DSL AST,H Roa,7,3
1,11,0.776,15,2,21,DSL DIA,Y Rosario,1,4
4,12,0.556,9,3,5,DSL ROY,J Sanchez,0,1
4,10,0.513,20,2,8,DSL BRA,N Cleofa,1,0
1,15,0.55,18,5,16,DSL ROJ,A Rubicondo,0,0
3,26,0.581,32,4,19,DSL BRW,Y Martinez,0,1
1,37,0.732,34,8,20,DSL CUB,V Cuevas,1,3
3,19,0.796,21,4,22,DSL BLJ,R Orozco,2,2
1,12,0.812,10,2,11,DSL TWI,A Montesino,1,3
2,8,0.524,19,3,9,DSL ROJ,C Mateo,0,0
1,2,0.213,5,0,3,DSL CUB,F Delarosa,0,0
3,24,0.768,18,3,17,DSL SEA,A Nieto,1,0
0,8,0.554,13,0,4,DSL NAT,W Suarez,1,0
2,11,0.52,17,2,18,DSL TB,E Maria,0,0
0,12,0.848,13,3,10,DSL NYY1,O Taveras,2,1
0,9,0.545,9,1,6,DSL CUB,C Ramirez,0,0
3,23,0.631,19,12,11,DSL FLA,J Richards,0,1
2,18,0.567,29,4,13,DSL NAT,E Lora,2,0
11,21,0.628,29,11,14,DSL PHI,E Serra,0,0
0,12,0.508,8,0,9,DSL ANG,A Genao,0,1
1,12,0.643,18,4,17,DSL ATH,E Marinez,0,3
1,21,0.746,33,5,23,DSL DIA,H Castillo,1,4
0,33,0.685,44,4,26,DSL TIG,I Valdez,2,2
3,34,0.728,30,3,38,DSL RGR,E Castillo,0,3
0,18,0.587,19,5,12,DSL FLA,G Silva,0,0
4,38,0.57,20,9,12,DSL NAT,T Alvarez,0,1
0,27,0.668,21,2,12,DSL NAT,I Mota,1,1
1,3,0.441,8,3,2,DSL FLA,J Solano,0,1
2,22,0.712,38,4,44,DSL RGR,J Profar,0,1
2,26,0.633,32,8,16,DSL RSX,J Nunez,0,3
0,11,0.671,25,7,21,DSL ROJ,D Jimenez,0,5
4,34,0.526,27,7,20,DSL SEA,A Dominguez,0,1
1,5,0.558,6,0,9,DSL AST,J Bermejo,1,0
0,2,0.347,5,0,0,DSL PIR,T Morales,0,0
6,7,0.933,17,1,9,DSL RGR,R Ayarza,1,4
0,14,0.451,10,3,13,DSL MET,C Sanchez,0,0
0,10,0.687,14,0,12,DSL RGR,R Valencia,2,0
1,32,0.546,23,5,14,DSL MET,J Martinez,0,2
2,37,0.786,38,7,27,DSL RGR,J Martinez,1,4
1,15,0.6,14,5,21,DSL DOD,J Perez,2,3
5,12,0.656,8,0,8,DSL PIR,J Ronco,0,0
3,11,0.497,7,4,15,DSL MTS,A Diaz,0,1
1,9,0.437,11,2,3,DSL ORI,S Lamas,0,2
1,22,0.486,17,0,7,DSL NYY2,O Cedeno,0,0
2,17,0.663,26,2,19,DSL TIG,G Hidalgo,1,2
2,13,0.582,19,4,11,DSL DOD,L Alcantara,0,0
2,10,0.389,13,1,7,DSL ANG,J Arias,0,0
4,20,0.66,40,10,18,DSL ROY,C Diaz,0,1
1,5,0.31,7,0,1,DSL RSX,G Carrizalez,0,0
0,11,0.786,36,8,15,DSL DIA,F Ozuna,2,2
3,27,0.656,39,4,22,DSL TB,D Rodriguez,2,2
