SO,CS,RBI,R,G,AVG,SB,Player,H
22,3,18,26,47,.288,12,J Briceno,46
14,3,17,17,37,.292,10,J Rivero,35
11,1,14,15,41,.219,2,Y Mendoza,25
22,2,9,11,26,.200,1,J Figueroa,14
11,0,7,12,18,.339,5,J Javier,19
27,7,22,29,66,.281,28,J Peraza,66
6,0,0,0,5,.000,0,E Lara,0
17,0,18,17,54,.196,3,W Petit,31
34,3,23,19,49,.226,6,R Adolfo,38
77,10,16,21,60,.212,9,S Crafort,42
0,0,0,1,1,1.000,0,E Barrera,1
44,11,20,28,59,.235,15,A Reyes,54
44,4,17,24,46,.216,5,A Soriano,30
18,1,3,13,41,.225,0,L Ortega,18
4,0,2,0,10,.083,0,J Aleman,1
16,4,4,19,49,.210,11,J Montesino,17
11,0,3,4,14,.214,1,N Gonzalez,6
32,0,19,18,54,.209,2,J Orozco,38
0,0,0,0,1,.000,0,V Chavez,0
10,2,7,7,34,.182,0,R Polonia,12
39,8,27,35,57,.256,11,J Rodriguez,44
38,6,13,17,40,.207,4,R Guillen,29
48,9,17,38,61,.258,21,Y Hernandez,51
41,7,16,30,55,.245,10,R Polo,48
15,1,4,7,17,.200,2,A Ramirez,10
25,3,13,19,41,.298,10,A Maracaro,36
9,0,5,2,21,.213,0,Y De La Cruz,13
34,5,14,15,50,.205,4,J Cipriota,30
34,5,15,36,48,.307,8,L Osorio,51
12,3,4,14,32,.282,2,F Soto,11
5,0,0,2,13,.087,1,F Santana,2
20,7,15,25,46,.238,10,J Flores,34
17,1,5,9,16,.235,5,J Javier,12
66,5,16,27,62,.219,7,J Suero,41
15,5,17,18,50,.233,11,R Galindez,38
46,6,12,30,47,.231,13,E De La Cruz,31
81,1,20,37,62,.218,3,S Brito,44
20,1,22,13,42,.157,1,R Read,22
20,0,5,6,26,.281,2,F Filpo,27
25,2,13,8,31,.162,1,E Contreras,16
5,2,4,4,15,.152,0,J Martinez,5
18,0,11,12,43,.259,3,K Santiago,30
52,4,44,42,65,.258,7,D Arcila,58
25,2,12,18,43,.238,3,L Matias,30
12,5,11,15,49,.225,5,O Caraballo,29
43,6,16,17,49,.204,5,F Santana,29
8,2,0,3,11,.167,0,R Sosa,4
25,1,15,17,52,.288,1,J Rosario,44
27,2,18,24,45,.278,3,J Lopez,37
25,3,17,31,59,.201,11,J Giron,30
20,3,17,28,56,.338,6,D Cedeno,44
26,5,10,15,40,.143,4,A Blanco,16
18,2,7,7,27,.225,1,Y Polanco,16
22,1,5,8,36,.154,0,V Velazquez,12
37,5,61,50,66,.321,13,J Zorrilla,72
37,5,13,11,45,.150,3,J Rocha,19
15,0,3,9,22,.119,0,E Familia,5
9,2,12,20,29,.281,2,E Gonzalez,25
0,0,0,1,1,.500,0,J Martinez,1
34,3,14,19,52,.255,6,J Acevedo,39
34,2,13,26,47,.182,2,A Amaya,25
23,3,24,21,57,.269,2,C Duran,53
46,0,12,12,51,.145,1,D Matos,21
0,0,0,0,1,--,0,Y Alejo,0
38,7,13,18,55,.272,7,A Delgado,50
16,1,2,2,14,.135,0,F Ramirez,5
26,3,14,15,36,.138,0,F Martinez,12
59,2,23,20,43,.207,1,J Pena,31
65,4,28,24,57,.226,1,W Romero,48
24,3,3,10,26,.172,4,J Roble,11
31,9,18,28,61,.282,29,D Hinojosa,50
26,4,8,14,35,.220,2,J Agustin,22
1,0,0,1,1,.333,0,A Nina,1
11,0,7,9,24,.148,2,E Vivas,9
20,1,21,25,34,.343,7,A Ruiz,36
27,3,14,20,45,.229,5,R Valdez,24
23,2,6,12,36,.186,1,L Cruz,22
0,0,0,0,1,--,0,L Jose,0
0,0,0,4,9,--,0,Y Perdomo,0
29,4,22,19,48,.222,8,F Bido,40
23,0,4,2,28,.159,0,J De La Cruz,10
15,0,4,4,14,.194,0,J De Los Santos,7
25,8,15,30,53,.230,23,N Ortega,37
0,0,0,0,1,--,0,R Reyes,0
16,0,11,5,32,.164,0,S De La Cruz,10
8,0,11,8,28,.265,0,F Rosario,18
40,9,28,34,64,.269,16,A Rosa,57
