G,H,HR,S,BB,W,IP
3,7,2,0,4,0,4.1
42,67,7,0,16,1,49.1
19,39,2,0,10,1,34.1
60,61,6,1,30,2,68.1
63,52,3,2,14,2,54.0
22,136,18,0,33,9,132.0
53,43,5,0,31,4,53.0
27,23,3,0,7,2,28.2
51,30,3,5,26,2,53.2
65,56,3,37,10,1,61.1
5,15,0,0,2,1,24.0
29,190,23,0,63,11,184.0
72,65,4,1,16,4,72.0
47,47,7,0,8,2,49.1
29,159,23,0,38,12,167.2
13,78,6,0,37,1,75.2
46,105,12,0,44,6,139.2
33,198,27,0,53,11,186.0
33,244,20,0,44,10,206.0
7,29,5,0,14,1,35.0
18,87,10,0,55,4,78.2
26,24,2,0,14,0,28.1
40,24,4,0,23,1,27.0
37,62,9,0,30,6,67.2
6,8,1,0,4,0,6.0
32,175,17,0,91,16,202.0
3,18,2,0,5,1,18.0
32,48,8,0,11,4,35.1
7,10,1,0,6,1,11.0
1,0,0,0,0,0,0.2
8,10,2,0,2,0,6.1
24,154,19,0,56,9,145.2
5,13,2,1,1,0,6.2
8,47,13,0,22,3,42.2
6,11,4,0,4,0,12.0
30,150,18,0,71,13,160.2
62,49,3,32,26,5,60.1
6,8,0,0,7,0,6.2
50,65,1,1,24,2,63.2
4,29,3,0,6,0,23.1
23,102,14,0,38,8,128.0
31,221,21,0,45,13,205.1
32,205,22,0,59,10,201.0
7,16,4,0,7,0,14.0
7,29,5,0,12,0,24.2
28,151,14,0,41,9,163.0
33,206,10,0,59,12,211.1
35,211,20,0,33,16,238.1
15,26,5,0,12,1,27.1
29,176,21,0,48,7,140.2
1,1,0,0,0,0,1.0
69,54,6,4,21,5,56.2
34,226,31,0,57,7,216.0
34,214,19,0,82,12,207.2
13,77,5,0,25,3,62.0
9,4,0,0,6,1,11.0
48,118,5,1,40,3,108.2
