Team,OPS,SF,GIDP,SLG,AB,RBI,BB,Player
DSL TWI,0.777,0,3,.398,166,15,10,J Blanco
DSL GSI,0.605,1,3,.244,168,19,34,C Soto
DSL NYY2,0.649,4,3,.301,153,18,20,R Coa
DSL CAR,0.739,1,3,.367,226,20,25,R Reyes
DSL WSX,0.777,1,4,.346,156,18,41,C Sanchez
DSL TIG,0.626,0,2,.313,134,12,5,R Guzman
DSL RGR,0.671,2,3,.282,103,9,20,C Oropeza
DSL AST,0.623,0,2,.323,217,20,16,Y Marte
DSL DIA,0.598,1,2,.263,160,30,26,S Valdez
DSL CUB,0.688,3,3,.348,253,36,24,C Montero
DSL PHI,0.397,1,1,.152,46,2,5,L Mejia
DSL IND,0.707,0,0,.320,25,3,5,A Tejeda
DSL ORI,0.614,1,3,.291,165,24,30,H Gonzalez
DSL FLA,0.759,0,2,.396,111,14,9,P Acosta
DSL DOD,0.763,1,4,.380,208,33,26,J Ramirez
DSL CAR,0.615,1,1,.316,133,19,10,F Baez
DSL MET,0.726,2,1,.350,177,26,29,Y Ruiz
DSL CUB,0.715,1,3,.359,223,35,27,E Santana
DSL PIR,0.564,0,3,.277,220,18,19,R Fortunato
DSL MET,0.412,1,6,.140,136,6,25,K Weijgertse
DSL DOD,0.697,1,1,.328,174,14,28,J Infante
DSL PAD,0.785,2,2,.384,125,18,21,M Del Castillo
DSL PAD,0.698,1,4,.361,180,10,18,A Martinez
DSL MET,0.569,0,2,.275,69,5,5,D Diaz
DSL ROY,0.904,3,9,.476,164,28,26,J Bonifacio
DSL ANG,0.541,0,3,.255,102,15,9,A Suriel
DSL CAR,0.525,1,1,.230,87,7,15,V Ferreira
DSL ATH,0.661,0,0,.300,30,2,4,J Zarraga
DSL PHI,0.638,8,4,.318,245,22,15,C Valenzuela
DSL CUB,0.741,3,3,.345,197,28,41,D Arcila
DSL WSX,0.722,0,6,.345,203,30,33,J Alcala
DSL FLA,0.693,0,6,.340,156,15,23,F Munoz
DSL REDS,0.818,0,1,.422,102,10,18,J Victor
DSL NYY2,0.973,1,1,.533,199,38,35,R Santana
DSL ANG,0.649,1,0,.339,62,5,8,E Salcedo
DSL ROY,0.769,1,0,.400,150,18,20,P Nivar
DSL ATH,0.537,2,1,.247,73,6,11,A Sosa
DSL NYY1,0.99,4,7,.551,245,44,43,Y Calderon
DSL DOD,0.662,6,5,.355,211,34,12,W Rivas
DSL RSX,0.451,0,0,.163,49,4,6,R Kortstam
DSL ATH,0.495,0,0,.165,79,3,18,W Martinez
DSL ROCK,0.399,0,0,.184,87,4,6,E Morrobel
DSL ROCK,0.54,2,4,.245,151,17,17,J Briceno
DSL AST,0.343,0,1,.161,62,2,1,Y Angulo
DSL BRW,0.692,2,1,.335,200,25,29,H Arias
DSL DOD,0.654,0,4,.361,147,18,10,R Lugo
DSL SEA,0.49,0,0,.242,120,13,8,I Brea
DSL BLJ,0.651,0,7,.327,159,13,11,S Javier
DSL CUB2,0.637,2,7,.308,224,19,18,F Cabrera
DSL FLA,0.445,1,1,.195,82,7,8,R Vigil
DSL REDS,1.073,0,2,.587,63,14,7,F Perez
DSL RGR,0.5,0,0,.250,8,2,0,A Frias
DSL AST,0.579,4,3,.313,115,15,4,M Laguna
DSL CAR,0.0,0,0,.000,4,0,0,A Ceballo
DSL TIG,0.527,1,1,.227,198,7,36,S Crafort
DSL FLA,0.443,0,0,.174,23,2,3,C Diaz
DSL NYY1,0.674,4,3,.328,67,14,9,J Valera
DSL TIG,0.486,2,7,.246,240,18,10,A Delgado
DSL BLJ,0.703,3,3,.376,141,17,14,S Nessy
DSL TWI,0.319,1,0,.096,94,6,12,R Pina
DSL ORI,0.441,0,1,.200,130,8,10,P Perez
DSL CAR,0.806,5,3,.397,179,30,29,L Perez
DSL ROCK,0.562,0,3,.285,130,12,6,J Morales
DSL NYY2,0.806,0,4,.414,152,27,22,M Aquino
DSL IND,0.471,2,1,.233,133,7,9,X De Los Santos
DSL ROY,0.47,1,3,.169,77,10,14,M Gomez
DSL AST,0.885,1,2,.461,89,13,13,F Campusano
DSL BLJ,0.404,0,6,.192,130,3,6,A Rojas
DSL TIG,0.625,1,2,.280,75,6,10,R Leiva
DSL TIG,0.567,1,6,.278,194,15,12,F Contreras
DSL DIA,0.76,1,5,.401,237,45,35,W Mateo
DSL CAR,0.567,0,1,.222,90,7,22,D Diaz
DSL AST,0.752,2,1,.407,226,30,21,L De La Rosa
DSL ROCK,0.712,1,3,.345,145,10,11,M De Leon
DSL RSX,0.71,4,6,.344,256,27,41,J Loya
DSL BRW,0.79,1,1,.368,163,18,21,R Ozuna
DSL SEA,0.594,2,0,.247,97,13,22,M Sanchez
DSL ROY,0.643,3,2,.298,151,20,19,P Gonzalez
DSL CUB2,0.482,0,2,.195,154,12,24,J Puente
DSL AST,0.674,2,2,.290,100,5,19,C Alcantara
DSL AST,0.764,1,0,.426,68,12,3,A Sierra
DSL BAL,0.0,0,0,--,0,0,0,W Portes
DSL CUB2,0.45,0,0,.250,96,4,6,R Valdez
DSL PHI,0.597,2,1,.310,84,11,8,E Berroa
DSL ANG,0.583,0,0,.295,95,2,10,L Jolly
DSL BRA,0.498,0,0,.222,27,1,1,E Maldonado
DSL CAR,0.54,1,2,.222,126,10,19,E Celestino
DSL REDS,0.807,0,4,.406,170,24,31,A Baez
DSL ATH,0.886,0,1,.486,37,12,5,M Marte
DSL CUB2,0.336,1,4,.140,100,7,11,J Altagracia
DSL PIR,0.754,2,1,.429,170,40,10,J Vasquez
DSL BLJ,0.72,0,4,.377,130,17,8,J Delgado
DSL PHI,0.678,1,2,.320,147,12,22,R Torres
DSL RGR,0.687,1,1,.311,90,12,14,L Mendez
DSL SEA,0.286,0,0,.000,10,0,3,M Beltre
DSL TB,0.328,1,1,.118,93,3,9,J Tapia
DSL REDS,0.712,4,4,.376,213,31,26,W Estevez
DSL TB,0.712,4,0,.336,152,20,36,A Araiza
DSL MTS,0.651,3,4,.344,227,22,20,A Caba
DSL RGR,0.692,0,0,.423,26,3,0,E Ceballo
DSL REDS,0.764,3,3,.357,224,21,41,R Bueno
DSL FLA,0.278,0,1,.048,21,0,4,J Jimenez
DSL FLA,0.528,1,5,.228,184,7,23,C Duran
DSL NYY1,0.705,1,7,.346,246,27,31,E Leonora
DSL BRA,0.4,3,1,.182,159,15,11,E Daniel
DSL DIA,0.698,1,3,.342,111,12,23,A Santiago
DSL CUB2,0.725,4,4,.376,210,25,12,G Gonzalez
DSL NYY2,0.84,1,3,.476,248,30,12,R Polo
DSL ORI,0.686,0,0,.333,30,2,3,W Aguirre
DSL ORI,0.52,2,1,.208,96,10,15,M Justo
DSL SEA,0.804,3,3,.429,196,36,26,J Zorrilla
DSL RSX,0.691,5,3,.346,263,38,38,D Guerrero
DSL NYY2,0.54,0,1,.250,28,1,3,J Lopez
DSL REDS,0.541,0,2,.269,104,7,9,J Reynoso
DSL PAD,0.554,3,2,.275,211,24,19,G Quintana
DSL TIG,0.606,4,2,.296,115,11,9,C De Los Santos
DSL BAL,0.5,0,3,.223,184,19,21,O Lartiguez
DSL REDS,0.437,0,2,.183,60,1,6,J Ortuno
DSL ANG,0.852,3,3,.464,179,26,22,W Adames
DSL NAT,0.286,0,0,.143,7,0,0,E Rodriguez
DSL CAR,0.496,5,4,.170,135,11,31,A Capellan
DSL PIR,0.667,4,5,.333,168,22,14,W Garcia
DSL RGR,0.642,1,0,.337,86,9,8,R Sierra
DSL DOD,0.4,0,0,.200,5,0,0,A Pena
DSL DIA,0.627,1,2,.250,168,24,46,P Ruiz
DSL BAL,0.531,0,1,.235,149,7,17,C Hanley
DSL SEA,0.589,0,1,.250,156,15,23,L Matias
DSL BAL,0.389,1,3,.160,106,9,10,C Paez
DSL ATH,0.848,0,0,.448,67,11,13,F Contreras
DSL RGR,0.678,0,2,.338,80,5,11,B Campos
DSL PHI,0.73,0,4,.366,82,9,8,R De La Cruz
DSL NYY1,0.0,0,0,--,0,0,0,M Croussett
DSL TWI,0.592,2,1,.283,60,7,6,J Polanco
DSL TB,0.618,0,0,.250,16,0,2,D Maldonado
DSL ANG,0.57,0,1,.309,81,14,6,J Hernandez
DSL ROY,0.668,6,2,.364,187,25,12,V Santos
DSL DOD,0.779,1,0,.418,79,9,12,C Mercedes
DSL ATH,0.637,4,7,.304,158,16,20,J Rosario
DSL NAT,0.557,3,6,.271,133,15,11,A Ruiz
DSL BRA,0.214,0,0,.048,21,1,3,V Velazquez
DSL REDS,0.906,5,2,.471,244,44,35,C Sanchez
DSL ORI,0.649,0,0,.341,44,10,4,M Beltre
DSL RGR,0.562,0,2,.258,190,10,22,C Garia
DSL TWI,1.009,1,0,.547,64,10,14,M Sano
DSL DIA,0.76,0,1,.385,26,3,4,R Ortiz
DSL PAD,0.632,1,2,.315,181,21,26,C Martinez
DSL BRA,0.594,0,2,.292,48,5,2,E Herrera
DSL RSX,0.495,2,4,.242,165,20,18,J Bogaerts
DSL FLA,0.622,4,4,.305,105,15,12,F Castillo
DSL GSI,0.819,0,3,.447,76,16,8,F Pujadas
DSL IND,2.0,0,0,1.000,1,1,0,E Tejeda
DSL TWI,0.577,3,2,.266,154,16,22,A Pacheco
DSL BAL,0.316,0,1,.120,50,2,2,E Antigua
DSL IND,0.614,1,1,.283,106,7,10,R Delgado
DSL ANG,0.627,1,3,.302,159,17,11,I Dionicio
DSL ATH,0.0,0,0,--,0,0,0,V Trinidad
DSL BRA,0.538,0,0,.303,33,2,1,L Caballero
DSL CUB2,0.596,0,0,.284,67,0,13,R Disla
DSL TWI,0.443,1,2,.168,95,3,15,J Hinojosa
DSL BRA,0.885,0,1,.432,74,11,18,E Salcedo
DSL DOD,0.575,0,3,.240,179,12,25,G Pena
DSL AST,0.627,1,2,.344,221,27,12,Y Mejia
DSL CUB,0.661,2,3,.295,176,15,36,K Encarnacion
DSL BRW,0.71,1,1,.364,110,13,16,C Pena
DSL WSX,0.495,0,5,.204,113,5,17,M Buda
DSL NYY1,0.597,3,2,.292,72,8,5,J Palomo
DSL TIG,0.491,0,1,.216,88,3,6,A Navia
DSL PAD,0.603,0,1,.263,133,8,32,A Familia
DSL AST,0.631,0,6,.320,150,13,9,M Ayarza
DSL IND,0.516,0,1,.215,79,11,8,S Figuereo
