Year,Round,Pick,Player,Pos,HT,WT,Class,Draft Age,Pre-Draft Team,Draft Team,YOS
1990,2,53,Sean Higgins,F,6-9,205.0,Jr *,22.0,Michigan,San Antonio Spurs,7
1989,1,4,Glen Rice,SF,6-8,228.0,Sr,22.0,Michigan,Miami Heat,15
1988,1,15,Gary Grant,G,6-3,185.0,Sr,23.0,Michigan,Seattle SuperSonics,13
1987,6,134,Antoine Joubert,G,6-5,190.0,Sr, ,Michigan,Detroit Pistons,0
1986,1,7,Roy Tarpley,PF,6-11,230.0,Sr,22.0,Michigan,Dallas Mavericks,7
1986,5,95,Richard Rellford,F,6-6,230.0,Sr,22.0,Michigan,Indiana Pacers,2
1986,6,117,Butch Wade,F, , ,Sr, ,Michigan,New York Knicks,0
1986,7,144,Robert Henderson,-, , ,Sr, ,Michigan,Chicago Bulls,0
1984,1,12,Tim McCormick,C,6-11,240.0,Jr *,22.0,Michigan,Cleveland Cavaliers,10
1984,2,32,Eric Turner,G,6-3,175.0,Jr *,21.0,Michigan,Detroit Pistons,2
1984,10,225,Dan Pelekoudas,-, , ,Sr, ,Michigan,Detroit Pistons,0
1983,2,27,John Garris,F,6-8,205.0,Sr,24.0,Boston College,Cleveland Cavaliers,1
1983,10,213,Ike Person,C,6-7, ,Sr, ,Michigan,Detroit Pistons,0
1982,7,141,Thad Gardner,F,6-7, ,Sr, ,Michigan,Utah Jazz,0
1981,1,19,Mike McGee,GF,6-5,190.0,Sr,22.0,Michigan,Los Angeles Lakers,9
1981,3,69,John Johnson,G,6-4,200.0,Sr,22.0,Michigan,Boston Celtics,0
1981,5,112,Paul Heuerman,-, , ,Sr, ,Michigan,Phoenix Suns,0
1979,1,15,Phil Hubbard,FC,6-8,215.0,Jr,23.0,Michigan,Detroit Pistons,10
1978,3,61,Dave Baxter,PG,6-2,155.0,Sr, ,Michigan,Seattle SuperSonics,1
1978,4,69,Joel Thompson,PF,6-8,210.0,Sr, ,Michigan,Houston Rockets,0
1977,1,16,Rickey Green,PG,6-0,170.0,Sr,23.0,Michigan,Golden State Warriors,14
1977,3,55,Steve Grote,PG,6-2,185.0,Sr, ,Michigan,Cleveland Cavaliers,1
1977,5,110,John Robinson,-, , ,Sr, ,Michigan,Los Angeles Lakers,0
1976,4,60,Wayman Britt,PG,6-2, ,Sr,24.0,Michigan,Los Angeles Lakers,2
1975,4,56,C.J. Kupec,FC,6-6,220.0,Sr,22.0,Michigan,Los Angeles Lakers,3
1974,1,8,Campy Russell,F,6-8,215.0,Jr,22.0,Michigan,Cleveland Cavaliers,11
1973,4,61,Ken Brady,C,6-10,235.0,Sr, ,Michigan,Detroit Pistons,1
1973,5,78,Henry Wilmore,GF,6-3,175.0,Sr, ,Michigan,Detroit Pistons,0
1973,14,189,Ernie Johnson,-, , ,Sr, ,Michigan,Philadelphia Sixers,0
1972,3,44,Wayne Grabiec,G,6-6, ,Sr, ,Michigan,Boston Celtics,1
1971,10,168,Dan Fife,PG, , ,Sr, ,Michigan,Milwaukee Bucks,0
1970,1,2,Rudy Tomjanovich,F,6-8,218.0,Sr,22.0,Michigan,San Diego Rockets,11
1969,4,44,Dennis Stewart,SF,6-6,220.0,Sr,22.0,Michigan,Phoenix Suns,1
1967,4,42,Craig Dill,C,6-11,215.0,Sr,23.0,Michigan,San Diego Rockets,0
1966,1,1,Cazzie Russell,GF,6-5,218.0,Sr,22.0,Michigan,New York Knicks,12
1966,3,22,Ollie Darden,F,6-7,235.0,Sr,22.0,Michigan,Detroit Pistons,0
1965,15,103,George Pomey,GF,6-4, ,Sr, ,Michigan,St. Louis Hawks,0
1961,4,38,John Tidwell,G,6-3,180.0,Sr, ,Michigan,Philadelphia Warriors,0
1959,4,24,George Lee,G,6-3, ,Sr,23.0,Michigan,Detroit Pistons,7
1959,11,72,M.C. Burton,-, , ,Sr,22.0,Michigan,Detroit Pistons,0
1958,7,53,Pete Tillotson,C, , ,Sr,22.0,Michigan,Syracuse Nationals,0
1957,5,34,Ron Kramer,G,6-3,245.0,Sr,22.0,Michigan,Fort Wayne Pistons,0
1957,7,51,George Ferguson,-, , ,Sr, ,Michigan,Minneapolis Lakers,0
