G,Player,R,SLG,SH,RBI,SB,H,SO
135,N Castellanos,65,.436,1,76,3,158,130
45,M Brownstein,20,.372,2,20,8,41,25
105,M Walker,54,.455,3,72,7,101,120
22,K Holloway,7,.333,0,6,0,18,23
28,J Arias,5,.163,6,5,1,13,20
60,M McGee,44,.426,2,29,5,67,40
52,R Cuneo,25,.379,0,28,1,52,36
12,S Cilladi,1,.296,2,2,0,5,5
123,C Bisson,61,.325,6,43,21,109,106
55,J Campos,23,.241,5,9,0,34,38
87,M Gibbs,32,.317,0,28,1,75,69
55,M Browning,21,.307,2,19,4,44,29
53,G Hall,23,.404,5,16,4,46,46
116,E Inciarte,73,.333,12,25,26,118,59
65,C Stang,30,.387,4,14,12,64,50
60,A Martinez,21,.265,6,24,8,46,53
118,J Marisnick,68,.496,0,77,37,148,91
25,M O'Neill,15,.438,2,10,1,27,13
31,D Iden,14,.253,0,10,1,20,20
64,J Rogers,29,.429,2,37,6,66,48
83,D Harris,44,.361,1,35,12,64,95
14,B Miller,9,.528,0,7,1,22,9
68,V Sanchez,28,.342,0,28,4,58,39
38,J Hicks,21,.446,0,26,2,43,17
65,C Jacobs,31,.521,0,33,0,62,62
30,A Fields,9,.304,0,11,0,22,23
104,J Duran,48,.463,0,71,1,97,152
32,R Grichuk,12,.402,0,13,0,28,29
127,M Helm,58,.379,0,60,16,118,134
69,R Castillo,21,.357,0,32,5,44,58
122,C Moncrief,73,.422,3,53,20,108,158
127,D Vidal,85,.498,2,85,3,127,111
98,R Rodriguez,41,.449,4,42,10,91,83
130,M Wiswall,49,.340,2,57,4,122,104
46,C Jones,29,.417,0,21,0,48,28
9,D Martinez,2,.160,2,1,1,4,8
66,J Bass,24,.345,2,20,4,69,38
3,B Dailey,0,.000,0,1,0,0,2
18,R Jones,10,.182,0,4,3,8,19
21,J Parks,5,.197,0,7,1,12,19
46,T Roberts,14,.349,0,27,1,32,58
6,M Blackburn,5,.250,1,0,1,4,4
121,M Knecht,77,.474,0,86,4,120,124
7,S Irvine,3,.176,0,1,1,3,4
49,A Lavisky,19,.391,3,24,0,38,66
57,S Baron,17,.323,1,20,6,39,49
41,L Sanz,6,.336,1,18,2,35,19
106,N Bartolone,41,.264,13,26,11,78,70
79,L Washington,35,.315,1,20,15,65,89
87,B Heere,26,.318,4,35,0,68,62
135,B Hamilton,99,.360,4,50,103,153,133
74,J Perez,56,.580,1,60,11,93,48
1,P Krebs,0,--,0,0,0,0,0
30,T Cannon,18,.613,0,17,2,34,20
43,B Taylor,16,.367,1,17,1,43,34
127,R Consigli,60,.350,1,49,16,117,83
12,J Agudelo,4,.220,1,2,2,8,11
1,J Meador,0,.000,0,0,0,0,2
11,A Workman,3,.286,0,4,3,6,15
45,R Navarro,18,.252,1,11,10,31,39
48,T Jones,18,.351,1,16,2,36,31
43,B Klafczynski,8,.283,2,13,0,37,36
1,I Nazario,0,.000,0,0,0,0,0
3,T Motter,1,.455,0,3,1,2,4
127,D Dietrich,73,.502,0,81,5,133,128
51,C Dennis,26,.486,0,35,4,47,51
24,F Parejo,11,.320,0,10,2,12,31
105,J Sierra,40,.297,1,29,30,89,117
48,C Tanabe,13,.288,3,14,1,32,46
31,Y Castillo,11,.252,1,7,3,20,26
134,Y Arbelo,68,.516,0,95,1,114,161
29,K Castillo,19,.567,0,22,0,32,25
32,D Narodowski,10,.361,0,7,3,31,27
42,T Stubblefield,17,.304,0,18,2,33,45
44,T Medica,22,.465,1,21,0,38,33
20,M Cerione,6,.213,0,5,3,15,28
1,R O'Rourke,0,.000,0,0,0,0,0
93,M Swinson,46,.329,1,26,9,82,59
100,R Rodriguez,30,.295,5,21,6,72,79
27,B Stone,7,.301,0,10,0,16,24
34,C Burnette,8,.271,1,7,1,24,21
3,B Altman,1,.143,0,1,0,1,3
11,E Lara,4,.438,0,6,0,6,13
13,J Castillo,4,.475,0,5,0,14,5
105,S Tinoco,47,.325,3,49,3,103,53
113,J Whitaker,67,.556,0,68,10,129,107
50,J Murphy,14,.346,0,24,0,36,43
20,E Boike,11,.333,0,10,2,16,24
128,K Hobson,65,.333,0,53,1,120,73
26,J Smit,17,.489,0,11,1,31,24
17,M Bourgeois,3,.306,0,0,1,11,8
94,R Noel,70,.347,9,40,50,95,75
71,T Streich,31,.304,4,16,0,46,42
98,A Leer,40,.290,5,35,4,72,103
132,P Wunderlich,56,.432,0,86,0,132,83
120,K Kiermaier,54,.338,9,39,27,97,99
1,J Gonzalez,0,--,0,0,0,0,0
6,J Pozo,1,.235,2,2,0,4,7
3,K Teran,1,.000,1,0,0,0,1
35,J Casas,20,.324,2,12,3,39,24
63,T Glaesmann,28,.343,1,21,6,48,85
101,M Crouse,73,.475,0,55,38,95,113
126,N Shaw,80,.333,12,40,8,121,82
37,V Hill,18,.292,1,15,8,22,51
16,C Lugo,4,.250,0,4,0,10,13
60,S Domecus,28,.419,1,23,2,58,37
113,N Leyja,72,.349,2,35,28,99,118
78,W Hatton,27,.311,0,37,4,56,79
87,K Rivers,40,.406,2,40,7,70,82
110,D Landaeta,51,.364,2,55,10,105,89
56,G Pierre,25,.262,1,18,6,35,52
99,C Edmondson,51,.456,0,54,5,85,73
35,J Pickett,16,.305,3,5,9,28,22
9,J McCann,0,.088,0,1,0,2,12
85,N Akins,43,.394,0,45,0,66,77
15,M Liberto,2,.238,2,0,3,4,4
92,J Kuebler,35,.333,1,30,5,71,91
113,T Mittelstaedt,72,.443,4,46,28,111,116
