School Year,District Code,District Name,School Code,Grade Span,School Name,Total Enrollment,Low Income Enrollment,Poverty Percentage,School Eligibility,School Program Type,School Improvement Status,Allocation,Act_PPE
2007-08,1,BOISE INDEPENDENT DISTRICT,0305,*K*1*2*3*4*5*6*,WASHINGTON ELEMENTARY SCHOOL,210,41,0.195238095238095,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0306,*K*1*2*3*4*5*6*,WHITNEY ELEMENTARY SCHOOL,311,242,0.778135048231511,Eligible,Schoolwide,N,169625,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0307,*K*1*2*3*4*5*6*,HILLCREST ELEMENTARY SCHOOL,257,144,0.560311284046693,Eligible,Schoolwide,N,100933,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0308,*K*1*2*3*4*5*6*,HAWTHORNE ELEMENTARY SCHOOL,256,167,0.65234375,Eligible,Schoolwide,N,117055,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0309,*K*1*2*3*4*5*6*,ROOSEVELT ELEMENTARY SCHOOL,288,37,0.128472222222222,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0310,*K*1*2*3*4*5*6*,PIERCE PARK ELEMENTARY SCHOOL,186,84,0.451612903225806,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0311,*K*1*2*3*4*5*6*,MC KINLEY ELEMENTARY SCHOOL,245,129,0.526530612244898,Eligible,Schoolwide,N,90420,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0313,*K*1*2*3*4*5*6*,OWYHEE ELEMENTARY SCHOOL,229,111,0.48471615720524,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0314,*K*1*2*3*4*5*6*,JACKSON ELEMENTARY SCHOOL,261,171,0.655172413793103,Eligible,Schoolwide,N,119859,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0315,*K*1*2*3*4*5*6*,ADAMS ELEMENTARY SCHOOL,286,34,0.118881118881119,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0316,*K*1*2*3*4*5*6*,LIBERTY ELEMENTARY SCHOOL,378,117,0.30952380952381,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0317,*K*1*2*3*4*5*6*,JEFFERSON ELEMENTARY SCHOOL,254,170,0.669291338582677,Eligible,Schoolwide,N,119158,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0318,*K*1*2*3*4*5*6*,COLE ELEMENTARY SCHOOL,334,232,0.694610778443114,Eligible,Schoolwide,Y,162522,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0319,*K*1*2*3*4*5*6*,LOWELL ELEMENTARY SCHOOL,266,149,0.56015037593985,Eligible,Schoolwide,N,104438,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0320,*K*1*2*3*4*5*6*,VALLEY VIEW ELEMENTARY SCHOOL,425,174,0.409411764705882,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0321,*K*1*2*3*4*5*6*,WILLIAM HOWARD TAFT ELEMENTARY,275,197,0.716363636363636,Eligible,Schoolwide,N,138083,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0322,*K*1*2*3*4*5*6*,MOUNTAIN VIEW ELEMENTARY SCH,320,182,0.56875,Eligible,Schoolwide,N,127569,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0323,*K*1*2*3*4*5*6*,LONGFELLOW ELEMENTARY SCHOOL,167,53,0.317365269461078,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0324,*K*1*2*3*4*5*6*,MONROE ELEMENTARY SCHOOL,220,92,0.418181818181818,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0325,*K*1*2*3*4*5*6*,KOELSCH ELEMENTARY SCHOOL,281,174,0.619217081850534,Eligible,Schoolwide,Y,121961,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0326,*K*1*2*3*4*5*6*,COLLISTER ELEMENTARY SCHOOL,170,57,0.335294117647059,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0327,*K*1*2*3*4*5*6*,WHITTIER ELEMENTARY SCHOOL,238,220,0.92436974789916,Eligible,Schoolwide,Y,154204,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0509,*K*1*2*3*4*5*6*,RIVERSIDE ELEMENTARY SCHOOL,515,48,0.0932038834951456,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0510,*K*1*2*3*4*5*6*,HORIZON ELEMENTARY SCHOOL,554,282,0.509025270758123,Eligible,Schoolwide,N,197662,701
2007-08,1,BOISE INDEPENDENT DISTRICT,0665,*K*1*2*3*4*5*6*,CYNTHIA MANN ELEMENTARY SCHOOL,471,171,0.363057324840764,Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0666,*K*1*2*3*4*5*6*,WHITE PINE ELEMENTARY SCHOOL,404,127,0.314356435643564,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,0819,*K*1*2*3*4*5*6*7*8*,ANSER CHARTER SCHOOL,190,15,0.0789473684210526,Not Eligible,Not Serving,N,0,0
2007-08,1,BOISE INDEPENDENT DISTRICT,1156,*9*10*,FORT BOISE MID HIGH (ALT),204,196,0.96078431372549,Eligible,Schoolwide,Y,137501,702
2007-08,1,BOISE INDEPENDENT DISTRICT,9514,*11*12*,MOUNTAIN COVE (ALT.) HIGH,221,143,0.647058823529412,Eligible,Schoolwide,Y,100233,701
2007-08,2,MERIDIAN JOINT DISTRICT,0010,*6*7*8*,LOWELL SCOTT MIDDLE SCHOOL,1189,193,0.162321278385198,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0011,*6*7*8*,MERIDIAN MIDDLE SCHOOL,1114,323,0.289946140035907,Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0012,*9*10*11*12*,MERIDIAN HIGH SCHOOL,2059,348,0.169014084507042,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0015,*9*10*11*12*,CENTENNIAL HIGH SCHOOL,1850,219,0.118378378378378,Not Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0106,*6*7*8*,EAGLE MIDDLE SCHOOL,1258,143,0.113672496025437,Not Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0112,*9*10*11*12*,EAGLE HIGH SCHOOL,2034,154,0.0757128810226155,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0207,*6*7*8*,LAKE HAZEL MIDDLE SCHOOL,1047,206,0.196752626552053,Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0235,*6*7*8*,LEWIS & CLARK MIDDLE SCHOOL,951,223,0.234490010515247,Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0239,*K*1*2*3*4*5*,PEREGRINE ELEMENTARY SCHOOL,491,178,0.362525458248472,Eligible,Targeted Assistance,N,153700,863
2007-08,2,MERIDIAN JOINT DISTRICT,0240,*K*1*2*3*4*5*,RIVER VALLEY ELEMENTARY SCHOOL,467,79,0.169164882226981,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0257,*9*10*11*12*,MERIDIAN CHARTER HIGH SCHOOL,198,29,0.146464646464646,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0283,*K*1*2*3*4*5*,Pepper Ridge Elementary,531,75,0.141242937853107,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0284,*6*7*8*,Sawtooth Middle School,1396,249,0.17836676217765,Not Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0296,*K*1*2*3*4*5*,HUNTER ELEMENTARY SCHOOL,643,99,0.153965785381026,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0328,*K*1*2*3*4*5*,FRONTIER ELEMENTARY SCHOOL,417,164,0.393285371702638,Eligible,Targeted Assistance,N,142100,866
2007-08,2,MERIDIAN JOINT DISTRICT,0329,*K*1*2*3*4*5*,CHIEF JOSEPH ELEMENTARY SCHOOL,473,132,0.27906976744186,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0330,*K*1*2*3*4*5*,SILVER SAGE ELEMENTARY SCHOOL,261,94,0.360153256704981,Eligible,Targeted Assistance,N,81160,863
2007-08,2,MERIDIAN JOINT DISTRICT,0331,*K*1*2*3*4*5*,LAKE HAZEL ELEMENTARY SCHOOL,520,95,0.182692307692308,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0332,*K*1*2*3*4*5*,EAGLE ELEMENTARY SCHOOL,436,57,0.130733944954128,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0333,*K*1*2*3*4*5*,SUMMERWIND ELEMENTARY SCHOOL,312,151,0.483974358974359,Eligible,Targeted Assistance,N,132200,875
2007-08,2,MERIDIAN JOINT DISTRICT,0334,*K*1*2*3*4*5*,STAR ELEMENTARY SCHOOL,478,108,0.225941422594142,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0335,*K*1*2*3*4*5*,USTICK ELEMENTARY SCHOOL,405,204,0.503703703703704,Eligible,Targeted Assistance,N,178995,877
2007-08,2,MERIDIAN JOINT DISTRICT,0336,*K*1*2*3*4*5*,MERIDIAN ELEMENTARY SCHOOL,351,242,0.689458689458689,Eligible,Schoolwide,N,216545,895
2007-08,2,MERIDIAN JOINT DISTRICT,0337,*K*1*2*3*4*5*,MC MILLAN ELEMENTARY SCHOOL,323,156,0.48297213622291,Eligible,Schoolwide Planning,N,136570,875
2007-08,2,MERIDIAN JOINT DISTRICT,0338,*K*1*2*3*4*5*,CHRISTINE DONNELL SCHOOL OF ARTS,299,48,0.160535117056856,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0339,*K*1*2*3*4*5*,LINDER ELEMENTARY SCHOOL,389,205,0.526992287917738,Eligible,Schoolwide Planning,Y,180179,879
2007-08,2,MERIDIAN JOINT DISTRICT,0340,*K*1*2*3*4*5*,EAGLE HILLS ELEMENTARY SCHOOL,412,85,0.20631067961165,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0341,*K*1*2*3*4*5*,MARY MC PHERSON ELEMENTARY,506,79,0.156126482213439,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0343,*K*1*2*3*4*5*,JOPLIN ELEMENTARY SCHOOL,341,59,0.173020527859238,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0504,*K*1*2*3*4*5*,PONDEROSA ELEMENTARY SCHOOL,580,134,0.231034482758621,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0507,*K*1*2*3*4*5*,PIONEER ELEMENTARY SCHOOL,566,67,0.118374558303887,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0521,*K*1*2*3*4*5*,Discovery Elementary,537,99,0.184357541899441,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0523,*K*1*2*3*4*5*,CECIL D ANDRUS ELEMENTARY,561,84,0.149732620320856,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0524,*K*1*2*3*4*5*,CHAPARRAL ELEMENTARY,576,101,0.175347222222222,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0525,*K*1*2*3*4*5*,SPALDING ELEMENTARY SCHOOL,529,113,0.213610586011342,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0526,*K*1*2*3*4*5*,SEVEN OAKS ELEMENTARY SCHOOL,570,16,0.0280701754385965,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0542,*K*1*2*3*4*5*6*7*8*9*,North Star Charter School,323,13,0.0402476780185759,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0545,*9*10*11*12*,Mountain View High School,2311,329,0.142362613587192,Not Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0547,*9*10*11*12*,Meridian Medical Arts Charter,195,18,0.0923076923076923,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0593,*K*1*2*3*4*5*,PROSPECT ELEMENTARY,497,93,0.187122736418511,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0594,*7*,PATHWAYS MIDDLE SCHOOL,75,20,0.266666666666667,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0597,*9*10*11*12*,CENTRAL ACADEMY (ALT),146,44,0.301369863013699,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,0982,*9*10*11*12*,EAGLE ACADEMY,148,35,0.236486486486486,Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,1145,*7*8*,CROSSROADS MIDDLE SCHOOL,150,61,0.406666666666667,Eligible,Not Serving,Y,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,1228,*9*10*11*12*,MERIDIAN ACADEMY,145,43,0.296551724137931,Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,1290,*K*1*2*3*4*5*,PARAMOUNT ELEMENTARY,568,54,0.0950704225352113,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,2511,*K*1*2*3*4*5*6*7*8*,GALILEO MAGNET SCHOOL,536,20,0.0373134328358209,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,2513,*6*7*8*,HERITAGE MIDDLE SCHOOL,607,105,0.172981878088962,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,8888,*6*7*,CHRISTINE DONNELL SCHOOL OF ARTS,81,13,0.160493827160494,Not Eligible,Not Serving,N,0,0
2007-08,2,MERIDIAN JOINT DISTRICT,P053,*K*1*2*3*4*5*,DESERT SAGE ELEMENTARY,434,219,0.504608294930876,Eligible,Targeted Assistance,N,192000,877
2007-08,3,KUNA JOINT DISTRICT,0013,*7*8*,KUNA MIDDLE SCHOOL,666,229,0.343843843843844,Eligible,Not Serving,Y,0,0
2007-08,3,KUNA JOINT DISTRICT,0014,*9*10*11*12*,KUNA HIGH SCHOOL,1202,332,0.276206322795341,Not Eligible,Not Serving,Y,0,0
2007-08,3,KUNA JOINT DISTRICT,0345,*K*1*2*3*,HUBBARD ELEMENTARY SCHOOL,417,152,0.364508393285372,Eligible,Targeted Assistance,N,110468,727
2007-08,3,KUNA JOINT DISTRICT,0595,*K*1*2*3*4*5*6*,REED ELEMENTARY,521,252,0.483685220729367,Eligible,Targeted Assistance,N,186500,740
2007-08,3,KUNA JOINT DISTRICT,0596,*K*1*2*3*,INDIAN CREEK ELEMENTARY SCHOOL,257,101,0.392996108949416,Eligible,Targeted Assistance,N,73500,728
2007-08,3,KUNA JOINT DISTRICT,0635,*4*5*6*,ROSS ELEMENTARY SCHOOL,246,101,0.410569105691057,Eligible,Targeted Assistance,N,74000,733
2007-08,3,KUNA JOINT DISTRICT,0850,*4*5*6*,Fremont H. Teed Elementary School,332,108,0.325301204819277,Not Eligible,Not Serving,Y,0,0
2007-08,3,KUNA JOINT DISTRICT,0887,*K*1*2*3*4*5*6*,CRIMSON POINT ELEMENTARY SCHOOL,445,121,0.271910112359551,Not Eligible,Not Serving,N,0,0
2007-08,11,MEADOWS VALLEY DISTRICT,0342,*K*1*2*3*4*5*6*7*8*9*10*11*12*,MEADOWS VALLEY SCHOOL,200,76,0.38,Eligible,Targeted Assistance,N,33171,436
2007-08,13,COUNCIL DISTRICT,0017,*7*8*9*10*11*12*,COUNCIL JR-SR HIGH SCHOOL,158,65,0.411392405063291,Eligible,Not Serving,N,0,0
2007-08,13,COUNCIL DISTRICT,0348,*K*1*2*3*4*5*6*,COUNCIL ELEMENTARY SCHOOL,109,56,0.513761467889908,Eligible,Targeted Assistance,N,45057,805
2007-08,21,MARSH VALLEY JOINT DISTRICT,0018,*7*8*,MARSH VALLEY MIDDLE SCHOOL,200,100,0.5,Eligible,Targeted Assistance,N,50848,508
2007-08,21,MARSH VALLEY JOINT DISTRICT,0019,*9*10*11*12*,MARSH VALLEY HIGH SCHOOL,380,80,0.210526315789474,Not Eligible,Not Serving,N,0,0
2007-08,21,MARSH VALLEY JOINT DISTRICT,0349,*K*1*2*3*4*5*6*,LAVA ELEMENTARY SCHOOL,90,36,0.4,Eligible,Targeted Assistance,N,18000,500
2007-08,21,MARSH VALLEY JOINT DISTRICT,0350,*K*1*2*3*4*5*6*,DOWNEY ELEMENTARY SCHOOL,123,74,0.601626016260163,Eligible,Targeted Assistance,N,41000,554
2007-08,21,MARSH VALLEY JOINT DISTRICT,0351,*K*1*2*3*4*5*6*,INKOM ELEMENTARY SCHOOL,210,120,0.571428571428571,Eligible,Targeted Assistance,N,65856,549
2007-08,21,MARSH VALLEY JOINT DISTRICT,0352,*K*1*2*3*4*5*6*,MOUNTAIN VIEW ELEMENTARY SCH,240,130,0.541666666666667,Eligible,Targeted Assistance,N,71000,546
2007-08,25,POCATELLO DISTRICT,0020,*7*8*,FRANKLIN MIDDLE SCHOOL,627,195,0.311004784688995,Not Eligible,Not Serving,Y,0,0
2007-08,25,POCATELLO DISTRICT,0021,*7*8*,HAWTHORNE JUNIOR HIGH SCHOOL,531,220,0.414312617702448,Eligible,Not Serving,Y,0,0
2007-08,25,POCATELLO DISTRICT,0022,*7*8*,IRVING JUNIOR HIGH SCHOOL,465,233,0.501075268817204,Eligible,Not Serving,Y,0,0
2007-08,25,POCATELLO DISTRICT,0024,*9*10*11*12*,POCATELLO SENIOR HIGH SCHOOL,1115,346,0.310313901345291,Not Eligible,Not Serving,N,0,0
2007-08,25,POCATELLO DISTRICT,0025,*9*10*11*12*,HIGHLAND SENIOR HIGH SCHOOL,1279,295,0.230648944487881,Not Eligible,Not Serving,N,0,0
2007-08,25,POCATELLO DISTRICT,0353,*K*1*2*3*4*5*6*,EDAHOW ELEMENTARY SCHOOL,336,126,0.375,Eligible,Targeted Assistance,N,73072,580
2007-08,25,POCATELLO DISTRICT,0354,*K*1*2*3*4*5*6*,GREENACRES ELEMENTARY SCHOOL,288,167,0.579861111111111,Eligible,Schoolwide,N,96850,580
2007-08,25,POCATELLO DISTRICT,0355,*K*1*2*3*4*5*6*,INDIAN HILLS ELEMENTARY SCHOOL,596,266,0.446308724832215,Eligible,Schoolwide,Y,154264,580
2007-08,25,POCATELLO DISTRICT,0356,*K*1*2*3*4*5*6*,CHUBBUCK ELEMENTARY SCHOOL,476,220,0.46218487394958,Eligible,Schoolwide,N,127587,580
2007-08,25,POCATELLO DISTRICT,0357,*K*1*2*3*4*5*6*,GATE CITY ELEMENTARY SCHOOL,381,78,0.204724409448819,Not Eligible,Not Serving,N,0,0
2007-08,25,POCATELLO DISTRICT,0358,*K*1*2*3*4*5*6*,RULON M ELLIS ELEM SCHOOL,482,252,0.522821576763486,Eligible,Schoolwide,N,146145,580
2007-08,25,POCATELLO DISTRICT,0359,*K*1*2*3*4*5*6*,WASHINGTON ELEMENTARY SCHOOL,268,191,0.712686567164179,Eligible,Schoolwide Planning,Y,110768,580
2007-08,25,POCATELLO DISTRICT,0360,*K*1*2*3*4*5*6*,TYHEE ELEMENTARY SCHOOL,453,265,0.584988962472406,Eligible,Schoolwide,Y,153684,580
2007-08,25,POCATELLO DISTRICT,0361,*K*1*2*3*4*5*6*,SYRINGA ELEMENTARY SCHOOL,387,239,0.617571059431525,Eligible,Targeted Assistance,N,138606,580
2007-08,25,POCATELLO DISTRICT,0362,*K*1*2*3*4*5*6*,CLAUDE A WILCOX ELEM SCHOOL,590,365,0.61864406779661,Eligible,Targeted Assistance,Y,211678,580
2007-08,25,POCATELLO DISTRICT,0365,*K*1*2*3*4*5*,JEFFERSON ELEMENTARY SCHOOL,467,366,0.78372591006424,Eligible,Targeted Assistance,Y,212258,580
2007-08,25,POCATELLO DISTRICT,0366,*K*1*2*3*4*5*6*,TENDOY ELEMENTARY SCHOOL,288,184,0.638888888888889,Eligible,Schoolwide,N,106709,580
2007-08,25,POCATELLO DISTRICT,0368,*K*1*2*3*4*5*6*,LEWIS & CLARK ELEMENTARY SCH,452,329,0.72787610619469,Eligible,Schoolwide,N,190800,580
2007-08,25,POCATELLO DISTRICT,0623,*K*1*2*3*4*5*6*,POCATELLO COMMUNITY CHARTER,296,94,0.317567567567568,Special Exception,Targeted Assistance,N,54514,580
2007-08,25,POCATELLO DISTRICT,0956,*9*10*11*12*,CENTURY HIGH SCHOOL,1007,276,0.27408142999007,Not Eligible,Not Serving,Y,0,0
2007-08,25,POCATELLO DISTRICT,1002,*7*8*9*10*11*12*,ALAMEDA CENTER,247,200,0.809716599190283,Eligible,Schoolwide,Y,115988,580
2007-08,33,BEAR LAKE COUNTY DISTRICT,0026,*6*7*8*,BEAR LAKE MIDDLE SCHOOL,255,112,0.43921568627451,Eligible,Targeted Assistance,N,46371,414
2007-08,33,BEAR LAKE COUNTY DISTRICT,0027,*9*10*11*12*,BEAR LAKE HIGH SCHOOL,437,144,0.329519450800915,Not Eligible,Not Serving,N,0,0
2007-08,33,BEAR LAKE COUNTY DISTRICT,0370,*K*1*2*3*4*5*,A J WINTERS ELEMENTARY SCHOOL,325,139,0.427692307692308,Eligible,Targeted Assistance,N,57217,412
2007-08,33,BEAR LAKE COUNTY DISTRICT,0371,*K*1*2*3*4*5*,GEORGETOWN ELEMENTARY SCHOOL,80,31,0.3875,Eligible,Targeted Assistance,N,11960,386
2007-08,33,BEAR LAKE COUNTY DISTRICT,0372,*K*1*2*3*4*5*,PARIS ELEMENTARY SCHOOL,115,60,0.521739130434783,Eligible,Targeted Assistance,N,27534,459
2007-08,41,ST MARIES JOINT DISTRICT,0028,*6*7*8*,ST MARIES MIDDLE SCHOOL,196,93,0.474489795918367,Eligible,Not Serving,N,0,0
2007-08,41,ST MARIES JOINT DISTRICT,0029,*9*10*11*12*,ST MARIES HIGH SCHOOL,381,178,0.467191601049869,Eligible,Not Serving,N,0,0
2007-08,41,ST MARIES JOINT DISTRICT,0254,*K*1*2*3*4*5*,HEYBURN ELEMENTARY SCHOOL,311,155,0.498392282958199,Eligible,Targeted Assistance,N,94905,612
2007-08,41,ST MARIES JOINT DISTRICT,0374,*K*1*2*3*4*5*6*7*8*,UPRIVER ELEM-JR HIGH SCHOOL,132,90,0.681818181818182,Eligible,Targeted Assistance,N,55200,613
2007-08,44,PLUMMER-WORLEY JOINT DISTRICT,0030,*9*10*11*12*,LAKESIDE HIGH SCHOOL,129,102,0.790697674418605,Eligible,Schoolwide,Y,28013,275
2007-08,44,PLUMMER-WORLEY JOINT DISTRICT,0128,*6*7*8*,LAKESIDE MIDDLE SCHOOL,115,87,0.756521739130435,Eligible,Schoolwide,Y,31669,364
2007-08,44,PLUMMER-WORLEY JOINT DISTRICT,0752,*K*1*2*3*4*5*,LAKESIDE ELEMENTARY SCHOOL,228,201,0.881578947368421,Eligible,Schoolwide,N,65731,327
2007-08,52,SNAKE RIVER DISTRICT,0031,*7*8*,SNAKE RIVER JR HIGH SCHOOL,293,112,0.382252559726962,Eligible,Not Serving,N,0,0
