SLG,HR,SO,OPS,3B,Team,GIDP,SH,Player,RBI
.538,18,102,0.973,4,OAX,10,2,C Latham,77
2.000,0,0,3.0,0,VAQ,0,0,S Villarreal,0
.596,11,35,1.025,1,MTY,6,0,B Gil,45
.277,0,26,0.579,0,VAQ,13,4,E Garzon,26
.431,8,53,0.765,0,TAB,8,2,H Arredondo,40
.387,1,28,0.741,1,CAM,3,1,J Esqueda,11
.318,0,9,0.732,0,VAQ,0,0,I Araujo,3
.118,0,10,0.348,0,AGU,0,0,A Rodriguez,1
.403,3,15,0.74,0,CAM,1,0,J Nunnally,12
.426,2,38,0.875,1,OAX,12,13,J Brena,46
.330,0,25,0.642,2,YUC,16,9,L Borges,41
.313,0,8,0.664,1,OAX,0,3,E Reyes,4
.415,10,42,0.777,0,VAQ,7,2,E Diaz,71
.480,6,55,0.902,1,SLP,11,0,D Brinkley,60
.326,2,24,0.653,0,TAB,3,0,E Barajas,12
.344,0,31,0.703,1,AGU,8,10,O Jimenez,15
.165,0,20,0.374,0,COR,1,1,U Valdez,5
.169,0,22,0.353,0,COR,6,3,E Rangel,6
.430,6,59,0.796,6,PUE,16,4,L Buelna,58
.614,23,67,1.021,4,OAX,8,7,E Espinoza,81
.564,19,55,0.973,0,VRA,12,0,W Otanez,76
.335,4,52,0.711,0,CAM,5,1,E Valdez,23
.387,2,32,0.737,2,TIG,7,9,O Sandoval,24
.635,18,18,1.057,0,TIJ,10,0,R Simon,69
.397,1,43,0.83,3,TIJ,7,3,C Garcia,30
.590,22,47,1.03,3,SLP,11,0,S Adriana,91
.071,0,4,0.259,0,SLT,0,1,F Esparragoza,0
.380,2,25,0.76,4,MTY,11,5,M Flores,40
.333,0,12,0.644,0,AGU,2,2,F Lopez,0
.458,6,28,0.858,1,VAQ,18,5,R Castaneda,69
.445,8,61,0.797,2,COR,8,4,N Mata,55
.272,2,45,0.509,0,CAM,7,6,J Beltran,15
.503,9,27,0.876,0,VAQ,18,0,F Rodriguez,45
.446,4,29,0.867,1,PUE,4,3,J Arredondo,38
.376,6,35,0.694,0,TIG,10,6,F Valdez,47
.286,1,13,0.583,0,TAB,1,0,J Yan,3
.685,17,32,1.096,0,CAM,4,1,J Leon,49
.000,0,1,0.0,0,VRA,0,0,I Torres,0
.458,5,63,0.797,3,VAQ,8,1,O De La Torre,35
.217,0,3,0.467,0,CAM,0,0,N Barrera,2
.384,7,51,0.715,0,TIJ,14,0,I Lara,30
.359,1,8,0.693,0,YUC,5,0,L Rodriguez,8
.314,2,26,0.578,2,TIJ,8,3,E Vega,20
.359,2,40,0.676,2,CAM,3,5,C Orrantia,27
.586,27,59,0.977,1,MXO,12,0,R Saucedo,89
.266,0,29,0.516,0,VRA,7,4,R Quinones,18
.564,6,26,1.006,0,TIG,2,3,S Contreras,40
--,0,0,0.0,0,TIJ,0,0,J Navarro,0
.551,10,39,1.025,1,MVA,8,2,R Lopez,55
.321,0,11,0.61,0,VAQ,1,1,M Garza,3
.477,6,29,0.869,0,TIG,6,4,S Rodriguez,50
.542,23,69,0.966,0,PUE,5,0,D Leon,86
.474,3,51,0.874,8,PUE,7,4,A Contreras,38
.000,0,0,0.0,0,PUE,0,0,C Avila,0
.515,6,28,0.887,0,TAB,4,0,A Pena,28
.317,4,43,0.635,0,COR,11,5,O Fentanes,37
.358,1,10,0.686,0,MTY,5,3,A Meza,13
--,0,0,0.0,0,TIG,0,0,A Manzano,0
.453,6,40,0.867,2,SLP,12,4,A Ahumada,49
.416,7,49,0.742,0,MVA,5,3,H Hurtado,35
.716,19,43,1.211,0,TIJ,14,0,D White,73
