SLG,R,SO,BB,CS,H,Player,Team,HR,SB
.338,65,69,36,12,131,J Herrera,TUL,3,18
.391,28,67,17,0,64,R Guarno,TUL,6,4
.111,0,10,0,0,2,S Deduno,TUL,0,0
.366,37,27,32,7,62,C Smith,ARK,2,21
.000,0,1,0,0,0,T Fairchild,CC,0,0
.000,0,3,0,0,0,R Ventura,CC,0,0
.372,22,22,17,2,56,E Cornejo,MID,2,3
.000,0,0,1,0,0,B James,CC,0,0
.378,42,85,25,2,71,K Richardson,FRI,14,0
.538,15,20,11,0,20,J Perry,MID,5,0
.294,5,14,14,3,15,M McCoy,SPR,0,1
.266,9,45,14,3,31,T Duff,ARK,2,3
.446,72,96,71,2,126,T Self,CC,13,4
.000,0,2,0,0,0,J Songster,TUL,0,0
.147,5,20,9,0,7,J Sandberg,WIC,1,0
.000,0,2,0,0,0,A Bright,TUL,0,0
.395,59,69,42,4,117,M Miller,TUL,11,1
.408,26,38,26,3,52,B Dowdy,SA,5,8
.351,34,76,31,0,56,A Donachie,WIC,9,0
.448,41,62,16,2,54,T Greene,SPR,8,10
.374,36,83,23,3,79,V Faison,MID,5,11
.486,22,31,16,0,41,C Haerther,SPR,5,0
--,0,0,0,0,0,A Burnside,SA,0,0
.551,47,35,23,4,70,J Towles,CC,11,9
.468,84,78,67,11,144,F Sandoval,ARK,11,21
.350,0,8,1,0,6,E Haberer,SPR,0,0
.091,1,13,0,0,2,C Lo,TUL,0,0
.415,34,58,30,1,101,N Varner,CC,6,3
.333,0,1,0,0,1,J Grube,TUL,0,0
.502,46,40,36,0,64,L Powell,MID,11,1
--,0,0,0,0,0,J Ingram,FRI,0,0
.000,0,2,0,0,0,F Brooks,SA,0,0
.408,63,100,75,1,94,B Snyder,MID,8,1
.526,44,90,53,1,71,M Johnson,CC,16,0
--,0,0,0,0,0,G Casadiego,TUL,0,0
.385,37,36,23,12,68,B Coon,ARK,1,25
.431,28,44,22,0,45,C Huffman,SA,7,0
--,0,0,0,0,0,R McKeller,CC,0,0
.333,43,70,12,4,104,M Collins,ARK,5,5
.382,35,40,19,2,66,T Manzella,CC,1,10
.330,20,33,17,0,53,M Gaffney,WIC,3,2
.000,1,4,1,0,0,F Morales,TUL,0,0
.250,0,1,0,0,1,Z Parker,TUL,0,0
