LVL,G,oppAVG,oppTAv,PA,AB
MLB,4,0.252,0.257,77,70
MLB,12,0.27,0.262,66,56
MLB,33,0.263,0.268,122,110
MLB,59,0.265,0.264,232,208
MLB,28,0.25,0.259,719,651
MLB,10,0.252,0.262,184,167
MLB,67,0.26,0.264,250,219
MLB,29,0.258,0.267,139,122
MLB,20,0.249,0.257,524,467
MLB,33,0.252,0.257,800,723
MLB,5,0.258,0.262,96,81
MLB,52,0.245,0.251,333,296
MLB,31,0.257,0.265,799,709
MLB,31,0.25,0.257,795,707
MLB,17,0.263,0.264,139,119
MLB,9,0.252,0.258,35,31
MLB,13,0.254,0.259,287,256
MLB,7,0.259,0.261,181,161
MLB,33,0.248,0.255,808,714
MLB,6,0.24,0.255,53,48
MLB,1,0.207,0.249,18,14
MLB,6,0.243,0.252,52,47
MLB,22,0.252,0.254,561,515
MLB,60,0.26,0.263,256,232
MLB,16,0.251,0.254,244,214
MLB,8,0.273,0.264,34,32
MLB,27,0.26,0.26,441,404
MLB,4,0.25,0.252,27,23
MLB,34,0.255,0.258,881,779
MLB,40,0.258,0.264,223,198
MLB,29,0.258,0.261,769,661
MLB,14,0.26,0.268,60,50
MLB,14,0.255,0.259,55,41
MLB,64,0.252,0.261,225,195
MLB,43,0.249,0.253,369,329
MLB,69,0.254,0.257,274,252
MLB,3,0.274,0.278,29,23
MLB,20,0.25,0.257,504,458
MLB,5,0.247,0.25,19,13
MLB,37,0.26,0.267,294,258
MLB,3,0.257,0.252,63,57
MLB,9,0.252,0.263,38,30
MLB,6,0.258,0.269,31,27
MLB,40,0.262,0.265,160,138
MLB,30,0.25,0.258,668,620
MLB,57,0.254,0.26,258,225
MLB,42,0.249,0.258,187,166
MLB,53,0.258,0.264,225,208
MLB,31,0.258,0.261,693,637
MLB,27,0.251,0.255,198,174
MLB,79,0.257,0.262,306,270
MLB,46,0.253,0.261,308,284
MLB,67,0.252,0.259,259,227
MLB,1,0.176,0.21,5,4
MLB,26,0.253,0.258,175,156
MLB,13,0.247,0.254,144,132
MLB,45,0.253,0.261,229,204
MLB,33,0.253,0.255,263,233
MLB,32,0.256,0.264,105,97
MLB,26,0.26,0.264,100,84
MLB,23,0.264,0.261,110,101
MLB,33,0.25,0.257,802,734
MLB,16,0.244,0.255,31,27
MLB,29,0.251,0.258,751,684
MLB,8,0.252,0.255,180,158
MLB,11,0.255,0.271,47,38
MLB,25,0.258,0.263,553,490
MLB,14,0.253,0.262,90,79
MLB,6,0.26,0.261,37,32
MLB,20,0.26,0.265,474,414
MLB,51,0.255,0.263,218,189
MLB,12,0.269,0.26,40,37
MLB,2,0.268,0.255,9,9
MLB,10,0.255,0.256,45,36
MLB,31,0.247,0.256,827,727
MLB,17,0.252,0.255,94,82
MLB,49,0.257,0.264,115,100
MLB,78,0.256,0.26,268,243
MLB,32,0.26,0.263,864,760
MLB,24,0.243,0.257,75,61
MLB,5,0.261,0.27,31,28
MLB,68,0.25,0.258,237,227
MLB,47,0.261,0.264,201,191
MLB,46,0.268,0.27,138,116
MLB,25,0.255,0.256,654,589
MLB,43,0.247,0.257,174,164
MLB,21,0.255,0.26,602,551
MLB,5,0.261,0.26,60,53
MLB,30,0.259,0.266,157,135
MLB,61,0.255,0.262,215,199
MLB,4,0.249,0.261,21,16
MLB,2,0.258,0.258,16,16
MLB,7,0.252,0.262,28,24
MLB,19,0.268,0.271,72,64
MLB,4,0.267,0.285,12,10
MLB,14,0.262,0.263,258,243
MLB,19,0.263,0.266,146,134
MLB,1,0.26,0.25,20,16
MLB,3,0.266,0.263,60,54
MLB,63,0.256,0.262,255,241
MLB,36,0.256,0.264,197,177
MLB,49,0.254,0.259,211,180
MLB,3,0.28,0.275,18,18
MLB,29,0.254,0.261,163,147
MLB,4,0.257,0.268,14,12
MLB,33,0.261,0.264,975,897
MLB,11,0.256,0.262,264,246
MLB,16,0.248,0.251,77,65
MLB,79,0.259,0.265,305,262
MLB,72,0.252,0.265,168,142
MLB,13,0.261,0.27,62,53
MLB,68,0.256,0.263,269,243
MLB,45,0.244,0.253,243,209
MLB,57,0.255,0.262,243,208
MLB,34,0.249,0.258,830,743
MLB,3,0.252,0.255,12,8
MLB,12,0.233,0.247,56,44
MLB,7,0.255,0.26,34,26
MLB,12,0.254,0.254,46,41
MLB,44,0.261,0.268,204,186
MLB,76,0.259,0.263,309,271
MLB,18,0.25,0.256,136,123
MLB,24,0.261,0.264,265,232
MLB,31,0.265,0.263,120,110
MLB,28,0.261,0.265,696,629
MLB,22,0.245,0.254,540,484
MLB,71,0.256,0.26,256,234
MLB,12,0.252,0.256,64,54
MLB,31,0.258,0.258,798,730
MLB,2,0.233,0.239,10,7
MLB,23,0.251,0.26,107,94
MLB,36,0.258,0.263,134,120
MLB,67,0.254,0.259,292,261
MLB,27,0.26,0.259,728,665
MLB,14,0.247,0.252,59,49
MLB,4,0.236,0.262,39,31
MLB,31,0.252,0.256,621,577
MLB,6,0.267,0.272,31,26
MLB,57,0.26,0.263,266,232
MLB,4,0.25,0.25,9,8
MLB,65,0.259,0.265,250,234
MLB,6,0.256,0.26,57,51
MLB,20,0.264,0.27,119,112
MLB,34,0.262,0.264,143,123
MLB,21,0.249,0.253,338,312
MLB,29,0.259,0.264,694,643
MLB,39,0.25,0.263,270,229
MLB,22,0.248,0.254,463,403
MLB,15,0.262,0.268,122,104
MLB,22,0.257,0.268,69,68
MLB,27,0.25,0.258,694,627
MLB,1,0.254,0.274,1,1
MLB,34,0.257,0.263,901,797
MLB,21,0.247,0.263,44,39
MLB,55,0.257,0.261,303,260
MLB,51,0.256,0.262,260,233
MLB,12,0.25,0.259,263,220
MLB,13,0.25,0.254,254,221
MLB,22,0.249,0.257,138,125
MLB,1,0.235,0.278,1,1
MLB,6,0.265,0.261,60,50
MLB,40,0.248,0.254,157,149
MLB,13,0.261,0.263,293,253
MLB,5,0.281,0.272,57,54
MLB,6,0.253,0.247,126,103
MLB,21,0.252,0.257,133,120
MLB,9,0.249,0.256,222,212
MLB,3,0.25,0.26,11,8
MLB,52,0.256,0.259,233,199
MLB,69,0.249,0.255,254,225
MLB,60,0.257,0.265,268,233
MLB,75,0.259,0.264,327,264
MLB,65,0.263,0.265,253,225
MLB,7,0.247,0.258,171,148
MLB,33,0.251,0.257,891,828
MLB,5,0.236,0.252,14,10
MLB,30,0.25,0.256,775,716
MLB,31,0.25,0.256,799,721
MLB,69,0.256,0.265,366,336
MLB,23,0.262,0.268,79,72
MLB,68,0.256,0.261,295,241
MLB,4,0.261,0.261,100,93
MLB,6,0.254,0.255,35,31
MLB,30,0.253,0.262,247,220
MLB,44,0.266,0.267,178,156
MLB,16,0.255,0.259,373,341
MLB,30,0.261,0.262,108,97
MLB,34,0.259,0.259,908,822
MLB,13,0.257,0.257,339,303
MLB,68,0.256,0.263,274,247
MLB,8,0.251,0.255,198,167
MLB,4,0.265,0.268,28,22
MLB,13,0.264,0.266,254,224
MLB,34,0.252,0.256,996,921
MLB,28,0.262,0.267,317,282
MLB,1,0.241,0.272,6,4
MLB,4,0.258,0.255,30,24
MLB,48,0.252,0.26,172,152
MLB,18,0.258,0.263,85,70
MLB,9,0.257,0.268,36,31
