AB,TEAM,oppOBP,PPF,OBP,SLG
816,CHA,0.321,107,0.284,0.387
131,SDN,0.324,94,0.196,0.229
249,CLE,0.315,100,0.289,0.305
87,COL,0.322,118,0.323,0.517
22,PIT,0.305,100,0.52,0.591
263,CHN,0.317,99,0.314,0.414
2,NYN,0.268,93,0.0,0.0
18,ANA,0.299,91,0.167,0.222
186,ANA,0.322,96,0.261,0.269
183,HOU,0.31,96,0.383,0.508
64,ATL,0.315,101,0.36,0.406
12,ANA,0.313,103,0.462,0.75
97,PIT,0.308,94,0.311,0.371
89,TOR,0.316,105,0.363,0.562
20,CIN,0.292,97,0.273,0.35
25,CHA,0.315,99,0.367,0.24
86,HOU,0.304,97,0.443,0.558
323,COL,0.322,118,0.326,0.396
575,LAN,0.309,91,0.315,0.41
265,SLN,0.318,100,0.279,0.291
708,TEX,0.32,103,0.313,0.346
6,MIN,0.313,108,0.286,0.333
30,COL,0.306,114,0.303,0.3
25,BAL,0.308,99,0.357,0.6
29,NYA,0.312,99,0.394,0.448
160,ANA,0.316,96,0.303,0.344
7,ANA,0.303,91,0.455,0.571
4,PHI,0.309,102,0.5,0.5
243,TBA,0.31,96,0.292,0.395
774,NYA,0.314,102,0.285,0.381
209,CHA,0.319,103,0.345,0.445
767,TBA,0.317,98,0.284,0.318
128,ATL,0.312,98,0.273,0.273
23,ANA,0.316,91,0.333,0.304
141,TBA,0.322,102,0.282,0.312
363,NYA,0.312,103,0.305,0.377
215,NYN,0.32,95,0.25,0.367
226,LAN,0.322,94,0.23,0.274
13,LAN,0.352,87,0.611,0.538
654,CHN,0.314,98,0.302,0.396
347,MIN,0.326,103,0.36,0.53
673,NYA,0.317,102,0.349,0.511
187,PIT,0.324,97,0.286,0.337
131,WAS,0.319,103,0.318,0.374
27,CIN,0.324,101,0.465,0.519
99,CLE,0.31,101,0.333,0.515
224,OAK,0.318,96,0.293,0.344
226,ATL,0.325,98,0.363,0.376
15,NYA,0.327,103,0.588,1.0
792,BOS,0.315,105,0.331,0.442
105,WAS,0.334,100,0.267,0.229
736,ARI,0.312,103,0.325,0.38
222,CIN,0.318,100,0.326,0.378
670,OAK,0.327,96,0.312,0.358
58,MIL,0.313,112,0.424,0.483
758,NYA,0.316,104,0.305,0.46
259,DET,0.322,105,0.288,0.432
25,PHI,0.313,91,0.379,0.44
187,ARI,0.318,106,0.37,0.54
38,SLN,0.32,100,0.415,0.658
258,TBA,0.318,94,0.219,0.198
24,CHA,0.315,109,0.52,0.917
65,MIL,0.32,104,0.347,0.385
298,BAL,0.318,105,0.311,0.406
156,TOR,0.322,108,0.326,0.346
606,PHI,0.315,100,0.315,0.416
382,CHN,0.314,101,0.301,0.393
30,NYA,0.318,104,0.25,0.3
136,LAN,0.321,90,0.323,0.375
258,DET,0.32,105,0.308,0.341
711,CHA,0.317,105,0.291,0.37
129,OAK,0.318,90,0.27,0.295
474,MIL,0.31,104,0.309,0.411
125,BAL,0.321,106,0.345,0.376
175,ANA,0.322,97,0.32,0.423
261,NYN,0.324,97,0.303,0.345
203,PIT,0.32,93,0.344,0.468
219,DET,0.323,104,0.375,0.479
743,BAL,0.318,103,0.305,0.424
796,SFN,0.316,92,0.274,0.361
72,HOU,0.317,99,0.392,0.597
632,KCA,0.324,103,0.348,0.411
74,CHN,0.318,100,0.355,0.365
61,ARI,0.309,103,0.368,0.426
93,NYN,0.322,96,0.295,0.398
280,NYA,0.308,102,0.286,0.346
214,CHA,0.319,107,0.324,0.43
93,SLN,0.327,98,0.24,0.323
631,PIT,0.313,97,0.311,0.404
63,DET,0.317,101,0.38,0.397
53,PHI,0.317,98,0.317,0.226
120,SDN,0.31,99,0.281,0.333
367,SDN,0.314,96,0.315,0.403
170,CHA,0.32,106,0.273,0.288
103,KCA,0.322,101,0.364,0.408
263,MIA,0.308,94,0.344,0.411
2,LAN,0.325,87,0.5,0.0
51,PHI,0.312,99,0.304,0.392
409,CHA,0.316,104,0.349,0.496
448,CHN,0.31,101,0.365,0.482
413,SLN,0.313,98,0.333,0.407
383,NYN,0.31,94,0.322,0.446
21,NYA,0.315,105,0.417,0.524
288,PIT,0.316,95,0.292,0.385
100,NYN,0.32,97,0.306,0.27
598,SEA,0.322,93,0.317,0.473
6,CHA,0.321,99,0.286,0.667
43,SDN,0.309,96,0.375,0.395
235,NYN,0.315,97,0.341,0.357
663,SLN,0.309,100,0.327,0.401
96,HOU,0.31,101,0.298,0.427
166,LAN,0.318,94,0.354,0.331
126,HOU,0.314,102,0.411,0.484
137,SFN,0.319,95,0.336,0.358
44,SDN,0.32,92,0.3,0.364
66,SLN,0.312,99,0.296,0.424
150,MIA,0.324,93,0.286,0.407
751,MIA,0.317,95,0.331,0.423
8,CHA,0.29,106,0.4,0.25
521,PHI,0.311,102,0.359,0.447
21,BOS,0.305,109,0.52,0.619
84,HOU,0.306,102,0.41,0.5
163,SFN,0.316,92,0.26,0.331
348,CLE,0.318,100,0.338,0.471
220,ARI,0.318,105,0.347,0.4
764,KCA,0.319,102,0.328,0.486
175,DET,0.33,106,0.31,0.411
254,TBA,0.311,95,0.271,0.299
106,SDN,0.31,88,0.305,0.481
292,SEA,0.321,90,0.277,0.301
123,HOU,0.319,99,0.323,0.439
235,MIA,0.327,95,0.327,0.336
135,PIT,0.319,96,0.381,0.407
204,CHA,0.327,109,0.351,0.456
99,MIL,0.322,107,0.318,0.283
44,PIT,0.313,97,0.298,0.341
19,ANA,0.313,86,0.4,0.579
813,TEX,0.313,103,0.309,0.406
248,MIA,0.325,95,0.357,0.423
4,NYA,0.294,112,0.4,1.0
175,TBA,0.318,96,0.323,0.383
258,MIA,0.312,98,0.326,0.403
90,MIA,0.323,93,0.272,0.211
65,KCA,0.315,103,0.275,0.292
163,ARI,0.312,104,0.292,0.38
34,PIT,0.316,96,0.368,0.529
53,DET,0.334,107,0.393,0.585
498,TEX,0.32,104,0.321,0.424
86,NYA,0.316,105,0.358,0.477
385,BOS,0.321,101,0.34,0.499
339,KCA,0.326,103,0.289,0.36
265,SDN,0.32,94,0.28,0.332
75,ARI,0.326,100,0.289,0.333
723,NYN,0.308,96,0.291,0.372
46,COL,0.314,127,0.456,0.761
73,SLN,0.319,102,0.305,0.397
742,WAS,0.314,101,0.297,0.388
4,ARI,0.313,105,0.6,0.5
148,MIL,0.305,111,0.311,0.412
67,CLE,0.318,98,0.225,0.313
86,MIL,0.321,114,0.34,0.581
135,NYA,0.321,103,0.305,0.296
128,MIN,0.322,105,0.25,0.328
51,CHA,0.323,106,0.259,0.333
275,ANA,0.319,96,0.361,0.433
115,SEA,0.32,91,0.311,0.357
140,MIN,0.32,104,0.434,0.629
50,NYN,0.325,96,0.339,0.44
6,TEX,0.319,102,0.4,0.0
337,COL,0.31,118,0.361,0.499
658,PIT,0.313,96,0.315,0.418
19,TOR,0.327,106,0.417,0.579
728,DET,0.321,105,0.353,0.455
259,PHI,0.322,98,0.278,0.344
386,CHN,0.315,99,0.263,0.324
99,CLE,0.321,97,0.353,0.424
45,DET,0.316,108,0.264,0.156
191,COL,0.313,118,0.351,0.372
675,ATL,0.308,98,0.344,0.464
700,CIN,0.308,99,0.326,0.479
60,KCA,0.315,103,0.438,0.4
382,OAK,0.319,96,0.297,0.382
123,PHI,0.321,102,0.333,0.39
95,PHI,0.309,100,0.33,0.474
395,BAL,0.317,103,0.349,0.468
812,PHI,0.31,99,0.278,0.411
92,TOR,0.314,103,0.282,0.337
620,SEA,0.321,93,0.332,0.397
189,ATL,0.312,97,0.325,0.45
72,CHN,0.308,99,0.4,0.556
493,BOS,0.318,104,0.32,0.432
193,PHI,0.324,99,0.305,0.358
66,TOR,0.313,106,0.361,0.53
385,TOR,0.314,107,0.333,0.444
136,ARI,0.312,103,0.354,0.463
66,BOS,0.316,103,0.392,0.47
757,ARI,0.309,102,0.29,0.395
92,NYA,0.309,106,0.306,0.37
30,KCA,0.332,102,0.353,0.467
168,SEA,0.32,93,0.312,0.405
206,CLE,0.321,100,0.307,0.432
14,TOR,0.319,111,0.333,0.571
28,CLE,0.305,100,0.515,0.643
376,COL,0.309,120,0.384,0.593
9,BAL,0.34,109,0.7,1.556
51,LAN,0.331,92,0.381,0.333
21,SDN,0.31,102,0.417,0.476
810,LAN,0.311,91,0.27,0.323
150,TEX,0.312,108,0.303,0.32
227,LAN,0.313,96,0.336,0.441
209,MIN,0.319,106,0.356,0.478
17,MIA,0.31,89,0.471,0.588
470,SLN,0.306,98,0.327,0.402
204,SDN,0.307,94,0.38,0.505
41,BAL,0.323,109,0.362,0.488
256,CLE,0.322,99,0.283,0.348
152,OAK,0.324,95,0.316,0.487
716,DET,0.321,105,0.312,0.409
44,MIL,0.302,109,0.438,0.545
221,WAS,0.321,100,0.307,0.367
10,TOR,0.31,111,0.455,0.7
7,SDN,0.27,95,0.444,0.714
27,SFN,0.328,98,0.286,0.519
43,NYN,0.319,94,0.365,0.279
473,MIL,0.314,107,0.295,0.357
257,MIN,0.318,105,0.273,0.358
98,HOU,0.31,99,0.403,0.561
3,CHA,0.29,112,0.5,0.333
144,BOS,0.324,102,0.296,0.292
51,DET,0.313,109,0.436,0.647
59,MIA,0.317,97,0.364,0.525
83,TOR,0.327,104,0.371,0.59
17,CIN,0.292,102,0.545,0.647
25,BAL,0.331,109,0.308,0.4
820,SEA,0.32,91,0.293,0.421
22,BOS,0.332,109,0.292,0.273
669,TBA,0.318,94,0.307,0.402
237,ARI,0.322,103,0.291,0.287
42,NYN,0.313,116,0.4,0.786
516,HOU,0.31,99,0.304,0.405
173,BAL,0.307,102,0.313,0.405
330,ANA,0.323,96,0.3,0.379
9,OAK,0.331,110,0.4,0.667
153,ANA,0.316,95,0.308,0.366
268,TEX,0.324,103,0.337,0.47
174,LAN,0.319,93,0.323,0.431
161,ANA,0.324,96,0.285,0.46
408,HOU,0.31,97,0.338,0.48
202,ARI,0.32,102,0.269,0.332
5,CHN,0.356,100,0.833,2.6
782,SFN,0.31,95,0.284,0.386
199,HOU,0.326,99,0.306,0.332
227,NYA,0.313,102,0.29,0.348
221,BOS,0.317,107,0.404,0.448
118,HOU,0.316,102,0.331,0.373
159,MIA,0.314,95,0.249,0.377
198,CLE,0.319,100,0.288,0.369
486,CLE,0.318,101,0.378,0.44
