H,SO,SH,HR,AB,SLG,2B,Team,OPS,BB
29,17,2,0,113,.310,4,MIN,.604,6
103,66,7,9,399,.381,22,CHI,.706,41
11,2,0,0,41,.366,4,TIJ,.684,2
50,23,4,4,208,.332,5,LAR,.592,6
12,16,2,0,53,.283,3,PUE,.594,7
58,8,0,2,173,.416,8,CHI,.796,10
13,10,2,0,65,.231,2,MIN,.528,9
66,39,0,2,227,.348,7,VAQ,.741,33
84,58,2,6,328,.366,14,QR,.757,70
49,25,2,1,206,.306,9,MIN,.571,3
40,7,0,2,115,.461,5,VAQ,.851,6
121,83,6,10,379,.504,30,CHI,.891,37
27,31,2,2,131,.290,5,CHI,.547,7
106,36,5,4,393,.359,23,VRA,.700,36
15,13,1,0,83,.205,2,CHI,.449,6
1,1,0,0,7,.143,0,VRA,.286,0
8,10,3,0,36,.250,1,TAB,.532,3
81,57,6,6,279,.412,14,QR,.774,32
93,23,2,1,294,.388,16,MTY,.778,37
0,3,0,0,13,.000,0,TIJ,.000,0
56,29,3,6,262,.321,10,TIJ,.598,17
69,69,9,7,304,.355,16,VRA,.645,25
79,23,9,1,307,.293,8,LAR,.598,22
35,20,7,2,134,.328,3,YUC,.701,22
74,48,11,7,278,.396,15,SLT,.698,14
56,28,16,0,234,.299,12,OAX,.615,25
32,14,6,3,127,.394,7,TIJ,.679,6
102,33,5,2,319,.408,20,VAQ,.815,33
13,9,1,1,58,.293,1,SLT,.567,4
105,21,9,5,301,.492,12,MXO,.887,24
16,9,1,2,56,.482,5,MIN,.804,3
85,31,8,5,311,.389,21,VAQ,.692,10
22,31,4,0,111,.225,3,OAX,.538,17
3,5,0,0,21,.190,1,OAX,.408,1
20,22,4,0,105,.238,5,QR,.486,7
145,55,6,4,476,.389,22,VRA,.732,15
114,50,8,1,359,.396,7,CAM,.794,45
113,37,5,4,331,.426,12,PUE,.827,25
103,63,5,5,356,.402,21,TAB,.778,44
39,47,2,2,159,.314,5,MTY,.627,13
57,41,3,3,218,.362,13,VRA,.709,24
142,23,4,8,397,.471,21,TAB,.866,25
136,98,4,9,409,.506,32,MVA,.919,53
57,50,0,7,214,.430,14,MTY,.743,15
13,13,1,0,55,.291,1,TIJ,.645,8
17,13,0,0,54,.370,3,MVA,.710,1
90,45,3,5,287,.449,20,SLT,.853,41
13,14,0,0,61,.230,1,MIN,.476,3
5,3,0,0,23,.261,1,MVA,.511,1
2,2,1,0,30,.100,1,VRA,.252,3
18,15,0,1,66,.333,1,MVA,.657,4
4,9,0,0,18,.222,0,MIN,.586,3
33,13,3,2,121,.397,9,VAQ,.783,21
129,56,2,10,378,.503,21,YUC,.933,63
97,65,0,5,352,.392,20,PUE,.710,21
1,0,0,0,4,.250,0,QR,.500,0
89,50,7,2,297,.367,10,TAB,.708,18
102,54,7,9,368,.397,15,MVA,.754,45
17,18,2,0,67,.284,2,TIJ,.621,6
29,24,0,5,104,.462,4,OAX,.798,7
45,35,5,3,196,.306,4,MIN,.586,12
73,43,5,1,274,.361,19,CHI,.670,16
117,73,11,10,396,.409,15,TIJ,.794,52
50,42,5,0,205,.278,7,TAB,.595,18
12,21,1,0,73,.178,1,MTY,.460,10
60,18,2,4,183,.454,9,QR,.864,25
81,52,2,9,312,.397,14,VRA,.798,73
92,53,0,8,345,.362,9,VAQ,.731,58
72,9,3,6,234,.427,10,QR,.840,40
144,64,0,34,374,.730,27,SLT,1.189,49
9,7,2,0,50,.200,1,MTY,.455,5
98,33,5,1,324,.340,9,OAX,.686,22
0,1,0,0,1,.000,0,TIJ,.000,0
107,50,5,4,353,.399,20,MVA,.771,36
25,20,1,0,86,.337,2,TAB,.674,6
92,40,23,6,338,.379,14,CAM,.723,39
73,31,0,12,258,.484,16,VAQ,.865,42
13,6,1,0,41,.341,1,TIJ,.682,2
118,51,6,3,387,.372,13,MIN,.720,23
11,8,2,0,55,.236,2,MTY,.499,4
60,17,2,3,214,.379,12,QR,.734,23
63,35,4,3,202,.416,8,CHI,.779,11
1,6,0,0,12,.083,0,CAM,.350,3
11,6,1,2,47,.362,0,VAQ,.695,7
14,16,3,0,68,.265,0,YUC,.550,7
42,39,1,0,164,.274,3,CAM,.576,11
76,45,0,18,224,.612,7,QR,1.010,20
95,56,0,11,336,.440,20,MVA,.799,40
13,14,0,3,58,.431,3,MIN,.712,3
12,6,0,1,50,.340,2,TAB,.649,4
12,13,3,0,50,.280,0,MVA,.636,8
140,46,3,12,390,.526,25,OAX,.933,34
48,23,0,5,178,.416,11,TAB,.762,19
