Age,Tm,PO,Name,G,RsbP,DP,GS,CG,RF/9
26,NYY,1,Chad Gaudin,11,1,1,6,0,2.36
22,BAL,0,Brian Matusz,8,-1,0,8,0,1.01
29,DET,0,Brandon Lyon,65,0,2,0,0,2.97
33,LAA,0,Scot Shields,20,0,2,0,0,2.55
38,TOT,0,Ron Mahay,57,0,0,0,0,1.61
29,OAK,0,Kevin Cameron,11,0,0,0,0,0.98
33,LAA,1,Brian Fuentes,65,1,0,0,0,1.15
27,LAA,0,Dustin Moseley,3,0,0,3,0,3.07
26,BOS,0,Enrique Gonzalez,2,0,0,0,0,4.91
25,CLE,0,Scott Lewis,1,0,0,1,0,0.00
27,MIN,3,Nick Blackburn,33,0,2,33,3,2.10
27,NYY,0,Brian Bruney,44,0,0,0,0,0.69
25,BOS,0,Hunter Jones,11,0,0,0,0,0.71
28,MIN,2,Craig Breslow,17,1,0,0,0,1.88
38,KCR,0,Ron Mahay,41,0,0,0,0,1.96
32,TOT,0,Winston Abreu,5,0,0,0,0,1.50
20,DET,1,Rick Porcello,31,0,1,31,0,1.90
29,BOS,0,Jonathan Van Every,1, ,0,0,0,0.00
26,OAK,0,Brad Kilby,11,0,0,1,0,0.53
28,CHW,0,Bobby Jenks,52,-1,0,0,0,0.51
25,LAA,0,Jose Arredondo,43,0,0,0,0,1.60
29,BOS,0,Josh Beckett,32,-1,2,32,4,1.06
29,BOS,0,Billy Traber,1,0,0,0,0,2.45
36,OAK,0,Brett Tomko,6,0,1,6,1,0.49
35,KCR,0,John Bale,43,-1,1,0,0,2.54
27,TOR,0,Jeremy Accardo,26,0,0,0,0,1.09
32,KCR,4,Bruce Chen,17,1,0,9,0,1.73
25,OAK,0,Andrew Bailey,68,0,0,0,0,1.73
27,TOR,0,David Purcey,9,0,1,9,0,1.31
40,TBR,0,Russ Springer,26,0,0,0,0,0.00
29,TBR,0,Jeff Bennett,11,0,0,0,0,0.00
30,MIN,0,Matt Guerrier,79,0,1,0,0,2.36
32,TOR,0,Roy Halladay,32,-1,2,32,9,1.88
26,TBR,0,Andy Sonnanstine,22,1,0,18,0,1.72
24,TOT,0,Justin Masterson,42,-1,1,16,1,1.81
32,CHW,0,Freddy Garcia,9,-1,1,9,0,1.61
27,BOS,0,Manny Delcarmen,64,-1,0,0,0,0.91
28,KCR,0,Victor Marte,8,0,0,0,0,2.25
26,TOT,0,Chris Lambert,6,0,0,0,0,2.92
26,OAK,0,Edgar Gonzalez,26,0,1,6,0,1.65
35,CHW,0,Octavio Dotel,62,-1,0,0,0,0.72
26,KCR,0,Anthony Lerew,3,0,1,2,0,2.70
39,TBR,0,Troy Percival,14,-1,0,0,0,0.79
34,CLE,0,Luis Vizcaino,11,-1,0,0,0,1.54
33,KCR,0,Kyle Farnsworth,41,0,0,0,0,0.72
26,CLE,2,Jeremy Sowers,23,1,0,22,0,1.53
32,OAK,0,Dan Giese,7,0,0,1,0,2.05
28,TOR,0,Brian Burres,2,0,0,2,0,5.68
26,TEX,0,Doug Mathis,24,0,1,2,0,2.32
24,TOR,4,Ricky Romero,29,2,2,29,0,2.02
23,OAK,2,Gio Gonzalez,20,1,1,17,0,1.37
29,LAA,0,Shane Loux,18,0,0,6,0,2.62
21,LAA,0,Sean O'Sullivan,12,-1,0,10,0,1.22
36,KCR,0,Yasuhiko Yabuta,12,0,0,0,0,0.64
23,MIN,0,Anthony Swarzak,12,1,0,12,0,1.07
32,TEX,0,Jason Grilli,30,0,0,0,0,3.08
26,MIN,0,Philip Humber,8,0,0,0,0,1.00
27,DET,0,Dontrelle Willis,7,-1,1,7,0,2.94
21,BAL,0,Chris Tillman,12,1,0,12,0,0.83
24,TOR,0,Jesse Litsch,2,0,0,2,0,2.00
39,CLE,0,Matt Herges,21,0,0,0,0,2.13
24,CLE,0,Justin Masterson,11,-1,1,10,1,1.41
21,OAK,4,Brett Anderson,30,0,5,30,1,1.49
28,CHW,0,Jake Peavy,3,0,1,3,0,1.35
26,DET,0,Chris Lambert,2,0,0,0,0,2.70
26,TOR,0,Josh Roenicke,13,-1,0,0,0,1.02
31,DET,0,Nate Robertson,28,0,0,6,0,1.81
30,KCR,0,Juan Cruz,46,1,1,0,0,1.07
24,OAK,0,Jon Meloan,6,0,0,0,0,0.00
30,DET,0,Juan Rincon,7,0,0,0,0,1.74
