AB,Pos,SF,RBI,Team,AVG,SO
5,2B,0,2,MIN,0.2,3
27,2B,0,0,NYM,0.148,11
375,2B,4,35,SF,0.309,42
160,C,0,14,BOS,0.244,44
318,SS,3,21,DET,0.318,35
189,2B,2,22,BAL,0.217,56
254,3B,1,44,LAD,0.323,46
367,3B,1,42,OAK,0.272,90
355,1B,6,57,TOR,0.245,70
107,C,4,14,TOR,0.224,17
67,1B,0,6,TEX,0.313,20
16,SS,0,0,SEA,0.25,2
32,C,0,6,CLE,0.156,7
209,OF,0,20,BAL,0.239,54
78,SS,0,4,KC,0.244,12
21,SS,0,3,DET,0.381,8
112,C,0,11,SF,0.241,35
34,OF,0,1,ATL,0.147,8
109,C,2,9,PIT,0.284,20
404,OF,5,58,SD,0.257,100
