BB,GIDP,HR,AVG
32,2,4,.232
0,0,0,--
17,3,2,.293
12,4,0,.292
1,0,0,.333
0,0,0,.000
12,3,3,.264
37,4,1,.258
6,3,0,.260
6,3,3,.258
0,0,0,1.000
24,2,2,.177
0,0,0,--
32,6,0,.344
16,2,2,.257
5,1,0,.159
5,3,0,.132
2,0,0,.059
35,5,1,.179
37,1,11,.274
9,2,1,.216
20,6,1,.260
3,0,0,.321
24,1,5,.282
24,5,4,.204
18,1,0,.281
0,0,0,--
6,2,1,.126
12,5,0,.213
15,5,5,.350
4,0,0,.213
24,0,1,.212
10,3,1,.222
19,4,5,.221
28,5,0,.267
4,0,0,.263
24,2,7,.215
15,3,1,.281
16,6,6,.292
27,1,0,.199
6,5,0,.260
20,0,1,.242
12,1,0,.082
9,4,0,.217
11,3,2,.203
10,1,0,.207
5,1,1,.203
15,0,0,.168
5,3,0,.256
12,1,0,.241
7,4,0,.186
17,3,0,.258
3,2,3,.235
46,1,0,.231
0,0,0,--
12,1,0,.131
22,4,0,.235
14,1,0,.257
21,7,1,.230
12,1,2,.184
0,1,0,.222
12,4,0,.195
19,5,0,.233
28,2,0,.265
1,0,0,.000
6,3,0,.217
31,4,0,.202
25,2,0,.210
16,0,0,.119
20,2,3,.241
20,3,0,.222
16,5,5,.267
11,3,2,.283
5,0,0,.154
1,0,0,.238
3,0,0,.115
25,1,0,.248
35,1,1,.272
8,1,0,.242
1,0,0,.125
3,0,0,.424
3,0,0,.313
2,0,0,.235
8,4,0,.169
4,1,0,.263
36,5,5,.258
23,3,2,.203
5,0,2,.370
9,1,1,.200
9,1,1,.253
18,8,2,.234
1,0,0,.000
29,4,0,.265
7,0,1,.176
8,0,0,.225
6,0,1,.180
15,2,0,.244
6,2,1,.281
17,2,0,.226
10,1,0,.125
15,2,1,.291
20,5,0,.262
22,1,0,.185
16,5,2,.241
11,4,0,.139
16,7,3,.251
21,1,0,.184
23,2,0,.236
25,0,0,.222
9,1,1,.343
8,0,0,.191
12,0,0,.179
13,0,2,.125
12,0,2,.238
17,4,0,.278
16,2,0,.297
45,1,2,.269
24,5,0,.233
37,1,0,.236
8,3,0,.202
5,1,1,.115
26,5,2,.259
8,0,1,.200
0,0,0,.000
16,1,3,.275
15,3,1,.239
18,4,0,.275
10,2,2,.323
27,1,6,.378
38,3,0,.253
2,0,0,.250
5,3,0,.151
0,0,0,.000
0,0,0,.200
18,4,0,.240
10,1,3,.220
25,0,0,.241
16,4,0,.163
27,7,0,.235
3,2,0,.204
25,1,0,.245
16,0,2,.271
26,0,2,.220
7,2,2,.183
10,1,0,.130
7,0,0,.188
17,1,0,.219
11,2,0,.345
24,3,0,.161
17,3,4,.207
7,3,0,.172
11,3,1,.193
5,0,0,.194
12,2,1,.222
27,2,1,.297
9,0,0,.206
11,0,2,.253
18,6,2,.279
9,1,0,.339
20,7,2,.206
21,1,4,.188
8,0,0,.333
9,2,0,.236
37,6,2,.220
9,1,0,.238
20,6,0,.255
0,0,0,.500
22,2,0,.225
31,4,1,.221
4,0,1,.172
5,0,0,.250
2,1,0,.300
21,4,6,.267
5,0,0,.208
6,2,3,.256
21,4,1,.278
16,2,0,.189
22,2,2,.203
3,0,1,.323
12,3,4,.288
19,6,0,.182
18,2,3,.183
10,1,0,.121
26,4,0,.217
28,1,0,.201
17,0,0,.167
23,2,2,.221
10,0,1,.136
13,3,4,.316
2,0,0,.248
13,0,0,.176
19,2,0,.239
7,0,0,.135
24,3,1,.209
43,2,2,.171
15,6,1,.213
21,0,0,.194
27,3,5,.305
6,2,0,.148
4,4,0,.182
26,3,0,.245
27,3,0,.205
9,2,1,.235
21,5,2,.272
21,5,1,.301
9,0,0,.164
16,5,1,.247
5,2,0,.182
68,4,0,.250
7,5,0,.148
8,0,1,.224
5,0,0,.225
5,0,0,.194
10,0,0,.067
2,0,0,.200
15,2,0,.286
8,1,0,.254
0,0,0,.095
17,0,1,.182
23,1,3,.217
29,7,2,.259
16,4,0,.228
16,7,1,.231
9,1,1,.183
21,6,2,.288
9,2,0,.208
14,2,1,.170
5,1,0,.313
