G,H,HR,S,BB,W,IP
4,6,2,0,2,0,2.0
32,205,22,0,60,7,188.2
12,81,18,0,24,1,49.2
31,180,22,0,45,12,193.2
39,37,5,0,22,1,34.2
28,175,20,0,58,14,170.2
10,13,1,0,6,0,10.2
5,12,4,0,4,1,14.0
2,1,0,0,0,0,2.1
53,36,6,7,24,3,46.2
1,6,0,0,3,0,4.0
9,60,9,0,15,1,38.2
69,45,10,0,24,6,62.1
31,168,20,0,87,11,194.0
33,262,23,0,40,9,222.0
6,8,0,0,7,0,6.2
9,7,0,3,5,0,8.2
33,195,26,0,65,16,249.1
23,15,0,0,10,2,22.0
