SF,R,3B,SO,POS,RBI,GIDP,2B
2,29,4,42,1B,38,7,17
2,9,0,18,OF,6,1,0
2,24,0,40,2B,9,3,5
0,0,0,8,C,1,0,0
0,28,2,57,OF,11,2,4
1,14,0,47,1B,24,3,6
0,2,0,13,C,1,1,0
0,5,1,6,C,3,2,0
0,1,0,3,DH,0,0,0
0,2,0,5,OF,3,0,2
2,23,2,58,1B,25,1,12
3,46,3,38,2B,36,3,9
5,32,1,34,1B,37,0,9
3,28,5,44,OF,26,3,11
0,8,0,5,C,2,1,1
1,23,1,32,C,16,1,6
0,7,0,10,1B,12,1,2
0,6,1,7,CF,2,0,0
0,9,0,22,1B,9,4,3
3,35,1,25,2B,13,0,5
2,34,2,52,RF,29,3,12
3,26,0,34,3B,28,5,12
1,16,0,26,CF,8,2,3
1,24,1,30,3B,23,9,15
0,3,0,12,OF,1,0,0
0,14,1,15,SS,0,0,5
4,16,0,23,1B,16,7,7
0,10,0,51,3B,14,2,8
0,18,1,17,1B,15,6,6
3,13,1,36,OF,10,1,6
0,9,0,18,P,2,1,2
1,24,1,24,3B,12,2,10
2,11,1,10,SS,11,1,5
1,9,0,8,C,7,5,5
0,13,1,6,1B,9,3,7
2,6,0,11,C,7,3,3
1,40,3,32,2B,26,4,9
1,5,0,5,C,3,0,0
4,40,6,56,RF,44,7,16
2,43,3,40,OF,37,8,14
1,15,3,31,DH,6,4,2
1,6,0,25,C,8,1,2
1,32,0,44,1B,30,2,12
0,11,1,24,2B,3,0,3
0,0,0,10,C,0,0,0
6,24,2,36,OF,25,2,8
0,11,0,20,C,7,1,3
0,19,0,37,P,16,3,4
1,19,0,36,RF,7,2,4
0,4,0,6,1B,6,2,2
2,42,5,48,OF,37,4,10
0,11,0,31,C,9,5,2
3,13,0,26,C,20,2,7
0,4,0,8,C,8,2,1
5,42,4,48,CF,45,6,14
0,0,0,17,1B,2,1,1
1,27,4,54,DH,11,2,6
2,36,3,26,SS,16,4,4
0,12,1,18,OF,8,0,2
0,0,0,0,P,0,0,0
2,7,0,32,DH,13,3,6
4,10,0,12,C,15,4,4
2,15,0,26,3B,14,4,7
1,23,4,15,3B,13,2,4
0,8,4,47,OF,2,0,4
4,43,10,35,2B,27,2,7
2,12,0,28,C,17,4,6
2,16,0,29,C,9,3,4
0,1,0,4,C,0,0,0
2,26,2,10,2B,23,2,4
3,30,1,26,2B,20,1,6
2,28,4,20,2B,26,1,5
0,9,0,7,DH,12,1,2
1,23,5,33,2B,14,2,7
0,21,0,45,C,12,2,4
0,8,1,38,C,6,2,0
1,8,0,11,OF,2,3,1
1,16,0,25,RF,10,2,2
0,0,0,2,1B,2,0,0
1,46,1,38,OF,38,1,10
3,45,2,46,OF,33,4,8
0,33,1,31,2B,21,2,5
3,31,0,25,C,28,4,19
1,18,1,34,OF,18,3,6
0,1,0,3,CF,0,0,0
1,6,1,18,LF,4,1,0
0,5,0,23,DH,3,1,3
0,3,0,10,2B,3,3,0
0,25,1,49,3B,21,1,13
0,3,0,23,OF,1,0,1
0,10,1,25,SS,4,0,2
1,23,1,41,OF,15,5,4
1,21,2,44,2B,25,3,8
0,15,1,24,DH,21,2,6
1,6,0,44,1B,7,4,3
1,37,2,19,OF,18,1,7
1,33,1,14,SS,9,5,5
