AB,TEAM,oppOBP,PPF,OBP,SLG
816,CHA,0.321,107,0.284,0.387
131,SDN,0.324,94,0.196,0.229
249,CLE,0.315,100,0.289,0.305
87,COL,0.322,118,0.323,0.517
22,PIT,0.305,100,0.52,0.591
263,CHN,0.317,99,0.314,0.414
2,NYN,0.268,93,0.0,0.0
18,ANA,0.299,91,0.167,0.222
186,ANA,0.322,96,0.261,0.269
183,HOU,0.31,96,0.383,0.508
64,ATL,0.315,101,0.36,0.406
12,ANA,0.313,103,0.462,0.75
97,PIT,0.308,94,0.311,0.371
89,TOR,0.316,105,0.363,0.562
20,CIN,0.292,97,0.273,0.35
25,CHA,0.315,99,0.367,0.24
86,HOU,0.304,97,0.443,0.558
323,COL,0.322,118,0.326,0.396
575,LAN,0.309,91,0.315,0.41
265,SLN,0.318,100,0.279,0.291
708,TEX,0.32,103,0.313,0.346
6,MIN,0.313,108,0.286,0.333
30,COL,0.306,114,0.303,0.3
25,BAL,0.308,99,0.357,0.6
29,NYA,0.312,99,0.394,0.448
160,ANA,0.316,96,0.303,0.344
7,ANA,0.303,91,0.455,0.571
4,PHI,0.309,102,0.5,0.5
243,TBA,0.31,96,0.292,0.395
774,NYA,0.314,102,0.285,0.381
209,CHA,0.319,103,0.345,0.445
767,TBA,0.317,98,0.284,0.318
128,ATL,0.312,98,0.273,0.273
23,ANA,0.316,91,0.333,0.304
141,TBA,0.322,102,0.282,0.312
363,NYA,0.312,103,0.305,0.377
215,NYN,0.32,95,0.25,0.367
226,LAN,0.322,94,0.23,0.274
13,LAN,0.352,87,0.611,0.538
654,CHN,0.314,98,0.302,0.396
347,MIN,0.326,103,0.36,0.53
673,NYA,0.317,102,0.349,0.511
187,PIT,0.324,97,0.286,0.337
131,WAS,0.319,103,0.318,0.374
27,CIN,0.324,101,0.465,0.519
99,CLE,0.31,101,0.333,0.515
224,OAK,0.318,96,0.293,0.344
226,ATL,0.325,98,0.363,0.376
15,NYA,0.327,103,0.588,1.0
792,BOS,0.315,105,0.331,0.442
105,WAS,0.334,100,0.267,0.229
736,ARI,0.312,103,0.325,0.38
222,CIN,0.318,100,0.326,0.378
670,OAK,0.327,96,0.312,0.358
58,MIL,0.313,112,0.424,0.483
758,NYA,0.316,104,0.305,0.46
259,DET,0.322,105,0.288,0.432
25,PHI,0.313,91,0.379,0.44
187,ARI,0.318,106,0.37,0.54
38,SLN,0.32,100,0.415,0.658
258,TBA,0.318,94,0.219,0.198
24,CHA,0.315,109,0.52,0.917
65,MIL,0.32,104,0.347,0.385
298,BAL,0.318,105,0.311,0.406
156,TOR,0.322,108,0.326,0.346
606,PHI,0.315,100,0.315,0.416
382,CHN,0.314,101,0.301,0.393
30,NYA,0.318,104,0.25,0.3
136,LAN,0.321,90,0.323,0.375
258,DET,0.32,105,0.308,0.341
711,CHA,0.317,105,0.291,0.37
129,OAK,0.318,90,0.27,0.295
474,MIL,0.31,104,0.309,0.411
125,BAL,0.321,106,0.345,0.376
175,ANA,0.322,97,0.32,0.423
261,NYN,0.324,97,0.303,0.345
203,PIT,0.32,93,0.344,0.468
219,DET,0.323,104,0.375,0.479
743,BAL,0.318,103,0.305,0.424
796,SFN,0.316,92,0.274,0.361
72,HOU,0.317,99,0.392,0.597
632,KCA,0.324,103,0.348,0.411
74,CHN,0.318,100,0.355,0.365
61,ARI,0.309,103,0.368,0.426
93,NYN,0.322,96,0.295,0.398
280,NYA,0.308,102,0.286,0.346
214,CHA,0.319,107,0.324,0.43
93,SLN,0.327,98,0.24,0.323
631,PIT,0.313,97,0.311,0.404
63,DET,0.317,101,0.38,0.397
53,PHI,0.317,98,0.317,0.226
120,SDN,0.31,99,0.281,0.333
367,SDN,0.314,96,0.315,0.403
170,CHA,0.32,106,0.273,0.288
103,KCA,0.322,101,0.364,0.408
263,MIA,0.308,94,0.344,0.411
2,LAN,0.325,87,0.5,0.0
51,PHI,0.312,99,0.304,0.392
409,CHA,0.316,104,0.349,0.496
448,CHN,0.31,101,0.365,0.482
413,SLN,0.313,98,0.333,0.407
383,NYN,0.31,94,0.322,0.446
21,NYA,0.315,105,0.417,0.524
288,PIT,0.316,95,0.292,0.385
100,NYN,0.32,97,0.306,0.27
598,SEA,0.322,93,0.317,0.473
6,CHA,0.321,99,0.286,0.667
43,SDN,0.309,96,0.375,0.395
235,NYN,0.315,97,0.341,0.357
663,SLN,0.309,100,0.327,0.401
242,BAL,0.317,104,0.254,0.36
22,LAN,0.348,93,0.269,0.136
144,MIL,0.311,107,0.344,0.569
26,LAN,0.309,101,0.469,0.423
19,TOR,0.327,106,0.417,0.579
220,COL,0.324,119,0.278,0.377
161,SEA,0.325,92,0.256,0.273
30,CHN,0.333,105,0.452,0.433
13,KCA,0.295,103,0.667,1.0
27,CLE,0.307,93,0.29,0.37
348,CLE,0.318,100,0.338,0.471
10,SFN,0.334,140,0.5,0.6
220,ARI,0.318,105,0.347,0.4
690,ANA,0.32,97,0.308,0.465
217,PIT,0.329,95,0.285,0.35
19,OAK,0.328,99,0.524,0.737
33,MIL,0.319,110,0.316,0.364
168,SEA,0.32,93,0.312,0.405
745,OAK,0.315,95,0.313,0.424
215,KCA,0.322,102,0.425,0.512
215,CHA,0.319,110,0.355,0.405
686,ANA,0.316,96,0.265,0.34
208,CIN,0.319,102,0.3,0.327
757,ARI,0.309,102,0.29,0.395
430,OAK,0.318,95,0.313,0.393
658,PIT,0.313,96,0.315,0.418
189,ATL,0.312,97,0.325,0.45
237,SFN,0.324,97,0.316,0.325
42,ARI,0.329,100,0.289,0.31
713,WAS,0.312,102,0.298,0.421
73,SLN,0.319,102,0.305,0.397
74,SLN,0.315,97,0.329,0.324
3,CIN,0.276,102,0.0,0.0
270,HOU,0.323,100,0.336,0.426
853,SDN,0.309,95,0.304,0.435
63,SFN,0.315,91,0.377,0.429
117,MIN,0.316,106,0.371,0.376
204,CHA,0.327,109,0.351,0.456
145,SDN,0.31,100,0.369,0.462
176,OAK,0.32,96,0.27,0.341
459,COL,0.315,117,0.356,0.49
4,BOS,0.325,109,0.667,1.5
82,OAK,0.316,87,0.398,0.524
23,ATL,0.302,98,0.25,0.217
460,MIA,0.315,94,0.308,0.409
707,SFN,0.313,93,0.332,0.426
176,BOS,0.32,104,0.311,0.443
75,ARI,0.326,100,0.289,0.333
207,CIN,0.326,101,0.351,0.401
27,CHN,0.297,96,0.469,0.704
125,SDN,0.31,95,0.345,0.416
106,SDN,0.31,88,0.305,0.481
666,TEX,0.316,104,0.299,0.446
716,DET,0.321,105,0.312,0.409
121,SDN,0.316,94,0.351,0.479
4,TOR,0.349,112,0.4,1.0
19,BAL,0.316,110,0.381,0.579
445,BAL,0.321,105,0.302,0.335
183,NYN,0.311,97,0.392,0.432
173,KCA,0.317,104,0.391,0.405
137,SFN,0.319,95,0.336,0.358
205,ATL,0.323,100,0.3,0.302
251,COL,0.324,119,0.346,0.386
48,DET,0.337,107,0.441,0.563
763,MIA,0.307,94,0.296,0.414
466,TOR,0.321,106,0.312,0.446
678,SLN,0.309,99,0.338,0.391
248,KCA,0.321,102,0.323,0.331
395,BAL,0.317,103,0.349,0.468
316,KCA,0.32,102,0.301,0.342
19,ANA,0.339,91,0.429,0.632
570,HOU,0.314,101,0.332,0.44
257,SLN,0.319,98,0.245,0.331
17,CIN,0.292,102,0.545,0.647
52,CLE,0.316,99,0.393,0.577
93,LAN,0.333,91,0.296,0.215
60,KCA,0.315,103,0.438,0.4
136,OAK,0.316,98,0.284,0.353
245,SFN,0.322,92,0.293,0.363
90,MIA,0.323,93,0.272,0.211
106,CIN,0.311,100,0.248,0.264
30,PHI,0.317,99,0.355,0.533
473,MIL,0.314,107,0.295,0.357
533,BAL,0.316,106,0.337,0.527
34,DET,0.321,109,0.487,0.853
418,ARI,0.309,102,0.323,0.459
17,SFN,0.329,86,0.524,0.412
109,CLE,0.319,99,0.352,0.358
67,DET,0.311,107,0.337,0.493
820,SEA,0.32,91,0.293,0.421
10,BOS,0.324,111,0.273,0.5
45,CHA,0.324,109,0.184,0.178
867,SEA,0.323,87,0.296,0.333
402,SEA,0.32,89,0.329,0.498
270,MIL,0.323,108,0.316,0.393
70,CHN,0.31,105,0.453,0.471
106,SDN,0.318,96,0.352,0.396
215,ATL,0.327,99,0.186,0.172
110,TOR,0.316,105,0.322,0.509
10,ANA,0.308,81,0.5,0.3
713,MIA,0.312,95,0.315,0.363
141,HOU,0.323,100,0.325,0.362
269,WAS,0.322,100,0.283,0.338
191,COL,0.313,118,0.351,0.372
53,ARI,0.325,107,0.39,0.698
21,BOS,0.305,109,0.52,0.619
115,SEA,0.32,91,0.311,0.357
10,TOR,0.31,111,0.455,0.7
135,PIT,0.319,96,0.381,0.407
741,LAN,0.311,94,0.305,0.41
188,BOS,0.315,106,0.256,0.293
18,ATL,0.307,96,0.25,0.333
256,CHA,0.318,106,0.332,0.348
88,PHI,0.315,100,0.327,0.398
229,COL,0.301,119,0.38,0.546
129,PHI,0.316,100,0.348,0.535
4,NYN,0.269,93,0.8,1.5
6,TEX,0.319,102,0.4,0.0
278,COL,0.313,119,0.364,0.457
171,SEA,0.316,90,0.353,0.339
408,HOU,0.31,97,0.338,0.48
132,KCA,0.317,102,0.349,0.348
121,CHN,0.311,107,0.385,0.496
591,WAS,0.308,101,0.291,0.359
355,KCA,0.316,100,0.368,0.485
223,SLN,0.32,99,0.335,0.386
294,OAK,0.324,93,0.407,0.463
59,MIA,0.317,97,0.364,0.525
9,TOR,0.332,112,0.182,0.0
140,MIN,0.32,104,0.434,0.629
419,CLE,0.318,98,0.342,0.518
