Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
St Etienne,H - PSG,"Jan 13, 2015",Fra Lcup,L 0-1,Sub-On 46; Sub-Off 68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
St Etienne,A - Reims,"Jan 10, 2015",Ligue 1,W 1-2,Started,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0
St Etienne,H - Nancy,"Jan 4, 2015",Fra Cup,W 1-0,Unused Substitute, , , , , , , , 
St Etienne,H - Evian,"Dec 21, 2014",Ligue 1,W 3-0,Sub-On 85 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
St Etienne,A - Lorient,"Dec 17, 2014",Fra Lcup,W 0-1,Sub-On 46 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Etienne,A - Nice,"Dec 14, 2014",Ligue 1,D 0-0,Sub-Off 45 min,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
St Etienne,A - Dnipro,"Dec 11, 2014",Europa,L 1-0,Unused Substitute, , , , , , , , 
St Etienne,H - Bastia,"Dec 6, 2014",Ligue 1,W 1-0,Sub-Off 76 min,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0
St Etienne,A - Montpellier,"Dec 3, 2014",Ligue 1,W 0-2,Sub-Off 81 min,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0
St Etienne,H - Lyon,"Nov 30, 2014",Ligue 1,W 3-0,Unused Substitute, , , , , , , , 
St Etienne,H - FK Qarabag,"Nov 27, 2014",Europa,D 1-1,Unused Substitute, , , , , , , , 
St Etienne,A - Nantes,"Nov 23, 2014",Ligue 1,D 0-0,Sub-Off 61 min,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
St Etienne,A - Lille,"Nov 1, 2014",Ligue 1,D 1-1,Sub-Off 13 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Etienne,H - Metz,"Oct 26, 2014",Ligue 1,W 1-0,Unused Substitute, , , , , , , , 
St Etienne,A - Lorient,"Oct 18, 2014",Ligue 1,W 0-1,Sub-Off 63 min,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0
St Etienne,H - Toulouse,"Oct 5, 2014",Ligue 1,L 0-1,Sub-Off 63 min,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0
St Etienne,H - Dnipro,"Oct 2, 2014",Europa,D 0-0,Sub-On 75 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
St Etienne,A - FK Qarabag,"Sep 18, 2014",Europa,D 0-0,Started,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
St Etienne,H - Caen,"Sep 13, 2014",Ligue 1,W 1-0,Sub-Off 77 min,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
St Etienne,A - PSG,"Aug 31, 2014",Ligue 1,L 5-0,Sub-On 54 min,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
St Etienne,H - Rennes,"Aug 24, 2014",Ligue 1,D 0-0,Sub-Off 60 min,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0
St Etienne,H - Reims,"Aug 17, 2014",Ligue 1,W 3-1,Sub-Off 75 min,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0
St Etienne,A - Guingamp,"Aug 9, 2014",Ligue 1,W 0-2,Sub-On 80 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
