NO,FN,LN,DIVISION,OVERALL,DIVP,SEXP,SWIM,RATE,RANK,T1,BIKE,T2,RUN,Sand,TIME
2006,JEFFREY,LUNEY,M50-54,379,20,322,38:31,8:56,674,7:52,1:02:32,1:30,1:11:30,3:34,3:01:55
1384,TOM,BIRDSALL,M50-54,382,21,324,40:20,8:25,458,8:11,1:04:14,1:54,1:07:27,3:40,3:02:06
1397,HARRY,SLUTTER,M50-54,424,22,356,45:38,8:28,477,7:02,1:01:56,1:34,1:07:51,3:43,3:04:01
1307,HELMUT,TUTASS,M50-54,453,23,378,-,-,-,-,-,-,-,-,3:05:09
1388,BRIAN,DENT,M50-54,494,24,412,46:31,8:55,670,6:54,1:00:46,1:24,1:11:25,3:39,3:07:00
1389,MARK,BAUMLI,M50-54,506,25,422,45:19,8:49,626,8:08,1:01:26,1:56,1:10:35,3:40,3:07:24
1312,MIKE,COWDEN,M50-54,532,26,442,46:29,8:46,607,7:59,1:01:30,2:25,1:10:13,3:23,3:08:36
1322,MALCOLM,MACDONALD,M50-54,545,27,451,44:04,8:26,461,12:14,1:02:17,2:57,1:07:30,3:31,3:09:02
1314,JAMES,SCOPA,M50-54,558,28,463,50:38,8:23,441,8:09,1:01:10,2:28,1:07:08,3:59,3:09:33
1360,LAWRENCE,GABRIEL,M50-54,565,29,468,46:59,8:44,594,8:52,1:02:18,1:50,1:09:55,3:10,3:09:54
1404,ROBERT,BENNER,M50-54,617,30,514,49:43,8:53,655,7:58,1:01:17,1:46,1:11:09,3:44,3:11:53
2007,JAMES,HALPER,M50-54,633,31,528,52:36,8:12,377,7:40,1:05:06,1:14,1:05:43,3:14,3:12:19
1318,JOHN,APPELDORN,M50-54,669,32,557,44:26,9:16,810,7:42,1:05:26,2:22,1:14:08,3:26,3:14:04
1401,RALPH,HOPKINS,M50-54,672,33,559,45:37,9:16,811,8:02,1:04:39,1:42,1:14:08,3:44,3:14:08
1391,HARRY,NICKELL,M50-54,680,34,567,49:49,9:06,729,6:27,1:03:54,1:29,1:12:50,4:15,3:14:29
1344,DOUG,HETZLER,M50-54,697,35,583,53:32,8:35,529,7:30,1:03:14,1:59,1:08:46,3:45,3:15:01
1368,GARY,DOVE,M50-54,706,36,588,45:46,9:02,707,8:10,1:06:22,2:40,1:12:18,3:52,3:15:16
1381,STEVE,SPONAGLE,M50-54,717,37,596,40:19,-,-,8:22,1:11:58,-,-,-,3:15:42
1380,STEVEN,FOLAND,M50-54,718,38,597,41:27,9:57,1082,7:04,1:05:16,2:19,1:19:37,3:53,3:15:43
1291,WILLIAM,KURPIEL,M50-54,768,39,640,47:30,9:14,803,8:23,1:05:30,2:38,1:13:59,3:39,3:18:00
NO,FN,LN,DIVISION,OVERALL,DIVP,SEXP,SWIM,RATE,RANK,T1,BIKE,T2,RUN,Sand,TIME
1385,HENRY,SKINNER,M50-54,784,40,650,48:37,9:33,945,7:00,1:04:47,1:43,1:16:26,3:54,3:18:33
1376,FRAN,FIDLER,M50-54,820,41,671,44:44,9:58,1088,8:17,1:05:17,1:50,1:19:46,3:59,3:19:54
1387,MICHAEL,SEAMARK,M50-54,832,42,683,52:19,8:40,569,9:00,1:06:53,2:41,1:09:26,3:27,3:20:19
1402,JOHN,BARTON,M50-54,856,43,702,49:06,9:42,998,9:17,1:02:47,2:44,1:17:40,3:31,3:21:34
1321,JEFF,GROFFSKY,M50-54,858,44,704,48:40,9:14,800,9:30,1:07:25,2:11,1:13:56,3:51,3:21:42
1331,ROBERT,WRIGHT,M50-54,915,45,748,46:42,9:20,850,9:04,1:12:04,2:25,1:14:42,4:07,3:24:57
1306,JAMES,ROTH,M50-54,945,46,773,51:56,9:44,1004,8:45,1:05:53,1:55,1:17:52,3:41,3:26:21
1400,MARK,PRICHARD,M50-54,952,47,779,48:49,10:26,1223,9:51,1:01:37,3:10,1:23:28,3:57,3:26:55
1405,MARK,ROSEN,M50-54,954,48,781,52:38,10:04,1124,8:11,1:03:40,1:55,1:20:35,3:50,3:26:59
1305,TODD,SCHOLL,M50-54,962,49,787,52:44,9:35,960,8:09,1:07:31,2:08,1:16:41,3:50,3:27:13
1378,STEVEN,TITAN,M50-54,993,50,806,51:37,9:26,902,10:21,1:07:44,3:13,1:15:34,3:30,3:28:29
1296,PHILLIP,TING,M50-54,996,51,808,59:40,-,-,-,-,-,-,-,3:28:37
1299,STEFAN J,TUNGUZ,M50-54,1030,52,832,48:56,9:53,1061,11:44,1:07:14,3:01,1:19:10,4:15,3:30:05
1383,DANIEL,DRAYNE,M50-54,1076,53,860,44:09,10:42,1302,8:25,1:11:24,2:29,1:25:38,3:49,3:32:05
1354,LUKE,HOWARD,M50-54,1091,54,869,50:31,9:29,921,11:30,1:12:29,2:07,1:15:54,4:11,3:32:31
1337,ERNIE,FURTADO,M50-54,1094,55,873,49:57,9:47,1026,9:36,1:12:22,2:20,1:18:20,4:02,3:32:35
1399,GARY,VAVREK,M50-54,1113,56,885,47:06,9:47,1027,11:23,1:13:00,3:49,1:18:21,3:47,3:33:39
1346,NEIL,DORFLINGER,M50-54,1117,57,887,49:25,10:09,1148,7:35,1:12:57,2:49,1:21:12,4:07,3:33:58
1320,MATT,RAVEN,M50-54,1127,58,895,43:46,9:21,863,6:45,1:25:45,3:26,1:14:49,2:54,3:34:31
1373,GEORGE,HANSEN,M50-54,1145,59,910,49:16,9:18,839,13:35,1:14:44,3:45,1:14:31,3:56,3:35:51
1356,RANDY,GRANGE,M50-54,1162,60,923,50:10,10:41,1297,7:31,1:11:37,2:06,1:25:33,5:04,3:36:57
1332,KAMAL,NABIJEE,M50-54,1163,61,924,53:38,9:39,983,12:02,1:10:13,3:50,1:17:16,3:31,3:36:59
1298,JOSEPH,BERTAIN,M50-54,1194,62,945,51:05,10:34,1261,9:18,1:10:45,2:23,1:24:36,4:05,3:38:07
1294,CHRIS,HADSELL,M50-54,1208,63,956,53:40,10:20,1200,10:56,1:06:27,5:10,1:22:44,4:20,3:38:57
1295,EDWARD,MILLS,M50-54,1218,64,963,1:04:51,9:25,889,9:37,1:06:24,3:07,1:15:20,3:29,3:39:19
1325,ROBERT,SAVOIE,M50-54,1220,65,965,51:59,9:50,1049,12:50,1:12:53,2:59,1:18:44,4:04,3:39:25
1358,MICHAEL,CHAMMOUT,M50-54,1231,66,974,51:03,9:51,1053,15:18,1:12:14,2:50,1:18:50,3:21,3:40:15
1309,MARK,LUTKENHOUSE,M50-54,1246,67,983,42:10,11:33,1460,8:28,1:14:45,3:12,1:32:24,4:47,3:40:59
1303,JOCELYN,RUEST,M50-54,1247,68,984,1:02:21,9:54,1067,10:03,1:07:26,1:53,1:19:19,3:42,3:41:02
1355,BRAD,PETERSON,M50-54,1266,69,996,41:52,11:23,1432,10:56,1:15:16,3:00,1:31:04,4:27,3:42:08
1292,DAN,MURPHY,M50-54,1268,70,998,50:45,11:01,1367,10:24,1:09:52,3:06,1:28:13,4:35,3:42:20
1348,JEFFREY,TYLER,M50-54,1270,71,999,48:46,10:39,1286,11:39,1:14:28,2:14,1:25:18,3:55,3:42:25
1342,WALT,INGETTI,M50-54,1366,72,1071,1:03:59,11:35,1466,9:51,1:00:37,2:20,1:32:42,4:38,3:49:29
1386,HOLGER,ADAMI,M50-54,1373,73,1076,49:28,10:18,1192,14:51,1:18:51,4:04,1:22:30,4:04,3:49:44
1311,JEFFREY,DEBOI,M50-54,1375,74,1078,58:34,10:31,1251,11:06,1:13:19,2:40,1:24:14,4:14,3:49:53
1290,RANDY,LAMPERT,M50-54,1383,75,1082,45:36,12:21,1555,9:37,1:13:04,3:25,1:38:53,4:35,3:50:35
1364,JIM,DRALLE,M50-54,1391,76,1089,55:59,10:17,1187,12:14,1:17:33,3:24,1:22:23,4:27,3:51:33
1370,DAVE,LAMPERT,M50-54,1401,77,1094,54:51,11:33,1463,8:24,1:13:53,2:22,1:32:31,4:23,3:52:01
1300,STEVEN,BOYNE,M50-54,1413,79,1099,54:27,10:31,1250,11:21,1:20:24,2:57,1:24:13,4:41,3:53:22
1297,JOHN,KOENE,M50-54,1414,78,1100,1:04:15,10:16,1181,11:06,1:12:36,3:10,1:22:15,3:33,3:53:22
NO,FN,LN,DIVISION,OVERALL,DIVP,SEXP,SWIM,RATE,RANK,T1,BIKE,T2,RUN,Sand,TIME
1366,DAVID,VERNER,M50-54,1438,80,1115,50:06,12:03,1527,13:26,1:10:22,5:07,1:36:31,4:47,3:55:32
1329,MICHAEL,BUMBACA,M50-54,1443,81,1120,53:43,11:18,1417,12:13,1:17:02,2:19,1:30:26,4:51,3:55:43
1333,MAURCIO,MINGRAMM,M50-54,1459,82,1135,55:57,11:29,1452,11:59,1:13:43,3:38,1:31:59,4:46,3:57:16
1379,TIMOTHY,KAY,M50-54,1467,83,1140,54:41,11:18,1416,11:55,1:17:04,3:45,1:30:24,4:43,3:57:49
1308,MYLES,CAVANAGH,M50-54,1472,84,1143,56:39,10:43,1306,11:26,1:21:26,2:57,1:25:49,4:30,3:58:17
1334,MIKE,DUPUIS,M50-54,1524,85,1180,53:24,12:39,1577,11:00,1:15:47,2:30,1:41:18,4:26,4:03:59
1351,EDWARD,SIEGAL,M50-54,1526,86,1182,1:03:57,10:42,1301,11:35,1:20:08,2:56,1:25:37,3:37,4:04:13
1345,MJ,JENKINS,M50-54,1538,87,1187,52:09,12:59,1597,9:38,1:17:28,2:14,1:43:55,3:42,4:05:24
1340,BOBBY,MORGAN,M50-54,1555,88,1198,53:58,12:04,1528,12:43,1:21:18,3:48,1:36:33,4:52,4:08:20
1336,STEVEN,HAILEY,M50-54,1577,89,1205,47:15,12:38,1575,15:32,1:23:45,4:26,1:41:09,3:49,4:12:07
1367,ANDREW JODY,GESSOW,M50-54,1591,90,1213,53:51,13:26,1621,12:22,1:16:26,3:55,1:47:31,3:52,4:14:05
1393,RAYMOND,ATKINSON,M50-54,1596,91,1218,52:04,12:28,1566,12:45,1:27:37,3:27,1:39:45,4:22,4:15:38
1406,MICHAEL,ST DENIS,M50-54,1620,92,1236,50:41,11:03,1379,15:13,1:41:32,5:26,1:28:31,4:22,4:21:23
1328,PHILLIP,ENIS,M50-54,1621,93,1237,54:18,13:24,1620,14:13,1:20:35,5:20,1:47:12,4:37,4:21:38
1371,ROBERT,MARTIN,M50-54,1634,94,1244,1:06:55,11:59,1522,11:38,1:28:04,2:59,1:35:59,3:58,4:25:35
1316,GREGORY,POULOS,M50-54,1635,95,1245,50:11,13:06,1606,10:28,1:36:56,3:47,1:44:55,4:28,4:26:17
1396,EVAN,SCOTT,M50-54,1643,96,1249,47:32,14:33,1645,11:43,1:30:03,3:52,1:56:29,4:03,4:29:39
1369,BILL,ELMORE,M50-54,1652,97,1251,56:53,13:34,1625,11:49,1:32:35,3:42,1:48:37,3:32,4:33:36
1323,STEPHEN,MIDDLETON,M50-54,1657,98,1255,58:37,14:22,1643,14:01,1:21:45,5:50,1:55:01,4:10,4:35:14
1377,MARK,DAVIS,M50-54,1666,99,1259,1:02:50,13:22,1619,15:43,1:32:33,4:06,1:46:57,-,4:42:09
1359,WILL,CARSTEN,M50-54,1669,100,1260,51:27,13:15,1615,16:50,1:41:21,7:53,1:46:05,-,4:43:36
1372,RANDY,COBB,M50-54,-,-,-,1:02:10,4:28,2,12:02,1:16:17,2:51,35:44,-,3:09:04
1382,JOHN,MALINIOWSKI,M50-54,-,-,-,46:44,-,-,-,-,-,-,-,-
