H,SO,SH,HR,AB,SLG,2B,Team,OPS,BB
29,17,2,0,113,.310,4,MIN,.604,6
103,66,7,9,399,.381,22,CHI,.706,41
11,2,0,0,41,.366,4,TIJ,.684,2
50,23,4,4,208,.332,5,LAR,.592,6
12,16,2,0,53,.283,3,PUE,.594,7
58,8,0,2,173,.416,8,CHI,.796,10
13,10,2,0,65,.231,2,MIN,.528,9
66,39,0,2,227,.348,7,VAQ,.741,33
84,58,2,6,328,.366,14,QR,.757,70
49,25,2,1,206,.306,9,MIN,.571,3
40,7,0,2,115,.461,5,VAQ,.851,6
121,83,6,10,379,.504,30,CHI,.891,37
27,31,2,2,131,.290,5,CHI,.547,7
106,36,5,4,393,.359,23,VRA,.700,36
15,13,1,0,83,.205,2,CHI,.449,6
1,1,0,0,7,.143,0,VRA,.286,0
8,10,3,0,36,.250,1,TAB,.532,3
81,57,6,6,279,.412,14,QR,.774,32
102,46,2,14,348,.457,15,TAB,.799,25
49,26,2,2,157,.395,3,CHI,.740,7
13,13,1,0,55,.291,1,TIJ,.645,8
61,32,8,2,240,.346,14,OAX,.633,10
13,9,0,0,79,.190,2,VRA,.422,7
45,35,5,3,196,.306,4,MIN,.586,12
97,50,2,6,336,.402,16,YUC,.774,40
90,45,3,5,287,.449,20,SLT,.853,41
42,23,0,6,119,.588,10,TAB,1.020,18
16,9,1,2,56,.482,5,MIN,.804,3
32,31,7,0,119,.303,4,TIJ,.698,23
79,23,9,1,307,.293,8,LAR,.598,22
117,73,11,10,396,.409,15,TIJ,.794,52
29,24,0,5,104,.462,4,OAX,.798,7
49,35,9,0,218,.266,7,TIJ,.551,17
10,8,0,0,52,.192,0,OAX,.438,4
12,6,0,1,50,.340,2,TAB,.649,4
102,54,0,14,338,.470,15,SLT,.834,28
48,23,0,5,178,.416,11,TAB,.762,19
4,9,0,0,18,.222,0,MIN,.586,3
1,2,0,0,7,.143,0,CAM,.286,0
95,45,7,6,322,.435,19,SLT,.784,23
93,23,2,1,294,.388,16,MTY,.778,37
11,8,2,0,55,.236,2,MTY,.499,4
20,24,2,0,95,.211,0,VAQ,.496,8
0,0,0,0,0,--,0,MXO,--,1
127,54,2,15,389,.488,14,LAR,.859,24
113,73,4,9,358,.483,33,TIJ,.918,61
101,39,10,2,378,.347,14,LAR,.688,40
42,35,2,8,159,.453,6,SLT,.780,14
54,9,1,3,190,.368,7,CHI,.717,17
81,52,2,9,312,.397,14,VRA,.798,73
56,29,3,6,262,.321,10,TIJ,.598,17
95,42,3,5,284,.482,25,MVA,.899,39
25,20,1,0,86,.337,2,TAB,.674,6
91,49,3,8,318,.443,24,MXO,.824,45
39,47,2,2,159,.314,5,MTY,.627,13
97,29,6,2,309,.395,15,YUC,.772,33
102,33,5,2,319,.408,20,VAQ,.815,33
35,20,7,2,134,.328,3,YUC,.701,22
10,6,0,0,45,.267,2,SLT,.580,6
13,14,0,3,58,.431,3,MIN,.712,3
113,37,5,4,331,.426,12,PUE,.827,25
23,11,2,1,80,.375,4,MXO,.735,8
3,2,0,0,17,.235,1,TIJ,.458,1
56,50,1,9,217,.419,2,CHI,.799,38
56,28,16,0,234,.299,12,OAX,.615,25
117,34,4,3,368,.440,26,MIN,.856,55
22,20,0,5,98,.429,5,VAQ,.706,5
4,3,0,0,14,.286,0,VAQ,.571,0
50,42,5,0,205,.278,7,TAB,.595,18
76,40,0,5,220,.491,17,VRA,.917,32
87,28,5,3,279,.409,18,YUC,.773,20
15,23,0,2,76,.289,1,PUE,.542,5
90,53,5,1,354,.316,11,MIN,.619,16
41,21,4,0,168,.292,2,LAR,.623,20
61,35,7,0,232,.306,6,VRA,.603,12
18,15,0,1,66,.333,1,MVA,.657,4
92,40,23,6,338,.379,14,CAM,.723,39
93,43,2,12,276,.540,20,PUE,.927,27
23,17,0,0,89,.315,5,QR,.627,6
87,13,4,3,262,.439,19,PUE,.827,22
9,6,0,1,34,.412,2,MIN,.717,1
60,18,2,4,183,.454,9,QR,.864,25
81,47,7,14,310,.445,15,CAM,.778,24
33,13,3,2,121,.397,9,VAQ,.783,21
89,50,7,2,297,.367,10,TAB,.708,18
0,0,0,0,0,--,0,MXO,--,0
43,12,2,1,181,.315,11,SLT,.610,13
98,33,5,1,324,.340,9,OAX,.686,22
13,6,1,0,41,.341,1,TIJ,.682,2
21,21,1,1,87,.322,4,TIJ,.601,4
60,34,1,4,232,.349,9,CHI,.648,11
86,65,9,1,344,.308,9,TAB,.635,36
52,23,2,1,211,.318,8,SLT,.618,14
26,22,4,2,104,.365,6,CHI,.657,6
93,33,0,17,295,.566,23,MXO,.948,31
79,39,1,7,188,.617,14,MXO,1.110,26
109,54,7,7,391,.381,17,VRA,.765,63
45,13,3,0,177,.288,6,PUE,.644,21
129,56,2,10,378,.503,21,YUC,.933,63
91,34,9,1,338,.317,11,MVA,.608,10
60,17,2,3,214,.379,12,QR,.734,23
3,1,0,0,14,.214,0,SLT,.481,1
41,11,3,0,112,.438,4,MVA,.836,3
13,9,1,1,58,.293,1,SLT,.567,4
93,55,9,1,305,.397,17,QR,.759,18
112,54,0,10,400,.413,23,MIN,.780,53
45,21,2,1,159,.371,9,OAX,.784,37
90,59,8,4,335,.355,15,PUE,.657,15
17,13,0,0,54,.370,3,MVA,.710,1
3,5,0,0,21,.190,1,OAX,.408,1
111,67,3,2,343,.423,24,YUC,.816,39
3,4,0,0,27,.111,0,MXO,.311,3
15,7,0,0,44,.568,8,MTY,.943,2
13,14,0,0,61,.230,1,MIN,.476,3
24,23,1,3,101,.366,4,MIN,.685,11
4,11,0,1,34,.206,0,LAR,.437,5
5,7,0,1,34,.265,1,MIN,.436,1
