RBI,OBP,3B,H,SB,G
13,.248,1,23,1,47
30,.409,3,54,11,62
8,.333,0,16,2,21
13,.250,0,32,2,45
18,.291,2,23,2,38
3,.232,0,7,1,18
15,.317,0,25,2,32
7,.324,0,15,13,48
6,.237,1,8,0,29
19,.291,1,25,3,41
2,.196,0,5,0,20
3,.219,1,13,1,28
8,.363,1,24,0,22
27,.366,6,68,15,69
29,.341,4,47,8,58
2,.205,0,5,0,18
7,.395,0,17,3,35
0,.500,0,1,0,1
13,.325,2,31,8,47
7,.300,1,33,0,60
12,.304,2,54,17,59
13,.326,3,35,5,48
18,.431,2,42,7,52
26,.323,1,55,17,67
17,.374,1,43,2,60
7,.308,0,13,4,20
24,.377,4,32,8,58
13,.365,2,50,12,51
25,.274,2,38,5,60
18,.299,1,43,4,59
1,.311,0,9,2,19
6,.291,0,14,4,33
7,.351,1,24,11,34
7,.196,0,11,2,42
22,.320,0,66,28,71
12,.287,1,25,7,58
16,.327,2,53,1,59
18,.306,1,28,4,36
1,.250,0,5,0,16
12,.358,1,35,9,50
0,.000,0,0,0,1
14,.348,1,30,1,41
3,.276,1,17,4,34
18,.326,0,50,29,63
8,.310,0,10,0,11
0,.250,0,1,0,3
25,.349,5,61,16,61
12,.297,0,24,0,33
16,.325,0,25,3,39
11,.453,1,22,8,23
12,.277,0,31,4,40
7,.380,0,21,3,26
15,.339,1,24,6,44
5,.302,0,11,0,16
15,.378,2,53,26,64
12,.338,3,20,5,28
23,.322,0,41,1,53
16,.300,0,32,4,43
4,.247,0,20,1,21
3,.254,0,10,3,32
28,.419,5,48,9,56
33,.384,0,58,14,62
4,.291,0,6,1,15
13,.375,2,25,9,39
4,.308,0,10,1,9
6,.337,0,15,0,32
20,.372,2,68,21,65
7,.322,0,15,1,18
1,.157,0,3,1,20
5,.286,0,32,4,55
3,.269,2,7,1,9
4,.279,0,7,0,15
21,.335,2,65,23,63
3,.288,0,13,3,28
0,.250,0,1,0,1
9,.389,0,25,2,37
9,.375,0,49,13,58
4,.279,0,7,1,24
25,.342,2,52,7,52
12,.390,0,16,4,26
12,.313,0,35,2,41
1,.217,0,5,1,13
6,.206,0,6,5,32
4,.305,0,16,6,42
4,.390,0,10,1,21
17,.268,2,41,13,59
0,.083,0,0,1,7
1,.400,0,0,0,2
8,.336,1,20,2,33
2,.313,0,9,7,35
26,.376,4,46,19,58
21,.343,1,40,6,55
0,.000,0,0,0,1
7,.409,2,33,5,39
6,.250,0,10,1,38
19,.263,1,41,1,53
6,.333,0,11,0,29
9,.303,0,19,2,34
19,.327,2,46,8,57
