Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Guillermo Mota, ,10,5,0,1,0,2,0,2,0,0,0.5,0.5,0.7,1.2
Jeremy Affeldt,SF,10,4,2,0,0,1,0,2,0,0,0.4,0.4,0.6,1.0
R.A. Dickey,TOR,10,4,1,0,0,0,1,2,0,0,0.4,0.455,0.5,0.955
Vance Worley,PIT,10,4,0,0,0,1,1,2,0,0,0.4,0.455,0.4,0.855
Lance Lynn,STL,10,3,0,0,0,0,2,1,0,0,0.3,0.417,0.3,0.717
Chris Narveson,MIA,10,3,2,0,0,0,1,1,0,0,0.3,0.364,0.5,0.864
Ronald Belisario,BOS,10,2,0,0,1,2,1,3,0,0,0.2,0.273,0.5,0.773
Brandon McCarthy,LA,10,2,1,0,0,0,0,4,0,0,0.2,0.2,0.3,0.5
Charlie Morton,PIT,10,2,0,0,0,0,3,0,0,0,0.2,0.385,0.2,0.585
Anibal Sanchez,DET,10,2,0,0,0,0,2,6,0,0,0.2,0.333,0.2,0.533
Ross Ohlendorf, ,10,1,1,0,0,0,2,4,0,0,0.1,0.25,0.2,0.45
Tom Koehler,MIA,10,0,0,0,0,0,1,2,0,0,0.0,0.091,0.0,0.091
Tim Stauffer,NY-N,10,0,0,0,0,0,1,5,0,0,0.0,0.167,0.0,0.167
Josh Johnson,SD,9,4,2,0,0,1,3,3,0,0,0.444,0.583,0.667,1.25
Jair Jurrjens,COL,9,4,0,2,0,2,4,2,0,0,0.444,0.615,0.889,1.504
Jonathan Broxton,STL,9,3,0,0,0,0,1,4,0,0,0.333,0.4,0.333,0.733
Chris Carpenter, ,9,3,1,1,0,0,1,2,0,0,0.333,0.4,0.667,1.067
Ross Detwiler,ATL,9,3,2,0,0,1,2,1,0,0,0.333,0.5,0.556,1.056
Nathan Eovaldi,NY-A,9,3,1,0,0,0,4,2,0,0,0.333,0.538,0.444,0.983
Edwin Jackson, ,9,3,0,0,0,1,0,4,0,0,0.333,0.333,0.333,0.667
Wandy Rodriguez,TEX,9,3,1,1,0,1,1,0,1,0,0.333,0.4,0.667,1.067
Tyson Ross,SD,9,3,0,1,1,2,5,3,1,0,0.333,0.571,0.889,1.46
Stephen Strasburg,WAS,9,3,0,1,0,1,0,2,0,0,0.333,0.333,0.556,0.889
Anthony DeSclafani,CIN,9,2,0,0,0,0,0,0,0,0,0.222,0.222,0.222,0.444
Tommy Hanson,SF,9,2,0,1,0,2,0,4,0,0,0.222,0.222,0.444,0.667
Lucas Harrell, ,9,2,1,0,0,1,1,3,0,0,0.222,0.3,0.333,0.633
Aaron Heilman, ,9,2,0,1,0,3,0,5,1,0,0.222,0.222,0.444,0.667
Jimmy Nelson,MIL,9,2,0,0,1,1,1,5,0,0,0.222,0.3,0.556,0.856
Chris Volstad,PIT,9,2,0,1,0,1,0,3,0,0,0.222,0.222,0.444,0.667
Matt Garza,MIL,9,1,1,0,0,0,3,4,0,0,0.111,0.333,0.222,0.556
Joshua Geer, ,9,1,1,0,0,0,2,1,0,0,0.111,0.273,0.222,0.495
J.A. Happ,PIT,9,1,1,0,0,0,1,3,0,0,0.111,0.2,0.222,0.422
Matt Harvey,NY-N,9,1,0,0,0,0,0,3,0,0,0.111,0.111,0.111,0.222
Scott Kazmir,HOU,9,1,0,0,0,0,1,2,2,0,0.111,0.2,0.111,0.311
Brandon Maurer,SD,9,1,0,0,0,0,0,1,0,0,0.111,0.111,0.111,0.222
Kris Medlen,KC,9,1,0,0,0,0,3,3,0,0,0.111,0.333,0.111,0.444
Craig Stammen,WAS,9,1,0,0,0,0,2,3,0,0,0.111,0.273,0.111,0.384
Ryan Webb,CLE,9,1,1,0,0,0,2,6,0,0,0.111,0.273,0.222,0.495
Wei-Yin Chen,BAL,9,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0
Jaime Garcia,STL,9,0,0,0,0,0,3,3,1,0,0.0,0.25,0.0,0.25
