H,SO,SH,HR,AB,SLG,2B,Team,OPS,BB
29,17,2,0,113,.310,4,MIN,.604,6
103,66,7,9,399,.381,22,CHI,.706,41
11,2,0,0,41,.366,4,TIJ,.684,2
50,23,4,4,208,.332,5,LAR,.592,6
12,16,2,0,53,.283,3,PUE,.594,7
58,8,0,2,173,.416,8,CHI,.796,10
13,10,2,0,65,.231,2,MIN,.528,9
66,39,0,2,227,.348,7,VAQ,.741,33
84,58,2,6,328,.366,14,QR,.757,70
49,25,2,1,206,.306,9,MIN,.571,3
40,7,0,2,115,.461,5,VAQ,.851,6
121,83,6,10,379,.504,30,CHI,.891,37
27,31,2,2,131,.290,5,CHI,.547,7
106,36,5,4,393,.359,23,VRA,.700,36
15,13,1,0,83,.205,2,CHI,.449,6
1,1,0,0,7,.143,0,VRA,.286,0
8,10,3,0,36,.250,1,TAB,.532,3
81,57,6,6,279,.412,14,QR,.774,32
45,13,3,0,177,.288,6,PUE,.644,21
0,0,0,0,0,--,0,MXO,--,1
32,45,1,0,159,.233,5,LAR,.493,11
42,39,1,0,164,.274,3,CAM,.576,11
103,47,4,24,356,.567,21,MXO,.894,21
28,17,2,1,104,.394,6,YUC,.716,8
56,50,1,9,217,.419,2,CHI,.799,38
52,23,2,1,211,.318,8,SLT,.618,14
145,55,6,4,476,.389,22,VRA,.732,15
29,19,2,0,119,.277,4,MVA,.588,10
92,53,0,8,345,.362,9,VAQ,.731,58
48,23,0,5,178,.416,11,TAB,.762,19
5,3,0,0,23,.261,1,MVA,.511,1
97,36,9,4,338,.355,11,LAR,.658,7
95,45,7,6,322,.435,19,SLT,.784,23
15,23,0,2,76,.289,1,PUE,.542,5
38,9,3,3,141,.411,11,MTY,.765,19
10,6,0,0,45,.267,2,SLT,.580,6
97,35,4,11,326,.451,13,MXO,.822,29
32,31,7,0,119,.303,4,TIJ,.698,23
93,55,9,1,305,.397,17,QR,.759,18
32,14,6,3,127,.394,7,TIJ,.679,6
43,12,2,1,181,.315,11,SLT,.610,13
11,12,1,0,49,.245,1,OAX,.566,7
72,9,3,6,234,.427,10,QR,.840,40
97,29,6,2,309,.395,15,YUC,.772,33
15,7,0,0,44,.568,8,MTY,.943,2
111,58,7,4,397,.373,21,VRA,.742,48
13,9,0,0,79,.190,2,VRA,.422,7
118,91,0,6,396,.427,21,YUC,.809,50
10,8,3,0,51,.235,0,MIN,.462,2
38,28,2,1,146,.322,4,MVA,.653,13
109,54,7,7,391,.381,17,VRA,.765,63
35,20,1,2,146,.308,2,PUE,.568,2
76,51,13,2,280,.414,20,TIJ,.737,21
45,22,0,8,146,.521,7,TIJ,.951,29
90,45,3,5,287,.449,20,SLT,.853,41
86,65,9,1,344,.308,9,TAB,.635,36
89,32,7,5,309,.411,21,MTY,.779,31
76,22,1,6,242,.455,12,YUC,.836,23
35,20,7,2,134,.328,3,YUC,.701,22
24,23,1,3,101,.366,4,MIN,.685,11
137,61,3,17,419,.523,23,VRA,.942,58
93,23,2,1,294,.388,16,MTY,.778,37
14,16,3,0,68,.265,0,YUC,.550,7
76,45,0,18,224,.612,7,QR,1.010,20
97,65,0,5,352,.392,20,PUE,.710,21
4,5,0,0,18,.222,0,MVA,.444,0
111,67,3,2,343,.423,24,YUC,.816,39
112,54,0,10,400,.413,23,MIN,.780,53
98,33,5,1,324,.340,9,OAX,.686,22
116,37,5,2,369,.396,20,YUC,.770,35
56,29,3,6,262,.321,10,TIJ,.598,17
73,43,5,1,274,.361,19,CHI,.670,16
25,20,1,0,86,.337,2,TAB,.674,6
18,15,0,1,66,.333,1,MVA,.657,4
97,29,6,1,319,.379,19,MIN,.752,34
3,4,0,0,27,.111,0,MXO,.311,3
81,52,2,9,312,.397,14,VRA,.798,73
26,22,4,2,104,.365,6,CHI,.657,6
88,36,0,8,278,.468,12,VRA,.897,56
83,39,4,3,284,.408,16,SLT,.735,17
12,21,1,0,73,.178,1,MTY,.460,10
60,18,2,4,183,.454,9,QR,.864,25
45,21,2,1,159,.371,9,OAX,.784,37
1,2,0,0,7,.143,0,CAM,.286,0
61,32,8,2,240,.346,14,OAX,.633,10
4,9,0,0,18,.222,0,MIN,.586,3
29,24,0,5,104,.462,4,OAX,.798,7
102,46,2,14,348,.457,15,TAB,.799,25
17,13,0,0,54,.370,3,MVA,.710,1
33,31,3,0,142,.268,5,PUE,.536,7
87,13,4,3,262,.439,19,PUE,.827,22
113,73,4,9,358,.483,33,TIJ,.918,61
140,46,3,12,390,.526,25,OAX,.933,34
48,23,0,6,129,.605,10,MXO,1.092,29
127,60,2,10,395,.458,22,MTY,.834,31
13,14,0,3,58,.431,3,MIN,.712,3
91,49,3,8,318,.443,24,MXO,.824,45
13,9,1,1,58,.293,1,SLT,.567,4
28,35,1,4,141,.333,5,CAM,.616,16
142,23,4,8,397,.471,21,TAB,.866,25
105,41,7,5,322,.432,19,SLT,.841,40
39,60,6,5,196,.357,10,CAM,.629,18
126,35,2,9,379,.483,28,PUE,.872,32
66,29,0,11,206,.549,14,YUC,.925,15
83,56,8,8,326,.377,14,TIJ,.696,23
3,5,0,0,21,.190,1,OAX,.408,1
107,50,5,4,353,.399,20,MVA,.771,36
60,34,1,4,232,.349,9,CHI,.648,11
0,0,0,0,0,--,0,MTY,--,0
