Points,IGP,Shots,FirstA/60,GP,A,Team,iFenwick,G,#
114,26.9,291,1.03,201,75,Boston,402,39,90
22,26.5,152,0.42,139,13,Buffalo,202,9,291
32,4.0,176,0.34,156,28,Edmonton,268,4,473
89,38.9,392,0.45,210,40,Dallas,534,49,21
55,28.9,195,0.41,188,31,NY Islanders,257,24,192
68,31.2,382,0.52,191,39,Detroit,493,29,130
92,40.5,442,0.61,191,43,Columbus,567,49,17
25,18.2,156,0.36,199,17,Pittsburgh,205,8,339
51,31.0,200,0.46,139,29,Minnesota,249,22,100
8,2.2,48,0.09,92,7,Vancouver,70,1,519
13,0.0,69,0.21,105,13,Minnesota,102,0,532
64,25.3,283,0.54,184,42,Colorado,362,22,246
63,16.2,311,0.37,191,42,San Jose,452,21,300
38,7.5,218,0.20,206,26,Tampa Bay,323,12,375
27,4.0,166,0.08,180,23,St. Louis,258,4,484
91,25.6,332,0.92,210,57,Tampa Bay,438,34,92
61,29.8,251,0.59,202,36,Montreal,369,25,179
10,15.4,102,0.13,174,6,Minnesota,127,4,397
20,2.8,121,0.12,189,17,San Jose,168,3,509
39,34.3,216,0.25,204,16,Dallas,318,23,214
50,31.4,201,0.60,139,28,Buffalo,257,22,80
38,8.0,147,0.24,176,29,Chicago,203,9,376
36,33.3,196,0.29,178,17,Tampa Bay,261,19,193
48,24.1,229,0.37,194,29,Winnipeg,332,19,268
73,34.0,340,0.59,166,37,Toronto,446,36,24
109,40.9,569,0.67,201,53,NY Rangers,732,56,6
58,25.9,303,0.51,208,36,Florida,419,22,248
13,2.6,64,0.18,102,12,Philadelphia,86,1,520
116,25.2,353,1.13,207,79,Philadelphia,478,37,103
71,33.0,268,0.72,136,38,Toronto,361,33,15
38,32.7,314,0.45,205,21,Boston,410,17,238
65,33.7,324,0.45,166,32,Ottawa,458,33,64
55,4.0,288,0.30,203,48,Chicago,436,7,464
93,29.2,332,0.82,206,55,Philadelphia,439,38,58
30,0.8,158,0.29,185,29,Winnipeg,241,1,531
18,2.4,94,0.33,107,17,Montreal,143,1,518
36,25.5,148,0.41,172,23,Columbus,203,13,240
9,2.0,79,0.07,123,8,San Jose,102,1,527
49,10.3,269,0.25,201,33,Dallas,414,16,328
26,5.0,107,0.07,204,20,Edmonton,166,6,461
36,12.6,238,0.20,197,22,Vancouver,378,14,340
29,3.3,170,0.20,187,25,St. Louis,239,4,488
73,38.7,302,0.50,207,37,Philadelphia,405,36,70
36,8.8,178,0.26,194,26,Columbus,241,10,390
23,11.1,141,0.08,133,14,Los Angeles,217,9,350
25,15.7,164,0.34,171,17,New Jersey,210,8,332
37,22.7,269,0.36,198,22,Carolina,382,15,305
48,21.1,166,0.55,202,32,Montreal,220,16,286
11,6.2,55,0.21,110,8,Vancouver,82,3,443
22,4.1,159,0.23,166,19,New Jersey,231,3,492
58,30.3,229,0.43,197,31,Boston,317,27,154
63,16.5,180,0.81,180,47,Calgary,248,16,287
27,30.4,195,0.27,127,13,Washington,280,14,183
22,2.3,182,0.15,176,20,Pittsburgh,269,2,521
31,25.0,193,0.36,174,19,San Jose,268,12,303
18,1.8,73,0.20,127,17,Tampa Bay,139,1,528
103,26.0,310,0.83,209,69,Dallas,424,34,157
31,26.7,170,0.71,98,19,Arizona,211,12,225
60,27.4,275,0.63,153,37,Nashville,366,23,148
22,17.0,124,0.21,196,14,Edmonton,175,8,347
102,33.9,369,0.69,181,61,Dallas,508,41,32
34,5.0,221,0.28,196,27,Philadelphia,351,7,444
12,5.3,87,0.14,126,9,Dallas,139,3,466
76,34.0,300,0.60,196,43,Columbus,408,33,81
65,36.4,295,0.39,210,33,Minnesota,426,32,141
75,32.7,336,0.69,155,43,St. Louis,487,32,61
47,40.0,340,0.40,192,21,Minnesota,469,26,149
44,8.7,212,0.24,211,32,St. Louis,325,12,393
16,8.1,96,0.10,104,11,Carolina,139,5,400
65,30.1,248,0.41,197,37,Pittsburgh,341,28,132
49,28.2,289,0.59,174,27,Colorado,406,22,190
21,3.8,112,0.13,156,18,Minnesota,178,3,491
37,40.0,167,0.37,158,17,Colorado,211,20,119
109,30.5,443,0.63,211,62,Pittsburgh,610,47,26
80,34.9,417,0.71,203,42,Chicago,580,38,37
47,24.7,240,0.51,166,27,New Jersey,347,20,203
25,5.9,114,0.17,166,20,Calgary,176,5,449
21,2.0,128,0.10,196,19,Los Angeles,205,2,524
41,7.2,129,0.19,181,33,Toronto,187,8,401
47,27.9,193,0.58,131,30,Washington,264,17,167
80,30.4,360,0.66,181,45,Philadelphia,445,35,69
21,6.1,133,0.20,176,16,Winnipeg,228,5,445
40,4.8,254,0.19,183,34,NY Islanders,378,6,456
43,5.1,257,0.27,203,36,Calgary,396,7,452
73,33.0,298,0.46,211,38,St. Louis,449,35,110
27,3.1,169,0.33,184,24,Colorado,226,3,502
16,10.4,104,0.14,130,9,Washington,137,7,349
26,6.1,172,0.16,178,20,Pittsburgh,279,6,428
25,6.2,145,0.41,116,21,Anaheim,211,4,418
76,32.4,238,0.49,183,40,Pittsburgh,327,36,57
105,32.6,364,0.75,200,62,NY Rangers,511,43,67
72,22.5,287,0.69,196,49,NY Islanders,397,23,236
29,30.2,223,0.34,196,16,NY Islanders,314,13,296
66,29.9,258,0.56,212,37,Anaheim,353,29,172
68,33.3,450,0.56,179,37,Nashville,568,31,78
26,31.6,165,0.31,178,14,New Jersey,231,12,290
39,5.0,169,0.25,184,32,Pittsburgh,241,7,431
28,17.0,175,0.44,147,20,New Jersey,231,8,326
27,1.8,93,0.24,166,25,Montreal,152,2,522
25,20.9,125,0.28,147,16,Detroit,180,9,310
32,4.8,158,0.22,195,26,Chicago,238,6,457
82,27.2,297,0.86,211,51,Vancouver,397,31,129
16,3.2,83,0.28,102,14,New Jersey,112,2,498
43,28.8,283,0.43,118,24,Colorado,361,19,156
72,30.2,327,0.49,193,40,Colorado,439,32,146
51,23.0,178,0.82,118,34,Boston,257,17,163
58,27.0,248,0.62,176,34,Ottawa,345,24,202
23,38.7,196,0.27,165,11,Dallas,287,12,274
15,29.6,132,0.28,166,7,St. Louis,166,8,308
46,7.4,198,0.39,169,36,NY Rangers,287,10,387
