No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
87.0,29.0, ,11,0.0,235.0,6-4,Minnesota,7/21/1944,7,0.0,Miami Dolphins / 13th / 110th pick / 1966 San Francisco 49ers / 9th / 133rd pick / 1966
30.0,24.0,RCB,13,13.0,190.0,6-4,San Diego St.,2/10/1949,Rook,3.0,Philadelphia Eagles / 12th / 288th pick / 1973
41.0,22.0,SS,14,14.0,195.0,6-1,Michigan,5/1/1951,Rook,4.0,Philadelphia Eagles / 3rd / 55th pick / 1973
63.0,23.0, ,3,0.0,253.0,6-3,Purdue,6/15/1950,1,3.0,Philadelphia Eagles / 3rd / 68th pick / 1972
85.0,33.0,MLB,13,11.0,235.0,6-1,USC,1/1/1940,12,4.0,Los Angeles Rams / 1st / 4th pick / 1961 San Diego Chargers / 3rd / 23rd pick / 1961
12.0,31.0,P,10,0.0,195.0,6-1,S.F. Austin,8/12/1942,6,2.0, 
62.0,22.0,C,14,9.0,255.0,6-4,TCU,5/13/1951,Rook,5.0,Philadelphia Eagles / 2nd / 28th pick / 1973
26.0,30.0, ,8,8.0,186.0,5-11,Cincinnati,10/27/1943,8,2.0,Philadelphia Eagles / 3rd / 35th pick / 1965 Buffalo Bills / 9th / 72nd pick / 1965
68.0,28.0,RG,14,14.0,246.0,6-4,Pacific,11/3/1945,5,7.0,Philadelphia Eagles / 5th / 124th pick / 1968
48.0,24.0, ,11,0.0,192.0,6-0,Trinity (TX),1/15/1949,Rook,0.0,Philadelphia Eagles / 17th / 419th pick / 1973
20.0,28.0,LCB,7,7.0,180.0,5-10,Jackson St.,1/8/1945,4,4.0,Boston Patriots / 10th / 249th pick / 1968
88.0,29.0,LDT,14,12.0,255.0,6-5,Stanford,10/10/1944,7,3.0,Philadelphia Eagles / 2nd / 20th pick / 1966 San Diego Chargers / 6th / 49th pick / 1966
77.0,32.0,lde,13,6.0,245.0,6-2,Buffalo,7/31/1941,9,2.0,New York Jets / 3rd / 19th pick / 1964 Detroit Lions / 3rd / 33rd pick / 1964
82.0,24.0, ,14,0.0,195.0,6-1,East. Washington,11/24/1949,Rook,0.0,Philadelphia Eagles / 6th / 132nd pick / 1973
7.0,23.0, ,1,0.0,210.0,6-3,Florida,3/2/1950,1,0.0,Philadelphia Eagles / 1st / 14th pick / 1972
52.0,22.0, ,7,0.0,220.0,6-2,Villanova,4/10/1951,Rook,2.0,Miami Dolphins / 7th / 160th pick / 1973
54.0,28.0, ,3,0.0,235.0,6-3,Southern Miss,1/20/1945,5,1.0,Washington Redskins / 2nd / 38th pick / 1968
76.0,22.0,RT,13,13.0,265.0,6-4,Texas,7/16/1951,Rook,6.0,Philadelphia Eagles / 1st / 3rd pick / 1973
74.0,29.0,LT,14,13.0,250.0,6-2,Michigan,5/29/1944,7,7.0,San Francisco 49ers / 5th / 71st pick / 1966 Houston Oilers / 16th / 140th pick / 1966
96.0,25.0,RLB,14,9.0,222.0,6-2,Villanova,1/14/1948,3,3.0,Pittsburgh Steelers / 9th / 212th pick / 1969
73.0,25.0, ,11,1.0,240.0,6-4,Baylor,2/23/1948,3,3.0,Philadelphia Eagles / 13th / 318th pick / 1970
25.0,23.0,RB,13,13.0,190.0,6-0,Miami (FL),3/5/1950,1,13.0,Philadelphia Eagles / 15th / 378th pick / 1972
99.0,32.0, ,4,4.0,249.0,6-4,"Hawaii,San Jose St.",8/4/1941,6,2.0,Philadelphia Eagles / 6th / 89th pick / 1966
67.0,24.0,lg,5,5.0,248.0,6-2,Minnesota,8/27/1949,1,2.0,Philadelphia Eagles / 6th / 144th pick / 1972
75.0,26.0,LDE,13,8.0,257.0,6-5,Purdue,9/20/1947,3,2.0,Boston Patriots / 9th / 212th pick / 1970
71.0,24.0,RDE,12,8.0,245.0,6-4,Tennessee St.,1/15/1949,Rook,4.0,Philadelphia Eagles / 7th / 159th pick / 1973
86.0,22.0,TE,14,14.0,234.0,6-4,USC,2/5/1951,Rook,11.0,Philadelphia Eagles / 1st / 6th pick / 1973
89.0,25.0,LLB,11,11.0,235.0,6-4,Oklahoma,3/20/1948,3,4.0,Philadelphia Eagles / 1st / 6th pick / 1970
80.0,24.0,WR,14,10.0,195.0,6-3,"Ark-Pine Bluff,La-Monroe",11/22/1949,Rook,3.0,Philadelphia Eagles / 12th / 300th pick / 1972
 ,26.3, ,14, ,223.2,6-2.4, , ,3.5, , 
