Player,Team,GIDP,R,SB,2B,SH
A Jenkins,GBO,3,22,1,9,1
S Mortimer,SAV,4,47,7,19,0
S Orr,LAK,12,64,0,21,3
J Devries,GRE,0,1,0,0,0
W Plaza,CHA,5,13,3,2,1
N Conte,AUG,7,20,2,9,1
R Haag,CHA,4,19,2,5,1
A Jansen,ROM,4,31,3,11,2
G Savas,WVA,1,0,0,0,0
J Tuttle,WVA,0,0,0,0,0
B Zobrist,LEX,2,45,16,17,4
L Apodaca,SAV,1,4,0,1,0
W Rosa,KAN,1,1,0,0,2
R Allen,CHA,0,5,1,3,1
J Hoffmann,COL,6,53,10,13,5
M Miller,ASH,7,79,9,34,0
R Reed,LEX,1,12,6,5,2
T Montgomery,LCO,4,28,3,10,0
D Kitch,DEL,0,13,2,3,2
D Laurin,COL,2,20,2,4,3
M Daley,ASH,0,0,0,0,0
S Pedroza,COL,5,31,0,11,0
J Lomack,HIC,1,18,12,4,4
M Reyes,HIC,3,10,0,2,0
P Perry,GRE,1,5,0,4,0
J Zapata,DEL,2,4,1,1,3
J Flores,LEX,1,1,4,2,1
J Gaston,GBO,5,41,5,11,0
M Whitney,LCO,6,38,0,7,0
J Noviskey,LCO,4,37,0,8,0
L Disla,AUG,5,24,3,3,2
C Galloway,LAK,2,4,0,4,0
C Jeroloman,GRE,10,44,5,21,0
M Van Der Bosch,GRE,1,22,8,8,2
G Creek,ROM,1,3,1,1,0
C Klemm,LAK,3,43,2,12,6
F Jimenez,SAV,0,7,0,0,1
T Brice,KAN,0,13,2,5,0
T Denker,COL,6,65,2,23,0
D Chavez,GRE,0,6,0,4,0
M Garza,LEX,1,18,0,4,0
M Lowrance,SAV,2,27,2,15,0
J Wahpepah,WVA,0,0,0,0,0
F Nunez,ASH,6,43,9,10,3
M Carp,HAG,2,49,2,12,1
J Natale,GRE,4,35,1,19,1
B McCann,GBO,17,67,1,35,0
A Hornostaj,AUG,4,27,13,13,1
T Wilson,SAV,0,0,0,0,0
C Jones,ROM,1,1,0,0,0
C Lozada,WVA,3,1,0,2,1
D Puente,DEL,0,1,0,0,2
T Festa,WVA,2,6,1,1,0
A German,SAV,0,0,0,0,0
B Triplett,LEX,13,42,21,15,6
J Restko,GBO,9,69,3,22,0
I Terrazas,ROM,9,42,1,17,4
C Medero-Stullz,COL,0,0,0,0,0
X Arroyo,GBO,8,17,4,3,1
A Mannon,WVA,3,13,0,1,3
C Fermaint,WVA,1,18,4,7,1
S Holm,AUG,2,16,1,7,2
D Schwartzbauer,HIC,4,38,3,17,4
M Wagner,AUG,2,31,2,9,1
C Kelly,KAN,2,10,1,5,1
B Barganier,LEX,0,21,4,12,4
F Parejo,WVA,4,26,16,9,4
J Fulton,GBO,6,34,1,10,0
G Richardson,WVA,5,54,7,34,0
G McCarthy,AUG,1,1,0,2,0
D Buller,AUG,1,7,1,3,0
B McMillan,GBO,1,19,7,3,1
B Torbert,LEX,4,40,13,20,0
H Iribarren,WVA,9,72,38,15,13
D Nicholson,COL,9,49,7,14,0
R Coultas,HAG,4,43,11,22,4
R Clark,LEX,6,20,3,8,0
M Cockrell,HIC,10,47,7,14,3
B Carter,COL,9,38,0,6,1
L Santangelo,LEX,4,43,4,14,3
M Butia,LCO,5,45,1,18,0
G Gutierrez,COL,5,25,0,9,2
J Restrepo,ASH,3,15,4,4,1
D Renkert,WVA,0,0,0,0,0
M Hofius,HIC,7,27,2,8,0
C Turner,GRE,2,53,9,29,0
F Smolarski,GBO,0,0,0,0,0
C Westervelt,COL,4,31,0,15,0
E Soto,LEX,0,0,0,0,0
Y Escobar,ROM,6,30,0,13,2
S Sapp,COL,0,2,0,1,0
V Buttler,HIC,1,7,3,2,3
D Bates,WVA,4,15,2,3,2
J Poppert,SAV,1,2,0,1,0
B Ditter,SAV,12,38,11,14,0
E Solano,HIC,0,0,0,0,0
J Holmes,LCO,0,0,0,0,0
J Constanza,LCO,2,9,2,0,1
N Wilson,ASH,11,33,3,25,2
