Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
ETHEL,ATTALA CO.,MS,01/10/2008,12:28,CST-6,Tornado,EF3,0,0,1.000M,500.00K
BARNETT RES WEST,RANKIN CO.,MS,01/10/2008,12:31,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
KOSCIUSKO ARPT,ATTALA CO.,MS,01/10/2008,12:32,CST-6,Thunderstorm Wind,61 kts. EG,0,0,0.00K,0.00K
FANNIN,RANKIN CO.,MS,01/10/2008,12:39,CST-6,Tornado,EF0,0,0,0.00K,10.00K
WEIR,CHOCTAW CO.,MS,01/10/2008,12:45,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
WEIR,CHOCTAW CO.,MS,01/10/2008,12:47,CST-6,Tornado,EF3,0,3,3.000M,1.700M
KOKOMO,MARION CO.,MS,01/10/2008,12:56,CST-6,Hail,2.75 in.,0,0,100.00K,0.00K
STURGIS,OKTIBBEHA CO.,MS,01/10/2008,13:04,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
BUGH,OKTIBBEHA CO.,MS,01/10/2008,13:10,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,5.00K
CARLISLE,CLAIBORNE CO.,MS,01/10/2008,13:10,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
FREENY,LEAKE CO.,MS,01/10/2008,13:13,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
UTICA,HINDS CO.,MS,01/10/2008,13:18,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
JAYESS,LAWRENCE CO.,MS,01/10/2008,13:25,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
OSBORN,OKTIBBEHA CO.,MS,01/10/2008,13:35,CST-6,Thunderstorm Wind,55 kts. EG,0,0,3.00K,0.00K
CAHNS,CLAY CO.,MS,01/10/2008,13:37,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
SUMRALL,LAMAR CO.,MS,01/10/2008,13:37,CST-6,Hail,1.75 in.,0,0,75.00K,0.00K
HOPE,NESHOBA CO.,MS,01/10/2008,13:42,CST-6,Tornado,EF0,0,0,130.00K,0.00K
TIBBEE,CLAY CO.,MS,01/10/2008,13:42,CST-6,Funnel Cloud, ,0,0,0.00K,0.00K
WEST PT MC CHAREN AR,CLAY CO.,MS,01/10/2008,13:43,CST-6,Thunderstorm Wind,72 kts. EG,0,1,150.00K,0.00K
PURVIS,LAMAR CO.,MS,01/10/2008,13:46,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
WEST PT,CLAY CO.,MS,01/10/2008,13:47,CST-6,Thunderstorm Wind,74 kts. EG,0,0,300.00K,0.00K
OAK VALE,JEFFERSON DAVIS CO.,MS,01/10/2008,13:48,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
SANFORD,COVINGTON CO.,MS,01/10/2008,13:53,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
BONHOMIE,FORREST CO.,MS,01/10/2008,14:05,CST-6,Hail,1.75 in.,0,0,100.00K,0.00K
MOSELLE,JONES CO.,MS,01/10/2008,14:05,CST-6,Hail,1.75 in.,0,0,70.00K,0.00K
(CBM)COLUMBUS AFB,LOWNDES CO.,MS,01/10/2008,14:06,CST-6,Thunderstorm Wind,54 kts. MG,0,0,0.00K,0.00K
HEIDELBERG,JASPER CO.,MS,01/10/2008,14:07,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
KOLOLA SPGS,LOWNDES CO.,MS,01/10/2008,14:09,CST-6,Tornado,EF3,0,11,7.000M,0.00K
DIXIE PINE,FORREST CO.,MS,01/10/2008,14:15,CST-6,Thunderstorm Wind,70 kts. EG,0,0,0.00K,0.00K
FEARNS SPGS,WINSTON CO.,MS,01/10/2008,14:18,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
GOODWATER,CLARKE CO.,MS,01/10/2008,14:18,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
MASHULAVILLE,NOXUBEE CO.,MS,01/10/2008,14:25,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
TILTON,LAWRENCE CO.,MS,01/10/2008,14:27,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
OAK VALE,JEFFERSON DAVIS CO.,MS,01/10/2008,14:30,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
MACON MUNI ARPT,NOXUBEE CO.,MS,01/10/2008,14:40,CST-6,Hail,2.00 in.,0,0,0.00K,0.00K
STRINGER,JASPER CO.,MS,01/10/2008,14:48,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
OVETT,JONES CO.,MS,01/10/2008,14:49,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
MACON MUNI ARPT,NOXUBEE CO.,MS,01/10/2008,14:58,CST-6,Thunderstorm Wind,65 kts. EG,0,0,140.00K,0.00K
MACON MUNI ARPT,NOXUBEE CO.,MS,01/10/2008,14:58,CST-6,Tornado,EF1,0,0,30.00K,0.00K
HOGEYE COMM,NOXUBEE CO.,MS,01/10/2008,15:02,CST-6,Tornado,EF0,0,0,0.00K,0.00K
SEMINARY,COVINGTON CO.,MS,01/10/2008,15:04,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
REDDOCH,JONES CO.,MS,01/10/2008,15:18,CST-6,Thunderstorm Wind,65 kts. EG,0,0,200.00K,100.00K
SANDERSVILLE,JONES CO.,MS,01/10/2008,15:46,CST-6,Thunderstorm Wind,78 kts. EG,0,0,350.00K,0.00K
HALE,CLARKE CO.,MS,01/10/2008,16:06,CST-6,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
SHUBUTA,CLARKE CO.,MS,01/10/2008,16:07,CST-6,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,18,16.314M,3.225M
