Team,SO,2B,H,HR,CS,SF,OPS,G,AVG
TIG,18,6,27,2,0,1,.673,32,.243
RSX,6,0,5,1,1,0,.684,6,.227
YAN,3,1,3,0,0,1,.422,9,.167
ORI,35,12,45,2,2,3,.777,40,.283
RDS,14,2,13,0,1,0,.560,21,.213
MTS,22,11,40,0,3,3,.744,37,.294
CAR,10,0,3,0,0,0,.317,12,.125
NAT,24,1,6,0,1,0,.444,24,.111
DGR,2,0,2,0,0,1,.396,7,.133
ORI,4,4,7,0,0,0,.844,9,.233
TWI,20,5,18,2,0,1,.777,22,.273
PIR,14,3,19,1,0,0,.687,19,.284
CAR,1,1,4,0,0,0,.968,4,.333
PIR,0,1,4,0,0,0,.785,4,.308
YAN,18,6,30,3,0,1,.786,33,.280
TIG,24,5,36,1,1,0,.832,44,.313
BLU,29,6,30,1,0,1,.578,39,.221
NAT,15,0,19,0,0,0,.526,31,.202
IND,20,4,29,4,1,0,.606,34,.228
PHL,42,3,23,1,1,0,.543,36,.211
DGR,16,0,8,0,1,1,.475,18,.163
TWI,23,2,40,0,2,0,.651,45,.288
TIG,23,1,9,1,0,2,.383,22,.130
YAN,39,7,47,6,5,0,.815,47,.283
CAR,13,1,6,1,0,0,.488,16,.143
PHL,13,5,26,0,3,0,.631,31,.255
MRL,5,5,11,0,0,1,1.063,7,.440
TIG,52,9,40,4,1,0,.798,46,.270
TWI,44,6,31,2,5,2,.762,38,.256
CAR,7,1,10,0,0,0,.830,10,.385
YAN,1,1,1,0,0,0,1.667,1,.500
RDS,27,6,35,0,4,2,.528,43,.227
RSX,1,1,5,0,0,1,.904,5,.294
RSX,15,1,3,0,0,2,.349,8,.107
YAN,31,6,20,2,2,0,.719,32,.233
RSX,7,3,7,2,0,1,1.066,8,.304
TWI,10,2,4,0,0,0,.542,9,.160
NAT,28,5,32,2,4,1,.761,36,.286
MRL,13,1,13,0,1,0,.630,20,.250
PHL,1,1,3,0,0,0,.697,6,.273
TWI,25,4,12,0,3,0,.555,24,.194
PIR,21,6,30,9,1,5,.894,42,.236
BRA,4,4,8,1,1,1,.910,8,.296
PIR,13,10,35,1,4,1,.725,43,.255
ORI,1,0,3,0,0,0,2.000,1,.750
MTS,3,3,5,1,0,0,1.076,5,.313
BRA,9,1,6,0,0,1,.362,17,.143
RDS,34,7,41,2,1,1,.759,43,.293
TIG,12,1,7,0,1,0,.369,17,.156
TWI,17,4,35,0,2,3,.779,35,.321
NAT,14,2,14,0,2,0,.790,17,.298
RDS,18,3,13,1,1,0,.485,24,.163
ORI,44,11,37,4,2,1,.655,47,.222
TIG,30,6,57,2,2,1,.672,52,.291
MTS,12,2,8,0,0,1,.590,19,.190
YAN,20,3,21,3,0,0,1.004,26,.333
DGR,41,13,57,1,4,0,.758,51,.284
DGR,22,7,18,0,3,2,.670,36,.205
TIG,8,2,5,0,0,0,.498,12,.167
MRL,5,0,2,0,0,1,.338,7,.111
MRL,6,1,3,0,0,0,.433,6,.167
IND,1,1,1,0,0,0,.733,2,.200
IND,8,1,9,0,0,0,.674,11,.281
DGR,10,0,6,0,2,1,.575,12,.214
ORI,30,10,48,6,0,1,.936,43,.318
PHL,0,0,1,0,0,0,1.167,1,.500
YAN,35,11,51,3,2,1,.702,50,.268
IND,10,2,11,0,1,1,.797,9,.333
ORI,14,1,31,0,4,1,.608,32,.279
CAR,1,0,0,0,0,0,.000,2,.000
BLU,4,1,3,0,0,0,.944,3,.333
IND,29,5,44,0,3,1,.684,41,.288
BLU,62,7,38,1,1,1,.599,51,.216
MTS,0,0,2,0,0,0,1.000,2,.500
YAN,2,3,10,0,0,2,.580,21,.213
NAT,42,6,42,1,1,2,.653,50,.237
BRA,19,4,23,2,0,0,.578,39,.215
BRA,21,1,23,0,3,0,.588,39,.225
MTS,29,8,61,1,5,0,.866,45,.341
BRA,2,0,1,0,0,0,.347,10,.125
PHL,23,3,34,4,2,2,.626,41,.241
MRL,17,7,14,0,0,1,.811,22,.246
BRA,14,3,16,3,0,0,.563,34,.198
PHL,2,1,2,0,0,0,1.000,2,.333
PIR,19,2,21,0,0,1,.605,36,.212
YAN,26,14,57,8,0,1,.945,45,.339
BLU,39,5,29,5,2,1,.605,43,.203
ORI,58,8,46,2,2,2,.611,55,.219
IND,18,2,22,0,0,1,.622,27,.250
PHL,7,1,2,0,0,0,.258,12,.077
PHL,21,9,39,2,2,0,.952,29,.371
IND,35,16,52,3,1,4,.836,47,.313
TIG,38,4,30,4,0,0,.710,40,.238
NAT,9,0,3,0,1,0,.387,10,.120
MTS,22,9,40,0,2,3,.699,36,.288
NAT,38,6,25,4,1,1,.726,37,.203
CAR,49,5,44,0,5,0,.676,53,.257
PIR,1,0,1,0,0,0,1.000,1,.500
RSX,15,4,26,0,6,3,.630,28,.274
MTS,11,5,27,0,1,0,.632,26,.262
RDS,31,7,46,2,0,1,.809,40,.303
BRA,28,5,46,1,0,3,.642,43,.284
TIG,5,3,9,0,0,0,.640,9,.257
BRA,31,1,20,3,0,0,.613,41,.217
NAT,18,3,26,0,2,1,.693,33,.245
PIR,18,8,22,1,1,2,.603,34,.202
RSX,14,2,14,1,1,0,.662,20,.255
BLU,44,1,31,2,4,0,.515,42,.187
BRA,28,15,64,5,2,5,.746,56,.295
TWI,11,1,13,0,2,1,.563,22,.232
IND,27,6,19,2,0,0,.714,26,.229
CAR,22,4,18,0,1,0,.731,32,.257
IND,29,8,44,0,3,1,.683,47,.277
MTS,2,1,5,1,0,0,1.012,5,.333
MTS,1,1,2,0,0,0,.804,2,.286
MRL,22,2,11,0,0,2,.402,29,.149
PIR,3,0,4,1,0,0,.976,4,.308
CAR,1,0,1,0,0,0,1.000,1,.500
PIR,1,2,3,0,0,0,1.000,2,.375
YAN,17,5,30,5,2,1,.833,32,.280
YAN,15,1,18,0,4,1,.538,26,.254
TWI,2,4,10,0,0,0,1.109,7,.435
MRL,30,10,23,1,3,0,.713,37,.221
PHL,0,0,0,0,0,0,.400,2,.000
MTS,17,1,10,0,0,0,.709,13,.250
DGR,2,0,5,1,0,0,.908,4,.333
CAR,7,5,12,0,0,1,.914,7,.375
TIG,2,0,4,0,0,0,1.238,2,.571
