Jurisdiction,Civil Matters,Civil Matters - % of Total,Housing Matters,Housing Matters - % of Total,Custody/ Visitation/ Divorce,Custody/ Visitation/ Divorce - % of Total,Youth,Youth - % of Total,Other Family,Other Family - % of Total,Criminal Matters,Criminal Matters - % of Total,Surrogate Matters,Surrogate Matters - % of Total,Public Welfare and Benefit Issues,Public Welfare and Benefit Issues - % of Total,Other,Other - % of Total,Total
Sullivan,26,12.94%,18,8.96%,103,51.24%,0,0.00%,40,19.90%,0,0.00%,0,0.00%,4,1.99%,10,4.98%,201
Tioga,88,51.46%,20,11.70%,55,32.16%,1,0.58%,0,0.00%,1,0.58%,0,0.00%,1,0.58%,5,2.92%,171
Tompkins,96,23.70%,73,18.02%,168,41.48%,7,1.73%,27,6.67%,19,4.69%,0,0.00%,2,0.49%,13,3.21%,405
Ulster,70,10.26%,60,8.80%,514,75.37%,2,0.29%,2,0.29%,3,0.44%,0,0.00%,16,2.35%,15,2.20%,682
Warren,40,12.38%,9,2.79%,271,83.90%,0,0.00%,2,0.62%,1,0.31%,0,0.00%,0,0.00%,0,0.00%,323
Washington,1,2.00%,4,8.00%,12,24.00%,1,2.00%,1,2.00%,0,0.00%,0,0.00%,30,60.00%,1,2.00%,50
Wayne,7,4.12%,11,6.47%,135,79.41%,0,0.00%,0,0.00%,10,5.88%,0,0.00%,4,2.35%,3,1.76%,170
Westchester,310,15.44%,497,24.75%,213,10.61%,627,31.23%,196,9.76%,0,0.00%,0,0.00%,141,7.02%,24,1.20%,"2,008"
Wyoming,0,0.00%,2,8.00%,22,88.00%,0,0.00%,1,4.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,25
Yates,1,1.05%,0,0.00%,85,89.47%,0,0.00%,5,5.26%,3,3.16%,0,0.00%,1,1.05%,0,0.00%,95
